Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.405383945481068508e+02,2.451919867107116846e-01,1.624997156558253408e+01
1.410565958795709207e+02,4.680657070098878103e-01,1.655719463085556953e+01
1.415634162052662930e+02,6.453080153691266307e-01,1.691010759380340644e+01
1.420729528286963159e+02,7.614793563316071268e-01,1.728436408079742748e+01
1.425976788371532678e+02,8.160939384687216913e-01,1.765227916288550603e+01
1.431446156049782132e+02,8.210810882644352660e-01,1.799160067335140312e+01
1.437128364373492104e+02,7.927799653119459444e-01,1.829389783916246870e+01
1.442993588862287879e+02,7.460459614766976610e-01,1.855801091385346169e+01
1.448996775788852744e+02,6.903188360401120161e-01,1.878927113232102641e+01
1.455098782177593932e+02,6.296907414877084275e-01,1.899445713629608434e+01
1.461274858872981213e+02,5.660473587173976417e-01,1.917862094792075922e+01
1.467504569057720971e+02,4.990630354378559064e-01,1.934667617656355176e+01
1.473769823315763574e+02,4.264829332042258114e-01,1.950342521717751154e+01
1.480060012872925483e+02,3.463227537842580861e-01,1.965163968616830559e+01
1.486373515058664623e+02,2.586700368172049069e-01,1.979162996348011205e+01
1.492721793726331043e+02,1.684246149299760964e-01,1.992086963219694695e+01
1.499106596803040361e+02,7.795108618623951269e-02,2.003974538440898101e+01
1.505554670321029107e+02,4.316692638668705398e-12,2.014166856624769153e+01
1.511868656095001029e+02,5.923329100559110090e-08,2.033116926489449838e+01
1.516743101011238934e+02,1.141417102987431348e-01,2.075886478044002459e+01
1.521064805060969434e+02,3.117402132488966693e-01,2.121279684904664720e+01
1.525229249247060181e+02,5.339567365591281201e-01,2.166810940009647624e+01
1.529301813953349551e+02,7.755474752073593381e-01,2.211991853998097568e+01
1.533328397330908217e+02,1.033135719045105150e+00,2.256508573447581156e+01
1.537350668007056527e+02,1.303376195986890362e+00,2.300129693734382741e+01
1.541410996280547465e+02,1.582774080052229859e+00,2.342650856751401278e+01
1.545552919119122066e+02,1.867726140360586484e+00,2.383864835069025645e+01
1.549820017482828689e+02,2.154587855999514634e+00,2.423538891800135531e+01
1.553961503728020830e+02,2.428156092778796182e+00,2.465333584130461020e+01
1.557948919873722389e+02,2.691205805552872476e+00,2.509175513851354111e+01
1.561757558102609948e+02,2.945161326774964117e+00,2.555036415071076306e+01
1.565808106613352493e+02,3.174564234843844535e+00,2.600082048064643914e+01
1.569996826714075837e+02,3.381518356230633682e+00,2.644944173562431189e+01
1.574260727185325663e+02,3.565765479656031189e+00,2.690100658932751898e+01
1.578563844680397494e+02,3.724729566429151095e+00,2.735874368176598281e+01
1.582888595724993479e+02,3.853901241980590697e+00,2.782425287452999640e+01
1.587232375309542363e+02,3.947393623237070770e+00,2.829710605331689521e+01
1.591606290182786836e+02,3.998494033763596800e+00,2.877437266378314717e+01
1.596032900278015347e+02,3.999999787076760072e+00,2.925029067410575223e+01
1.600557549120596832e+02,4.000000072570145448e+00,2.971773544321170846e+01
1.605173175351081341e+02,3.999999606225959958e+00,3.017708035820113111e+01
