Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.408180357449219002e+02,0.000000000000000000e+00,1.604550056921244661e+01
1.416348913710073703e+02,0.000000000000000000e+00,1.610803126542113262e+01
1.424504163723586032e+02,0.000000000000000000e+00,1.618486261278982141e+01
1.432644903264460083e+02,0.000000000000000000e+00,1.627430042853412573e+01
1.440770039870368748e+02,0.000000000000000000e+00,1.637519230666809378e+01
1.448878521088797413e+02,0.000000000000000000e+00,1.648670875516488721e+01
1.456968900342337463e+02,0.000000000000000000e+00,1.660849702436593134e+01
1.465039224071671811e+02,0.000000000000000000e+00,1.674059154291078144e+01
1.473086894003001532e+02,0.000000000000000000e+00,1.688337624906067092e+01
1.481108454834164831e+02,0.000000000000000000e+00,1.703759112462139669e+01
1.489099696445430538e+02,0.000000000000000000e+00,1.720417220429767013e+01
1.497056454281877222e+02,0.000000000000000000e+00,1.738381961824227062e+01
1.504973983594259721e+02,0.000000000000000000e+00,1.757731874086994139e+01
1.506226519273407689e+02,0.000000000000000000e+00,1.838241985803276179e+01
1.505508448257309055e+02,0.000000000000000000e+00,1.919356826144495543e+01
1.505008144159585584e+02,0.000000000000000000e+00,2.000583021781663717e+01
1.512933160660257101e+02,0.000000000000000000e+00,2.018833962718762365e+01
1.521058484084965414e+02,0.000000000000000000e+00,2.022954364632666113e+01
1.529191898916084540e+02,0.000000000000000000e+00,2.025854139272866661e+01
1.537331860434861142e+02,0.000000000000000000e+00,2.027083129393212246e+01
1.545473243749271717e+02,0.000000000000000000e+00,2.025612591458661882e+01
1.553584272675069542e+02,0.000000000000000000e+00,2.018283394598255498e+01
1.561411699677223339e+02,0.000000000000000000e+00,1.995761154833853368e+01
1.569330059978759664e+02,0.000000000000000000e+00,2.014865897100831305e+01
1.577215304715118407e+02,0.000000000000000000e+00,2.035302404905177198e+01
1.585083930005005470e+02,0.000000000000000000e+00,2.056364470628418673e+01
1.592938425530260815e+02,0.000000000000000000e+00,2.077930867657004654e+01
1.600785007992385545e+02,0.000000000000000000e+00,2.099756825119911952e+01
1.608598889858682242e+02,0.000000000000000000e+00,2.122692120998766896e+01
1.616394013446096096e+02,0.000000000000000000e+00,2.146216734980895069e+01
1.624177231814659308e+02,0.000000000000000000e+00,2.170086295471938342e+01
1.631953694560396855e+02,0.000000000000000000e+00,2.194124117673878160e+01
1.639727424102334226e+02,0.000000000000000000e+00,2.218194987291910536e+01
1.647499667296636403e+02,0.000000000000000000e+00,2.242255077696613341e+01
1.655261800615832328e+02,0.000000000000000000e+00,2.266578580247490748e+01
1.663009560426324640e+02,0.000000000000000000e+00,2.291294377344197386e+01
1.670735109610110101e+02,0.000000000000000000e+00,2.316634475283365902e+01
1.678425031129865204e+02,0.000000000000000000e+00,2.342976341890481962e+01
1.686055873000756264e+02,0.000000000000000000e+00,2.370927342111239255e+01
1.693574580329073740e+02,0.000000000000000000e+00,2.401717217466898546e+01
1.701227558857378597e+02,0.000000000000000000e+00,2.428942480223476252e+01
1.708954162758446103e+02,0.000000000000000000e+00,2.453941495532578188e+01
1.716728988406222811e+02,0.000000000000000000e+00,2.477334781306884537e+01
1.724537181753850064e+02,0.000000000000000000e+00,2.499524568959235182e+01
1.732364761331071179e+02,0.000000000000000000e+00,2.520956246940995271e+01
1.740206277658246563e+02,0.000000000000000000e+00,2.541808940074297496e+01
1.748058162302795324e+02,0.000000000000000000e+00,2.562205990664375577e+01
1.755917804323140672e+02,0.000000000000000000e+00,2.582242294122161752e+01
