Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.415518391731485224e+02,0.000000000000000000e+00,1.610098095169045251e+01
1.414719111197120753e+02,0.000000000000000000e+00,1.765404685210663871e+01
1.422052780399441758e+02,0.000000000000000000e+00,1.902538697108990462e+01
1.437340629604458115e+02,0.000000000000000000e+00,1.931036916588779917e+01
1.452696446081760087e+02,0.000000000000000000e+00,1.955611097666022857e+01
1.468098217229452871e+02,0.000000000000000000e+00,1.977119953575394007e+01
1.483544351251741205e+02,0.000000000000000000e+00,1.995173748658776702e+01
1.499031130534413876e+02,0.000000000000000000e+00,2.009331780663229594e+01
1.514547727136979347e+02,0.000000000000000000e+00,2.019739985873018995e+01
1.530086387731058437e+02,0.000000000000000000e+00,2.026082719750276340e+01
1.545638062447768561e+02,0.000000000000000000e+00,2.025540777996630126e+01
1.560862868870106297e+02,0.000000000000000000e+00,1.993808892772294428e+01
1.575939648160066042e+02,0.000000000000000000e+00,2.031969322955432844e+01
1.590953141780815088e+02,0.000000000000000000e+00,2.072559393683634710e+01
1.605921240702244575e+02,0.000000000000000000e+00,2.114805390527316220e+01
1.620809202003366636e+02,0.000000000000000000e+00,2.159808009403170459e+01
1.635667590877886823e+02,0.000000000000000000e+00,2.205793420315169229e+01
1.650522191169266932e+02,0.000000000000000000e+00,2.251919289164921523e+01
1.665336894652141666e+02,0.000000000000000000e+00,2.299331275842326860e+01
1.680053179477306742e+02,0.000000000000000000e+00,2.349737006788578952e+01
1.694462157625037833e+02,0.000000000000000000e+00,2.408373696039220135e+01
1.709226217240712344e+02,0.000000000000000000e+00,2.457416824038229919e+01
1.724103082981669388e+02,0.000000000000000000e+00,2.502958952430206807e+01
1.738950244239144354e+02,0.000000000000000000e+00,2.549499054641477258e+01
1.753564480804055563e+02,0.000000000000000000e+00,2.602941217342007363e+01
1.767401794750375359e+02,0.000000000000000000e+00,2.674144264962761852e+01
1.779089008734368917e+02,0.000000000000000000e+00,2.776895667076620100e+01
1.787015055816485471e+02,0.000000000000000000e+00,2.910786941372324677e+01
1.791671714548232899e+02,0.000000000000000000e+00,3.059198531154969913e+01
1.794811796313860839e+02,0.000000000000000000e+00,3.211486025194000860e+01
1.797522792178969837e+02,0.000000000000000000e+00,3.364540869434306813e+01
1.799999825532726163e+02,0.000000000000000000e+00,3.517939324839054649e+01
1.802977936686911846e+02,0.000000000000000000e+00,3.670395099658068006e+01
1.812094520553164898e+02,0.000000000000000000e+00,3.796092816164297545e+01
1.823064598780734684e+02,0.000000000000000000e+00,3.905900373790213820e+01
1.835400663769350729e+02,0.000000000000000000e+00,4.000000000280316215e+01
1.847383946568234876e+02,0.000000000000000000e+00,4.098461047701469084e+01
1.858779248861038127e+02,0.000000000000000000e+00,4.203593132060804294e+01
1.874258760541417530e+02,0.000000000000000000e+00,4.195633284761139947e+01
1.888915491932692987e+02,0.000000000000000000e+00,4.245965765781703993e+01
1.894859142598233461e+02,0.000000000000000000e+00,4.389047313910287329e+01
1.893816752127220582e+02,0.000000000000000000e+00,4.543606401299450681e+01
1.904605771586595893e+02,0.000000000000000000e+00,4.654757083095829273e+01
1.917501677618303688e+02,0.000000000000000000e+00,4.740564237005607851e+01
1.931805590915394930e+02,0.000000000000000000e+00,4.799999997335164892e+01
1.947281850297935932e+02,0.000000000000000000e+00,4.793507955863947245e+01
1.961614908561331561e+02,0.000000000000000000e+00,4.734760919740138263e+01
1.976157849386898420e+02,0.000000000000000000e+00,4.681389480066324182e+01
1.991288302534061643e+02,0.000000000000000000e+00,4.648081665911708171e+01
2.006716536880322792e+02,0.000000000000000000e+00,4.633786959046901899e+01
2.022212471206027544e+02,0.000000000000000000e+00,4.633021341684880667e+01
2.037656380869928512e+02,0.000000000000000000e+00,4.645977432078526448e+01
2.052881704737216921e+02,0.000000000000000000e+00,4.675050308605555216e+01
2.067828407655946421e+02,0.000000000000000000e+00,4.716202863280852853e+01
2.082653024605892256e+02,0.000000000000000000e+00,4.761648358764497857e+01
2.097738592469716821e+02,0.000000000000000000e+00,4.797615597940131238e+01
2.113248139619641393e+02,0.000000000000000000e+00,4.799999999466275824e+01
2.128762522043648460e+02,0.000000000000000000e+00,4.799999827540717234e+01
2.144280014547780979e+02,0.000000000000000000e+00,4.799999993992923919e+01
2.159800718745484573e+02,0.000000000000000000e+00,4.799998427825049419e+01
2.175324723277147712e+02,0.000000000000000000e+00,4.799999061909933573e+01
2.190852107832106128e+02,0.000000000000000000e+00,4.799995471874971997e+01
2.206382949301786027e+02,0.000000000000000000e+00,4.799999969073670059e+01
2.221869739877841141e+02,0.000000000000000000e+00,4.812149761710827534e+01
2.236396936749311806e+02,0.000000000000000000e+00,4.867276773343778018e+01
2.248482153418246696e+02,0.000000000000000000e+00,4.964979822227133610e+01
2.258491648245144461e+02,0.000000000000000000e+00,5.083885714628119246e+01
2.267089800006289408e+02,0.000000000000000000e+00,5.213387593977289214e+01
2.274844081675071266e+02,0.000000000000000000e+00,5.348135056809882570e+01
2.282180334554617218e+02,0.000000000000000000e+00,5.485229055875310422e+01
2.294856546670291380e+02,0.000000000000000000e+00,5.575327318731667248e+01
2.310215206044526326e+02,0.000000000000000000e+00,5.599999999676315809e+01
2.325774910906104935e+02,0.000000000000000000e+00,5.599819679956200247e+01
2.340722627399372016e+02,0.000000000000000000e+00,5.556432510896045329e+01
2.355958094916366576e+02,0.000000000000000000e+00,5.524277617614303892e+01
2.371345237893429783e+02,0.000000000000000000e+00,5.499967248631914885e+01
2.386869453356823669e+02,0.000000000000000000e+00,5.486126006787211651e+01
2.402463884939881211e+02,0.000000000000000000e+00,5.486400207235215731e+01
2.417981250634837807e+02,0.000000000000000000e+00,5.502792674220935965e+01
2.433291769250026562e+02,0.000000000000000000e+00,5.533387436458581732e+01
2.448399733476765050e+02,0.000000000000000000e+00,5.573173509339824960e+01
2.463430273354620965e+02,0.000000000000000000e+00,5.616202749562860674e+01
2.477965187416600656e+02,0.000000000000000000e+00,5.674189846273424109e+01
2.493301643700480383e+02,0.000000000000000000e+00,5.705937423683567289e+01
2.508972877235865155e+02,0.000000000000000000e+00,5.714141214344839881e+01
2.521636959799659792e+02,0.000000000000000000e+00,5.807481479574942540e+01
2.534402295709939210e+02,0.000000000000000000e+00,5.899588648746829023e+01
2.547341224698408269e+02,0.000000000000000000e+00,5.989217784247794896e+01
2.560559458733508222e+02,0.000000000000000000e+00,6.074701986035923085e+01
2.574173064822887227e+02,0.000000000000000000e+00,6.153868719178876034e+01
2.588125131495980895e+02,0.000000000000000000e+00,6.227154672464928353e+01
2.601924422578931058e+02,0.000000000000000000e+00,6.303615184895253520e+01
2.600712139525941211e+02,0.000000000000000000e+00,6.460578072013976225e+01
2.600000026032924438e+02,0.000000000000000000e+00,6.617555075454922076e+01
2.600000000030134402e+02,0.000000000000000000e+00,6.774433465136092991e+01
2.600000001444029181e+02,0.000000000000000000e+00,6.931079121004421495e+01
2.600030331789247384e+02,0.000000000000000000e+00,7.087514375638643571e+01
2.607935952989780617e+02,0.000000000000000000e+00,7.222326257584668951e+01
2.612361805048192878e+02,0.000000000000000000e+00,7.372006414609015224e+01
2.615667534284154954e+02,0.000000000000000000e+00,7.524353961714083994e+01
2.618420799334304547e+02,0.000000000000000000e+00,7.677605724874582904e+01
2.620965203048207854e+02,0.000000000000000000e+00,7.831030082084755861e+01
2.623587807725684229e+02,0.000000000000000000e+00,7.984140910724053697e+01
2.626547756123951558e+02,0.000000000000000000e+00,8.136462767173813404e+01
2.630201244584348501e+02,0.000000000000000000e+00,8.287109661291540874e+01
2.634545599903323136e+02,0.000000000000000000e+00,8.435763761104189484e+01
2.639490645555558785e+02,0.000000000000000000e+00,8.582394697987655263e+01
2.644841408753179621e+02,0.000000000000000000e+00,8.727471780716095395e+01
2.650706714593916331e+02,0.000000000000000000e+00,8.870432455508807834e+01
2.657411430363658837e+02,0.000000000000000000e+00,9.009548073311236749e+01
2.664821793981631686e+02,0.000000000000000000e+00,9.144939872680640747e+01
2.672711252330428806e+02,0.000000000000000000e+00,9.277509105373721354e+01
2.680704301457617476e+02,0.000000000000000000e+00,9.409377359557001341e+01
2.690538403589557106e+02,0.000000000000000000e+00,9.528072763841406356e+01
2.701361688874103493e+02,0.000000000000000000e+00,9.637748950517320168e+01
2.713390388967623039e+02,0.000000000000000000e+00,9.733978252827252220e+01
2.726460246406851411e+02,0.000000000000000000e+00,9.815432556286350518e+01
2.740320091769241344e+02,0.000000000000000000e+00,9.882494245230235208e+01
2.754747631059959190e+02,0.000000000000000000e+00,9.936190334077646469e+01
2.769033689557123807e+02,0.000000000000000000e+00,9.993493491951151952e+01
2.782459946872624528e+02,0.000000000000000000e+00,1.006875161533805283e+02
