Q20,Q30,Q40
227.00,0.00,43.00
227.17,0.30,43.00
227.39,0.60,43.00
227.45,0.67,43.00
227.79,0.90,43.00
228.36,1.21,43.00
229.09,1.51,43.00
229.41,1.61,43.00
231.37,1.54,43.00
231.45,1.51,43.00
232.20,1.21,43.00
233.33,0.92,43.00
233.36,0.90,43.00
233.92,0.60,43.00
234.56,0.30,43.00
235.25,0.00,43.00
227.83,0.00,44.00
227.97,0.30,44.00
228.14,0.60,44.00
228.33,0.90,44.00
228.54,1.21,44.00
228.79,1.51,44.00
229.06,1.81,44.00
229.37,2.11,44.00
229.41,2.14,44.00
229.97,2.41,44.00
230.89,2.71,44.00
231.37,2.82,44.00
231.82,2.71,44.00
233.33,2.46,44.00
233.48,2.41,44.00
234.51,2.11,44.00
235.29,1.93,44.00
235.69,1.81,44.00
236.56,1.51,44.00
237.25,1.23,44.00
237.29,1.21,44.00
237.65,0.90,44.00
237.94,0.60,44.00
238.15,0.30,44.00
238.31,0.00,44.00
228.99,0.00,45.00
229.09,0.30,45.00
229.22,0.60,45.00
229.36,0.90,45.00
229.41,1.01,45.00
229.52,1.21,45.00
229.71,1.51,45.00
229.91,1.81,45.00
230.13,2.11,45.00
230.37,2.41,45.00
230.63,2.71,45.00
230.93,3.02,45.00
231.28,3.32,45.00
231.37,3.39,45.00
233.33,3.39,45.00
233.62,3.32,45.00
235.29,3.02,45.00
235.39,3.02,45.00
237.25,2.85,45.00
237.97,2.71,45.00
239.22,2.43,45.00
239.25,2.41,45.00
239.66,2.11,45.00
240.04,1.81,45.00
240.39,1.51,45.00
240.71,1.21,45.00
241.00,0.90,45.00
241.18,0.69,45.00
241.25,0.60,45.00
241.49,0.30,45.00
241.70,0.00,45.00
258.40,0.00,45.00
258.49,0.30,45.00
258.62,0.60,45.00
258.81,0.90,45.00
258.82,0.92,45.00
259.73,1.21,45.00
260.78,1.36,45.00
261.37,1.21,45.00
262.75,0.94,45.00
262.85,0.90,45.00
263.63,0.60,45.00
264.23,0.30,45.00
264.68,0.00,45.00
272.55,1.16,45.00
271.92,1.21,45.00
270.59,1.30,45.00
269.63,1.51,45.00
268.76,1.81,45.00
268.63,1.87,45.00
268.15,2.11,45.00
267.79,2.41,45.00
267.56,2.71,45.00
267.40,3.02,45.00
267.29,3.32,45.00
267.19,3.62,45.00
267.12,3.92,45.00
267.05,4.22,45.00
267.00,4.52,45.00
266.95,4.82,45.00
266.96,5.13,45.00
267.22,5.43,45.00
268.63,5.58,45.00
268.79,5.43,45.00
269.21,5.13,45.00
270.03,4.82,45.00
270.59,4.71,45.00
272.55,4.59,45.00
273.63,4.82,45.00
274.40,5.13,45.00
274.51,5.18,45.00
274.94,5.43,45.00
275.29,5.73,45.00
275.53,6.03,45.00
275.72,6.33,45.00
275.87,6.63,45.00
275.99,6.93,45.00
276.11,7.24,45.00
276.23,7.54,45.00
276.34,7.84,45.00
276.47,8.14,45.00
276.47,8.15,45.00
276.54,8.14,45.00
278.43,7.88,45.00
278.48,7.84,45.00
278.76,7.54,45.00
279.01,7.24,45.00
279.24,6.93,45.00
279.45,6.63,45.00
279.65,6.33,45.00
279.84,6.03,45.00
280.04,5.73,45.00
280.22,5.43,45.00
280.39,5.13,45.00
280.45,5.13,45.00
282.35,4.84,45.00
282.36,4.82,45.00
282.44,4.52,45.00
282.44,4.22,45.00
282.35,3.96,45.00
280.39,4.05,45.00
280.23,3.92,45.00
279.45,3.62,45.00
278.43,3.38,45.00
278.31,3.32,45.00
277.74,3.02,45.00
277.13,2.71,45.00
276.49,2.41,45.00
276.47,2.40,45.00
276.00,2.11,45.00
275.42,1.81,45.00
274.69,1.51,45.00
274.51,1.45,45.00
272.93,1.21,45.00
272.55,1.16,45.00
230.19,0.00,46.00
230.29,0.30,46.00
230.40,0.60,46.00
230.52,0.90,46.00
230.66,1.21,46.00
230.80,1.51,46.00
230.93,1.81,46.00
231.07,2.11,46.00
231.20,2.41,46.00
231.31,2.71,46.00
231.37,2.89,46.00
231.45,3.02,46.00
231.61,3.32,46.00
231.74,3.62,46.00
231.81,3.92,46.00
231.75,4.22,46.00
231.39,4.52,46.00
231.37,4.53,46.00
231.18,4.82,46.00
230.87,5.13,46.00
230.41,5.43,46.00
229.60,5.73,46.00
229.41,5.78,46.00
228.95,6.03,46.00
228.28,6.33,46.00
227.45,6.63,46.00
227.45,6.63,46.00
227.11,6.93,46.00
226.97,7.24,46.00
227.20,7.54,46.00
227.45,7.63,46.00
229.41,7.56,46.00
229.50,7.54,46.00
230.43,7.24,46.00
231.37,6.97,46.00
231.44,6.93,46.00
231.91,6.63,46.00
232.34,6.33,46.00
232.77,6.03,46.00
233.29,5.73,46.00
233.33,5.70,46.00
233.57,5.43,46.00
233.87,5.13,46.00
234.35,4.82,46.00
235.29,4.54,46.00
235.46,4.52,46.00
237.25,4.43,46.00
239.22,4.28,46.00
239.38,4.22,46.00
240.21,3.92,46.00
241.09,3.62,46.00
241.18,3.59,46.00
241.70,3.32,46.00
242.26,3.02,46.00
242.83,2.71,46.00
243.14,2.54,46.00
243.64,2.41,46.00
244.58,2.11,46.00
245.10,1.90,46.00
245.87,1.81,46.00
246.73,1.51,46.00
246.92,1.21,46.00
246.93,0.90,46.00
246.89,0.60,46.00
246.84,0.30,46.00
246.79,0.00,46.00
254.05,0.00,46.00
254.04,0.30,46.00
254.05,0.60,46.00
254.15,0.90,46.00
254.46,1.21,46.00
254.90,1.38,46.00
255.08,1.51,46.00
255.77,1.81,46.00
256.86,2.10,46.00
256.89,2.11,46.00
257.92,2.41,46.00
258.82,2.64,46.00
260.78,2.65,46.00
262.09,2.41,46.00
262.75,2.30,46.00
264.39,2.41,46.00
264.71,2.44,46.00
265.02,2.71,46.00
265.25,3.02,46.00
265.39,3.32,46.00
265.49,3.62,46.00
265.55,3.92,46.00
265.59,4.22,46.00
265.60,4.52,46.00
265.62,4.82,46.00
265.63,5.13,46.00
265.65,5.43,46.00
265.69,5.73,46.00
265.75,6.03,46.00
265.84,6.33,46.00
265.96,6.63,46.00
266.13,6.93,46.00
266.35,7.24,46.00
266.63,7.54,46.00
266.67,7.57,46.00
266.72,7.54,46.00
267.22,7.24,46.00
267.81,6.93,46.00
268.63,6.63,46.00
268.63,6.63,46.00
268.87,6.33,46.00
269.19,6.03,46.00
269.62,5.73,46.00
270.31,5.43,46.00
270.59,5.34,46.00
272.55,5.21,46.00
273.18,5.43,46.00
273.82,5.73,46.00
274.27,6.03,46.00
274.51,6.24,46.00
274.61,6.33,46.00
274.90,6.63,46.00
275.13,6.93,46.00
275.32,7.24,46.00
275.48,7.54,46.00
275.62,7.84,46.00
275.75,8.14,46.00
275.87,8.44,46.00
276.01,8.74,46.00
276.16,9.05,46.00
276.35,9.35,46.00
276.47,9.51,46.00
278.43,9.52,46.00
278.88,9.35,46.00
279.51,9.05,46.00
280.03,8.74,46.00
280.39,8.50,46.00
280.84,8.44,46.00
282.35,8.24,46.00
284.31,8.34,46.00
285.00,8.14,46.00
285.55,7.84,46.00
285.78,7.54,46.00
285.87,7.24,46.00
285.88,6.93,46.00
285.85,6.63,46.00
285.81,6.33,46.00
285.76,6.03,46.00
285.71,5.73,46.00
285.67,5.43,46.00
285.62,5.13,46.00
285.58,4.82,46.00
285.54,4.52,46.00
285.51,4.22,46.00
285.48,3.92,46.00
285.46,3.62,46.00
285.44,3.32,46.00
285.42,3.02,46.00
285.40,2.71,46.00
285.39,2.41,46.00
285.37,2.11,46.00
285.35,1.81,46.00
285.33,1.51,46.00
