Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.405380238926215100e+02,2.432410907380428422e-01,1.624779578809618030e+01
1.410556774685886126e+02,4.651597933881120306e-01,1.655250619876499130e+01
1.415598634245087908e+02,6.432014729935852104e-01,1.690493394244251490e+01
1.420669321062956669e+02,7.600282539812864835e-01,1.727831090099490652e+01
1.425892227625299995e+02,8.154729158353976048e-01,1.764493126257058719e+01
1.431360067073080415e+02,8.223865811723664043e-01,1.797865642361509231e+01
1.437008489147706882e+02,7.958814832659544258e-01,1.827997416467445291e+01
1.442831272446361766e+02,7.504032524375463531e-01,1.854379937286006808e+01
1.448785528745513886e+02,6.954196468861315594e-01,1.877483110363333196e+01
1.454837616748098412e+02,6.361615575900299024e-01,1.897826848935307709e+01
1.460956159802250056e+02,5.740404913768726303e-01,1.916057342533657604e+01
1.467110393493094875e+02,5.066130333243695771e-01,1.932937368041030979e+01
1.473289254180020009e+02,4.331024693313969554e-01,1.948739776289994552e+01
1.479472214619278816e+02,3.490260946612108173e-01,1.963979030383611146e+01
1.485658209656066902e+02,2.542849682540253009e-01,1.978614585718796093e+01
1.491867870668452838e+02,1.558469727879071287e-01,1.992145699783978330e+01
1.498124445559922151e+02,6.358455603727566907e-02,2.004076108009952151e+01
1.504468159978249275e+02,1.598322712226795683e-13,2.013226236114057244e+01
1.510902607970689928e+02,5.109344953128377477e-03,2.017087715949044124e+01
1.517344274486933955e+02,4.041345633664440370e-03,2.020690692635421115e+01
1.523793811119994643e+02,1.030400235924950800e-04,2.023791801042897731e+01
1.530253504032729950e+02,2.066673200346984002e-03,2.025492939322971608e+01
1.536718818325559539e+02,3.969049334250983438e-04,2.026351174631650665e+01
1.543186618730482280e+02,6.293829278741929520e-05,2.025358733786847765e+01
1.549643056142309092e+02,6.974112277309711195e-04,2.021224309469966940e+01
1.554876191979068665e+02,2.001758397407759455e-10,2.059254566940750308e+01
1.560591915036543469e+02,3.055091487194171891e-12,2.089548877412700989e+01
1.566235641396828271e+02,8.136090273428772556e-10,2.121125725260576189e+01
1.571758757945961804e+02,8.150180699149957297e-02,2.153659842408247727e+01
1.576920175155079278e+02,2.897759652959792653e-01,2.186355746794532706e+01
1.581775154564265904e+02,5.448420655121509748e-01,2.220235585821238189e+01
1.586391116155478471e+02,8.272169280280924353e-01,2.255084454651051828e+01
1.590809381537699494e+02,1.128270292476850400e+00,2.290722412905414629e+01
1.595073971969150080e+02,1.440856596544188628e+00,2.327030632441530500e+01
1.599236667879773393e+02,1.757724946525779153e+00,2.363947058611393715e+01
1.603354220802291650e+02,2.070956948866397251e+00,2.401486247763687487e+01
1.607374160188001042e+02,2.388055623256042814e+00,2.439571480078721777e+01
1.611346050028245145e+02,2.701070929434590262e+00,2.478317147186329095e+01
1.615320953016552039e+02,3.001057981933671570e+00,2.517887576638178970e+01
1.619352402241067637e+02,3.277699679362206631e+00,2.558420063918708109e+01
1.623491468651576213e+02,3.519698481839761861e+00,2.599929063700590604e+01
1.627775550595775087e+02,3.716465232530074658e+00,2.642217999368578418e+01
1.632216007470061925e+02,3.861051559526574639e+00,2.684876403534306988e+01
1.636795734099412698e+02,3.952630615210797060e+00,2.727415669603787762e+01
1.641481641918809942e+02,3.996303244147217271e+00,2.769448940027124806e+01
1.646146326353704978e+02,3.999998741843441064e+00,2.811835043988800464e+01
1.650801021844007437e+02,3.999996189429724236e+00,2.854228949040030727e+01
1.655475428696950644e+02,3.999980210444462614e+00,2.896303862694346165e+01
1.660196501493282426e+02,3.999972386822721937e+00,2.937754191299460160e+01
1.664982456298308762e+02,3.999969278301874098e+00,2.978353971064295891e+01
1.669839084516035825e+02,3.999991601645255024e+00,3.018005959064874233e+01
1.674760467602476410e+02,3.999977331551650472e+00,3.056751204745558326e+01
1.679734418435870964e+02,3.999982608743669843e+00,3.094718341909068826e+01
1.684748749419179319e+02,3.999989349642158132e+00,3.132048553715637240e+01
1.689804331011930572e+02,3.999980503137206433e+00,3.168714584562450653e+01
1.694887598059144693e+02,3.999989214099805235e+00,3.204890415503111711e+01
1.699753420384156470e+02,3.999981543565550357e+00,3.243839242158720282e+01
1.704447765983231022e+02,3.999989735317657225e+00,3.284736819696736632e+01
1.708999236246485509e+02,3.999986599510050755e+00,3.327117101735611016e+01
1.713439184417565855e+02,3.999993318533160647e+00,3.370562158684144549e+01
1.717797304715877260e+02,3.999988951740754750e+00,3.414724698651871648e+01
1.722099450065043129e+02,3.999998613978063222e+00,3.459327851203563853e+01
1.726401539297364423e+02,3.999975558572684609e+00,3.503824356987765043e+01
1.730710891080373131e+02,3.999988657300507455e+00,3.548140885475380202e+01
1.735030704633879850e+02,3.999975183036735160e+00,3.592243354775002473e+01
1.739360241053075811e+02,3.999976595964292780e+00,3.636136026957071721e+01
1.743694665360781073e+02,3.999999999909207737e+00,3.679864083669470176e+01
1.747009497586053044e+02,4.395762410885678761e+00,3.713272005426003375e+01
1.749820344225434212e+02,4.855425806713256520e+00,3.742771253793049624e+01
1.752493712780005524e+02,5.323765392916669725e+00,3.772012798728689376e+01
1.755096695470248278e+02,5.792481784101770614e+00,3.801647091492271358e+01
1.757645579972626138e+02,6.258853184861023600e+00,3.831934541059793986e+01
1.760131625287349664e+02,6.722441148993158144e+00,3.862984653971064830e+01
1.762750046441130678e+02,7.175632822351839302e+00,3.894305968478459334e+01
1.765462189592237223e+02,7.621715052201193608e+00,3.925681184673521784e+01
1.768238865780390938e+02,8.064487826408576865e+00,3.956792489409630065e+01
1.771130672589239055e+02,8.497382123757436290e+00,3.988076429399000489e+01
1.774088811796029574e+02,8.926758134917895049e+00,4.019058515773914309e+01
1.777064365328125461e+02,9.349140171681417755e+00,4.050662943051897003e+01
1.780077846307288780e+02,9.766020463971379684e+00,4.082476150643054069e+01
1.783164127155349661e+02,1.017757936888357762e+01,4.114124511316283872e+01
1.786366585391981516e+02,1.058290181236941585e+01,4.145260663579634297e+01
1.789727858710917872e+02,1.098024875200408346e+01,4.175580596755999352e+01
1.793277009052026187e+02,1.136755400716667985e+01,4.204879305650748478e+01
1.797018962096423422e+02,1.174317799648801852e+01,4.233113502279428531e+01
1.800933871829745954e+02,1.210666584361210063e+01,4.260402099296232592e+01
1.805217895402695945e+02,1.244015153258316175e+01,4.285727475136736331e+01
1.809690657846823854e+02,1.275823584279329559e+01,4.309526334663795666e+01
1.814255192209546124e+02,1.306806691584766256e+01,4.332442324672891942e+01
1.818873395193352565e+02,1.337093009770591578e+01,4.354992935253991249e+01
1.823536688204228824e+02,1.366543477712087196e+01,4.377504888476904199e+01
1.828250801508947063e+02,1.394898983203080434e+01,4.400150918149006429e+01
1.833029429643536901e+02,1.421804121087357409e+01,4.423007169536803929e+01
1.837892418368143979e+02,1.446741849242513744e+01,4.446114569192052102e+01
1.842864014881095329e+02,1.468913022056283779e+01,4.469535399713934254e+01
1.848035215894493035e+02,1.486851996446607060e+01,4.492052104303348870e+01
1.853368126385437620e+02,1.501000517574959936e+01,4.513258701988579702e+01
1.858822181837016672e+02,1.512017588762974896e+01,4.532972222574746723e+01
1.864361478947770365e+02,1.520627714320394119e+01,4.551216267723933839e+01
1.869957142446109231e+02,1.527527429202375764e+01,4.568166934248139910e+01
1.875586845536753060e+02,1.533356955692194035e+01,4.584091554491884324e+01
1.881233502618387661e+02,1.538708004252460171e+01,4.599287891316463828e+01
1.886847396017751635e+02,1.544499397790808892e+01,4.615236441721263105e+01
1.892425721943326380e+02,1.550736414967765597e+01,4.631992787092854513e+01
1.897966384282761112e+02,1.557410508926404624e+01,4.649585682902292660e+01
1.903468571453869913e+02,1.564470250915362470e+01,4.668017255112687991e+01
1.908933515523136180e+02,1.571786802978321873e+01,4.687263209416381216e+01
1.914365322779983956e+02,1.579110933206711564e+01,4.707273877540404072e+01
1.919771475214351710e+02,1.586016783652090290e+01,4.727978454456637536e+01
1.925162459095188581e+02,1.591850376971553693e+01,4.749278045712826923e+01
1.930587800771975537e+02,1.596001995199252477e+01,4.769983485741916951e+01
1.936046307366815711e+02,1.598652942202720695e+01,4.789950486561559728e+01
1.941538651908367115e+02,1.599965804241466927e+01,4.809008960561143908e+01
1.946994852168471652e+02,1.599999999828002295e+01,4.829040341102319189e+01
1.952409338324593762e+02,1.600328649551573434e+01,4.850103456673625857e+01
1.957774540394704843e+02,1.602722324944285859e+01,4.872210720936544703e+01
1.963089257545602493e+02,1.606351676448552368e+01,4.895301177758491207e+01
1.968362677023116021e+02,1.610542806298613172e+01,4.919193586770665405e+01
1.973609943487549288e+02,1.614835612265797948e+01,4.943611227668051811e+01
1.978850809830197477e+02,1.618891190800749769e+01,4.968188336788718829e+01
1.984151745752784279e+02,1.622297920233946300e+01,4.991538326709471107e+01
