Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.408148054445740627e+02,1.674602202036521437e-01,1.618430466575238924e+01
1.416238461231767758e+02,3.314947255821132921e-01,1.639533091459404091e+01
1.424239799765420571e+02,4.874050222099194918e-01,1.664336576588277339e+01
1.432152162687138457e+02,6.303675989737413943e-01,1.692528696997219839e+01
1.439969224572317046e+02,7.513414910322633311e-01,1.724201782533085492e+01
1.447750960544099996e+02,8.383737339072022676e-01,1.757808197888405743e+01
1.455539371249441842e+02,8.870542765828602905e-01,1.792036183661246440e+01
1.463373560296124367e+02,8.948902222596426537e-01,1.825563947751178517e+01
1.471291754531087861e+02,8.673735622043672322e-01,1.856948223161489508e+01
1.479329515914367619e+02,8.130551350803755239e-01,1.884751007726156757e+01
1.487409229712532692e+02,7.334106699416279573e-01,1.910683615454232154e+01
1.495587128510061632e+02,6.412137482687222390e-01,1.932867123761748473e+01
1.503838724955269868e+02,5.437679264807607771e-01,1.951888993832410790e+01
1.512055572708493116e+02,4.271322231872066721e-01,1.971357022848445695e+01
1.520361441822264226e+02,3.173496392122880372e-01,1.987124169659765727e+01
1.528694366793569088e+02,2.067896406732508130e-01,2.001373753853862425e+01
1.537045583680197183e+02,9.549366105149793837e-02,2.014494501460241693e+01
1.545549156261505175e+02,4.164284619941163723e-02,2.017896414892888046e+01
1.554029523222989155e+02,2.214407228908164826e-02,2.009087377969881771e+01
1.562491747538955451e+02,1.024015217320116845e-03,1.998647943765105239e+01
1.570773220280551925e+02,5.211560776583670914e-04,2.019093402532933013e+01
1.579002561711735950e+02,4.669827403999786408e-04,2.041584380723545777e+01
1.587193258132649589e+02,3.334965733073347858e-04,2.065482404072207601e+01
1.595345223013069358e+02,3.671875223029423714e-04,2.090707292775562465e+01
1.603460930942152913e+02,3.189473744798158438e-04,2.117112409482311364e+01
1.611548754478571368e+02,2.764666218041668096e-04,2.144396734827596518e+01
1.619616001526049160e+02,2.396567198979193908e-04,2.172321014104097259e+01
1.627671768949759326e+02,2.076375427364529115e-04,2.200612896840521771e+01
1.635726636582455740e+02,1.799009876766746946e-04,2.228969609553316289e+01
1.643791479986109891e+02,1.277715211089085407e-04,2.257082083852781906e+01
1.651873310613070771e+02,1.373280828897286473e-04,2.284744972401699314e+01
1.659980030112092209e+02,1.213272076358830548e-04,2.311714605143748358e+01
1.668124906453242886e+02,1.099350300721230113e-04,2.337557028192225772e+01
1.676325707819288482e+02,1.043762674018276819e-04,2.361618660278523052e+01
1.684600361289516570e+02,1.061169372412073853e-04,2.383063844575920953e+01
1.692967528984830210e+02,1.183426806392716825e-04,2.400631006413057023e+01
1.701275677394486650e+02,9.771365304179944697e-05,2.420873264000623948e+01
1.709556668863796176e+02,8.794321885155891310e-05,2.442264447026353125e+01
1.717827490506041670e+02,8.361777826916346628e-05,2.464110578881771829e+01
1.726097476152783372e+02,8.284578016878127330e-05,2.486054341709990467e+01
1.734374481779002792e+02,8.550620401072502508e-05,2.507799662952535158e+01
1.742659799601256054e+02,8.994177303527236232e-05,2.529295962211369542e+01
1.750952527049912248e+02,9.422769567802929350e-05,2.550576406417753361e+01
1.759250118381436891e+02,9.638066051184794342e-05,2.571739774497930497e+01
1.767547961982653248e+02,1.171393803243548184e-04,2.592967541584750180e+01
1.775844727545444073e+02,1.428858970871052687e-04,2.614312396852006870e+01
1.784136692565332112e+02,1.740387737934342787e-04,2.635918133395851015e+01
1.792418547703202591e+02,2.154670988338449461e-04,2.657982798016211490e+01
1.800683651553754032e+02,2.690644606296173054e-04,2.680740120804401627e+01
1.808925839467677577e+02,2.846577625333789508e-04,2.704385295795813349e+01
1.817141731781152885e+02,3.071734382499841489e-04,2.728997936884918118e+01
1.825328164465025793e+02,3.322325736451922878e-04,2.754640704623512093e+01
1.833482066685422183e+02,3.553036655821079385e-04,2.781365107024361549e+01
1.841600139551845814e+02,4.159891168805094665e-04,2.809222179452424584e+01
1.849692514483753882e+02,6.602170051468218229e-04,2.837879133407174592e+01
1.857752947447128804e+02,9.335325179536969062e-04,2.867483060901373904e+01
1.865779389913683133e+02,1.236074879831099453e-03,2.898055526058368869e+01
1.873773378755086298e+02,1.571133530261071979e-03,2.929524481533037417e+01
1.881741735815429593e+02,1.808622859724168990e-03,2.961693778364124796e+01
1.889719345384555425e+02,1.538686107021311564e-03,2.993692641663758280e+01
1.897707871030532374e+02,1.221131672014638464e-03,3.025478605644083174e+01
1.905711899325254421e+02,8.493415695992699707e-04,3.056933863898824200e+01
1.913738460942061863e+02,4.219422992004791370e-04,3.087872657344897576e+01
1.921796520977837304e+02,3.521379107281069490e-05,3.118046245716199039e+01
1.929869399705083879e+02,2.455161059330535078e-02,3.147782049994649256e+01
1.937936490040221145e+02,1.174429745827060695e-01,3.176368839384064202e+01
