Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.408147066838004946e+02,0.000000000000000000e+00,1.604529679570125467e+01
1.416283139400385380e+02,0.000000000000000000e+00,1.610750274729083742e+01
1.424407451691560880e+02,0.000000000000000000e+00,1.618390633181671490e+01
1.432519471740413337e+02,0.000000000000000000e+00,1.627287776680368836e+01
1.440618811245636266e+02,0.000000000000000000e+00,1.637329315025376175e+01
1.448705140976386474e+02,0.000000000000000000e+00,1.648432572784923167e+01
1.456777689071430757e+02,0.000000000000000000e+00,1.660566761312051653e+01
1.464835197814287824e+02,0.000000000000000000e+00,1.673737918187716289e+01
1.472875780688035263e+02,0.000000000000000000e+00,1.687986110515128502e+01
1.480896694652597887e+02,0.000000000000000000e+00,1.703387282383638279e+01
1.486864866055789207e+02,0.000000000000000000e+00,1.759165443481327529e+01
1.487855094438640720e+02,0.000000000000000000e+00,1.840230587326863798e+01
1.488244464734564190e+02,0.000000000000000000e+00,1.921783642404618675e+01
1.490059034296731397e+02,0.000000000000000000e+00,2.001366189508135207e+01
1.498189386211427632e+02,0.000000000000000000e+00,2.008459446922671532e+01
1.506323950686049216e+02,0.000000000000000000e+00,2.014515916408950602e+01
1.514461759527267191e+02,0.000000000000000000e+00,2.019509285205132443e+01
1.522602045352333278e+02,0.000000000000000000e+00,2.023346867199231625e+01
1.530744082996604334e+02,0.000000000000000000e+00,2.025790890086800644e+01
1.538886172095720895e+02,0.000000000000000000e+00,2.026283371369272146e+01
1.547020287798386846e+02,0.000000000000000000e+00,2.023488626029618231e+01
1.555082306615585992e+02,0.000000000000000000e+00,2.012561631708166843e+01
1.563126354110434875e+02,0.000000000000000000e+00,2.000588342212655846e+01
1.571024748658227850e+02,0.000000000000000000e+00,2.019833169437590215e+01
1.578865773686708849e+02,0.000000000000000000e+00,2.041178440365666447e+01
1.586666137772672585e+02,0.000000000000000000e+00,2.063857459346884582e+01
1.594427086273937277e+02,0.000000000000000000e+00,2.087751694112774103e+01
1.602150564598371716e+02,0.000000000000000000e+00,2.112738587337889129e+01
1.609843966541909879e+02,0.000000000000000000e+00,2.138549818491189569e+01
1.617513413382885687e+02,0.000000000000000000e+00,2.164981472728723588e+01
1.625166308726135469e+02,0.000000000000000000e+00,2.191808641638268540e+01
1.632811292452236387e+02,0.000000000000000000e+00,2.218782449683545721e+01
1.640457453075871115e+02,0.000000000000000000e+00,2.245645905639812767e+01
1.648112041723622383e+02,0.000000000000000000e+00,2.272191550220917122e+01
1.655779320255887512e+02,0.000000000000000000e+00,2.298291429062909685e+01
1.663467449273480838e+02,0.000000000000000000e+00,2.323692390725498669e+01
1.671189302055060466e+02,0.000000000000000000e+00,2.347967930422624860e+01
1.678961148740259546e+02,0.000000000000000000e+00,2.370505406818129046e+01
1.686798819332760218e+02,0.000000000000000000e+00,2.390538271250912672e+01
1.694720024148953144e+02,0.000000000000000000e+00,2.406842682106423936e+01
1.702585082328273245e+02,0.000000000000000000e+00,2.425567825229848751e+01
1.710420494944095537e+02,0.000000000000000000e+00,2.445400731286330398e+01
1.718240460591985936e+02,0.000000000000000000e+00,2.465740305517374864e+01
1.726053300703225659e+02,0.000000000000000000e+00,2.486258795384108566e+01
1.733866631465189698e+02,0.000000000000000000e+00,2.506664895217590683e+01
1.741682324919774771e+02,0.000000000000000000e+00,2.526885589871926285e+01
1.749500201104695236e+02,0.000000000000000000e+00,2.546925913954183684e+01
1.757318558370257904e+02,0.000000000000000000e+00,2.566850789680567146e+01
1.765133988451417224e+02,0.000000000000000000e+00,2.586793234074320580e+01
1.772944957079490393e+02,0.000000000000000000e+00,2.606812749705192900e+01
1.780748955619399965e+02,0.000000000000000000e+00,2.627005716456493900e+01
1.788542057160275363e+02,0.000000000000000000e+00,2.647519738321163985e+01
1.796319201502430758e+02,0.000000000000000000e+00,2.668536996414729856e+01
1.804074284504442858e+02,0.000000000000000000e+00,2.690263168546685435e+01
1.811803774185153486e+02,0.000000000000000000e+00,2.712794765323821622e+01
1.819504928597960145e+02,0.000000000000000000e+00,2.736191201964216546e+01
1.827175126535478000e+02,0.000000000000000000e+00,2.760500796836043946e+01
1.834811704683386040e+02,0.000000000000000000e+00,2.785766954211694468e+01
1.842411593068082709e+02,0.000000000000000000e+00,2.812039099176193346e+01
1.849983423890440406e+02,0.000000000000000000e+00,2.839033968446485900e+01
1.857523419850221273e+02,0.000000000000000000e+00,2.866832285249496337e+01
1.865030198160348220e+02,0.000000000000000000e+00,2.895444012743348949e+01
1.872505118963518100e+02,0.000000000000000000e+00,2.924808120713809245e+01
1.879955293477777047e+02,0.000000000000000000e+00,2.954725799022780208e+01
1.887405362747749109e+02,0.000000000000000000e+00,2.984577103698541123e+01
1.894866730364899468e+02,0.000000000000000000e+00,3.014074997912382159e+01
1.902339920033581393e+02,0.000000000000000000e+00,3.043201303555194315e+01
1.909830498872358646e+02,0.000000000000000000e+00,3.071805398305105328e+01
1.917346186831580042e+02,0.000000000000000000e+00,3.099669228392955134e+01
1.924895950156665094e+02,0.000000000000000000e+00,3.126519613420452615e+01
1.932472949545182530e+02,0.000000000000000000e+00,3.152512680312921489e+01
1.940092144408691581e+02,0.000000000000000000e+00,3.177158623552518435e+01
1.947764769555341218e+02,0.000000000000000000e+00,3.199997783489299863e+01
1.955484979163904882e+02,0.000000000000000000e+00,3.221076151258267117e+01
1.963171464488251559e+02,0.000000000000000000e+00,3.243261248140348840e+01
1.970837496742599058e+02,0.000000000000000000e+00,3.266054450246839025e+01
1.978493727877271340e+02,0.000000000000000000e+00,3.289087637931081787e+01
1.986145403276840682e+02,0.000000000000000000e+00,3.312185529682258789e+01
1.993793332204756155e+02,0.000000000000000000e+00,3.335321850640322339e+01
2.001435133475495149e+02,0.000000000000000000e+00,3.358575672362816533e+01
2.009072586676907406e+02,0.000000000000000000e+00,3.381888879875701548e+01
2.016702252561601654e+02,0.000000000000000000e+00,3.405374193678446204e+01
2.024320688056875213e+02,0.000000000000000000e+00,3.429141729184522802e+01
2.031924201384000241e+02,0.000000000000000000e+00,3.453305145462966408e+01
2.039508333236657336e+02,0.000000000000000000e+00,3.477995598746475991e+01
2.047066909029956037e+02,0.000000000000000000e+00,3.503386201955393631e+01
2.054606464070185154e+02,0.000000000000000000e+00,3.529267106441857038e+01
2.062123109275029833e+02,0.000000000000000000e+00,3.555739637392402130e+01
2.069612605009245101e+02,0.000000000000000000e+00,3.582907219903408702e+01
2.077070553260936663e+02,0.000000000000000000e+00,3.610868590177963000e+01
2.084491983271653623e+02,0.000000000000000000e+00,3.639727651954021326e+01
2.091839125118268896e+02,0.000000000000000000e+00,3.670375571331531717e+01
2.099115701004677703e+02,0.000000000000000000e+00,3.702613487926492297e+01
2.106329530599033433e+02,0.000000000000000000e+00,3.736185218814013353e+01
2.113494678318690774e+02,0.000000000000000000e+00,3.770739263464260205e+01
2.120637073739565039e+02,0.000000000000000000e+00,3.805718229732232771e+01
2.128067593310793200e+02,0.000000000000000000e+00,3.834015281531019781e+01
2.135587348209861034e+02,0.000000000000000000e+00,3.859794777686781231e+01
2.143135449612230730e+02,0.000000000000000000e+00,3.884679927816056733e+01
2.150699593421030897e+02,0.000000000000000000e+00,3.909022007595068970e+01
2.158280297201943085e+02,0.000000000000000000e+00,3.932793277454621972e+01
2.165881901729709398e+02,0.000000000000000000e+00,3.955838146592316917e+01
2.173511882811340001e+02,0.000000000000000000e+00,3.977876313486132176e+01
2.181167961256017520e+02,0.000000000000000000e+00,3.998941441441286315e+01
2.188868348233270353e+02,0.000000000000000000e+00,4.018274345564618244e+01
2.196487948519921645e+02,0.000000000000000000e+00,4.040538803841744908e+01
2.204056420685796525e+02,0.000000000000000000e+00,4.064447534842275189e+01
2.211599190525033691e+02,0.000000000000000000e+00,4.089121923507473610e+01
2.219125831159905715e+02,0.000000000000000000e+00,4.114253401066357441e+01
2.226638911836617467e+02,0.000000000000000000e+00,4.139759320303775780e+01
2.234139023922622016e+02,0.000000000000000000e+00,4.165618523103271542e+01
2.241626936210448662e+02,0.000000000000000000e+00,4.191805750542373232e+01
2.249101503335617736e+02,0.000000000000000000e+00,4.218350777401486340e+01
2.256564336816435912e+02,0.000000000000000000e+00,4.245205539955721719e+01
2.264017421253483349e+02,0.000000000000000000e+00,4.272313609282847580e+01
2.271462795153114200e+02,0.000000000000000000e+00,4.299618904593653923e+01
2.278902543322554379e+02,0.000000000000000000e+00,4.327065501692187155e+01
2.286339357412788615e+02,0.000000000000000000e+00,4.354582097934701324e+01
2.293777351643554994e+02,0.000000000000000000e+00,4.382059591432854972e+01
2.301231507751984680e+02,0.000000000000000000e+00,4.409090598315815868e+01
2.308759296582150853e+02,0.000000000000000000e+00,4.433994748045559220e+01
