Q20,Q30,Q40
1.400000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01
1.414055478293666397e+02,0.000000000000000000e+00,1.608788860497564954e+01
1.413378665105512368e+02,0.000000000000000000e+00,1.749539685265527211e+01
1.415625391644465765e+02,0.000000000000000000e+00,1.888669913266414468e+01
1.429430408483963788e+02,0.000000000000000000e+00,1.917005434093627869e+01
1.443316299209647298e+02,0.000000000000000000e+00,1.940938213251922306e+01
1.457244913246068734e+02,0.000000000000000000e+00,1.962166093572901460e+01
1.471210111637743694e+02,0.000000000000000000e+00,1.980842993175563649e+01
1.485211745313994243e+02,0.000000000000000000e+00,1.996643155378153978e+01
1.499246625775912207e+02,0.000000000000000000e+00,2.009305381439883220e+01
1.513307540596120475e+02,0.000000000000000000e+00,2.018868425882208939e+01
1.527389218231534471e+02,0.000000000000000000e+00,2.024978886276770851e+01
1.541485428107223754e+02,0.000000000000000000e+00,2.025854654811333333e+01
1.555509223699950496e+02,0.000000000000000000e+00,2.011399050280747502e+01
1.569597591454243286e+02,0.000000000000000000e+00,2.017072435464213243e+01
1.583210586526497821e+02,0.000000000000000000e+00,2.053874036347315268e+01
1.596700314670783314e+02,0.000000000000000000e+00,2.095035696678238324e+01
1.610090530504810999e+02,0.000000000000000000e+00,2.139399354894750616e+01
1.623418823627998790e+02,0.000000000000000000e+00,2.185664513626232619e+01
1.636726021698824525e+02,0.000000000000000000e+00,2.232611769605513174e+01
1.650057480043220437e+02,0.000000000000000000e+00,2.278950937203763516e+01
1.663440283898669634e+02,0.000000000000000000e+00,2.323879425247096364e+01
1.676931869639298043e+02,0.000000000000000000e+00,2.365534932784443001e+01
1.690628287819502020e+02,0.000000000000000000e+00,2.399999999911294069e+01
1.704403274053948394e+02,0.000000000000000000e+00,2.431340180907162463e+01
1.718100904732889944e+02,0.000000000000000000e+00,2.466060968061396608e+01
1.731782237990080091e+02,0.000000000000000000e+00,2.501580246612291702e+01
1.745475662471589544e+02,0.000000000000000000e+00,2.536803484448297752e+01
1.759182145393281473e+02,0.000000000000000000e+00,2.571700175315489290e+01
1.772887451682040876e+02,0.000000000000000000e+00,2.606837728912685037e+01
1.786582186109828854e+02,0.000000000000000000e+00,2.642587620510258617e+01
1.800243055395981742e+02,0.000000000000000000e+00,2.679816227965699937e+01
1.813840116894282914e+02,0.000000000000000000e+00,2.719515651964034220e+01
1.827357271903416347e+02,0.000000000000000000e+00,2.762056982047742792e+01
1.840777338255131781e+02,0.000000000000000000e+00,2.807765916940979523e+01
1.854120330806682091e+02,0.000000000000000000e+00,2.855876062862769516e+01
1.867360169601602138e+02,0.000000000000000000e+00,2.906953025333027085e+01
1.880503290845847175e+02,0.000000000000000000e+00,2.960666644265646852e+01
1.893664705893646385e+02,0.000000000000000000e+00,3.014138975488769034e+01
1.906881015780604685e+02,0.000000000000000000e+00,3.066464739918394855e+01
1.920202917199661670e+02,0.000000000000000000e+00,3.116290608934873063e+01
1.933667523124741763e+02,0.000000000000000000e+00,3.162407340347382245e+01
1.947340268070600189e+02,0.000000000000000000e+00,3.202281238049106094e+01
1.960915345779980612e+02,0.000000000000000000e+00,3.245703965909078903e+01
1.974483794267574126e+02,0.000000000000000000e+00,3.289685032955699739e+01
1.988074707414332067e+02,0.000000000000000000e+00,3.333338864597098450e+01
2.001679048008242319e+02,0.000000000000000000e+00,3.376963743704198606e+01
2.015289203748388900e+02,0.000000000000000000e+00,3.420815693794575907e+01
2.028876979993757459e+02,0.000000000000000000e+00,3.465774527089324408e+01
2.042408031165906266e+02,0.000000000000000000e+00,3.512830847840245241e+01
2.055879485848334127e+02,0.000000000000000000e+00,3.561984580064464723e+01
2.069262317558584812e+02,0.000000000000000000e+00,3.613914352203611458e+01
2.082525252490201240e+02,0.000000000000000000e+00,3.669236337020667094e+01
