A	min	max
82.0	0.0	0.0
83.0	0.0	0.0
84.0	0.0	0.0
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	3.0580125738921606e-09
95.0	0.0	2.0827837892354587e-08
96.0	0.0	8.988986938195364e-07
97.0	0.0	4.221179937048359e-06
98.0	8.359843513319412e-11	4.222227083894138e-05
99.0	8.233438764565467e-10	0.00015875973643990688
100.0	1.0164308370312136e-07	0.0006695059010866455
101.0	5.706801351504588e-07	0.0020713793051516678
102.0	1.2395524042573478e-05	0.005974797098579798
103.0	5.2682699775731245e-05	0.015415880900186812
104.0	0.000342454660350666	0.03651320805923842
105.0	0.0011864512028324618	0.07926518206630352
106.0	0.004113981731010969	0.1582964271566596
107.0	0.011802565741781016	0.2907613866980852
108.0	0.031166111972676432	0.49254657270323254
109.0	0.07489858543831399	0.7711866407574479
110.0	0.16537654170151078	1.1201364535149887
111.0	0.3351499868371771	1.5163828511209085
112.0	0.624617713778585	1.925525621140879
113.0	1.0720083940987446	2.311368749530958
114.0	1.6967533847844705	2.6469044004303695
115.0	2.4809772462403354	2.919275243865259
116.0	3.357839695983525	3.1275926731514034
117.0	4.2153057288474844	3.276227346221112
118.0	4.917881896939356	3.3688175095260786
119.0	5.340270486122224	3.4058699494416436
120.0	5.401262498786508	3.384693848855644
121.0	5.086487503005378	3.299339917451375
122.0	4.453109863791093	3.141048608861182
123.0	3.615082465459809	2.901421589642732
124.0	2.7128152152841234	2.5814295493625856
125.0	1.8763221407521082	2.200853884918566
126.0	1.1970634042471893	1.8035004261359617
127.0	0.7165596773514928	1.450601641942456
128.0	0.4378715058804653	1.2065223784587797
129.0	0.34733749581494394	1.1191604996187865
130.0	0.4378715058804653	1.2065223784587797
131.0	0.7165596773514928	1.450601641942456
132.0	1.1970634042471893	1.8035004261359617
133.0	1.8763221407521082	2.200853884918566
134.0	2.7128152152841234	2.5814295493625856
135.0	3.615082465459809	2.901421589642732
136.0	4.453109863791093	3.141048608861182
137.0	5.086487503005378	3.299339917451375
138.0	5.401262498786508	3.384693848855644
139.0	5.340270486122224	3.4058699494416436
140.0	4.917881896939356	3.3688175095260786
141.0	4.2153057288474844	3.276227346221112
142.0	3.357839695983525	3.1275926731514034
143.0	2.4809772462403354	2.919275243865259
144.0	1.6967533847844705	2.6469044004303695
145.0	1.0720083940987446	2.311368749530958
146.0	0.624617713778585	1.925525621140879
147.0	0.3351499868371771	1.5163828511209085
148.0	0.16537654170151078	1.1201364535149887
149.0	0.07489858543831399	0.7711866407574479
150.0	0.031166111972676432	0.49254657270323254
151.0	0.011802565741781016	0.2907613866980852
152.0	0.004113981731010969	0.1582964271566596
153.0	0.0011864512028324618	0.07926518206630352
154.0	0.000342454660350666	0.03651320805923842
155.0	5.2682699775731245e-05	0.015415880900186812
156.0	1.2395524042573478e-05	0.005974797098579798
157.0	5.706801351504588e-07	0.0020713793051516678
158.0	1.0164308370312136e-07	0.0006695059010866455
159.0	8.233438764565467e-10	0.00015875973643990688
160.0	8.359843513319412e-11	4.222227083894138e-05
161.0	0.0	4.221179937048359e-06
162.0	0.0	8.988986938195364e-07
163.0	0.0	2.0827837892354587e-08
164.0	0.0	3.0580125738921606e-09
165.0	0.0	0.0
166.0	0.0	0.0
167.0	0.0	0.0
168.0	0.0	0.0
169.0	0.0	0.0
170.0	0.0	0.0
171.0	0.0	0.0
172.0	0.0	0.0
173.0	0.0	0.0
174.0	0.0	0.0
175.0	0.0	0.0
176.0	0.0	0.0
