 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38846648     -34.94426122   0.51176689E-21   0.32007974E-21   0.62244161E-23   0.22444137E-23
       0.38846648     -33.16243208   0.41752471E-17   0.24945962E-17   0.52694753E-18   0.15933734E-18
       0.38846648     -31.69004810   0.29581446E-14   0.16925088E-14   0.18118688E-14   0.46526442E-15
       0.38846648     -30.37813755   0.49774587E-12   0.27270147E-12   0.91994424E-12   0.20146037E-12
       0.38846648     -29.16984259   0.28986772E-10   0.15188430E-10   0.11070820E-09   0.20724774E-10
       0.38846648     -28.03588360   0.69605071E-09   0.34787678E-09   0.38690517E-08   0.62045368E-09
       0.38846648     -26.95870605   0.74179818E-08   0.35144550E-08   0.41356845E-07   0.56795952E-08
       0.38846648     -25.92674693   0.34866403E-07   0.15395474E-07   0.12240170E-06   0.14154577E-07
       0.38846648     -24.93188244   0.64362872E-07   0.25085326E-07   0.68057780E-07   0.59289363E-08
       0.38846648     -23.96812926   0.33263789E-07   0.10745933E-07   0.19356049E-08   0.81966427E-10
       0.38846648     -23.03091836   0.15931415E-07   0.20981687E-07   0.21529377E-09   0.36988018E-08
       0.38846648     -22.11665927   0.18193481E-07   0.28209080E-07   0.11977797E-08   0.71643341E-08
       0.38846648     -21.22246387   0.22204406E-07   0.81284607E-08   0.79627557E-09   0.14346068E-10
       0.38846648     -20.34596339   0.44429507E-07   0.12758471E-07   0.12336721E-07   0.26242104E-09
       0.38846648     -19.48518273   0.48557579E-07   0.95714206E-08   0.24837002E-07   0.93097812E-10
       0.38846648     -18.63845145   0.23073890E-06   0.14035754E-07   0.50355673E-06   0.62362501E-10
       0.38846648     -17.80433916   0.11772643E-05   0.10301223E-06   0.65326600E-04   0.17181416E-06
       0.38846648     -16.98160740   0.38786297E-05   0.23720595E-06   0.36878673E-03   0.12683779E-05
       0.38846648     -16.16917335   0.16427849E-04   0.13563070E-05   0.12943264E-02   0.20643384E-04
       0.38846648     -15.36608176   0.75908891E-04   0.11449764E-04   0.74966309E-02   0.56859317E-03
       0.38846648     -14.57148304   0.32416458E-03   0.69553608E-04   0.33057331E-01   0.53137960E-02
       0.38846648     -13.78461585   0.15291314E-02   0.48826406E-03   0.13622486E+00   0.46231630E-01
       0.38846648     -13.00479319   0.65431414E-02   0.29819313E-02   0.40109459E+00   0.26686281E+00
       0.38846648     -12.23139099   0.18678972E-01   0.10791830E-01   0.60976501E+00   0.56477403E+00
