 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38821663     -34.98925461   0.53950070E-21   0.29077663E-21   0.85642640E-23   0.17522699E-23
       0.38821663     -33.20513123   0.44839612E-17   0.25287767E-17   0.84472282E-18   0.19870519E-18
       0.38821663     -31.73085145   0.32177641E-14   0.18921829E-14   0.33048598E-14   0.88514376E-15
       0.38821663     -30.41725171   0.54557252E-12   0.33427491E-12   0.18791798E-11   0.57258533E-12
       0.38821663     -29.20740098   0.31822592E-10   0.20322181E-10   0.24921283E-09   0.86655685E-10
       0.38821663     -28.07198193   0.75931825E-09   0.50579567E-09   0.93990690E-08   0.37501380E-08
       0.38821663     -26.99341743   0.79504832E-08   0.55272173E-08   0.10495018E-06   0.48352368E-07
       0.38821663     -25.96012959   0.36062157E-07   0.26129685E-07   0.30510447E-06   0.16248772E-06
       0.38821663     -24.96398414   0.62079927E-07   0.46402981E-07   0.14227440E-06   0.83993695E-07
       0.38821663     -23.99899005   0.27246664E-07   0.20294960E-07   0.18429686E-08   0.85622681E-09
       0.38821663     -23.06057242   0.13477328E-07   0.17445479E-07   0.17376250E-09   0.59485802E-09
       0.38821663     -22.14513615   0.14070563E-07   0.21800105E-07   0.18654813E-09   0.18954048E-08
       0.38821663     -21.24978940   0.24159872E-07   0.91400876E-08   0.15001132E-08   0.46873821E-10
       0.38821663     -20.37216036   0.31513701E-07   0.10640750E-07   0.37159173E-08   0.13126470E-09
       0.38821663     -19.51027138   0.51609558E-07   0.88978165E-08   0.28689582E-07   0.82541789E-10
       0.38821663     -18.66244988   0.34430051E-06   0.18201464E-07   0.22506518E-05   0.25481297E-09
       0.38821663     -17.82726360   0.15311900E-05   0.14200989E-06   0.88230401E-04   0.58295956E-06
       0.38821663     -17.00347251   0.55307749E-05   0.35745128E-06   0.47414618E-03   0.41814108E-05
       0.38821663     -16.18999239   0.26839132E-04   0.30908115E-05   0.22218216E-02   0.90435074E-04
       0.38821663     -15.38586676   0.12385292E-03   0.22738144E-04   0.13667364E-01   0.18225430E-02
       0.38821663     -14.59024493   0.56113284E-03   0.14367515E-03   0.59323273E-01   0.15150271E-01
       0.38821663     -13.80236459   0.27290409E-02   0.10325240E-02   0.23275026E+00   0.12073393E+00
       0.38821663     -13.02153785   0.10411961E-01   0.53045495E-02   0.51754314E+00   0.43754002E+00
       0.38821663     -12.24713984   0.24858803E-01   0.15345581E-01   0.64635856E+00   0.65049606E+00
       0.38821663     -11.47859944   0.37880216E-01   0.26368799E-01   0.61164807E+00   0.66498690E+00
       0.38821663     -10.71539155   0.43634416E-01   0.31515206E-01   0.52266022E+00   0.56574371E+00
       0.38821663      -9.95703060   0.45678091E-01   0.31597892E-01   0.49729085E+00   0.46196503E+00
       0.38821663      -9.20306513   0.46507086E-01   0.31399722E-01   0.51580022E+00   0.47150529E+00
       0.38821663      -8.45307313   0.46237188E-01   0.31790876E-01   0.50188997E+00   0.51913381E+00
       0.38821663      -7.70665803   0.47077276E-01   0.30106873E-01   0.52911440E+00   0.42354685E+00
       0.38821663      -6.96344532   0.49152483E-01   0.27688501E-01   0.61694116E+00   0.31130398E+00
       0.38821663      -6.22307943   0.48400966E-01   0.28023618E-01   0.60291767E+00   0.35378448E+00
       0.38821663      -5.48522117   0.45018804E-01   0.30379671E-01   0.48821530E+00   0.52118825E+00
       0.38821663      -4.74954530   0.43475785E-01   0.31185944E-01   0.44624788E+00   0.60458799E+00
       0.38821663      -4.01573840   0.44580466E-01   0.29833874E-01   0.49827114E+00   0.53522432E+00
       0.38821663      -3.28349702   0.45488251E-01   0.28703540E-01   0.52479703E+00   0.45128309E+00
