 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38372459     -35.81324762   0.70567368E-19   0.62419658E-19   0.13935076E-17   0.22634891E-17
       0.38372459     -33.98710834   0.34541826E-15   0.31277757E-15   0.39399684E-13   0.66752125E-13
       0.38372459     -32.47810943   0.15036331E-12   0.13940345E-12   0.46482190E-10   0.81606198E-10
       0.38372459     -31.13357457   0.15282293E-10   0.14536431E-10   0.76471121E-08   0.13937173E-07
       0.38372459     -29.89523199   0.51397041E-09   0.50346171E-09   0.26501723E-06   0.50622016E-06
       0.38372459     -28.73307395   0.65872956E-08   0.66862459E-08   0.21909093E-05   0.44809706E-05
       0.38372459     -27.62910938   0.32694134E-07   0.34759683E-07   0.39273590E-05   0.90022548E-05
       0.38372459     -26.57148772   0.54916076E-07   0.62421078E-07   0.92703084E-06   0.26589754E-05
       0.38372459     -25.55188316   0.18780623E-07   0.23059607E-07   0.32162188E-08   0.14199952E-07
       0.38372459     -24.56416357   0.61708997E-08   0.42316680E-08   0.74007981E-10   0.20655826E-10
       0.38372459     -23.60364631   0.76551988E-08   0.58636744E-08   0.25013570E-10   0.19392084E-10
       0.38372459     -22.66665162   0.27211335E-07   0.85754424E-08   0.40122082E-08   0.14916248E-09
       0.38372459     -21.75021956   0.32548226E-07   0.37696061E-08   0.70275586E-08   0.76397732E-11
       0.38372459     -20.85192245   0.15319400E-06   0.91571912E-08   0.32223894E-06   0.43170242E-10
       0.38372459     -19.96973608   0.92973936E-06   0.66441133E-07   0.61083479E-04   0.72067482E-07
       0.38372459     -19.10194847   0.34115709E-05   0.20155215E-06   0.63138880E-03   0.25485138E-05
       0.38372459     -18.24709365   0.15126521E-04   0.13250863E-05   0.14466423E-02   0.57970096E-04
       0.38372459     -17.40390237   0.74713258E-04   0.12534331E-04   0.84461748E-02   0.99996516E-03
       0.38372459     -16.57126489   0.34143229E-03   0.81927953E-04   0.39802211E-01   0.82581108E-02
       0.38372459     -15.74820219   0.17332894E-02   0.62283806E-03   0.16376187E+00   0.68726100E-01
       0.38372459     -14.93384356   0.76493575E-02   0.38541677E-02   0.44925672E+00   0.34725845E+00
       0.38372459     -14.12740873   0.21227547E-01   0.13267944E-01   0.62581216E+00   0.61816239E+00
       0.38372459     -13.32819360   0.35857987E-01   0.25640356E-01   0.61578402E+00   0.66917996E+00
       0.38372459     -12.53555860   0.43816571E-01   0.32880875E-01   0.53844393E+00   0.59245296E+00
       0.38372459     -11.74891917   0.47569289E-01   0.34503800E-01   0.52393460E+00   0.51039234E+00
       0.38372459     -10.96773782   0.48690209E-01   0.35407556E-01   0.52975198E+00   0.55629222E+00
       0.38372459     -10.19151756   0.46455962E-01   0.36744124E-01   0.45356990E+00   0.66682778E+00
       0.38372459      -9.41979628   0.44568233E-01   0.35575929E-01   0.39961897E+00   0.62788448E+00
       0.38372459      -8.65214205   0.45466785E-01   0.33249757E-01   0.45506644E+00   0.51901479E+00
       0.38372459      -7.88814896   0.45737927E-01   0.33271444E-01   0.47967537E+00   0.53549270E+00
       0.38372459      -7.12743367   0.45140611E-01   0.34322108E-01   0.45035547E+00   0.61140896E+00
       0.38372459      -6.36963225   0.46019196E-01   0.33514865E-01   0.47204959E+00   0.60634436E+00
       0.38372459      -5.61439752   0.46391746E-01   0.31948937E-01   0.49520069E+00   0.55962682E+00
       0.38372459      -4.86139655   0.44663442E-01   0.31874650E-01   0.45606994E+00   0.57107277E+00
       0.38372459      -4.11030859   0.43910045E-01   0.32624356E-01   0.43722323E+00   0.61141883E+00
       0.38372459      -3.36082300   0.45198452E-01   0.32506458E-01   0.47071238E+00   0.61326261E+00
       0.38372459      -2.61263750   0.45554681E-01   0.31659065E-01   0.47778049E+00   0.58954886E+00
       0.38372459      -1.86545645   0.44445502E-01   0.31159889E-01   0.45176036E+00   0.58056224E+00
       0.38372459      -1.11898930   0.44377410E-01   0.31398763E-01   0.45204245E+00   0.59297893E+00
       0.38372459      -0.37294907   0.45490302E-01   0.31828349E-01   0.47673018E+00   0.60480944E+00
       0.38372459       0.37294907   0.45490302E-01   0.31828350E-01   0.47673018E+00   0.60480946E+00
       0.38372459       1.11898930   0.44377411E-01   0.31398764E-01   0.45204246E+00   0.59297897E+00
       0.38372459       1.86545645   0.44445502E-01   0.31159888E-01   0.45176036E+00   0.58056225E+00
       0.38372459       2.61263750   0.45554680E-01   0.31659063E-01   0.47778048E+00   0.58954884E+00
       0.38372459       3.36082300   0.45198452E-01   0.32506456E-01   0.47071237E+00   0.61326261E+00
       0.38372459       4.11030859   0.43910047E-01   0.32624357E-01   0.43722326E+00   0.61141891E+00
       0.38372459       4.86139655   0.44663443E-01   0.31874650E-01   0.45606995E+00   0.57107284E+00
       0.38372459       5.61439752   0.46391743E-01   0.31948934E-01   0.49520066E+00   0.55962681E+00
       0.38372459       6.36963225   0.46019194E-01   0.33514862E-01   0.47204955E+00   0.60634436E+00
       0.38372459       7.12743367   0.45140613E-01   0.34322110E-01   0.45035551E+00   0.61140907E+00
       0.38372459       7.88814896   0.45737930E-01   0.33271447E-01   0.47967544E+00   0.53549286E+00
       0.38372459       8.65214205   0.45466785E-01   0.33249756E-01   0.45506645E+00   0.51901484E+00
       0.38372459       9.41979628   0.44568231E-01   0.35575927E-01   0.39961893E+00   0.62788447E+00
       0.38372459      10.19151756   0.46455962E-01   0.36744125E-01   0.45356989E+00   0.66682783E+00
       0.38372459      10.96773782   0.48690209E-01   0.35407559E-01   0.52975197E+00   0.55629230E+00
       0.38372459      11.74891917   0.47569289E-01   0.34503801E-01   0.52393458E+00   0.51039236E+00
       0.38372459      12.53555860   0.43816570E-01   0.32880874E-01   0.53844391E+00   0.59245292E+00
       0.38372459      13.32819360   0.35857986E-01   0.25640355E-01   0.61578402E+00   0.66917992E+00
       0.38372459      14.12740873   0.21227546E-01   0.13267943E-01   0.62581215E+00   0.61816234E+00
       0.38372459      14.93384356   0.76493571E-02   0.38541674E-02   0.44925669E+00   0.34725840E+00
       0.38372459      15.74820219   0.17332893E-02   0.62283801E-03   0.16376185E+00   0.68726085E-01
       0.38372459      16.57126489   0.34143231E-03   0.81927956E-04   0.39802210E-01   0.82581106E-02
       0.38372459      17.40390237   0.74713273E-04   0.12534333E-04   0.84461752E-02   0.99996520E-03
       0.38372459      18.24709365   0.15126526E-04   0.13250866E-05   0.14466428E-02   0.57970127E-04
       0.38372459      19.10194847   0.34115730E-05   0.20155227E-06   0.63138923E-03   0.25485171E-05
       0.38372459      19.96973608   0.92974014E-06   0.66441170E-07   0.61083535E-04   0.72067567E-07
       0.38372459      20.85192245   0.15319418E-06   0.91571935E-08   0.32224008E-06   0.43170278E-10
       0.38372459      21.75021956   0.32548275E-07   0.37696026E-08   0.70275891E-08   0.76397379E-11
       0.38372459      22.66665162   0.27211365E-07   0.85754460E-08   0.40122208E-08   0.14916260E-09
       0.38372459      23.60364631   0.76552064E-08   0.58636762E-08   0.25013635E-10   0.19392095E-10
       0.38372459      24.56416357   0.61709006E-08   0.42316688E-08   0.74007929E-10   0.20655795E-10
       0.38372459      25.55188316   0.18780644E-07   0.23059637E-07   0.32162303E-08   0.14200015E-07
       0.38372459      26.57148772   0.54916119E-07   0.62421136E-07   0.92703292E-06   0.26589844E-05
       0.38372459      27.62910938   0.32694155E-07   0.34759710E-07   0.39273658E-05   0.90022811E-05
       0.38372459      28.73307395   0.65872992E-08   0.66862504E-08   0.21909125E-05   0.44809825E-05
       0.38372459      29.89523199   0.51397066E-09   0.50346201E-09   0.26501758E-06   0.50622142E-06
       0.38372459      31.13357457   0.15282300E-10   0.14536439E-10   0.76471214E-08   0.13937206E-07
       0.38372459      32.47810943   0.15036337E-12   0.13940352E-12   0.46482242E-10   0.81606382E-10
       0.38372459      33.98710834   0.34541839E-15   0.31277772E-15   0.39399724E-13   0.66752268E-13
       0.38372459      35.81324762   0.70567391E-19   0.62419685E-19   0.13935089E-17   0.22634937E-17
       0.88094625     -35.81324762   0.60502357E-19   0.53476246E-19   0.10847150E-17   0.17539846E-17
       0.88094625     -33.98710834   0.29592230E-15   0.26764786E-15   0.30113932E-13   0.50590524E-13
       0.88094625     -32.47810943   0.12867921E-12   0.11909437E-12   0.34737996E-10   0.60182997E-10
       0.88094625     -31.13357457   0.13057809E-10   0.12388714E-10   0.55485073E-08   0.99156445E-08
       0.88094625     -29.89523199   0.43809114E-09   0.42746624E-09   0.18455060E-06   0.34254227E-06
       0.88094625     -28.73307395   0.55925718E-08   0.56416239E-08   0.14356432E-05   0.28128334E-05
       0.88094625     -27.62910938   0.27564294E-07   0.28995839E-07   0.23325610E-05   0.49912521E-05
       0.88094625     -26.57148772   0.45695961E-07   0.50817271E-07   0.46071850E-06   0.11608828E-05
       0.88094625     -25.55188316   0.15703626E-07   0.17740587E-07   0.12806465E-08   0.36119335E-08
       0.88094625     -24.56416357   0.81712691E-08   0.61891679E-08   0.22995025E-09   0.10302234E-09
       0.88094625     -23.60364631   0.12564776E-07   0.98452137E-08   0.20135270E-09   0.14910663E-09
       0.88094625     -22.66665162   0.31935785E-07   0.13290017E-07   0.13487597E-07   0.13739396E-08
       0.88094625     -21.75021956   0.35937325E-07   0.20339294E-08   0.91040703E-08   0.51628383E-12
       0.88094625     -20.85192245   0.15770815E-06   0.82301668E-08   0.33749799E-06   0.32514733E-10
       0.88094625     -19.96973608   0.91073938E-06   0.70477877E-07   0.40165661E-04   0.76998233E-07
       0.88094625     -19.10194847   0.32843082E-05   0.20083141E-06   0.40908128E-03   0.17051003E-05
       0.88094625     -18.24709365   0.14403726E-04   0.12232481E-05   0.12581454E-02   0.27719239E-04
       0.88094625     -17.40390237   0.71032839E-04   0.11615675E-04   0.80851728E-02   0.83168486E-03
       0.88094625     -16.57126489   0.32193340E-03   0.75531887E-04   0.39347603E-01   0.80952740E-02
       0.88094625     -15.74820219   0.16149024E-02   0.56648740E-03   0.16061954E+00   0.66211048E-01
       0.88094625     -14.93384356   0.71665817E-02   0.35440943E-02   0.44540203E+00   0.33968489E+00
       0.88094625     -14.12740873   0.20292942E-01   0.12515508E-01   0.62917429E+00   0.61922105E+00
       0.88094625     -13.32819360   0.35034706E-01   0.24871240E-01   0.62426732E+00   0.67931059E+00
       0.88094625     -12.53555860   0.43251676E-01   0.32547210E-01   0.54085262E+00   0.60564421E+00
       0.88094625     -11.74891917   0.47013317E-01   0.34193682E-01   0.51557170E+00   0.50408424E+00
       0.88094625     -10.96773782   0.48705926E-01   0.34284815E-01   0.53692067E+00   0.49638652E+00
       0.88094625     -10.19151756   0.47775491E-01   0.34812902E-01   0.50906129E+00   0.56857042E+00
       0.88094625      -9.41979628   0.46540810E-01   0.33908534E-01   0.47934377E+00   0.55204493E+00
       0.88094625      -8.65214205   0.46836565E-01   0.32294036E-01   0.51280767E+00   0.48047697E+00
       0.88094625      -7.88814896   0.46538947E-01   0.32482345E-01   0.51524870E+00   0.50178850E+00
       0.88094625      -7.12743367   0.45962378E-01   0.33240588E-01   0.48655357E+00   0.56050796E+00
       0.88094625      -6.36963225   0.46865633E-01   0.32294596E-01   0.51086234E+00   0.54432666E+00
       0.88094625      -5.61439752   0.47146291E-01   0.30830393E-01   0.53198185E+00   0.49678198E+00
       0.88094625      -4.86139655   0.45563416E-01   0.30790875E-01   0.49736326E+00   0.50512354E+00
       0.88094625      -4.11030859   0.45043653E-01   0.31464366E-01   0.48490617E+00   0.53951151E+00
       0.88094625      -3.36082300   0.46356526E-01   0.31310970E-01   0.51740794E+00   0.53813204E+00
       0.88094625      -2.61263750   0.46644501E-01   0.30502052E-01   0.52084844E+00   0.51380203E+00
       0.88094625      -1.86545645   0.45517614E-01   0.30037759E-01   0.49400116E+00   0.50381494E+00
       0.88094625      -1.11898930   0.45399395E-01   0.30275508E-01   0.49326908E+00   0.51478123E+00
