Q20,Q30,Q40
0.00,1.13,0.00
1.40,1.01,0.00
1.96,0.93,0.00
2.18,0.80,0.00
2.45,0.60,0.00
2.65,0.40,0.00
2.80,0.20,0.00
2.92,0.00,0.00
335.29,10.73,7.00
334.22,10.85,7.00
333.33,10.95,7.00
332.77,11.06,7.00
331.85,11.26,7.00
331.37,11.38,7.00
331.14,11.46,7.00
330.67,11.66,7.00
330.32,11.86,7.00
330.06,12.06,7.00
329.86,12.26,7.00
329.72,12.46,7.00
329.61,12.66,7.00
329.55,12.86,7.00
329.51,13.07,7.00
329.51,13.27,7.00
329.55,13.47,7.00
329.64,13.67,7.00
329.79,13.87,7.00
330.01,14.07,7.00
330.33,14.27,7.00
330.80,14.47,7.00
331.37,14.65,7.00
331.55,14.67,7.00
333.33,14.86,7.00
335.29,14.77,7.00
335.91,14.67,7.00
337.00,14.47,7.00
337.25,14.42,7.00
337.70,14.27,7.00
338.24,14.07,7.00
338.70,13.87,7.00
339.10,13.67,7.00
339.22,13.60,7.00
339.41,13.47,7.00
339.67,13.27,7.00
339.87,13.07,7.00
340.03,12.86,7.00
340.13,12.66,7.00
340.17,12.46,7.00
340.15,12.26,7.00
340.05,12.06,7.00
339.89,11.86,7.00
339.63,11.66,7.00
339.28,11.46,7.00
339.22,11.43,7.00
338.82,11.26,7.00
338.20,11.06,7.00
337.41,10.85,7.00
337.25,10.82,7.00
335.29,10.73,7.00
272.07,0.00,8.00
272.13,0.20,8.00
272.20,0.40,8.00
272.27,0.60,8.00
272.36,0.80,8.00
272.46,1.01,8.00
272.55,1.16,8.00
272.58,1.21,8.00
272.73,1.41,8.00
272.89,1.61,8.00
273.08,1.81,8.00
273.28,2.01,8.00
273.50,2.21,8.00
273.74,2.41,8.00
273.99,2.61,8.00
274.27,2.81,8.00
274.51,2.97,8.00
274.59,3.02,8.00
274.99,3.22,8.00
275.41,3.42,8.00
275.86,3.62,8.00
276.34,3.82,8.00
276.47,3.87,8.00
276.94,4.02,8.00
277.62,4.22,8.00
278.33,4.42,8.00
278.43,4.45,8.00
279.27,4.62,8.00
280.28,4.82,8.00
280.39,4.85,8.00
281.70,5.03,8.00
282.35,5.11,8.00
283.77,5.23,8.00
284.31,5.27,8.00
286.27,5.34,8.00
288.24,5.33,8.00
290.20,5.27,8.00
291.08,5.23,8.00
292.16,5.17,8.00
293.89,5.03,8.00
294.12,5.00,8.00
295.08,5.03,8.00
296.08,5.06,8.00
296.49,5.23,8.00
297.01,5.43,8.00
297.57,5.63,8.00
298.04,5.79,8.00
298.14,5.83,8.00
298.67,6.03,8.00
299.27,6.23,8.00
299.92,6.43,8.00
300.00,6.46,8.00
300.57,6.63,8.00
301.22,6.83,8.00
301.84,7.04,8.00
301.96,7.07,8.00
302.46,7.24,8.00
303.05,7.44,8.00
303.59,7.64,8.00
303.92,7.77,8.00
304.12,7.84,8.00
304.65,8.04,8.00
305.11,8.24,8.00
305.50,8.44,8.00
305.83,8.64,8.00
305.88,8.68,8.00
306.11,8.84,8.00
306.34,9.05,8.00
306.53,9.25,8.00
306.69,9.45,8.00
306.82,9.65,8.00
306.93,9.85,8.00
307.03,10.05,8.00
307.11,10.25,8.00
307.19,10.45,8.00
307.26,10.65,8.00
307.34,10.85,8.00
307.42,11.06,8.00
307.50,11.26,8.00
307.60,11.46,8.00
307.70,11.66,8.00
307.82,11.86,8.00
307.84,11.89,8.00
307.97,12.06,8.00
308.14,12.26,8.00
308.33,12.46,8.00
308.53,12.66,8.00
308.73,12.86,8.00
308.95,13.07,8.00
309.16,13.27,8.00
309.38,13.47,8.00
309.59,13.67,8.00
309.80,13.86,8.00
309.81,13.87,8.00
310.06,14.07,8.00
310.31,14.27,8.00
310.55,14.47,8.00
310.79,14.67,8.00
311.02,14.87,8.00
311.24,15.08,8.00
311.46,15.28,8.00
311.67,15.48,8.00
311.76,15.57,8.00
311.94,15.68,8.00
312.25,15.88,8.00
312.56,16.08,8.00
312.88,16.28,8.00
313.21,16.48,8.00
313.55,16.68,8.00
313.73,16.78,8.00
313.98,16.88,8.00
314.51,17.09,8.00
315.06,17.29,8.00
315.62,17.49,8.00
315.69,17.51,8.00
316.15,17.69,8.00
316.69,17.89,8.00
317.25,18.09,8.00
317.65,18.23,8.00
317.82,18.29,8.00
318.40,18.49,8.00
319.01,18.69,8.00
319.61,18.87,8.00
319.70,18.89,8.00
320.53,19.10,8.00
321.42,19.30,8.00
321.57,19.33,8.00
322.43,19.50,8.00
323.44,19.70,8.00
323.53,19.72,8.00
324.44,19.90,8.00
325.42,20.10,8.00
325.49,20.11,8.00
326.49,20.30,8.00
327.45,20.47,8.00
327.62,20.50,8.00
328.82,20.70,8.00
329.41,20.80,8.00
330.14,20.90,8.00
331.37,21.08,8.00
331.64,21.11,8.00
333.33,21.26,8.00
335.16,21.31,8.00
335.29,21.31,8.00
335.38,21.31,8.00
337.25,21.23,8.00
338.45,21.11,8.00
339.22,21.02,8.00
339.86,20.90,8.00
340.94,20.70,8.00
341.18,20.66,8.00
341.77,20.50,8.00
342.54,20.30,8.00
343.14,20.14,8.00
343.26,20.10,8.00
343.85,19.90,8.00
344.44,19.70,8.00
345.02,19.50,8.00
345.10,19.47,8.00
345.53,19.30,8.00
346.04,19.10,8.00
346.55,18.89,8.00
347.06,18.70,8.00
347.06,18.69,8.00
347.55,18.49,8.00
348.04,18.29,8.00
348.54,18.09,8.00
349.02,17.90,8.00
349.05,17.89,8.00
349.53,17.69,8.00
350.01,17.49,8.00
350.49,17.29,8.00
350.98,17.09,8.00
350.98,17.08,8.00
351.42,16.88,8.00
351.86,16.68,8.00
352.30,16.48,8.00
352.72,16.28,8.00
352.94,16.17,8.00
353.13,16.08,8.00
353.51,15.88,8.00
353.88,15.68,8.00
354.22,15.48,8.00
354.53,15.28,8.00
354.82,15.08,8.00
354.90,15.02,8.00
355.08,14.87,8.00
355.30,14.67,8.00
355.49,14.47,8.00
