Q20,Q30,Q40
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.472887292342003107e-01,7.112282232729823964e-08,1.075687178430465955e-05
1.491508706357886016e+00,1.080425448256977989e-06,8.467085935809336502e-08
2.227567592077252190e+00,8.501637962120492387e-02,1.890257108908667701e-06
2.939096788881720546e+00,2.887403298474588431e-01,6.846131784762293868e-04
3.639989231829363625e+00,5.219473899080880885e-01,2.489800204032194264e-02
4.330262027540903169e+00,7.898202340592541670e-01,2.370633145252577843e-04
5.012693443331343701e+00,1.080587386464104682e+00,3.805594518665672619e-04
5.700003615427395864e+00,1.369419717820455462e+00,6.096671429260380401e-03
6.378107042481281574e+00,1.682155498182525966e+00,7.100511205706656892e-02
7.068863620452290775e+00,1.994886719400679853e+00,8.969130452389567631e-02
7.762663073825480708e+00,2.319339316397475592e+00,3.006040773841335903e-02
8.461971566704271197e+00,2.641683746646549924e+00,7.781399641327070918e-03
9.156075255550433667e+00,2.973358650577320628e+00,3.057084257562315069e-03
9.875165818444262555e+00,3.254785581881220580e+00,2.921965221244009897e-02
1.060187068937228894e+01,3.517517203138405879e+00,1.274852379216385723e-01
1.134452386817902614e+01,3.799539811170731696e+00,4.585674296055308047e-02
1.212829730292079766e+01,3.977789278895823788e+00,3.856480298366424253e-02
1.292737193209620195e+01,4.116315443567789778e+00,6.079312218622238972e-02
1.371944569240562473e+01,4.278021532828952367e+00,1.469924120563534109e-01
1.449666082284347901e+01,4.465927221043993534e+00,2.643607370283806435e-01
1.525682013140320237e+01,4.675283496934481420e+00,4.139963077840139172e-01
1.599764643316532720e+01,4.913705995171643970e+00,5.977310671839272116e-01
1.672376483458831231e+01,5.176463600223313755e+00,7.996102615900211319e-01
1.744470028979967324e+01,5.446066382116587334e+00,1.005305312051050892e+00
1.816264172088670037e+01,5.719771369665538785e+00,1.212092186050502063e+00
1.888076949999535614e+01,5.994783268753557159e+00,1.417027525472710492e+00
1.960197352955159289e+01,6.268976787819847907e+00,1.617529362094596967e+00
2.032848492689391051e+01,6.540607446973213612e+00,1.811190603431893642e+00
2.106294595699408134e+01,6.805354384291016245e+00,1.995341864883892979e+00
2.180721577346255557e+01,7.057625605726343565e+00,2.169632874699657155e+00
2.256327131165309297e+01,7.288443030099519326e+00,2.334477176882786331e+00
2.333309719590981501e+01,7.481748375046416655e+00,2.492292661232629936e+00
2.411699402280247995e+01,7.606727801199454575e+00,2.650138277780916596e+00
2.490669568000806677e+01,7.614738415204592492e+00,2.814466998941668852e+00
2.568664841480009287e+01,7.536896451435188382e+00,2.986148289633093089e+00
2.645963692672210854e+01,7.436358275267044959e+00,3.156269958760809846e+00
2.722684638903430709e+01,7.325131364650856014e+00,3.324174320845572073e+00
2.798785374831639317e+01,7.204020175784811464e+00,3.491482696947971753e+00
2.874224035500380481e+01,7.073268650800366153e+00,3.659744290339529194e+00
2.949651775516813146e+01,6.953816635052423756e+00,3.815970781063348749e+00
3.025125017046052989e+01,6.850363602143511699e+00,3.960497226607297971e+00
3.100671683336924289e+01,6.767343836794281309e+00,4.093770168683863453e+00
3.176290624197151402e+01,6.709334206391979194e+00,4.216334609996551741e+00
3.251946577735768784e+01,6.681211967216134084e+00,4.328578946805328620e+00
3.327477686576122551e+01,6.682257620397462183e+00,4.436611553089210958e+00
3.402795066168806670e+01,6.710067863787958053e+00,4.543038408173663001e+00
3.477841517759613765e+01,6.761895385020883609e+00,4.650074810508077583e+00
3.552590883900425922e+01,6.834836191746474832e+00,4.759374306057459592e+00
3.627041627924057821e+01,6.926213531316798289e+00,4.871984754593947642e+00
3.701178385098042156e+01,7.034367151696850229e+00,4.989969893396796863e+00
3.775103233399756419e+01,7.154004261754276506e+00,5.111636061986420287e+00
3.848898867109036814e+01,7.281841902737046901e+00,5.235555854706201551e+00
3.922630821362141518e+01,7.415659256372729047e+00,5.360553407480493249e+00
3.996350428713992642e+01,7.553825722018260969e+00,5.485714462004841252e+00
4.070097214198533209e+01,7.695040195446476439e+00,5.610421920013040520e+00
4.144044847753041694e+01,7.833519906216325879e+00,5.730243391713649714e+00
4.218177395973364696e+01,7.969289245077749939e+00,5.845296673989287761e+00
4.292487920813622537e+01,8.102035757423832862e+00,5.955492609276930693e+00
4.366754617331899624e+01,8.244104925806279738e+00,6.060614081547397447e+00
4.441023679334696084e+01,8.392637596472471984e+00,6.160622921702292309e+00
4.515309710499124662e+01,8.546712317420423588e+00,6.255423842621575581e+00
4.589636524171933019e+01,8.705642100841757269e+00,6.343752652795514813e+00
4.664034507801507345e+01,8.868440856002766992e+00,6.423893883859809861e+00
4.738538450829481263e+01,9.033728157974692863e+00,6.493683886555676743e+00
4.813183092479171421e+01,9.199654942863247697e+00,6.550528054966369140e+00
4.888028456267895905e+01,9.362164444936890817e+00,6.591876923088324958e+00
4.963029866544797386e+01,9.520633957991833540e+00,6.619909740479132942e+00
5.038150625745232958e+01,9.674842782489875503e+00,6.636266995571761917e+00
5.113361068633025752e+01,9.824759369505496664e+00,6.642006773557801225e+00
5.188636113442250064e+01,9.970422082864827118e+00,6.637717041037210386e+00
5.263952917022410105e+01,1.011187240135715726e+01,6.623598876730442342e+00
5.339369247781273486e+01,1.024477164664777185e+01,6.601270645545215920e+00
5.414930691798371498e+01,1.036502625750737927e+01,6.572941802080347173e+00
5.490665797368063039e+01,1.046892919995731930e+01,6.541306870687870756e+00
5.566584099503811700e+01,1.055327679100690830e+01,6.509652946258939643e+00
5.642671573031743293e+01,1.061541057327284854e+01,6.481909843225283296e+00
5.718873278688928963e+01,1.065478431838722884e+01,6.461010420824640832e+00
5.795126718244760156e+01,1.067174259915930357e+01,6.449043620802781263e+00
5.871374205189908224e+01,1.066736424903464631e+01,6.447778214474503500e+00
5.947571046754427471e+01,1.064340756482745221e+01,6.458478506129248231e+00
6.023691977282943810e+01,1.060211835493384491e+01,6.481852751266625745e+00
6.099741599567032324e+01,1.054671940303687627e+01,6.517585116340729456e+00
6.175764227698010700e+01,1.048147157409965757e+01,6.564030704333088551e+00
6.251813779694881390e+01,1.040943995194838045e+01,6.619812254399793261e+00
6.327947249406744135e+01,1.033283441375433931e+01,6.683927872219509680e+00
6.404223403644169821e+01,1.025331111721327204e+01,6.755771017961501812e+00
6.480728162074073850e+01,1.017354130324002703e+01,6.834107765216234753e+00
6.557570269153559650e+01,1.009881060101579209e+01,6.918636281813808964e+00
6.634833618310247516e+01,1.003395189727006276e+01,7.009563661700633830e+00
6.712576498348100529e+01,9.984054381265098144e+00,7.107489858538231786e+00
6.790822373545263702e+01,9.955156176018551406e+00,7.213338921106798196e+00
6.869534522751190764e+01,9.955169558667487095e+00,7.328316258681824458e+00
6.948643081938669752e+01,9.984753577174899419e+00,7.451214458742746238e+00
7.028128823110701262e+01,1.004400508035459438e+01,7.579165290087462203e+00
7.108010706071499385e+01,1.013367282644775891e+01,7.708564785009779818e+00
7.188331596600971807e+01,1.025603801451528518e+01,7.834309466823180301e+00
7.269117459533704562e+01,1.041613404852127900e+01,7.948210794978653126e+00
7.350682294621996959e+01,1.060626604915035642e+01,8.036274434146259082e+00
7.432808903976453507e+01,1.081928494722609457e+01,8.142268890046072016e+00
7.515861946820737671e+01,1.104998460910717917e+01,8.265964736851342920e+00
7.600345591013920910e+01,1.129189190432961531e+01,8.407186597012833218e+00
7.687158110096729047e+01,1.152985688102675788e+01,8.562682842585633836e+00
7.778107371233143397e+01,1.172576775971414520e+01,8.709036868206418092e+00
7.873369604271172761e+01,1.187951450190940150e+01,8.856314167645594537e+00
7.973311540544453635e+01,1.197723563705537586e+01,9.012797961837980765e+00
8.078062241616368055e+01,1.199999999764057890e+01,9.187289825027495027e+00
8.187716013465102094e+01,1.205696336277601333e+01,9.371573708564357119e+00
8.302987321802270060e+01,1.213487551846814760e+01,9.550754144454328909e+00
8.424527097158582478e+01,1.214943597667380004e+01,9.729025788557557064e+00
8.551997218746748786e+01,1.206857847863439837e+01,9.932076962096507700e+00
8.685987864697710847e+01,1.194483393261844917e+01,1.015048183617581756e+01
8.826854160582634279e+01,1.178362097777077899e+01,1.036056235118448221e+01
8.973383798812615453e+01,1.149658367577709761e+01,1.049752868837730801e+01
9.124064539621006986e+01,1.109560328646779404e+01,1.057242520487258552e+01
9.277241257130731356e+01,1.058531995998090025e+01,1.057893198269239221e+01
9.432224988778658314e+01,1.000147582366775367e+01,1.052185343760911529e+01
9.588904855605809985e+01,9.384820833882132618e+00,1.042671134936850308e+01
9.749148125650562235e+01,8.823072735491251706e+00,1.032488897581377074e+01
9.915307715309026548e+01,8.465691970066538730e+00,1.024886072700258310e+01
1.008434419321024933e+02,8.447923155698834563e+00,1.021223209363520112e+01
1.022118667025966801e+02,9.411600423106447622e+00,1.029307235052162817e+01
