Q20,Q30,Q40
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.052857661096866959e+00,1.625997095071864612e-16,1.360845934497999666e-03
4.071723855776582468e+00,8.204288878584075679e-17,2.876075259522505423e+00
5.225886293937989535e+00,2.102200894975232266e-17,5.700304016554874842e+00
7.253466132126534127e+00,3.098495955619899026e-17,8.000000003253237679e+00
9.865749567347208426e+00,3.469534703257546640e-17,9.663666040336535090e+00
1.216877675452004404e+01,1.176039394246357175e-18,1.179263454796458532e+01
1.446655502079357447e+01,5.366096626745744064e-17,1.399560993409651743e+01
1.680471306288703204e+01,1.090410449793791780e-16,1.623339917415782452e+01
1.874803767486660178e+01,1.356106076639489992e-16,1.889754344577970357e+01
2.001267943346838152e+01,5.158264105968030566e-10,2.201609606034905653e+01
2.237174728770571264e+01,1.403118594474115355e+00,2.350764390102077073e+01
2.505735089564851492e+01,2.943491925370660400e+00,2.409385558695642615e+01
2.803466478754769753e+01,4.000000001015683537e+00,2.423425267815909478e+01
3.119806422974734161e+01,3.994558028969044994e+00,2.400000000398653199e+01
3.427819572490029287e+01,3.425416427515440176e+00,2.337767941703193131e+01
3.746712061484324607e+01,3.128959248497138024e+00,2.293818894679982634e+01
4.071429892591869049e+01,3.051477775334941356e+00,2.349676153913526022e+01
4.393419918515200351e+01,2.406983562336060700e+00,2.423688719507074651e+01
4.619771139417290584e+01,1.560709304890547240e-09,2.507511256932078680e+01
4.835096668750050952e+01,1.722028271109932840e+00,2.630562331803876575e+01
5.015034781129014618e+01,3.359990387729363093e+00,2.818724770957615533e+01
5.200000901729887914e+01,3.324316892082607389e+00,3.059017544434233926e+01
5.361217544715362493e+01,3.460212461452589316e+00,3.309850817044373628e+01
5.546884421590672076e+01,3.568952254821858627e+00,3.539808314553054913e+01
5.764971868525971388e+01,3.999999995788134477e+00,3.731590906587017997e+01
5.979911603908175266e+01,2.155395003536054066e+00,3.808634267744456992e+01
6.204359635394946793e+01,4.697665464835670823e-01,3.892819759130146906e+01
6.478418760708116508e+01,1.825659890512208027e-09,3.980857945455754532e+01
6.759716448526039301e+01,8.976841048769528845e-17,4.055622686659487641e+01
7.000570690581461974e+01,6.091155377811501897e-17,4.217071586948955542e+01
7.215302348676122790e+01,1.222038140053672147e-16,4.409860729330804219e+01
7.433225137276666317e+01,9.393595913383847086e-17,4.597354969502578825e+01
7.662547233896280829e+01,5.604675963301355996e-17,4.769336591673856418e+01
7.938849869260118908e+01,1.399928772936811968e-17,4.843378741372487184e+01
8.184618611606902050e+01,9.123665247949345301e-16,4.988870154693616854e+01
8.418049936879056361e+01,4.713156277421458270e-09,5.152905612878200969e+01
8.675750612006838480e+01,5.136514199162766081e-01,5.263608522745361995e+01
8.909190250631712615e+01,1.697616577665263415e+00,5.376733729664990591e+01
9.142197890991182874e+01,3.091118590723091142e+00,5.464229871992594667e+01
9.379073916344853501e+01,4.026530277051437956e+00,5.593204831871990024e+01
9.624800764680689724e+01,5.013238201645253689e+00,5.700505891302285022e+01
9.843408236623533014e+01,5.891248961382582472e+00,5.862947314226325801e+01
1.005198843622054170e+02,6.481970027781790655e+00,6.049878820091257836e+01
1.027039176686913891e+02,6.933269885189811355e+00,6.229036971518233656e+01
1.049633196527208128e+02,7.066050914575209063e+00,6.403963928247968340e+01
1.068218554086851668e+02,7.279131412768449216e+00,6.620239196127964476e+01
1.082737814917083767e+02,7.504155909135466374e+00,6.865401103065656230e+01
1.103755454081764640e+02,7.856439643809735252e+00,7.055814606194108762e+01
1.128148493262916219e+02,7.480012181176630470e+00,7.200000000234065567e+01
1.152866877542977164e+02,6.343858716739131154e+00,7.287762173605645444e+01
1.178494662545874263e+02,5.531304970030765489e+00,7.384849844596502066e+01
1.204811797140735337e+02,4.946621601592599227e+00,7.480209314952082877e+01
1.225089314676333743e+02,4.000000003691417838e+00,7.659576751495137614e+01
1.239786447420517845e+02,3.999999997824229769e+00,7.907433927862582834e+01
1.267231619087353351e+02,3.999999999791886474e+00,7.999999999653029192e+01
1.296226650696466152e+02,4.000000001476869294e+00,8.007963036402648527e+01
1.310320083656953614e+02,3.999280921424740232e+00,8.261332061290129047e+01
1.327495340689935688e+02,3.999999998881975216e+00,8.493106266885239108e+01
1.348495540470461833e+02,4.024349169946473737e+00,8.689130992141799936e+01
1.373153168502779522e+02,4.291057080026499548e+00,8.832107928158703203e+01
1.398250734740433074e+02,4.660540325391528071e+00,8.962978631382999595e+01
1.424927879736083014e+02,4.844260008275830032e+00,9.060769784897874501e+01
1.452581496717493224e+02,4.864754123309335654e+00,9.125896945458799792e+01
1.480528419123671142e+02,4.753648698992098964e+00,9.172827906306540058e+01
1.508247679186615926e+02,4.486139343151730685e+00,9.224124558276476193e+01
1.535316219659246428e+02,4.176336102723144705e+00,9.299758857933170475e+01
1.560368394049533549e+02,3.999999999247215055e+00,9.428790005486312964e+01
1.582967888798877709e+02,3.955829399831180648e+00,9.597269501424278815e+01
1.603161559424019913e+02,3.999999030090350516e+00,9.793337887033871425e+01
1.622956731845332570e+02,3.999999997929911011e+00,9.992931483836233042e+01
1.642651774178582968e+02,3.999999997176190369e+00,1.019301577081599675e+02
1.663545410011048773e+02,3.999979604272140943e+00,1.038007590758666652e+02
1.685552609175507826e+02,3.999999995964394817e+00,1.055348980103667458e+02
1.707449048403555878e+02,3.999999997232777105e+00,1.072797670252770956e+02
1.728910436324976558e+02,3.999999998183715100e+00,1.090753076333005396e+02
1.751872807934805394e+02,4.002067257580184112e+00,1.106722735092372432e+02
