Q20,Q30,Q40
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.150710523753632586e+00,0.000000000000000000e+00,5.295437015300879087e-06
4.299203092033354601e+00,0.000000000000000000e+00,5.418786349156411446e-06
6.445048118444408836e+00,0.000000000000000000e+00,9.219974981535267658e-06
8.577748031664382822e+00,0.000000000000000000e+00,1.469891803210389980e-01
1.071214401408493799e+01,0.000000000000000000e+00,2.386648043455947277e-01
1.286769691934071602e+01,0.000000000000000000e+00,8.878908026247567253e-02
1.503504479472156419e+01,0.000000000000000000e+00,6.021296314049314966e-03
1.720197353555535358e+01,0.000000000000000000e+00,7.933365298037416580e-05
1.936642112957688155e+01,0.000000000000000000e+00,1.314914431272724707e-03
2.153317736720999420e+01,0.000000000000000000e+00,1.941737768555974958e-04
2.370460791411190371e+01,0.000000000000000000e+00,2.987533541964101924e-02
2.582195585668683790e+01,0.000000000000000000e+00,4.651224211973014611e-01
2.794736054266657277e+01,0.000000000000000000e+00,8.216369693060076029e-01
3.008437940872393312e+01,0.000000000000000000e+00,1.073815586859359517e+00
3.223147792117477906e+01,0.000000000000000000e+00,1.202949798921505220e+00
3.438302584951595975e+01,0.000000000000000000e+00,1.205869139597974149e+00
3.653502185525289292e+01,0.000000000000000000e+00,1.160909617031596897e+00
3.868734201870899625e+01,0.000000000000000000e+00,1.188055444907315961e+00
4.083809579540022838e+01,0.000000000000000000e+00,1.262135311658486359e+00
4.298766929560247974e+01,0.000000000000000000e+00,1.362627874507978509e+00
4.513534185504701668e+01,0.000000000000000000e+00,1.498634728198729560e+00
4.728062529151150528e+01,0.000000000000000000e+00,1.667231004816996265e+00
4.942294182147507087e+01,0.000000000000000000e+00,1.869261380894427615e+00
5.156366199245103843e+01,0.000000000000000000e+00,2.088571237682915527e+00
5.370614336211892947e+01,0.000000000000000000e+00,2.296044789466248570e+00
5.585277582044324873e+01,0.000000000000000000e+00,2.468855036306819795e+00
5.800670368431848800e+01,0.000000000000000000e+00,2.533265802320125548e+00
6.016161192257775525e+01,0.000000000000000000e+00,2.505041304875963437e+00
6.231223826944499677e+01,0.000000000000000000e+00,2.373825862778687235e+00
6.446574872751730823e+01,0.000000000000000000e+00,2.332770054688280137e+00
6.661364488260217342e+01,0.000000000000000000e+00,2.491340413495021444e+00
6.875293152049187029e+01,0.000000000000000000e+00,2.736751242830264275e+00
7.088856444747929686e+01,0.000000000000000000e+00,3.010954186996204207e+00
7.303099233602465290e+01,0.000000000000000000e+00,3.230550124351279084e+00
7.517953134125073689e+01,0.000000000000000000e+00,3.380924125089289412e+00
7.732711634517389143e+01,0.000000000000000000e+00,3.531173169851274274e+00
7.947376108631857505e+01,0.000000000000000000e+00,3.694735094545145149e+00
8.162378298183288905e+01,0.000000000000000000e+00,3.835432279488416363e+00
8.377719107231185092e+01,0.000000000000000000e+00,3.937847765950369894e+00
8.593151362056329390e+01,0.000000000000000000e+00,3.998781498838324566e+00
8.808529185475775591e+01,0.000000000000000000e+00,4.019073646353032103e+00
9.023731192968858750e+01,0.000000000000000000e+00,4.007000011306289800e+00
9.238710490611575210e+01,0.000000000000000000e+00,3.977196485679632687e+00
9.453571570044503858e+01,0.000000000000000000e+00,3.964972933519578469e+00
9.668365516337738086e+01,0.000000000000000000e+00,3.992377055229707317e+00
9.883045790808195363e+01,0.000000000000000000e+00,4.081039218971952209e+00
1.009761794567705948e+02,0.000000000000000000e+00,4.209062484695968998e+00
1.031217424937338478e+02,0.000000000000000000e+00,4.354073927612834183e+00
1.052680279828250320e+02,0.000000000000000000e+00,4.499053413114581623e+00
1.074156193957237093e+02,0.000000000000000000e+00,4.625077498015305544e+00
1.095637426121898557e+02,0.000000000000000000e+00,4.735899335407866673e+00
1.117118096867733925e+02,0.000000000000000000e+00,4.839305231955319364e+00
1.138595758037211141e+02,0.000000000000000000e+00,4.945314193786445323e+00
1.160072529745558256e+02,0.000000000000000000e+00,5.056214218273526129e+00
1.181552121853102761e+02,0.000000000000000000e+00,5.168702818375813024e+00
1.203039434541418302e+02,0.000000000000000000e+00,5.274927680251673578e+00
1.224540784477486000e+02,0.000000000000000000e+00,5.362353058237476766e+00
1.246048190459031133e+02,0.000000000000000000e+00,5.435251670184251260e+00
1.267557817835977687e+02,0.000000000000000000e+00,5.494560231918965698e+00
1.289063541846744272e+02,0.000000000000000000e+00,5.548667864319716259e+00
1.310565320396125912e+02,0.000000000000000000e+00,5.600350027405280429e+00
1.332062957290940801e+02,0.000000000000000000e+00,5.647261524580962089e+00
1.353554334331921325e+02,0.000000000000000000e+00,5.691792069871503656e+00
1.375037944041281719e+02,0.000000000000000000e+00,5.743685661895978178e+00
1.396513653057428712e+02,0.000000000000000000e+00,5.812324529098805925e+00
1.417981238876234613e+02,0.000000000000000000e+00,5.915893624686768604e+00
1.439448743419122252e+02,0.000000000000000000e+00,6.035179296251903303e+00
1.460922079823045578e+02,0.000000000000000000e+00,6.150789372193584903e+00
1.482398257440501368e+02,0.000000000000000000e+00,6.258191057186605732e+00
1.503871749718193485e+02,0.000000000000000000e+00,6.361354216438053655e+00
1.525338283623071334e+02,0.000000000000000000e+00,6.469879394098970948e+00
1.546796803223362531e+02,0.000000000000000000e+00,6.591304322323249032e+00
1.568249426066957710e+02,0.000000000000000000e+00,6.724810980996577925e+00
1.589699230315702039e+02,0.000000000000000000e+00,6.862664548735302184e+00
1.611144987659284027e+02,0.000000000000000000e+00,7.007844241175195776e+00
1.632588707816108240e+02,0.000000000000000000e+00,7.159821684121078889e+00
1.654034189264738473e+02,0.000000000000000000e+00,7.316688185308996673e+00
1.675484723215656970e+02,0.000000000000000000e+00,7.481011093006136647e+00
1.696956558063780278e+02,0.000000000000000000e+00,7.637421922521768103e+00
1.718454630858875589e+02,0.000000000000000000e+00,7.779998473192362596e+00
1.739987358833707276e+02,0.000000000000000000e+00,7.892221626889238451e+00
1.761541889547309552e+02,0.000000000000000000e+00,7.969941553916800814e+00
1.783103481152995471e+02,0.000000000000000000e+00,8.000000032687681895e+00
1.804646805134259182e+02,0.000000000000000000e+00,8.000000003041288110e+00
1.826169096015980529e+02,0.000000000000000000e+00,8.000000004407967324e+00
1.847677857708931128e+02,0.000000000000000000e+00,8.001063826203344220e+00
1.869180004510216122e+02,0.000000000000000000e+00,8.010941332294907014e+00
1.890679879240898060e+02,0.000000000000000000e+00,8.032959031796599092e+00
1.912181057892441345e+02,0.000000000000000000e+00,8.056044056453032454e+00
1.933680327124306473e+02,0.000000000000000000e+00,8.094355217544336512e+00
1.955177716407056892e+02,0.000000000000000000e+00,8.144715495469172950e+00
1.976676191302809968e+02,0.000000000000000000e+00,8.191578128319097374e+00
1.998168584504110754e+02,0.000000000000000000e+00,8.247004809163849259e+00
2.019655707985994582e+02,0.000000000000000000e+00,8.307809087881780741e+00
2.041134526915753042e+02,0.000000000000000000e+00,8.379018177730779726e+00
2.062600780591175180e+02,0.000000000000000000e+00,8.469867622016801434e+00
2.084057835340181555e+02,0.000000000000000000e+00,8.577528700333624911e+00
2.105512073640066433e+02,0.000000000000000000e+00,8.694885649054175047e+00
2.126970447924664143e+02,0.000000000000000000e+00,8.816497184975730761e+00
2.148441718362480515e+02,0.000000000000000000e+00,8.943916499330372361e+00
2.169932854278462457e+02,0.000000000000000000e+00,9.126408055364443328e+00
2.191315560951254895e+02,0.000000000000000000e+00,9.565164093312381155e+00
2.210963103777258709e+02,0.000000000000000000e+00,1.070285777913094094e+01
2.232551203520716285e+02,0.000000000000000000e+00,1.158363143357392566e+01
2.256024425300929295e+02,0.000000000000000000e+00,1.165559159875072126e+01
2.278818687819582465e+02,0.000000000000000000e+00,1.116069899484291383e+01
2.299758963850706266e+02,0.000000000000000000e+00,1.043204196150136731e+01
2.320824722541126164e+02,0.000000000000000000e+00,9.953925742071900729e+00
2.342163137657234984e+02,0.000000000000000000e+00,9.788340695749148779e+00
