Q20,Q30,Q40
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.172338698616899100e+00,0.000000000000000000e+00,6.223082018904298904e-07
2.343658190151971077e+00,0.000000000000000000e+00,2.622517017233523626e-03
3.515164559609163852e+00,0.000000000000000000e+00,9.093981559352133201e-07
4.687551004712052993e+00,0.000000000000000000e+00,2.899884778441527960e-03
5.859904043330783630e+00,0.000000000000000000e+00,1.854264539406551282e-02
7.005842004123286948e+00,0.000000000000000000e+00,2.051426191049991188e-01
8.155936538982400563e+00,0.000000000000000000e+00,2.897874261658949235e-01
9.312899215365952443e+00,0.000000000000000000e+00,8.486571660526716701e-03
1.052256908260548407e+01,0.000000000000000000e+00,1.916138901627997548e-01
1.174630580572430638e+01,0.000000000000000000e+00,1.200090636518108198e-02
1.296285314513188958e+01,0.000000000000000000e+00,9.266390613884742389e-02
1.416896894147021513e+01,0.000000000000000000e+00,1.895482032693471541e-01
1.536626540194625434e+01,0.000000000000000000e+00,2.788428485569378612e-01
1.655698284887727922e+01,0.000000000000000000e+00,3.632754786078313813e-01
1.774441116569166610e+01,0.000000000000000000e+00,4.490612883840671699e-01
1.892968354485149263e+01,0.000000000000000000e+00,5.548462539273756322e-01
2.011332017114639115e+01,0.000000000000000000e+00,6.835627573499490905e-01
2.129090131669550701e+01,0.000000000000000000e+00,8.591728734510130083e-01
2.246379784381754163e+01,0.000000000000000000e+00,1.060064882827841393e+00
2.363147005708978199e+01,0.000000000000000000e+00,1.282294548854306271e+00
2.479289738164570167e+01,0.000000000000000000e+00,1.525079252678354980e+00
2.595134200565387417e+01,0.000000000000000000e+00,1.770666253477513497e+00
2.710707029504215626e+01,0.000000000000000000e+00,2.016974082780603528e+00
2.826066534231274829e+01,0.000000000000000000e+00,2.260979720011575544e+00
2.941760575455577609e+01,0.000000000000000000e+00,2.478553400364396975e+00
3.057846097213856851e+01,0.000000000000000000e+00,2.667129766166769667e+00
3.174382549104397455e+01,0.000000000000000000e+00,2.823164535230818117e+00
3.291434561837293415e+01,0.000000000000000000e+00,2.940951415152007531e+00
3.408875559459800542e+01,0.000000000000000000e+00,3.030012395107063661e+00
3.526598255564708495e+01,0.000000000000000000e+00,3.102646016058347112e+00
3.644423165324876379e+01,0.000000000000000000e+00,3.181777029533062962e+00
3.762211688059437620e+01,0.000000000000000000e+00,3.278589500306740234e+00
3.879892095453994472e+01,0.000000000000000000e+00,3.394535075026941406e+00
3.997405447288561930e+01,0.000000000000000000e+00,3.530469931988357235e+00
4.114674397777676518e+01,0.000000000000000000e+00,3.686645271398338419e+00
4.231764645812183545e+01,0.000000000000000000e+00,3.853904197522575181e+00
4.348708631261804669e+01,0.000000000000000000e+00,4.028795313502530284e+00
4.465537015602492232e+01,0.000000000000000000e+00,4.209114370705647978e+00
4.582290399218128130e+01,0.000000000000000000e+00,4.392594895999222260e+00
4.698949544784333199e+01,0.000000000000000000e+00,4.581060396033689308e+00
4.815491492675224805e+01,0.000000000000000000e+00,4.776262094419271520e+00
4.931772967624145565e+01,0.000000000000000000e+00,4.986442132035016073e+00
5.047917981655671582e+01,0.000000000000000000e+00,5.204201149447643004e+00
5.164042493051368865e+01,0.000000000000000000e+00,5.423594534477421902e+00
5.280258481699485174e+01,0.000000000000000000e+00,5.639074558743154775e+00
5.396513702822267788e+01,0.000000000000000000e+00,5.853748345588173585e+00
5.513162310562786672e+01,0.000000000000000000e+00,6.047630282632345811e+00
5.630514457352448687e+01,0.000000000000000000e+00,6.194983175360135874e+00
5.748600599215426143e+01,0.000000000000000000e+00,6.264631476030761092e+00
5.866903756840157769e+01,0.000000000000000000e+00,6.281985073234975125e+00
5.985240046201730024e+01,0.000000000000000000e+00,6.257852465902377759e+00
6.103529329519641067e+01,0.000000000000000000e+00,6.198647159772538551e+00
6.221996640554699098e+01,0.000000000000000000e+00,6.153297404528164094e+00
6.340665258209595834e+01,0.000000000000000000e+00,6.149967910204488852e+00
6.459276175298519718e+01,0.000000000000000000e+00,6.206913618169990876e+00
6.577451867509169858e+01,0.000000000000000000e+00,6.324797793010401570e+00
6.695075324772136582e+01,0.000000000000000000e+00,6.485086946321586332e+00
6.812174254121586614e+01,0.000000000000000000e+00,6.674405044989589975e+00
6.928700412928039043e+01,0.000000000000000000e+00,6.890302175143955488e+00
7.044978590909350658e+01,0.000000000000000000e+00,7.112712678460524351e+00
7.161276511759636776e+01,0.000000000000000000e+00,7.328029841034013003e+00
7.277756038817578599e+01,0.000000000000000000e+00,7.528125244876795463e+00
7.394693464186789811e+01,0.000000000000000000e+00,7.695028386965370615e+00
7.511615400141718624e+01,0.000000000000000000e+00,7.860586978563746996e+00
7.628192348584076399e+01,0.000000000000000000e+00,8.047425082367526628e+00
7.745151897053627010e+01,0.000000000000000000e+00,8.207111820998498786e+00
7.862371765627111131e+01,0.000000000000000000e+00,8.345552728339244553e+00
7.979775612410301733e+01,0.000000000000000000e+00,8.467051229536872725e+00
8.097318588219856395e+01,0.000000000000000000e+00,8.574298411846234202e+00
8.214941178971736235e+01,0.000000000000000000e+00,8.672810455752371084e+00
8.332569519679427117e+01,0.000000000000000000e+00,8.771278560654602430e+00
8.450134855833002234e+01,0.000000000000000000e+00,8.877845874498124346e+00
8.567563150262752458e+01,0.000000000000000000e+00,8.999559780397301978e+00
8.684825390917566779e+01,0.000000000000000000e+00,9.137431244003737518e+00
8.801849172633612284e+01,0.000000000000000000e+00,9.295426550213452543e+00
8.918404400821000877e+01,0.000000000000000000e+00,9.486238245925216361e+00
9.034586523999605845e+01,0.000000000000000000e+00,9.700223856925239474e+00
9.150546587615899341e+01,0.000000000000000000e+00,9.927961082096471657e+00
9.266556226443745459e+01,0.000000000000000000e+00,1.015548097411394579e+01
9.382848513754822761e+01,0.000000000000000000e+00,1.037038453557071449e+01
9.499361772662602732e+01,0.000000000000000000e+00,1.057523667443968129e+01
9.616146388025943281e+01,0.000000000000000000e+00,1.076591000575947454e+01
9.733207158413803484e+01,0.000000000000000000e+00,1.093996435834679737e+01
9.850543422024215090e+01,0.000000000000000000e+00,1.109401952373250921e+01
9.968111644034534891e+01,0.000000000000000000e+00,1.122653434574343301e+01
1.008582333883343409e+02,0.000000000000000000e+00,1.134018884849388797e+01
1.020361245890764650e+02,0.000000000000000000e+00,1.143684882856823037e+01
1.032141273349014767e+02,0.000000000000000000e+00,1.152072705530639141e+01
1.043914783759331755e+02,0.000000000000000000e+00,1.160323296867063192e+01
1.055677818491988944e+02,0.000000000000000000e+00,1.169399708230988644e+01
1.067433107506314940e+02,0.000000000000000000e+00,1.179190984894244743e+01
1.079182456981950793e+02,0.000000000000000000e+00,1.189646898872804748e+01
1.090926239841496255e+02,0.000000000000000000e+00,1.200851160642119808e+01
1.102670857281584063e+02,0.000000000000000000e+00,1.212095298198397053e+01
1.114417585326941946e+02,0.000000000000000000e+00,1.223180947051451284e+01
1.126165711417911410e+02,0.000000000000000000e+00,1.234113084640476110e+01
1.137913451434997683e+02,0.000000000000000000e+00,1.245039440630467986e+01
1.149659951696578304e+02,0.000000000000000000e+00,1.256019368568213856e+01
1.161403987175302746e+02,0.000000000000000000e+00,1.267172615610466657e+01
1.173143583194950708e+02,0.000000000000000000e+00,1.278736024634569368e+01
1.184878583051670375e+02,0.000000000000000000e+00,1.290787825874097194e+01
1.196609925813427395e+02,0.000000000000000000e+00,1.303396987914952732e+01
1.208341386039248135e+02,0.000000000000000000e+00,1.316612952723797925e+01
1.220083852655750292e+02,0.000000000000000000e+00,1.330322615682781873e+01
1.231859576475398086e+02,0.000000000000000000e+00,1.344404552611889692e+01
1.243707231982354813e+02,0.000000000000000000e+00,1.358765722849285318e+01
1.255687478606778598e+02,0.000000000000000000e+00,1.373159893100662643e+01
1.267877343144235738e+02,0.000000000000000000e+00,1.387655627180618012e+01
1.280373797425966416e+02,0.000000000000000000e+00,1.402319901420422887e+01
1.293296404487769280e+02,0.000000000000000000e+00,1.417097370304509951e+01
1.306783887963265727e+02,0.000000000000000000e+00,1.432259941275120774e+01
1.320996260141563425e+02,0.000000000000000000e+00,1.448153915448136253e+01
1.336122608949215476e+02,0.000000000000000000e+00,1.464080159995863895e+01
1.352348845803985569e+02,0.000000000000000000e+00,1.480673773200247112e+01
1.369855908562862794e+02,0.000000000000000000e+00,1.499759960772036749e+01
1.388807924412679142e+02,0.000000000000000000e+00,1.523512662887175217e+01
1.409274395995435043e+02,0.000000000000000000e+00,1.556149346866789074e+01
1.431045316442517787e+02,0.000000000000000000e+00,1.607334580904309718e+01
1.453127540288588477e+02,0.000000000000000000e+00,1.697233717200224135e+01
1.472006814711116931e+02,0.000000000000000000e+00,1.860895801884737821e+01
1.495189744701067696e+02,0.000000000000000000e+00,1.969446797340649624e+01
