Z	min	max
23.0	8.481147041539223e-09	1.3106567176907874e-06
24.0	5.17871921319914e-06	1.4201833451911056e-05
25.0	0.0007344599263091178	0.00029453977710436417
26.0	0.005412997800676596	0.002286242801454609
27.0	0.02502499884455142	0.010777106591681952
28.0	0.1756657150377416	0.0683083147697386
29.0	0.31968003999151084	0.16789173675074506
30.0	2.123994431699584	0.8383271243352147
31.0	1.613445112932405	1.2458990247180086
32.0	9.49300468643388	4.292166621012202
33.0	3.470303700869501	4.3569817683733465
34.0	15.637238168279877	9.753171199452138
35.0	3.4406481511394036	6.738285138427276
36.0	9.484185569984833	10.391372104875327
37.0	1.5779206630609357	4.471392927395132
38.0	2.1179214500200763	5.039616020630082
39.0	0.31030561408345925	1.3223906708601698
40.0	0.17428878925892038	1.0216905591797916
41.0	0.024209908655254964	0.18375697902361973
42.0	0.005299691992999437	0.08092459854597474
43.0	0.0007089056074259988	0.011750340648148432
44.0	1.7571802947964917e-06	0.002404124079010115
45.0	0.0	0.00029661121210262736
46.0	0.0	7.340515655963965e-07
47.0	0.0	0.0
48.0	0.0	0.0
49.0	0.0	0.0
50.0	0.0	0.0
51.0	0.0	0.0
52.0	0.0	0.0
53.0	0.0	0.0
54.0	0.0	0.0
55.0	0.0	0.0
56.0	0.0	0.0
57.0	0.0	0.0
58.0	0.0	0.0
59.0	0.0	0.0
60.0	0.0	0.0
61.0	0.0	0.0
62.0	0.0	0.0
63.0	0.0	0.0
64.0	0.0	0.0
65.0	0.0	0.0
66.0	0.0	0.0
67.0	0.0	0.0
68.0	0.0	0.0
69.0	0.0	0.0
70.0	0.0	0.0
71.0	0.0	0.0
72.0	0.0	0.0
73.0	0.0	0.0
74.0	0.0	0.0
75.0	0.0	0.0
76.0	0.0	7.340515655963965e-07
77.0	0.0	0.00029661121210262736
78.0	1.7571802947964917e-06	0.002404124079010115
79.0	0.0007089056074259988	0.011750340648148432
80.0	0.005299691992999437	0.08092459854597474
81.0	0.024209908655254964	0.18375697902361973
82.0	0.17428878925892038	1.0216905591797916
83.0	0.31030561408345925	1.3223906708601698
84.0	2.1179214500200763	5.039616020630082
85.0	1.5779206630609357	4.471392927395132
86.0	9.484185569984833	10.391372104875327
87.0	3.4406481511394036	6.738285138427276
88.0	15.637238168279877	9.753171199452138
89.0	3.470303700869501	4.3569817683733465
90.0	9.49300468643388	4.292166621012202
91.0	1.613445112932405	1.2458990247180086
92.0	2.123994431699584	0.8383271243352147
93.0	0.31968003999151084	0.16789173675074506
94.0	0.1756657150377416	0.0683083147697386
95.0	0.02502499884455142	0.010777106591681952
96.0	0.005412997800676596	0.002286242801454609
97.0	0.0007344599263091178	0.00029453977710436417
98.0	5.17871921319914e-06	1.4201833451911056e-05
99.0	8.481147041539223e-09	1.3106567176907874e-06
