A	min	max
96.0	0.0	0.0014394780403659622
97.0	0.0005218445155514338	0.0044335777232459034
98.0	0.0035814431097739205	0.013836127328057309
99.0	0.012145829942383116	0.038577844420859146
100.0	0.03697268514127206	0.09698259029614366
101.0	0.10102151716545134	0.22034182134400776
102.0	0.24774917588779513	0.4542002638065934
103.0	0.5453239315816778	0.8509583081473738
104.0	1.077239348591647	1.4520491128458841
105.0	1.909632850417288	2.261759248140788
106.0	3.0375710584287203	3.223598091859886
107.0	4.3350673398256365	4.2140581832150525
108.0	5.550191650066909	5.06382480843854
109.0	6.373964438183272	5.60343427615007
110.0	6.565161662371446	5.716712724478783
111.0	6.06399222431086	5.379688721187489
112.0	5.022177356475948	4.668327594622189
113.0	3.7289678487933333	3.7320389680490895
114.0	2.481945482908786	2.7446798561335766
115.0	1.4806350819947518	1.8538294707162057
116.0	0.7915949803459147	1.1479937346883629
117.0	0.3792332235120435	0.6507615569434478
118.0	0.16278321876984317	0.33724505056054577
119.0	0.06259893406984693	0.15961082294350326
120.0	0.021564288643314403	0.06888503146220995
121.0	0.0066538623234574	0.0270397914819084
122.0	0.0017087226230810063	0.009628246985932861
123.0	0.0	0.003068527580562403
124.0	0.0	0.0008287890789744289
125.0	0.0	0.00013597505548688157
126.0	0.0	3.1406274872098746e-05
127.0	0.0	0.0
128.0	0.0	0.0
129.0	0.0	0.0
130.0	0.0	0.0
131.0	0.0	0.0
132.0	0.0	0.0
133.0	0.0	0.0
134.0	0.0	0.0
135.0	0.0	0.0
136.0	0.0	0.0
137.0	0.0	0.0
138.0	0.0	0.0
139.0	0.0	0.0
140.0	0.0	0.0
141.0	0.0	0.0
142.0	0.0	0.0
143.0	0.0	0.0
144.0	0.0	0.0
145.0	0.0	0.0
146.0	0.0	0.0
147.0	0.0	0.0
148.0	0.0	0.0
149.0	0.0	0.0
150.0	0.0	0.0
151.0	0.0	0.0
152.0	0.0	0.0
153.0	0.0	0.0
154.0	0.0	0.0
155.0	0.0	0.0
156.0	0.0	0.0
157.0	0.0	0.0
158.0	0.0	0.0
159.0	0.0	0.0
160.0	0.0	0.0
161.0	0.0	0.0
162.0	0.0	0.0
163.0	0.0	0.0
164.0	0.0	0.0
165.0	0.0	0.0
166.0	0.0	0.0
167.0	0.0	0.0
168.0	0.0	0.0
169.0	0.0	0.0
170.0	0.0	0.0
171.0	0.0	0.0
172.0	0.0	0.0
173.0	0.0	0.0
174.0	0.0	0.0
175.0	0.0	0.0
176.0	0.0	0.0
177.0	0.0	0.0
178.0	0.0	0.0
179.0	0.0	0.0
180.0	0.0	3.1406274872098746e-05
181.0	0.0	0.00013597505548688157
182.0	0.0	0.0008287890789744289
183.0	0.0	0.003068527580562403
184.0	0.0017087226230810063	0.009628246985932861
185.0	0.0066538623234574	0.0270397914819084
186.0	0.021564288643314403	0.06888503146220995
187.0	0.06259893406984693	0.15961082294350326
188.0	0.16278321876984317	0.33724505056054577
189.0	0.3792332235120435	0.6507615569434478
190.0	0.7915949803459147	1.1479937346883629
191.0	1.4806350819947518	1.8538294707162057
192.0	2.481945482908786	2.7446798561335766
193.0	3.7289678487933333	3.7320389680490895
194.0	5.022177356475948	4.668327594622189
195.0	6.06399222431086	5.379688721187489
196.0	6.565161662371446	5.716712724478783
197.0	6.373964438183272	5.60343427615007
198.0	5.550191650066909	5.06382480843854
199.0	4.3350673398256365	4.2140581832150525
200.0	3.0375710584287203	3.223598091859886
201.0	1.909632850417288	2.261759248140788
202.0	1.077239348591647	1.4520491128458841
203.0	0.5453239315816778	0.8509583081473738
204.0	0.24774917588779513	0.4542002638065934
205.0	0.10102151716545134	0.22034182134400776
206.0	0.03697268514127206	0.09698259029614366
207.0	0.012145829942383116	0.038577844420859146
208.0	0.0035814431097739205	0.013836127328057309
209.0	0.0005218445155514338	0.0044335777232459034
210.0	0.0	0.0014394780403659622
