A	min	max
73.0	0.0	0.00017440069037894714
74.0	4.150617542979461e-06	0.0009902366156940643
75.0	0.0005947964153111684	0.003530885644714453
76.0	0.0035949762061819623	0.011109645447069775
77.0	0.012189539572865811	0.03116887063256184
78.0	0.036911705569690534	0.07895145634242783
79.0	0.10024566611854101	0.1810254132606714
80.0	0.24454222385647878	0.37739190981898596
81.0	0.5358671404418792	0.7163501107384738
82.0	1.0548791579581531	1.240745078997225
83.0	1.8656043286224162	1.9655144024563107
84.0	2.964424521884997	2.85500518551881
85.0	4.232572968380456	3.81230483201271
86.0	5.430755433993294	4.6908679837018665
87.0	6.262807153670319	5.329258127851243
88.0	6.49244895397295	5.598176389061551
89.0	6.0516924431015955	5.441699407035619
90.0	5.073368687306113	4.895702002785686
91.0	3.826643038010046	4.075456674152619
92.0	2.597907195833102	3.1375717079517322
93.0	1.5882890322886885	2.2325775794488996
94.0	0.8749564131673848	1.4674752385611096
95.0	0.43458863164523254	0.8905882343312551
96.0	0.19476843961489482	0.49881421693619343
97.0	0.07882098779384678	0.2577295038044717
98.0	0.02882659668286781	0.12275227306043732
99.0	0.009533818231138075	0.0537811042910184
100.0	0.002709626343953791	0.021691818721891486
101.0	0.0003760512222505793	0.007976344024228537
102.0	7.51977155694633e-05	0.002636595161384959
103.0	9.952323148674574e-07	0.0007373091687411055
104.0	1.285299235645632e-07	0.0002097708910956225
105.0	0.0	2.842778505093333e-05
106.0	0.0	6.5887719241181794e-06
107.0	0.0	2.3381189219065537e-07
108.0	0.0	4.03563669537109e-08
109.0	0.0	1.5769350314202824e-10
110.0	0.0	0.0
111.0	0.0	0.0
112.0	0.0	0.0
113.0	0.0	0.0
114.0	0.0	0.0
115.0	0.0	0.0
116.0	0.0	0.0
117.0	0.0	0.0
118.0	0.0	0.0
119.0	0.0	0.0
120.0	0.0	0.0
121.0	0.0	0.0
122.0	0.0	0.0
123.0	0.0	0.0
124.0	0.0	0.0
125.0	0.0	0.0
126.0	0.0	0.0
127.0	0.0	0.0
128.0	0.0	0.0
129.0	0.0	0.0
130.0	0.0	0.0
131.0	0.0	0.0
132.0	0.0	0.0
133.0	0.0	0.0
134.0	0.0	0.0
135.0	0.0	0.0
136.0	0.0	0.0
137.0	0.0	0.0
138.0	0.0	0.0
139.0	0.0	0.0
140.0	0.0	0.0
141.0	0.0	0.0
142.0	0.0	0.0
143.0	0.0	0.0
144.0	0.0	0.0
145.0	0.0	0.0
146.0	0.0	0.0
147.0	0.0	0.0
148.0	0.0	0.0
149.0	0.0	0.0
150.0	0.0	0.0
151.0	0.0	0.0
152.0	0.0	0.0
153.0	0.0	0.0
154.0	0.0	0.0
155.0	0.0	0.0
156.0	0.0	0.0
157.0	0.0	0.0
158.0	0.0	0.0
159.0	0.0	0.0
160.0	0.0	0.0
161.0	0.0	0.0
162.0	0.0	0.0
163.0	0.0	0.0
164.0	0.0	0.0
165.0	0.0	0.0
166.0	0.0	0.0
167.0	0.0	0.0
168.0	0.0	0.0
169.0	0.0	0.0
170.0	0.0	0.0
171.0	0.0	0.0
172.0	0.0	0.0
173.0	0.0	0.0
174.0	0.0	0.0
175.0	0.0	0.0
176.0	0.0	0.0
177.0	0.0	0.0
178.0	0.0	0.0
179.0	0.0	0.0
180.0	0.0	0.0
181.0	0.0	0.0
182.0	0.0	0.0
183.0	0.0	0.0
184.0	0.0	0.0
185.0	0.0	0.0
186.0	0.0	0.0
187.0	0.0	0.0
188.0	0.0	0.0
189.0	0.0	0.0
190.0	0.0	0.0
191.0	0.0	0.0
192.0	0.0	0.0
193.0	0.0	0.0
194.0	0.0	0.0
195.0	0.0	0.0
196.0	0.0	0.0
197.0	0.0	1.5769350314202824e-10
198.0	0.0	4.03563669537109e-08
199.0	0.0	2.3381189219065537e-07
200.0	0.0	6.5887719241181794e-06
201.0	0.0	2.842778505093333e-05
202.0	1.285299235645632e-07	0.0002097708910956225
203.0	9.952323148674574e-07	0.0007373091687411055
204.0	7.51977155694633e-05	0.002636595161384959
205.0	0.0003760512222505793	0.007976344024228537
206.0	0.002709626343953791	0.021691818721891486
207.0	0.009533818231138075	0.0537811042910184
208.0	0.02882659668286781	0.12275227306043732
209.0	0.07882098779384678	0.2577295038044717
210.0	0.19476843961489482	0.49881421693619343
211.0	0.43458863164523254	0.8905882343312551
212.0	0.8749564131673848	1.4674752385611096
213.0	1.5882890322886885	2.2325775794488996
214.0	2.597907195833102	3.1375717079517322
215.0	3.826643038010046	4.075456674152619
216.0	5.073368687306113	4.895702002785686
217.0	6.0516924431015955	5.441699407035619
218.0	6.49244895397295	5.598176389061551
219.0	6.262807153670319	5.329258127851243
220.0	5.430755433993294	4.6908679837018665
221.0	4.232572968380456	3.81230483201271
222.0	2.964424521884997	2.85500518551881
223.0	1.8656043286224162	1.9655144024563107
224.0	1.0548791579581531	1.240745078997225
225.0	0.5358671404418792	0.7163501107384738
226.0	0.24454222385647878	0.37739190981898596
227.0	0.10024566611854101	0.1810254132606714
228.0	0.036911705569690534	0.07895145634242783
229.0	0.012189539572865811	0.03116887063256184
230.0	0.0035949762061819623	0.011109645447069775
231.0	0.0005947964153111684	0.003530885644714453
232.0	4.150617542979461e-06	0.0009902366156940643
233.0	0.0	0.00017440069037894714
