 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.47481778     -28.90698629   0.35700904E-13   0.22004580E-13   0.13330601E-11   0.37628372E-09
       0.47481778     -27.09102003   0.25548008E-10   0.16056631E-10   0.13198149E-07   0.22676282E-08
       0.47481778     -25.58719662   0.17294356E-08   0.11055809E-08   0.37536612E-06   0.18312287E-06
       0.47481778     -24.24464326   0.23885785E-07   0.15437665E-07   0.35346571E-05   0.25600967E-05
       0.47481778     -23.00580021   0.76530764E-07   0.48906353E-07   0.39751187E-05   0.33828103E-05
       0.47481778     -21.84102902   0.38847250E-07   0.22021657E-07   0.38906778E-07   0.10399393E-07
       0.47481778     -20.73255563   0.95978947E-08   0.10931719E-07   0.17258228E-09   0.41568670E-09
       0.47481778     -19.66866517   0.86900773E-08   0.72027543E-08   0.21828854E-10   0.14682363E-10
       0.47481778     -18.64111846   0.50987633E-07   0.22814507E-07   0.31730224E-07   0.29826941E-08
       0.47481778     -17.64383785   0.84920081E-07   0.12998800E-07   0.20046731E-06   0.24796598E-09
       0.47481778     -16.67217246   0.41933102E-06   0.53650718E-07   0.30210731E-05   0.67498447E-08
       0.47481778     -15.72245739   0.21375456E-05   0.34281255E-06   0.22820497E-03   0.69975519E-05
       0.47481778     -14.79173429   0.95750125E-05   0.17284412E-05   0.12483576E-02   0.10951153E-03
       0.47481778     -13.87756613   0.53482938E-04   0.14060941E-04   0.85265932E-02   0.17515346E-02
       0.47481778     -12.97791004   0.27919528E-03   0.95321518E-04   0.47275130E-01   0.17233514E-01
       0.47481778     -12.09102705   0.16038217E-02   0.74164056E-03   0.21406336E+00   0.13779783E+00
       0.47481778     -11.21541656   0.78254803E-02   0.46686202E-02   0.54941978E+00   0.54861064E+00
       0.47481778     -10.34976746   0.22266253E-01   0.15610648E-01   0.69111436E+00   0.76000192E+00
       0.47481778      -9.49292107   0.36346304E-01   0.27924822E-01   0.63511840E+00   0.74064253E+00
       0.47481778      -8.64384242   0.42650824E-01   0.32348987E-01   0.52885262E+00   0.58623871E+00
       0.47481778      -7.80159770   0.45454704E-01   0.31214740E-01   0.51893529E+00   0.44239717E+00
       0.47481778      -6.96533619   0.46059951E-01   0.31242771E-01   0.53139175E+00   0.48603717E+00
       0.47481778      -6.13427558   0.44364298E-01   0.31712167E-01   0.47270488E+00   0.54430347E+00
       0.47481778      -5.30768995   0.44569828E-01   0.30234588E-01   0.48320306E+00   0.46711586E+00
       0.47481778      -4.48489961   0.45698338E-01   0.30068350E-01   0.52521098E+00   0.48408107E+00
       0.47481778      -3.66526252   0.44153743E-01   0.31932319E-01   0.46346697E+00   0.62378988E+00
       0.47481778      -2.84816685   0.42839875E-01   0.32315180E-01   0.41871373E+00   0.66648953E+00
       0.47481778      -2.03302444   0.43643825E-01   0.30347228E-01   0.46504773E+00   0.57868245E+00
       0.47481778      -1.21926492   0.43727601E-01   0.28400348E-01   0.49972693E+00   0.50085050E+00
       0.47481778      -0.40633025   0.42962053E-01   0.27435911E-01   0.49796331E+00   0.48168598E+00
       0.47481778       0.40633025   0.43436110E-01   0.26846821E-01   0.51421734E+00   0.46227667E+00
       0.47481778       1.21926492   0.44231247E-01   0.26500018E-01   0.52720791E+00   0.43618772E+00
       0.47481778       2.03302444   0.44145553E-01   0.26539238E-01   0.52468467E+00   0.42946007E+00
