 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.45640767     -31.28606086   0.23911941E-10   0.27734532E-10   0.36349733E-10   0.41967051E-10
       0.45640767     -29.32063871   0.33060119E-08   0.38463916E-08   0.92577521E-08   0.12371625E-07
       0.45640767     -27.69304910   0.37215211E-07   0.41962572E-07   0.76458571E-07   0.10595383E-06
       0.45640767     -26.24000222   0.55699314E-07   0.49103683E-07   0.18799869E-07   0.12503941E-07
       0.45640767     -24.89920112   0.38759547E-07   0.35240596E-07   0.26317247E-08   0.18177492E-08
       0.45640767     -23.63856807   0.22819525E-07   0.24739036E-07   0.17818692E-09   0.30533792E-09
       0.45640767     -22.43886619   0.25076016E-07   0.26681300E-07   0.77315549E-09   0.10259329E-08
       0.45640767     -21.28741645   0.27284045E-07   0.19042928E-07   0.13382387E-08   0.30222588E-09
       0.45640767     -20.17530160   0.12631687E-07   0.11779302E-07   0.12934926E-10   0.16045995E-10
       0.45640767     -19.09594377   0.59879394E-07   0.19958675E-07   0.41753848E-08   0.41794111E-09
       0.45640767     -18.04430932   0.90559304E-07   0.28490465E-07   0.44483071E-07   0.12255563E-08
       0.45640767     -17.01643174   0.75292509E-06   0.64687804E-07   0.72702467E-05   0.41476352E-08
       0.45640767     -16.00910916   0.45748874E-05   0.15529847E-06   0.65661553E-03   0.47586171E-07
       0.45640767     -15.01970404   0.27348068E-04   0.16916505E-05   0.35529780E-02   0.41603141E-05
       0.45640767     -14.04600532   0.18782934E-03   0.24849634E-04   0.36613432E-01   0.31566446E-03
       0.45640767     -13.08613096   0.11958245E-02   0.25907334E-03   0.16653671E+00   0.58037147E-02
       0.45640767     -12.13845683   0.69133594E-02   0.25978457E-02   0.49116446E+00   0.10306508E+00
       0.45640767     -11.20156392   0.22396997E-01   0.11806774E-01   0.68118363E+00   0.41389956E+00
       0.45640767     -10.27419819   0.37082763E-01   0.24458628E-01   0.62032061E+00   0.56925575E+00
       0.45640767      -9.35523950   0.42101406E-01   0.30907166E-01   0.49454539E+00   0.55885557E+00
       0.45640767      -8.44367718   0.43642710E-01   0.32052562E-01   0.46590961E+00   0.54140209E+00
       0.45640767      -7.53859049   0.43531943E-01   0.32957495E-01   0.44082020E+00   0.60695562E+00
