 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.45459718     -31.53575878   0.19010076E-08   0.36481752E-08   0.12735735E-04   0.11535802E-01
       0.45459718     -29.55465036   0.23996046E-05   0.31806760E-05   0.92929633E+00   0.99622152E+00
       0.45459718     -27.91407075   0.20459384E-03   0.23470109E-03   0.99998983E+00   0.99999849E+00
       0.45459718     -26.44942692   0.35664143E-02   0.37906596E-02   0.99999999E+00   0.10000000E+01
       0.45459718     -25.09792472   0.18264087E-01   0.18569507E-01   0.10000000E+01   0.10000000E+01
       0.45459718     -23.82723040   0.31575171E-01   0.31261303E-01   0.10000000E+01   0.10000000E+01
       0.45459718     -22.61795356   0.19227029E-01   0.18675919E-01   0.10000000E+01   0.10000000E+01
       0.45459718     -21.45731396   0.43252226E-02   0.40748351E-02   0.10000000E+01   0.10000000E+01
       0.45459718     -20.33632318   0.49319926E-03   0.43295848E-03   0.99999530E+00   0.99999681E+00
       0.45459718     -19.24835086   0.59806714E-04   0.49119844E-04   0.99056429E+00   0.99711965E+00
       0.45459718     -18.18832319   0.81307058E-05   0.58872638E-05   0.21371942E-01   0.55000148E-01
       0.45459718     -17.15224198   0.66442693E-06   0.24457548E-06   0.46418827E-06   0.21458611E-05
       0.45459718     -16.13687984   0.13869208E-05   0.27100504E-06   0.61824750E-04   0.14421405E-05
       0.45459718     -15.13957815   0.56540167E-05   0.69207898E-06   0.10097953E-03   0.29465077E-06
       0.45459718     -14.15810823   0.31144753E-04   0.49759115E-05   0.31165175E-02   0.10995624E-03
       0.45459718     -13.19057299   0.19784185E-03   0.49691337E-04   0.24452568E-01   0.41607838E-02
       0.45459718     -12.23533535   0.12653219E-02   0.45936572E-03   0.12909624E+00   0.48336332E-01
       0.45459718     -11.29096499   0.73121081E-02   0.37478930E-02   0.43961794E+00   0.33318688E+00
       0.45459718     -10.35619784   0.23160122E-01   0.14667564E-01   0.64477441E+00   0.63755545E+00
       0.45459718      -9.42990483   0.38060740E-01   0.27121196E-01   0.60328571E+00   0.65733032E+00
       0.45459718      -8.51106721   0.43483571E-01   0.31542915E-01   0.50486619E+00   0.54468886E+00
       0.45459718      -7.59875691   0.45407056E-01   0.31189555E-01   0.50720781E+00   0.47913588E+00
       0.45459718      -6.69212048   0.45320641E-01   0.31278361E-01   0.50530897E+00   0.52201595E+00
       0.45459718      -5.79036598   0.44392774E-01   0.31060871E-01   0.46884110E+00   0.51807366E+00
       0.45459718      -4.89275191   0.44670413E-01   0.31428668E-01   0.47018872E+00   0.56370158E+00
       0.45459718      -3.99857783   0.43600619E-01   0.32733164E-01   0.42602297E+00   0.66237039E+00
       0.45459718      -3.10717630   0.43558990E-01   0.31432973E-01   0.43958265E+00   0.58591413E+00
       0.45459718      -2.21790566   0.45730760E-01   0.28756759E-01   0.53787491E+00   0.43103878E+00
       0.45459718      -1.33014365   0.45463226E-01   0.29178402E-01   0.52214796E+00   0.46126768E+00
       0.45459718      -0.44328152   0.44234749E-01   0.30944230E-01   0.46717007E+00   0.55486760E+00
       0.45459718       0.44328152   0.44988263E-01   0.30929511E-01   0.49889195E+00   0.54473150E+00
       0.45459718       1.33014365   0.44892467E-01   0.30160712E-01   0.52238057E+00   0.51607952E+00
       0.45459718       2.21790566   0.43549289E-01   0.29044611E-01   0.51829026E+00   0.49204991E+00
       0.45459718       3.10717630   0.42534319E-01   0.27633091E-01   0.52185514E+00   0.43930247E+00
       0.45459718       3.99857783   0.41687547E-01   0.27958747E-01   0.50244012E+00   0.44810116E+00
       0.45459718       4.89275191   0.42504909E-01   0.29394805E-01   0.51119788E+00   0.48198124E+00
       0.45459718       5.79036598   0.44573669E-01   0.29675081E-01   0.54257922E+00   0.44098484E+00
       0.45459718       6.69212048   0.45145966E-01   0.30210066E-01   0.50662373E+00   0.43966322E+00
       0.45459718       7.59875691   0.45967813E-01   0.31956941E-01   0.49690949E+00   0.50773150E+00
       0.45459718       8.51106721   0.46756196E-01   0.33122409E-01   0.51730574E+00   0.48276830E+00
       0.45459718       9.42990483   0.44081285E-01   0.34862568E-01   0.42355735E+00   0.46956531E+00
       0.45459718      10.35619784   0.43866710E-01   0.36247604E-01   0.41806431E+00   0.51821380E+00
       0.45459718      11.29096499   0.46050638E-01   0.34435115E-01   0.50280687E+00   0.45881983E+00
       0.45459718      12.23533535   0.44826726E-01   0.33354158E-01   0.50775862E+00   0.47446934E+00
       0.45459718      13.19057299   0.40426557E-01   0.30638778E-01   0.58850808E+00   0.64294966E+00
       0.45459718      14.15810823   0.26449395E-01   0.18507110E-01   0.66528941E+00   0.71894252E+00
       0.45459718      15.13957815   0.86082980E-02   0.51325581E-02   0.49767306E+00   0.51223347E+00
       0.45459718      16.13687984   0.13340188E-02   0.60432007E-03   0.14954607E+00   0.10623447E+00
       0.45459718      17.15224198   0.16540145E-03   0.55401814E-04   0.24794316E-01   0.11109926E-01
       0.45459718      18.18832319   0.20514283E-04   0.48917411E-05   0.21262755E-02   0.24351616E-03
       0.45459718      19.24835086   0.25912002E-05   0.41989974E-06   0.10468579E-03   0.47252359E-06
       0.45459718      20.33632318   0.52314874E-06   0.14893676E-06   0.49190550E-05   0.35834462E-06
       0.45459718      21.45731396   0.11893767E-06   0.98609651E-07   0.34866637E-07   0.37307724E-06
       0.45459718      22.61795356   0.29779859E-07   0.18063150E-07   0.89928726E-10   0.21271321E-10
       0.45459718      23.82723040   0.70278166E-07   0.68016702E-07   0.69085646E-08   0.72036968E-08
       0.45459718      25.09792472   0.63224343E-07   0.67704087E-07   0.32538390E-07   0.33035764E-07
       0.45459718      26.44942692   0.14907535E-06   0.14829158E-06   0.38881920E-06   0.64247145E-06
       0.45459718      27.91407075   0.19450711E-06   0.17303238E-06   0.43865721E-04   0.98892043E-04
       0.45459718      29.55465036   0.25964482E-07   0.21821952E-07   0.32682196E-04   0.64324584E-04
       0.45459718      31.53575878   0.26457105E-09   0.21344478E-09   0.39687287E-06   0.67560819E-06
       1.04377907     -31.53575878   0.14404858E-08   0.28292539E-08   0.68476213E-05   0.76366623E-02
       1.04377907     -29.55465036   0.18452913E-05   0.24706337E-05   0.88674234E+00   0.99424483E+00
       1.04377907     -27.91407075   0.15728875E-03   0.18152903E-03   0.99998256E+00   0.99999762E+00
       1.04377907     -26.44942692   0.27254763E-02   0.29084686E-02   0.99999998E+00   0.99999999E+00
       1.04377907     -25.09792472   0.13814048E-01   0.14082095E-01   0.10000000E+01   0.10000000E+01
       1.04377907     -23.82723040   0.23551193E-01   0.23352199E-01   0.10000000E+01   0.10000000E+01
       1.04377907     -22.61795356   0.14156762E-01   0.13755557E-01   0.10000000E+01   0.10000000E+01
       1.04377907     -21.45731396   0.32124804E-02   0.30230927E-02   0.99999999E+00   0.99999999E+00
       1.04377907     -20.33632318   0.38994532E-03   0.34204989E-03   0.99999025E+00   0.99999334E+00
       1.04377907     -19.24835086   0.48001075E-04   0.39183282E-04   0.97958832E+00   0.99452897E+00
       1.04377907     -18.18832319   0.68049898E-05   0.48479364E-05   0.14212688E-01   0.49407858E-01
       1.04377907     -17.15224198   0.83026422E-06   0.37616302E-06   0.12483775E-05   0.10108034E-04
       1.04377907     -16.13687984   0.12162324E-05   0.18428663E-06   0.23053144E-04   0.15407780E-06
       1.04377907     -15.13957815   0.51997547E-05   0.61473951E-06   0.19684597E-03   0.77355004E-06
       1.04377907     -14.15810823   0.28922573E-04   0.45528148E-05   0.29886437E-02   0.13078897E-03
       1.04377907     -13.19057299   0.18226933E-03   0.45492053E-04   0.22212844E-01   0.38965376E-02
       1.04377907     -12.23533535   0.11483190E-02   0.41172582E-03   0.11520116E+00   0.42801450E-01
       1.04377907     -11.29096499   0.67143330E-02   0.34137678E-02   0.41262260E+00   0.31213917E+00
       1.04377907     -10.35619784   0.21925672E-01   0.13842115E-01   0.63032195E+00   0.62754739E+00
       1.04377907      -9.42990483   0.37185326E-01   0.26482524E-01   0.60237845E+00   0.65925107E+00
       1.04377907      -8.51106721   0.43291039E-01   0.31442044E-01   0.50917047E+00   0.55027075E+00
       1.04377907      -7.59875691   0.45480405E-01   0.31237967E-01   0.50837871E+00   0.47621917E+00
       1.04377907      -6.69212048   0.45549147E-01   0.31277716E-01   0.50883577E+00   0.51451887E+00
       1.04377907      -5.79036598   0.44965841E-01   0.30737104E-01   0.48506134E+00   0.49372871E+00
       1.04377907      -4.89275191   0.46313575E-01   0.29984759E-01   0.53063033E+00   0.46869897E+00
       1.04377907      -3.99857783   0.46181905E-01   0.30541785E-01   0.52484752E+00   0.52458315E+00
       1.04377907      -3.10717630   0.44986898E-01   0.30306666E-01   0.49269110E+00   0.51494184E+00
       1.04377907      -2.21790566   0.45225173E-01   0.29259522E-01   0.51283344E+00   0.46168199E+00
       1.04377907      -1.33014365   0.44995545E-01   0.29759912E-01   0.50139599E+00   0.49769515E+00
       1.04377907      -0.44328152   0.44730177E-01   0.30603564E-01   0.48710513E+00   0.53325978E+00
       1.04377907       0.44328152   0.45344336E-01   0.30298110E-01   0.51589720E+00   0.50435295E+00
       1.04377907       1.33014365   0.44431274E-01   0.29910645E-01   0.51712244E+00   0.51001431E+00
       1.04377907       2.21790566   0.42434105E-01   0.29082374E-01   0.50307983E+00   0.52905095E+00
