Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.348881896590571472e+01,0.000000000000000000e+00
3.497763920778793079e+01,0.000000000000000000e+00
3.646646200099053914e+01,0.000000000000000000e+00
3.795528861958978695e+01,0.000000000000000000e+00
3.944412033576535492e+01,0.000000000000000000e+00
4.093295841916429367e+01,0.000000000000000000e+00
4.242180413627539792e+01,0.000000000000000000e+00
4.391065874979718586e+01,0.000000000000000000e+00
4.539952351801362340e+01,0.000000000000000000e+00
4.688839969416737574e+01,0.000000000000000000e+00
4.837728852583963857e+01,0.000000000000000000e+00
4.986619125433053057e+01,0.000000000000000000e+00
5.135510911404155365e+01,0.000000000000000000e+00
5.284404333186468961e+01,0.000000000000000000e+00
5.433299512657180230e+01,0.000000000000000000e+00
5.582196570821221115e+01,0.000000000000000000e+00
5.731095627750901400e+01,0.000000000000000000e+00
5.879996802526542155e+01,0.000000000000000000e+00
6.028900213177193024e+01,0.000000000000000000e+00
6.177805976622234141e+01,0.000000000000000000e+00
6.326714208613169887e+01,0.000000000000000000e+00
6.475625023676249725e+01,0.000000000000000000e+00
6.624538535055715727e+01,0.000000000000000000e+00
6.773454854657335034e+01,0.000000000000000000e+00
6.922374092993223371e+01,0.000000000000000000e+00
7.071296359126608877e+01,0.000000000000000000e+00
7.220221760617843643e+01,0.000000000000000000e+00
7.369150403471181221e+01,0.000000000000000000e+00
7.518082392081963405e+01,0.000000000000000000e+00
7.667017829184830191e+01,0.000000000000000000e+00
7.815956815802762492e+01,0.000000000000000000e+00
7.964899451196761504e+01,0.000000000000000000e+00
8.113845832817162318e+01,0.000000000000000000e+00
8.262796056254357779e+01,0.000000000000000000e+00
8.411750215192118674e+01,0.000000000000000000e+00
8.560708401360652431e+01,0.000000000000000000e+00
8.709670704491429660e+01,0.000000000000000000e+00
8.858637212272104478e+01,0.000000000000000000e+00
9.007608010303692936e+01,0.000000000000000000e+00
9.156583182057238446e+01,0.000000000000000000e+00
9.305562808833484212e+01,0.000000000000000000e+00
9.454546969721262428e+01,0.000000000000000000e+00
9.603535741559299765e+01,0.000000000000000000e+00
9.752529198897384788e+01,0.000000000000000000e+00
9.901527413959854584e+01,0.000000000000000000e+00
1.005053045660927040e+02,0.000000000000000000e+00
1.019953839431212401e+02,0.000000000000000000e+00
1.034855129210530720e+02,0.000000000000000000e+00
1.049756921256349358e+02,0.000000000000000000e+00
1.056573745884999056e+02,1.593893742014979823e-04
1.067516092033279307e+02,1.550912655774778657e-04
1.078452802859360702e+02,1.497274794019802968e-04
1.089383896010199777e+02,1.527768161138549647e-04
1.100309393213678533e+02,1.637262159879479019e-04
1.111229320168472583e+02,1.837936729485298206e-04
1.122143706533223764e+02,2.119760599288649352e-04
1.133052586167540170e+02,2.382494764504294047e-04
1.143955996681887228e+02,2.686841643212348868e-04
1.154853979730078919e+02,2.987932256283273250e-04
1.165746581008782812e+02,3.249069724167285428e-04
1.176633850239457786e+02,3.437578772066262212e-04
1.187515840944874839e+02,3.555340558066674619e-04
1.198392610283646178e+02,3.615221182842688532e-04
1.209264219305548380e+02,3.558608029880080612e-04
1.220130731986218393e+02,3.468653836935298770e-04
1.230992215478608074e+02,3.385464975743451236e-04
1.241848740128529727e+02,3.341463807795571998e-04
1.252700379308799086e+02,3.367965857358210576e-04
1.263547209332179904e+02,3.392630640815495497e-04
1.274389309870358176e+02,3.373775744882436846e-04
1.285226763683159845e+02,3.302249120879679253e-04
1.296059656292060538e+02,3.179064314841213972e-04
1.306888075753090845e+02,3.005636953392289059e-04
1.317712112468883277e+02,2.811178734277027750e-04
1.328531858893829849e+02,2.658502244246323449e-04
1.339347409271154277e+02,2.528420706484438849e-04
1.350158859820561474e+02,2.415435664187263630e-04
1.360966308511363536e+02,2.319746326414311838e-04
1.371769854862421880e+02,2.200111541564039419e-04
1.382569599885657681e+02,2.088099974937122081e-04
1.393365645640317609e+02,1.967569281217453904e-04
1.404158095186640196e+02,1.836794117829046642e-04
1.414947052334096043e+02,1.705667355636791729e-04
1.425732621403273299e+02,1.576752136882590607e-04
1.436514907017302107e+02,1.472926462427463941e-04
1.447294013929970902e+02,1.420096197826431375e-04
1.458070046940439966e+02,1.407324331801283984e-04
1.468843110749421328e+02,1.409742944650521775e-04
1.479613309789186815e+02,1.407172969504698844e-04
1.490380748047157056e+02,1.394411359815367086e-04
1.501145528943039267e+02,1.364304668035492857e-04
1.511907755197373149e+02,1.323038742815199392e-04
1.522667528757182254e+02,1.278326312400599840e-04
1.533424950757324723e+02,1.240093898867692030e-04
1.544180121537854404e+02,1.211665235612512635e-04
1.554933140679651444e+02,1.201259266157979593e-04
1.565684107094944011e+02,1.212828185857939929e-04
1.576433119131052081e+02,1.239761628633969564e-04
1.587180274594312266e+02,1.266278069160688266e-04
1.597925671063190123e+02,1.062701363873775446e-04
1.608663409355044962e+02,3.404474672987925499e-02
1.619118829084154640e+02,2.801896616461452272e-01
1.628459151134822207e+02,8.100786768096130963e-01
1.635369976237459753e+02,1.631548571124847413e+00
1.640000210598918216e+02,2.599587465139104658e+00
1.643650140761207865e+02,3.608218628582318566e+00
1.646946115001763076e+02,4.628520102936468206e+00
1.651202541926574554e+02,5.612197457672720269e+00
1.656606431738234733e+02,6.537384755606313824e+00
1.663453821698049921e+02,7.361039540040156481e+00
1.672047329437824885e+02,7.999915238100956394e+00
1.680892098151389860e+02,8.603047941245613117e+00
1.689206322099870192e+02,9.277055994632970481e+00
1.696893922043728082e+02,1.002142314508073007e+01
1.703880085652020568e+02,1.083171118893278440e+01
1.710107918835415717e+02,1.170139372870331940e+01
1.715508852277717153e+02,1.262448114828114143e+01
1.720781027040001163e+02,1.355476199472903787e+01
1.726897447153868939e+02,1.443163265793226735e+01
1.734093337061520401e+02,1.522214285102025499e+01
1.742514636752293882e+02,1.588041578853039759e+01
1.752103237347972140e+02,1.635260796211680301e+01
1.761946254304456829e+02,1.676912502102914004e+01
