Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.348881896590571472e+01,0.000000000000000000e+00
3.497763920778793079e+01,0.000000000000000000e+00
3.646646200099053914e+01,0.000000000000000000e+00
3.795528861958978695e+01,0.000000000000000000e+00
3.944412033576535492e+01,0.000000000000000000e+00
4.093295841916429367e+01,0.000000000000000000e+00
4.242180413627539792e+01,0.000000000000000000e+00
4.391065874979718586e+01,0.000000000000000000e+00
4.539952351801362340e+01,0.000000000000000000e+00
4.688839969416737574e+01,0.000000000000000000e+00
4.837728852583963857e+01,0.000000000000000000e+00
4.986619125433053057e+01,0.000000000000000000e+00
5.135510911404155365e+01,0.000000000000000000e+00
5.284404333186468961e+01,0.000000000000000000e+00
5.433299512657180230e+01,0.000000000000000000e+00
5.582196570821221115e+01,0.000000000000000000e+00
5.731095627750901400e+01,0.000000000000000000e+00
5.879996802526542155e+01,0.000000000000000000e+00
6.028900213177193024e+01,0.000000000000000000e+00
6.177805976622234141e+01,0.000000000000000000e+00
6.326714208613169887e+01,0.000000000000000000e+00
6.475625023676249725e+01,0.000000000000000000e+00
6.624538535055715727e+01,0.000000000000000000e+00
6.773454854657335034e+01,0.000000000000000000e+00
6.922374092993223371e+01,0.000000000000000000e+00
7.071296359126608877e+01,0.000000000000000000e+00
7.220221760617843643e+01,0.000000000000000000e+00
7.369150403471181221e+01,0.000000000000000000e+00
7.518082392081963405e+01,0.000000000000000000e+00
7.667017829184830191e+01,0.000000000000000000e+00
7.815956815802762492e+01,0.000000000000000000e+00
7.964899451196761504e+01,0.000000000000000000e+00
8.113845832817162318e+01,0.000000000000000000e+00
8.262796056254357779e+01,0.000000000000000000e+00
8.411750215192118674e+01,0.000000000000000000e+00
8.560708401360652431e+01,0.000000000000000000e+00
8.709670704491429660e+01,0.000000000000000000e+00
8.858637212272104478e+01,0.000000000000000000e+00
9.007608010303692936e+01,0.000000000000000000e+00
9.156583182057238446e+01,0.000000000000000000e+00
9.305562808833484212e+01,0.000000000000000000e+00
9.454546969721262428e+01,0.000000000000000000e+00
9.603535741559299765e+01,0.000000000000000000e+00
9.752529198897384788e+01,0.000000000000000000e+00
9.901527413959854584e+01,0.000000000000000000e+00
1.005053045660927040e+02,0.000000000000000000e+00
1.019953839431212401e+02,0.000000000000000000e+00
1.034855129210530720e+02,0.000000000000000000e+00
1.049756921256349358e+02,0.000000000000000000e+00
1.064659221576865207e+02,0.000000000000000000e+00
1.079562035927967116e+02,0.000000000000000000e+00
1.094465369810421720e+02,0.000000000000000000e+00
1.109369228467104733e+02,0.000000000000000000e+00
1.124273616880444848e+02,0.000000000000000000e+00
1.139178539769919354e+02,0.000000000000000000e+00
1.154084001589709345e+02,0.000000000000000000e+00
1.168990006526517504e+02,0.000000000000000000e+00
1.183896558497455374e+02,0.000000000000000000e+00
1.198803661148146773e+02,0.000000000000000000e+00
1.213711317850855806e+02,0.000000000000000000e+00
1.228619531702877481e+02,0.000000000000000000e+00
1.243528305524955897e+02,0.000000000000000000e+00
1.258437641859903806e+02,0.000000000000000000e+00
1.273347542971335287e+02,0.000000000000000000e+00
1.288258010842553176e+02,0.000000000000000000e+00
1.303169047175557296e+02,0.000000000000000000e+00
1.318080653390198336e+02,0.000000000000000000e+00
1.332992830623438749e+02,0.000000000000000000e+00
1.347905579728880241e+02,0.000000000000000000e+00
1.362818901276221197e+02,0.000000000000000000e+00
1.377732795551097809e+02,0.000000000000000000e+00
1.392647262554853853e+02,0.000000000000000000e+00
1.407562302004498065e+02,0.000000000000000000e+00
1.422477913332971582e+02,0.000000000000000000e+00
1.437394095689357414e+02,0.000000000000000000e+00
1.452310847939264136e+02,0.000000000000000000e+00
1.467228168665475607e+02,0.000000000000000000e+00
1.482146056168564883e+02,0.000000000000000000e+00
1.497064508467751693e+02,0.000000000000000000e+00
1.511983523301965704e+02,0.000000000000000000e+00
1.526903098130844967e+02,0.000000000000000000e+00
1.541823230136041047e+02,0.000000000000000000e+00
1.556743916222692690e+02,0.000000000000000000e+00
1.571665153020832406e+02,0.000000000000000000e+00
1.586586936887112245e+02,0.000000000000000000e+00
1.601509263906649210e+02,0.000000000000000000e+00
1.616432129894950265e+02,0.000000000000000000e+00
1.631355530399930274e+02,0.000000000000000000e+00
1.646279460704219559e+02,0.000000000000000000e+00
1.661203915827437640e+02,0.000000000000000000e+00
1.676128890528736406e+02,0.000000000000000000e+00
1.691054379309384217e+02,0.000000000000000000e+00
1.705980376415471653e+02,0.000000000000000000e+00
1.720906875840909152e+02,0.000000000000000000e+00
1.735833871330271165e+02,0.000000000000000000e+00
1.750761356382018619e+02,0.000000000000000000e+00
1.765689324251762002e+02,0.000000000000000000e+00
1.780617767955607178e+02,0.000000000000000000e+00
1.795546680273634195e+02,0.000000000000000000e+00
1.810476053753569090e+02,0.000000000000000000e+00
1.825405880714397142e+02,0.000000000000000000e+00
1.840336153250396194e+02,0.000000000000000000e+00
1.855266863234823802e+02,0.000000000000000000e+00
1.870198002324160882e+02,0.000000000000000000e+00
1.885129561962198181e+02,0.000000000000000000e+00
1.900061533384188124e+02,0.000000000000000000e+00
1.914993907621258984e+02,0.000000000000000000e+00
1.929926675504807747e+02,0.000000000000000000e+00
1.944859827670877905e+02,0.000000000000000000e+00
1.959793354564850461e+02,0.000000000000000000e+00
1.974727246445910964e+02,0.000000000000000000e+00
1.989661493391829765e+02,0.000000000000000000e+00
2.004596085303659265e+02,0.000000000000000000e+00
2.019531011910462723e+02,0.000000000000000000e+00
2.034466262774254517e+02,0.000000000000000000e+00
2.049401827294832401e+02,0.000000000000000000e+00
2.064337694714721465e+02,0.000000000000000000e+00
2.079273854124257355e+02,0.000000000000000000e+00
2.094210294466644484e+02,0.000000000000000000e+00
2.109147004543177957e+02,0.000000000000000000e+00
2.124083973018591962e+02,0.000000000000000000e+00
2.139021188426440006e+02,0.000000000000000000e+00
2.153958639174902032e+02,0.000000000000000000e+00
2.168896313552592403e+02,0.000000000000000000e+00
2.183834199734739627e+02,0.000000000000000000e+00
2.198772285789679302e+02,0.000000000000000000e+00
2.213710559685767123e+02,0.000000000000000000e+00
2.228649009298558781e+02,0.000000000000000000e+00
2.243587622418365015e+02,0.000000000000000000e+00
2.258526386758376532e+02,0.000000000000000000e+00
2.273465289961578151e+02,0.000000000000000000e+00
2.288404319612322979e+02,0.000000000000000000e+00
2.303343463229051906e+02,0.000000000000000000e+00
2.318282708325251349e+02,0.000000000000000000e+00
2.333222042204344291e+02,0.000000000000000000e+00
2.348161452751578224e+02,0.000000000000000000e+00
2.363100925464482316e+02,0.000000000000000000e+00
2.378040454515288786e+02,0.000000000000000000e+00
2.392980001883728676e+02,0.000000000000000000e+00
2.407919654042552793e+02,0.000000000000000000e+00
2.422859158196141891e+02,0.000000000000000000e+00
