 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39317904     -33.86249813       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904     -32.13582875       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904     -30.70902510       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904     -29.43772712       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904     -28.26683713       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904     -27.16798190       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904     -26.12415033       0.00000000       0.00000000       0.00000001       0.00000001
       0.39317904     -25.12413738       0.00000001       0.00000001       0.00000003       0.00000004
       0.39317904     -24.16007073       0.00000003       0.00000004       0.00000005       0.00000006
       0.39317904     -23.22615228       0.00000003       0.00000004       0.00000001       0.00000002
       0.39317904     -22.31795445       0.00000001       0.00000001       0.00000000       0.00000000
       0.39317904     -21.43199791       0.00000002       0.00000002       0.00000000       0.00000000
       0.39317904     -20.56548395       0.00000001       0.00000002       0.00000000       0.00000000
       0.39317904     -19.71611713       0.00000001       0.00000001       0.00000000       0.00000000
       0.39317904     -18.88198350       0.00000002       0.00000001       0.00000000       0.00000000
       0.39317904     -18.06146433       0.00000004       0.00000002       0.00000000       0.00000000
       0.39317904     -17.25317350       0.00000015       0.00000002       0.00000008       0.00000000
       0.39317904     -16.45591089       0.00000075       0.00000011       0.00000741       0.00000007
       0.39317904     -15.66862722       0.00000272       0.00000032       0.00006152       0.00000128
       0.39317904     -14.89039679       0.00001243       0.00000202       0.00033272       0.00002585
       0.39317904     -14.12039631       0.00006090       0.00001498       0.00258288       0.00074643
       0.39317904     -13.35788803       0.00027843       0.00008931       0.01659029       0.00754060
       0.39317904     -12.60220619       0.00134214       0.00058250       0.08767958       0.05328159
       0.39317904     -11.85274607       0.00582915       0.00323346       0.32193952       0.27118794
       0.39317904     -11.10895492       0.01747690       0.01103244       0.58131557       0.56050300
       0.39317904     -10.37032456       0.03307119       0.02230433       0.66039672       0.65531429
       0.39317904      -9.63638506       0.04237757       0.03017575       0.58894682       0.60109351
       0.39317904      -8.90669948       0.04421665       0.03266873       0.47638023       0.51019143
       0.39317904      -8.18085941       0.04552495       0.03314194       0.47191584       0.50072920
       0.39317904      -7.45848107       0.04671931       0.03363784       0.50696480       0.56308634
       0.39317904      -6.73920198       0.04614549       0.03222584       0.48433917       0.50825650
       0.39317904      -6.02267805       0.04845624       0.02815762       0.54853996       0.32961468
       0.39317904      -5.30858099       0.05297468       0.02563185       0.67277246       0.25899544
       0.39317904      -4.59659603       0.05207071       0.02719685       0.65370101       0.35680091
       0.39317904      -3.88641986       0.04674283       0.02968599       0.51836765       0.46033171
       0.39317904      -3.17775880       0.04425100       0.03014502       0.45855430       0.45174027
       0.39317904      -2.47032699       0.04496101       0.03030804       0.47696174       0.45337968
       0.39317904      -1.76384494       0.04497274       0.03173667       0.46261901       0.53196955
       0.39317904      -1.05803789       0.04410188       0.03263230       0.44457834       0.58799444
       0.39317904      -0.35263452       0.04330154       0.03225742       0.44434040       0.58546263
       0.39317904       0.35263452       0.04287965       0.03222457       0.42914544       0.59325679
       0.39317904       1.05803789       0.04394217       0.03281446       0.42741173       0.62326181
       0.39317904       1.76384494       0.04551888       0.03292621       0.45070504       0.62389151
       0.39317904       2.47032699       0.04470601       0.03283556       0.44069746       0.61089290
       0.39317904       3.17775880       0.04300657       0.03304415       0.41159178       0.61837242
       0.39317904       3.88641986       0.04425380       0.03310869       0.44551959       0.62221641
       0.39317904       4.59659603       0.04617036       0.03347097       0.48130323       0.61998459
       0.39317904       5.30858099       0.04506948       0.03457261       0.44331125       0.64048282
       0.39317904       6.02267805       0.04397092       0.03482315       0.42337826       0.64976661
       0.39317904       6.73920198       0.04510346       0.03354836       0.46119300       0.59352487
       0.39317904       7.45848107       0.04444808       0.03410334       0.42171581       0.57893039
       0.39317904       8.18085941       0.04261812       0.03778978       0.35092227       0.69304509
       0.39317904       8.90669948       0.04520848       0.03979909       0.42854769       0.76472389
       0.39317904       9.63638506       0.04912110       0.03711770       0.55397940       0.65575149
       0.39317904      10.37032456       0.04769258       0.03383170       0.52067341       0.46805992
       0.39317904      11.10895492       0.04440861       0.03339517       0.47646729       0.47463781
       0.39317904      11.85274607       0.04196361       0.03216693       0.58265964       0.62051905
       0.39317904      12.60220619       0.03325287       0.02459187       0.68415381       0.72363725
       0.39317904      13.35788803       0.01791525       0.01248710       0.64306748       0.68712401
       0.39317904      14.12039631       0.00605405       0.00378227       0.40703800       0.43608482
       0.39317904      14.89039679       0.00138584       0.00070022       0.12446683       0.11204161
       0.39317904      15.66862722       0.00028218       0.00010682       0.02592140       0.01832519
       0.39317904      16.45591089       0.00006374       0.00001900       0.00522198       0.00331920
       0.39317904      17.25317350       0.00001395       0.00000283       0.00065895       0.00007946
       0.39317904      18.06146433       0.00000306       0.00000036       0.00010704       0.00000158
       0.39317904      18.88198350       0.00000095       0.00000012       0.00001223       0.00000004
       0.39317904      19.71611713       0.00000032       0.00000006       0.00000296       0.00000006
       0.39317904      20.56548395       0.00000007       0.00000001       0.00000003       0.00000000
       0.39317904      21.43199791       0.00000002       0.00000001       0.00000000       0.00000000
       0.39317904      22.31795445       0.00000002       0.00000002       0.00000000       0.00000000
       0.39317904      23.22615228       0.00000004       0.00000005       0.00000004       0.00000011
       0.39317904      24.16007073       0.00000003       0.00000004       0.00000016       0.00000040
       0.39317904      25.12413738       0.00000001       0.00000001       0.00000010       0.00000023
       0.39317904      26.12415033       0.00000000       0.00000000       0.00000002       0.00000004
       0.39317904      27.16798190       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904      28.26683713       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904      29.43772712       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904      30.70902510       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904      32.13582875       0.00000000       0.00000000       0.00000000       0.00000000
       0.39317904      33.86249813       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -33.86249813       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -32.13582875       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -30.70902510       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -29.43772712       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -28.26683713       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -27.16798190       0.00000000       0.00000000       0.00000000       0.00000000
       0.90265157     -26.12415033       0.00000000       0.00000000       0.00000000       0.00000001
       0.90265157     -25.12413738       0.00000001       0.00000001       0.00000003       0.00000003
       0.90265157     -24.16007073       0.00000003       0.00000003       0.00000005       0.00000006
       0.90265157     -23.22615228       0.00000003       0.00000004       0.00000002       0.00000002
       0.90265157     -22.31795445       0.00000001       0.00000002       0.00000000       0.00000000
       0.90265157     -21.43199791       0.00000002       0.00000002       0.00000000       0.00000000
       0.90265157     -20.56548395       0.00000001       0.00000002       0.00000000       0.00000000
       0.90265157     -19.71611713       0.00000001       0.00000002       0.00000000       0.00000000
       0.90265157     -18.88198350       0.00000002       0.00000001       0.00000000       0.00000000
       0.90265157     -18.06146433       0.00000004       0.00000002       0.00000000       0.00000000
       0.90265157     -17.25317350       0.00000015       0.00000002       0.00000010       0.00000000
       0.90265157     -16.45591089       0.00000073       0.00000010       0.00000889       0.00000009
       0.90265157     -15.66862722       0.00000263       0.00000029       0.00006752       0.00000110
       0.90265157     -14.89039679       0.00001196       0.00000185       0.00035779       0.00002331
       0.90265157     -14.12039631       0.00005843       0.00001402       0.00262488       0.00067999
       0.90265157     -13.35788803       0.00026490       0.00008352       0.01639063       0.00713158
       0.90265157     -12.60220619       0.00126494       0.00054150       0.08503158       0.05223260
       0.90265157     -11.85274607       0.00551050       0.00303614       0.31413495       0.27191545
       0.90265157     -11.10895492       0.01675359       0.01057426       0.57614518       0.56942001
       0.90265157     -10.37032456       0.03228045       0.02186840       0.66105895       0.67198980
       0.90265157      -9.63638506       0.04206425       0.03008500       0.59618619       0.62352806
       0.90265157      -8.90669948       0.04439868       0.03260417       0.48870816       0.52189541
       0.90265157      -8.18085941       0.04605135       0.03261244       0.48943532       0.48409479
       0.90265157      -7.45848107       0.04742128       0.03306052       0.53006367       0.54547039
       0.90265157      -6.73920198       0.04580779       0.03300954       0.47851581       0.55879270
       0.90265157      -6.02267805       0.04537096       0.03097754       0.46010413       0.46432460
       0.90265157      -5.30858099       0.04781675       0.02932747       0.53573579       0.41985574
       0.90265157      -4.59659603       0.04784965       0.03006921       0.53988316       0.48885311
       0.90265157      -3.88641986       0.04515451       0.03117651       0.47017872       0.53604918
       0.90265157      -3.17775880       0.04445115       0.03076023       0.46120867       0.49673842
       0.90265157      -2.47032699       0.04582891       0.03039816       0.50073952       0.47874721
       0.90265157      -1.76384494       0.04631250       0.03114751       0.50518682       0.52649543
       0.90265157      -1.05803789       0.04586277       0.03135046       0.50189914       0.54816468
       0.90265157      -0.35263452       0.04532557       0.03056287       0.50842843       0.51994034
       0.90265157       0.35263452       0.04518469       0.03030316       0.49983862       0.51183937
       0.90265157       1.05803789       0.04656158       0.03070496       0.50691237       0.53270769
       0.90265157       1.76384494       0.04830702       0.03068907       0.53574454       0.52878698
       0.90265157       2.47032699       0.04742648       0.03054311       0.52526971       0.51299342
       0.90265157       3.17775880       0.04542751       0.03080110       0.48708937       0.52028826
       0.90265157       3.88641986       0.04632024       0.03096952       0.50856630       0.52526535
       0.90265157       4.59659603       0.04819007       0.03126164       0.54043538       0.52023113
       0.90265157       5.30858099       0.04731628       0.03214372       0.50825565       0.53510763
       0.90265157       6.02267805       0.04625059       0.03245549       0.48944410       0.54789797
       0.90265157       6.73920198       0.04756057       0.03142435       0.53396181       0.50373728
       0.90265157       7.45848107       0.04789725       0.03149497       0.52512837       0.47706415
