 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38613789     -35.10871145       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789     -33.31849689       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789     -31.83918377       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789     -30.52109927       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789     -29.30711799       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789     -28.16782251       0.00000000       0.00000000       0.00000001       0.00000001
       0.38613789     -27.08557568       0.00000001       0.00000001       0.00000006       0.00000007
       0.38613789     -26.04876008       0.00000004       0.00000003       0.00000012       0.00000016
       0.38613789     -25.04921369       0.00000005       0.00000004       0.00000003       0.00000004
       0.38613789     -24.08092502       0.00000002       0.00000002       0.00000000       0.00000000
       0.38613789     -23.13930354       0.00000003       0.00000003       0.00000000       0.00000000
       0.38613789     -22.22074188       0.00000002       0.00000001       0.00000000       0.00000000
       0.38613789     -21.32233832       0.00000003       0.00000001       0.00000000       0.00000000
       0.38613789     -20.44171297       0.00000004       0.00000001       0.00000001       0.00000000
       0.38613789     -19.57688141       0.00000010       0.00000001       0.00000009       0.00000000
       0.38613789     -18.72616536       0.00000048       0.00000003       0.00000440       0.00000000
       0.38613789     -17.88812767       0.00000190       0.00000013       0.00011126       0.00000011
       0.38613789     -17.06152408       0.00000716       0.00000049       0.00061977       0.00000359
       0.38613789     -16.24526665       0.00003467       0.00000459       0.00305461       0.00015203
       0.38613789     -15.43839566       0.00016090       0.00003311       0.01737545       0.00289819
       0.38613789     -14.64005749       0.00074752       0.00022810       0.07747024       0.02614103
       0.38613789     -13.84948726       0.00353441       0.00159024       0.28013870       0.18943312
       0.38613789     -13.06599469       0.01270521       0.00724629       0.55929247       0.52934916
       0.38613789     -12.28895281       0.02848603       0.01858280       0.66683185       0.68981403
       0.38613789     -11.51778854       0.04055441       0.02896467       0.60585217       0.66411428
       0.38613789     -10.75197498       0.04430343       0.03212075       0.49026703       0.52860269
       0.38613789      -9.99102491       0.04671103       0.03107662       0.49124998       0.42228361
       0.38613789      -9.23448532       0.04844614       0.03186628       0.53003282       0.48878931
       0.38613789      -8.48193277       0.04789664       0.03289981       0.49832376       0.52857957
       0.38613789      -7.73296934       0.05097039       0.02958706       0.56873789       0.35479273
       0.38613789      -6.98721922       0.05562343       0.02617775       0.68432201       0.23227638
       0.38613789      -6.24432565       0.05207033       0.02869104       0.61103172       0.35779838
       0.38613789      -5.50394827       0.04488862       0.03342763       0.43747367       0.60564325
       0.38613789      -4.76576072       0.04430882       0.03321012       0.44859912       0.64517142
       0.38613789      -4.02944854       0.04744409       0.02939606       0.55092994       0.48842483
       0.38613789      -3.29470721       0.04720966       0.02763895       0.54444952       0.38683243
       0.38613789      -2.56124038       0.04475108       0.02830222       0.49844334       0.42687466
       0.38613789      -1.82875825       0.04278820       0.02835913       0.51070888       0.50490798
       0.38613789      -1.09697598       0.04006491       0.02706986       0.52090823       0.55702889
       0.38613789      -0.36561223       0.03718632       0.02575485       0.49252910       0.56985965
       0.38613789       0.36561223       0.03718632       0.02575485       0.49252910       0.56985965
       0.38613789       1.09697598       0.04006491       0.02706986       0.52090823       0.55702889
       0.38613789       1.82875825       0.04278820       0.02835913       0.51070888       0.50490798
       0.38613789       2.56124038       0.04475108       0.02830222       0.49844334       0.42687466
       0.38613789       3.29470721       0.04720966       0.02763895       0.54444952       0.38683242
       0.38613789       4.02944854       0.04744409       0.02939606       0.55092994       0.48842482
       0.38613789       4.76576072       0.04430882       0.03321012       0.44859912       0.64517142
       0.38613789       5.50394827       0.04488862       0.03342763       0.43747366       0.60564327
       0.38613789       6.24432565       0.05207033       0.02869104       0.61103171       0.35779840
       0.38613789       6.98721922       0.05562343       0.02617775       0.68432201       0.23227638
       0.38613789       7.73296934       0.05097039       0.02958706       0.56873790       0.35479272
       0.38613789       8.48193277       0.04789664       0.03289981       0.49832377       0.52857956
       0.38613789       9.23448532       0.04844614       0.03186628       0.53003282       0.48878930
       0.38613789       9.99102491       0.04671103       0.03107662       0.49124997       0.42228362
       0.38613789      10.75197498       0.04430343       0.03212075       0.49026703       0.52860270
       0.38613789      11.51778854       0.04055441       0.02896467       0.60585218       0.66411428
       0.38613789      12.28895281       0.02848603       0.01858280       0.66683185       0.68981403
       0.38613789      13.06599469       0.01270521       0.00724629       0.55929246       0.52934914
       0.38613789      13.84948726       0.00353441       0.00159024       0.28013868       0.18943310
       0.38613789      14.64005749       0.00074752       0.00022810       0.07747023       0.02614103
       0.38613789      15.43839566       0.00016090       0.00003311       0.01737545       0.00289819
       0.38613789      16.24526665       0.00003467       0.00000459       0.00305461       0.00015203
       0.38613789      17.06152408       0.00000716       0.00000049       0.00061977       0.00000359
       0.38613789      17.88812767       0.00000190       0.00000013       0.00011126       0.00000011
       0.38613789      18.72616536       0.00000048       0.00000003       0.00000440       0.00000000
       0.38613789      19.57688141       0.00000010       0.00000001       0.00000009       0.00000000
       0.38613789      20.44171297       0.00000004       0.00000001       0.00000001       0.00000000
       0.38613789      21.32233832       0.00000003       0.00000001       0.00000000       0.00000000
       0.38613789      22.22074188       0.00000002       0.00000001       0.00000000       0.00000000
       0.38613789      23.13930354       0.00000003       0.00000003       0.00000000       0.00000000
       0.38613789      24.08092502       0.00000002       0.00000002       0.00000000       0.00000000
       0.38613789      25.04921369       0.00000005       0.00000004       0.00000003       0.00000004
       0.38613789      26.04876008       0.00000004       0.00000003       0.00000012       0.00000016
       0.38613789      27.08557568       0.00000001       0.00000001       0.00000006       0.00000007
       0.38613789      28.16782251       0.00000000       0.00000000       0.00000001       0.00000001
       0.38613789      29.30711799       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789      30.52109927       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789      31.83918377       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789      33.31849689       0.00000000       0.00000000       0.00000000       0.00000000
       0.38613789      35.10871145       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -35.10871145       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -33.31849689       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -31.83918377       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -30.52109927       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -29.30711799       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -28.16782251       0.00000000       0.00000000       0.00000001       0.00000001
       0.88648664     -27.08557568       0.00000001       0.00000001       0.00000005       0.00000006
       0.88648664     -26.04876008       0.00000003       0.00000003       0.00000009       0.00000012
       0.88648664     -25.04921369       0.00000005       0.00000004       0.00000003       0.00000003
       0.88648664     -24.08092502       0.00000002       0.00000002       0.00000000       0.00000000
       0.88648664     -23.13930354       0.00000002       0.00000002       0.00000000       0.00000000
       0.88648664     -22.22074188       0.00000002       0.00000001       0.00000000       0.00000000
       0.88648664     -21.32233832       0.00000002       0.00000001       0.00000000       0.00000000
       0.88648664     -20.44171297       0.00000004       0.00000001       0.00000001       0.00000000
       0.88648664     -19.57688141       0.00000009       0.00000001       0.00000005       0.00000000
       0.88648664     -18.72616536       0.00000047       0.00000003       0.00000397       0.00000000
       0.88648664     -17.88812767       0.00000188       0.00000013       0.00012260       0.00000019
       0.88648664     -17.06152408       0.00000694       0.00000045       0.00062341       0.00000292
       0.88648664     -16.24526665       0.00003282       0.00000421       0.00294253       0.00015807
       0.88648664     -15.43839566       0.00015057       0.00003050       0.01600879       0.00277582
       0.88648664     -14.64005749       0.00069098       0.00020669       0.07162068       0.02378838
       0.88648664     -13.84948726       0.00325794       0.00144097       0.26591797       0.17543258
       0.88648664     -13.06599469       0.01188504       0.00671117       0.54989360       0.51748081
       0.88648664     -12.28895281       0.02733005       0.01772752       0.66924130       0.69228013
       0.88648664     -11.51778854       0.03992233       0.02846091       0.61915497       0.67984686
       0.88648664     -10.75197498       0.04417288       0.03231630       0.50269498       0.55553982
       0.88648664      -9.99102491       0.04652655       0.03146979       0.49005578       0.43934208
       0.88648664      -9.23448532       0.04834668       0.03200908       0.52731076       0.48504800
       0.88648664      -8.48193277       0.04712448       0.03391351       0.48022406       0.57510965
       0.88648664      -7.73296934       0.04742355       0.03279217       0.47399718       0.50352709
       0.88648664      -6.98721922       0.05009241       0.03039082       0.54780057       0.40949202
       0.88648664      -6.24432565       0.04883756       0.03115328       0.52492894       0.47376873
       0.88648664      -5.50394827       0.04546225       0.03308638       0.45550991       0.59500488
       0.88648664      -4.76576072       0.04567475       0.03188118       0.48726306       0.57157444
       0.88648664      -4.02944854       0.04706383       0.02922699       0.53659494       0.45517709
       0.88648664      -3.29470721       0.04580164       0.02866996       0.51062414       0.43339255
       0.88648664      -2.56124038       0.04375028       0.02918585       0.49405194       0.50039478
       0.88648664      -1.82875825       0.04210012       0.02825497       0.53578089       0.56538289
       0.88648664      -1.09697598       0.03912232       0.02600216       0.55573382       0.59356153
       0.88648664      -0.36561223       0.03596216       0.02414445       0.52691892       0.58821742
       0.88648664       0.36561223       0.03596216       0.02414445       0.52691892       0.58821742
       0.88648664       1.09697598       0.03912232       0.02600216       0.55573382       0.59356153
       0.88648664       1.82875825       0.04210012       0.02825497       0.53578089       0.56538289
