Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.296624301454522055e+01,6.453150806840634180e-04
3.361191201188032807e+01,7.181913099537475809e-01
3.446634006103781189e+01,1.167601244376051950e+00
3.542284037632018112e+01,1.296196421341139882e+00
3.638849468853139513e+01,1.297449306513609679e+00
3.735049482190215286e+01,1.223287621642635159e+00
3.831080810205851606e+01,1.119483275986449922e+00
3.927057255833661031e+01,1.022963976248862039e+00
4.023492652341324316e+01,9.640346255991741886e-01
4.119920219249842575e+01,9.510982346709696555e-01
4.216557953730347208e+01,9.459086665847368236e-01
4.312938078375448470e+01,9.207090858124702404e-01
4.409369421430011471e+01,8.539848246643957363e-01
4.504818209945719332e+01,7.196125175416993036e-01
4.599893260914012671e+01,5.438984074192476648e-01
4.694336274788131647e+01,3.522730464887318669e-01
4.789358618095935327e+01,1.725706276815357210e-01
4.884886178717211891e+01,4.719035490007030681e-02
4.981482633031139073e+01,4.839004117131468635e-03
5.077914079741507436e+01,7.964312468679101906e-03
5.174478216675070286e+01,6.503617244828825347e-03
5.270984337760023664e+01,7.114712447728183120e-03
5.367521645556674059e+01,3.662733138529952748e-03
5.464044515550230585e+01,1.515091865999160931e-03
5.560591198113560552e+01,1.830842532824582258e-03
5.657085461157583239e+01,1.565668921832322376e-03
5.753667190773229123e+01,1.125926942448075493e-03
5.850132042589576287e+01,6.467248797636434426e-04
5.946746797538821028e+01,4.209775478415805905e-04
6.043181661989262210e+01,4.221296818295557432e-04
6.139827269267393461e+01,2.412190029375000516e-04
6.236233139497024780e+01,5.207030492502520615e-05
6.332906910141074519e+01,3.444789622547548853e-03
6.429283064261808534e+01,5.512964446053768112e-03
6.525985412797653851e+01,7.239050689204751775e-04
6.622333016848411091e+01,1.744134408259280164e-03
6.719062757456691770e+01,2.447396722842465691e-03
6.815385253652490860e+01,1.115154157041652180e-03
6.912040121164072559e+01,4.120642805477090637e-02
7.007811775532714194e+01,1.387080055829131298e-01
7.103544136077934468e+01,2.806756499640258862e-01
7.198198370608272967e+01,4.536884144326792101e-01
7.292974531888764034e+01,6.517023138346356159e-01
7.387647259326540450e+01,8.213497742230547738e-01
7.483792749578194048e+01,9.389862056156920156e-01
7.579820134505375506e+01,9.858989192564153736e-01
7.676667383909405373e+01,9.533249150540433758e-01
7.772267930799269209e+01,8.555001224115672542e-01
7.868112992318171450e+01,7.097540500835536337e-01
7.962631675686725430e+01,5.386929332013655758e-01
8.058019201410543531e+01,3.630538919730713077e-01
8.152632607574052770e+01,1.997228964967594778e-01
8.248760670666254669e+01,6.781540276378629495e-02
8.344487271751054891e+01,1.748338302382384428e-03
8.441653124979467293e+01,4.423163632009774297e-03
8.537467531893479133e+01,3.932094982999541702e-03
8.634814787967526684e+01,3.248675283100064572e-03
8.730452395850561231e+01,2.340114316191633983e-03
8.827972794579473259e+01,1.168981727583633676e-03
8.923445166617206326e+01,1.388813659668400010e-03
9.021124778500924890e+01,1.540768952934553401e-03
9.116445732883528308e+01,1.659534852086991079e-03
9.214267769496314031e+01,1.800973792694790000e-03
9.309455945645558472e+01,2.104180084683402417e-03
9.407400213607643025e+01,2.274981959102846327e-03
9.502477105107125510e+01,2.202190753069407751e-03
9.600520229029140751e+01,7.292822013583318518e-04
9.695508601572964835e+01,1.980396151224917290e-03
9.793633646412115468e+01,1.809434047403488208e-03
9.888547595186786054e+01,1.523565294697948281e-03
9.986735794802466160e+01,1.196230691395338283e-03
1.008160026620521421e+02,1.163209635036261975e-03
1.017982493123678864e+02,1.095374667050954490e-03
1.027466588480762368e+02,1.026212591437303950e-03
1.037290127378113738e+02,9.763544009903052205e-04
1.046774415546665011e+02,1.015097403967666354e-03
1.056596517599647171e+02,1.102087328092302100e-03
1.066083474011063288e+02,1.205230987212827605e-03
1.075901681734605972e+02,1.290887325003875052e-03
1.085393736236551518e+02,1.481529282428249933e-03
1.095205647831519116e+02,1.702408782838842017e-03
1.104705147695345175e+02,1.909308904437432902e-03
1.114508462868119096e+02,2.098277551920838847e-03
1.124017654066622356e+02,2.398684858025756667e-03
1.133810193894538685e+02,2.926521931165887522e-03
1.143331069642203346e+02,3.190974576519471553e-03
1.153111016513569496e+02,3.911385245593111681e-03
1.162645007278460270e+02,3.764172996397648074e-03
1.172411232020014609e+02,4.511605240065589932e-03
1.181959538597829180e+02,4.356452978989997817e-03
1.191710318408829750e+02,3.243608256062742445e-03
1.201274881572456508e+02,1.882181963045904873e-03
1.211009049241584705e+02,1.879149720548473849e-03
1.220590945511264493e+02,1.860221134275967525e-03
1.230307239837823374e+02,1.828177110571404087e-03
1.239907508658397575e+02,1.771274496475939986e-03
1.249605002427404372e+02,1.722061147939534529e-03
1.259224437531327823e+02,1.652330894118089278e-03
1.268902477058475426e+02,9.609708589288094892e-04
1.278541522837454067e+02,1.485893013172605867e-03
1.288199999999999932e+02,0.000000000000000000e+00
