Q20,Q30
1.701417051671743081e+02,0.000000000000000000e+00
1.705703632462391113e+02,0.000000000000000000e+00
1.709990213253039144e+02,0.000000000000000000e+00
1.714276794043686323e+02,0.000000000000000000e+00
1.718563374834334354e+02,0.000000000000000000e+00
1.722849955624982385e+02,0.000000000000000000e+00
1.727136536415630417e+02,0.000000000000000000e+00
1.731423117206278448e+02,0.000000000000000000e+00
1.735709697996925627e+02,0.000000000000000000e+00
1.739996278787573658e+02,0.000000000000000000e+00
1.744282859578221689e+02,0.000000000000000000e+00
1.748569440368869436e+02,0.000000000000000000e+00
1.752856021159517468e+02,0.000000000000000000e+00
1.757142601950165215e+02,0.000000000000000000e+00
1.761429182740812962e+02,0.000000000000000000e+00
1.765715763531460709e+02,0.000000000000000000e+00
1.770002344322108456e+02,0.000000000000000000e+00
1.774288925112755919e+02,0.000000000000000000e+00
1.778575505903403382e+02,0.000000000000000000e+00
1.782862086694051129e+02,0.000000000000000000e+00
1.787148667484698876e+02,0.000000000000000000e+00
1.791435248275346339e+02,0.000000000000000000e+00
1.795721829065993802e+02,0.000000000000000000e+00
1.800008409856641265e+02,0.000000000000000000e+00
1.804294990647288728e+02,0.000000000000000000e+00
1.808581571437936191e+02,0.000000000000000000e+00
1.812868152228583369e+02,0.000000000000000000e+00
1.817154733019230832e+02,0.000000000000000000e+00
1.821441313809878011e+02,0.000000000000000000e+00
1.825727894600524905e+02,0.000000000000000000e+00
1.830014475391171800e+02,0.000000000000000000e+00
1.834301056181818979e+02,0.000000000000000000e+00
1.838587636972465873e+02,0.000000000000000000e+00
1.842874217763112767e+02,0.000000000000000000e+00
1.847160798553759378e+02,0.000000000000000000e+00
1.851447379344406272e+02,0.000000000000000000e+00
1.855733960135053167e+02,0.000000000000000000e+00
1.860020540925699777e+02,0.000000000000000000e+00
1.864307121716346103e+02,0.000000000000000000e+00
1.868593702506992429e+02,0.000000000000000000e+00
1.872880283297638755e+02,0.000000000000000000e+00
1.877166864088285081e+02,0.000000000000000000e+00
1.881453444878931123e+02,0.000000000000000000e+00
1.885740025669576880e+02,0.000000000000000000e+00
1.890026606460222638e+02,0.000000000000000000e+00
1.894313187250868680e+02,0.000000000000000000e+00
1.898599768041514437e+02,0.000000000000000000e+00
1.902886348832160195e+02,0.000000000000000000e+00
1.907172929622805952e+02,0.000000000000000000e+00
1.911459510413451426e+02,0.000000000000000000e+00
1.915746091204096899e+02,0.000000000000000000e+00
1.920032671994742373e+02,0.000000000000000000e+00
1.924319252785387562e+02,0.000000000000000000e+00
1.928605833576033035e+02,0.000000000000000000e+00
1.932892414366678224e+02,0.000000000000000000e+00
1.937178995157323413e+02,0.000000000000000000e+00
1.941465575947968603e+02,0.000000000000000000e+00
1.945752156738613508e+02,0.000000000000000000e+00
1.950038737529258697e+02,0.000000000000000000e+00
1.954325318319903886e+02,0.000000000000000000e+00
1.958611899110548791e+02,0.000000000000000000e+00
1.962898479901193696e+02,0.000000000000000000e+00
1.967185060691838316e+02,0.000000000000000000e+00
1.971471641482482937e+02,0.000000000000000000e+00
1.975758222273127842e+02,0.000000000000000000e+00
1.980044803063772747e+02,0.000000000000000000e+00
1.984331383854417368e+02,0.000000000000000000e+00
1.988617964645061988e+02,0.000000000000000000e+00
1.992904545435706609e+02,0.000000000000000000e+00
1.997191126226351230e+02,0.000000000000000000e+00
2.001477707016995851e+02,0.000000000000000000e+00
2.005764287807640471e+02,0.000000000000000000e+00
2.010050868598284808e+02,0.000000000000000000e+00
2.014337449388929429e+02,0.000000000000000000e+00
2.018624030179573765e+02,0.000000000000000000e+00
2.022910610970218386e+02,0.000000000000000000e+00
2.027197191760863006e+02,0.000000000000000000e+00
2.031483772551507627e+02,0.000000000000000000e+00
2.035770353342151395e+02,0.000000000000000000e+00
2.040056934132796016e+02,0.000000000000000000e+00
2.044343514923440637e+02,0.000000000000000000e+00
2.048630095714084973e+02,0.000000000000000000e+00
