 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39274782     -34.07024631       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782     -32.33298372       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782     -30.89742655       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782     -29.61832910       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782     -28.44025563       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782     -27.33465887       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782     -26.28442334       0.00000000       0.00000000       0.00000002       0.00000003
       0.39274782     -25.27827526       0.00000002       0.00000001       0.00000011       0.00000011
       0.39274782     -24.30829402       0.00000004       0.00000002       0.00000012       0.00000006
       0.39274782     -23.36864593       0.00000003       0.00000002       0.00000001       0.00000000
       0.39274782     -22.45487625       0.00000002       0.00000002       0.00000000       0.00000000
       0.39274782     -21.56348432       0.00000003       0.00000003       0.00000000       0.00000001
       0.39274782     -20.69165426       0.00000003       0.00000001       0.00000000       0.00000000
       0.39274782     -19.83707653       0.00000010       0.00000002       0.00000024       0.00000000
       0.39274782     -18.99782545       0.00000021       0.00000001       0.00000125       0.00000000
       0.39274782     -18.17227235       0.00000071       0.00000001       0.00004700       0.00000000
       0.39274782     -17.35902261       0.00000263       0.00000007       0.00088519       0.00000009
       0.39274782     -16.55686876       0.00000821       0.00000026       0.00483795       0.00000158
       0.39274782     -15.76475505       0.00002736       0.00000153       0.01063509       0.00003431
       0.39274782     -14.98175014       0.00010187       0.00001137       0.03171640       0.00110293
       0.39274782     -14.20702567       0.00038132       0.00007072       0.10167836       0.01067526
       0.39274782     -13.43983936       0.00151538       0.00046310       0.25801015       0.07523055
       0.39274782     -12.67952138       0.00580942       0.00261910       0.51527701       0.34400341
       0.39274782     -11.92546328       0.01663805       0.00949424       0.68475262       0.63188600
       0.39274782     -11.17710894       0.03119282       0.02083518       0.69118187       0.71725537
       0.39274782     -10.43394704       0.04047993       0.02999369       0.57669540       0.66426846
       0.39274782      -9.69550478       0.04468249       0.03242984       0.49000134       0.52871038
       0.39274782      -8.96134254       0.04877205       0.03180824       0.53676261       0.44684438
       0.39274782      -8.23104941       0.04902844       0.03372648       0.53795825       0.56284773
       0.39274782      -7.50423924       0.04551761       0.03565484       0.43300478       0.65646599
       0.39274782      -6.78054734       0.04716084       0.03221922       0.47066040       0.50045827
       0.39274782      -6.05962749       0.05333417       0.02717753       0.63309816       0.29423174
       0.39274782      -5.34114941       0.05475815       0.02648819       0.66753689       0.28878590
       0.39274782      -4.62479638       0.05152999       0.02843999       0.59746131       0.39060641
       0.39274782      -3.91026325       0.04903334       0.02916412       0.55081590       0.43589967
       0.39274782      -3.19725451       0.04689085       0.02939757       0.50654252       0.44569896
       0.39274782      -2.48548258       0.04480272       0.03088950       0.44897069       0.51216987
       0.39274782      -1.77466622       0.04495894       0.03225736       0.45142552       0.58797470
       0.39274782      -1.06452901       0.04583600       0.03219810       0.48426100       0.60882170
       0.39274782      -0.35479795       0.04465236       0.03182320       0.47021140       0.60246871
       0.39274782       0.35479795       0.04332301       0.03208072       0.43676857       0.61047455
       0.39274782       1.06452901       0.04432542       0.03249583       0.44381163       0.62233149
       0.39274782       1.77466622       0.04543781       0.03265845       0.45623153       0.62025147
       0.39274782       2.48548258       0.04416991       0.03282485       0.43230498       0.61711627
       0.39274782       3.19725451       0.04282144       0.03289752       0.40944166       0.61497410
       0.39274782       3.91026325       0.04420328       0.03275819       0.44004096       0.60056642
       0.39274782       4.62479638       0.04588677       0.03331261       0.46895616       0.59712124
       0.39274782       5.34114941       0.04488561       0.03476174       0.43676694       0.62172095
       0.39274782       6.05962749       0.04417455       0.03493135       0.41754891       0.61084814
       0.39274782       6.78054734       0.04595430       0.03327649       0.45875171       0.53058700
       0.39274782       7.50423924       0.04577014       0.03395348       0.43602868       0.53505493
       0.39274782       8.23104941       0.04332607       0.03815255       0.35779800       0.68715213
       0.39274782       8.96134254       0.04542264       0.03959113       0.41681445       0.74630931
       0.39274782       9.69550478       0.05045096       0.03558328       0.55891966       0.58771679
       0.39274782      10.43394704       0.04973955       0.03259948       0.54965909       0.43176060
       0.39274782      11.17710894       0.04500837       0.03328643       0.48929410       0.51478596
       0.39274782      11.92546328       0.04073189       0.03124295       0.57745344       0.67021029
       0.39274782      12.67952138       0.03119972       0.02183738       0.69420654       0.73715492
       0.39274782      13.43983936       0.01621801       0.00983740       0.68076154       0.66076811
       0.39274782      14.20702567       0.00538061       0.00263478       0.48749879       0.36653437
       0.39274782      14.98175014       0.00130101       0.00044535       0.21202740       0.07720705
       0.39274782      15.76475505       0.00030161       0.00006507       0.07083620       0.01063912
       0.39274782      16.55686876       0.00007456       0.00001024       0.01935692       0.00140028
       0.39274782      17.35902261       0.00001798       0.00000129       0.00568290       0.00005414
       0.39274782      18.17227235       0.00000476       0.00000018       0.00182507       0.00000095
       0.39274782      18.99782545       0.00000146       0.00000005       0.00011063       0.00000001
       0.39274782      19.83707653       0.00000042       0.00000001       0.00000518       0.00000000
       0.39274782      20.69165426       0.00000012       0.00000001       0.00000010       0.00000000
       0.39274782      21.56348432       0.00000007       0.00000003       0.00000008       0.00000000
       0.39274782      22.45487625       0.00000002       0.00000001       0.00000000       0.00000000
       0.39274782      23.36864593       0.00000003       0.00000003       0.00000001       0.00000001
       0.39274782      24.30829402       0.00000005       0.00000004       0.00000053       0.00000050
       0.39274782      25.27827526       0.00000002       0.00000002       0.00000087       0.00000102
       0.39274782      26.28442334       0.00000000       0.00000000       0.00000023       0.00000031
       0.39274782      27.33465887       0.00000000       0.00000000       0.00000002       0.00000002
       0.39274782      28.44025563       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782      29.61832910       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782      30.89742655       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782      32.33298372       0.00000000       0.00000000       0.00000000       0.00000000
       0.39274782      34.07024631       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -34.07024631       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -32.33298372       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -30.89742655       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -29.61832910       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -28.44025563       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -27.33465887       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -26.28442334       0.00000000       0.00000000       0.00000002       0.00000003
       0.90166158     -25.27827526       0.00000001       0.00000001       0.00000010       0.00000010
       0.90166158     -24.30829402       0.00000004       0.00000002       0.00000012       0.00000007
       0.90166158     -23.36864593       0.00000003       0.00000002       0.00000001       0.00000000
       0.90166158     -22.45487625       0.00000001       0.00000001       0.00000000       0.00000000
       0.90166158     -21.56348432       0.00000002       0.00000002       0.00000000       0.00000000
       0.90166158     -20.69165426       0.00000003       0.00000001       0.00000000       0.00000000
