 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39048089     -34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089     -32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089     -31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089     -29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089     -28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089     -27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       0.39048089     -26.59049724       0.00000000       0.00000000       0.00000006       0.00000018
       0.39048089     -25.57263288       0.00000003       0.00000003       0.00000025       0.00000068
       0.39048089     -24.59135650       0.00000006       0.00000006       0.00000024       0.00000048
       0.39048089     -23.64076651       0.00000005       0.00000004       0.00000002       0.00000002
       0.39048089     -22.71635627       0.00000002       0.00000002       0.00000000       0.00000000
       0.39048089     -21.81458436       0.00000003       0.00000003       0.00000001       0.00000001
       0.39048089     -20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       0.39048089     -20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       0.39048089     -19.21904918       0.00000008       0.00000001       0.00000006       0.00000000
       0.39048089     -18.38388278       0.00000034       0.00000001       0.00000157       0.00000000
       0.39048089     -17.56116300       0.00000143       0.00000010       0.00006662       0.00000009
       0.39048089     -16.74966832       0.00000520       0.00000027       0.00048821       0.00000053
       0.39048089     -15.94833070       0.00002205       0.00000202       0.00203309       0.00002782
       0.39048089     -15.15620794       0.00009669       0.00001583       0.01057465       0.00104779
       0.39048089     -14.37246205       0.00041298       0.00010032       0.04550077       0.00987515
       0.39048089     -13.59634209       0.00188132       0.00070022       0.16846986       0.07788479
       0.39048089     -12.82717044       0.00755735       0.00383989       0.44195602       0.35883162
       0.39048089     -12.06433157       0.02060587       0.01246063       0.63936514       0.62869046
       0.39048089     -11.30726288       0.03544954       0.02394161       0.65280804       0.68766984
       0.39048089     -10.55544709       0.04281109       0.03067571       0.54679292       0.60354750
       0.39048089      -9.80840590       0.04553217       0.03097685       0.48495768       0.46021014
       0.39048089      -9.06569458       0.04836617       0.03046273       0.52958010       0.42715817
       0.39048089      -8.32689741       0.04840204       0.03227859       0.51993862       0.52517671
       0.39048089      -7.59162376       0.04835271       0.03180744       0.50302045       0.47230227
       0.39048089      -6.85950469       0.05312174       0.02754509       0.62741444       0.28459747
       0.39048089      -6.13018996       0.05521688       0.02587592       0.68169613       0.24315797
       0.39048089      -5.40334542       0.04920726       0.02957374       0.54762407       0.43287837
       0.39048089      -4.67865069       0.04370551       0.03296237       0.42113507       0.62760053
       0.39048089      -3.95579705       0.04425512       0.03182918       0.46139664       0.61769780
       0.39048089      -3.23448554       0.04635166       0.02910164       0.51935326       0.49806526
       0.39048089      -2.51442525       0.04684273       0.02800248       0.52703150       0.44173253
       0.39048089      -1.79533165       0.04644934       0.02777598       0.54039565       0.44703593
       0.39048089      -1.07692512       0.04471039       0.02720921       0.53874974       0.45028714
       0.39048089      -0.35892946       0.04231668       0.02659122       0.50218428       0.44029792
       0.39048089       0.35892946       0.04231668       0.02659122       0.50218428       0.44029792
       0.39048089       1.07692512       0.04471039       0.02720921       0.53874974       0.45028714
       0.39048089       1.79533165       0.04644934       0.02777598       0.54039564       0.44703593
       0.39048089       2.51442525       0.04684273       0.02800248       0.52703150       0.44173252
       0.39048089       3.23448554       0.04635166       0.02910164       0.51935326       0.49806525
       0.39048089       3.95579705       0.04425512       0.03182918       0.46139664       0.61769781
       0.39048089       4.67865069       0.04370551       0.03296237       0.42113506       0.62760055
       0.39048089       5.40334542       0.04920726       0.02957375       0.54762406       0.43287839
       0.39048089       6.13018996       0.05521688       0.02587592       0.68169613       0.24315797
       0.39048089       6.85950469       0.05312174       0.02754509       0.62741444       0.28459747
       0.39048089       7.59162376       0.04835271       0.03180744       0.50302047       0.47230226
       0.39048089       8.32689741       0.04840204       0.03227859       0.51993864       0.52517669
       0.39048089       9.06569458       0.04836617       0.03046273       0.52958010       0.42715816
       0.39048089       9.80840590       0.04553217       0.03097685       0.48495767       0.46021015
       0.39048089      10.55544709       0.04281109       0.03067571       0.54679293       0.60354750
       0.39048089      11.30726288       0.03544954       0.02394161       0.65280804       0.68766983
       0.39048089      12.06433157       0.02060587       0.01246063       0.63936512       0.62869043
       0.39048089      12.82717044       0.00755735       0.00383989       0.44195599       0.35883157
       0.39048089      13.59634209       0.00188132       0.00070022       0.16846984       0.07788477
       0.39048089      14.37246205       0.00041298       0.00010032       0.04550076       0.00987515
       0.39048089      15.15620794       0.00009669       0.00001583       0.01057465       0.00104779
       0.39048089      15.94833070       0.00002205       0.00000202       0.00203309       0.00002782
       0.39048089      16.74966832       0.00000520       0.00000027       0.00048821       0.00000053
       0.39048089      17.56116300       0.00000143       0.00000010       0.00006662       0.00000009
       0.39048089      18.38388278       0.00000034       0.00000001       0.00000157       0.00000000
       0.39048089      19.21904918       0.00000008       0.00000001       0.00000006       0.00000000
       0.39048089      20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       0.39048089      20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       0.39048089      21.81458436       0.00000003       0.00000003       0.00000001       0.00000001
       0.39048089      22.71635627       0.00000002       0.00000002       0.00000000       0.00000000
       0.39048089      23.64076651       0.00000005       0.00000004       0.00000002       0.00000002
       0.39048089      24.59135650       0.00000006       0.00000006       0.00000024       0.00000048
       0.39048089      25.57263288       0.00000003       0.00000003       0.00000025       0.00000068
       0.39048089      26.59049724       0.00000000       0.00000000       0.00000006       0.00000018
       0.39048089      27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       0.39048089      28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089      29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089      31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089      32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       0.39048089      34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       0.89645721     -26.59049724       0.00000000       0.00000000       0.00000005       0.00000015
       0.89645721     -25.57263288       0.00000002       0.00000002       0.00000023       0.00000059
       0.89645721     -24.59135650       0.00000006       0.00000005       0.00000023       0.00000043
       0.89645721     -23.64076651       0.00000005       0.00000004       0.00000002       0.00000002
       0.89645721     -22.71635627       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721     -21.81458436       0.00000003       0.00000002       0.00000000       0.00000000
       0.89645721     -20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721     -20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       0.89645721     -19.21904918       0.00000008       0.00000001       0.00000007       0.00000000
       0.89645721     -18.38388278       0.00000035       0.00000001       0.00000132       0.00000000
       0.89645721     -17.56116300       0.00000143       0.00000010       0.00008106       0.00000013
       0.89645721     -16.74966832       0.00000502       0.00000026       0.00048713       0.00000072
       0.89645721     -15.94833070       0.00002077       0.00000184       0.00180009       0.00003141
       0.89645721     -15.15620794       0.00009069       0.00001460       0.00934872       0.00099202
       0.89645721     -14.37246205       0.00038498       0.00009188       0.04234260       0.00914722
       0.89645721     -13.59634209       0.00174131       0.00063634       0.15993863       0.07228474
       0.89645721     -12.82717044       0.00704280       0.00353898       0.42884336       0.34549963
       0.89645721     -12.06433157       0.01958939       0.01178896       0.63414502       0.62596742
       0.89645721     -11.30726288       0.03453167       0.02332456       0.65678927       0.69753653
       0.89645721     -10.55544709       0.04242789       0.03069504       0.55476199       0.62620636
       0.89645721      -9.80840590       0.04518905       0.03150251       0.48169464       0.48550586
       0.89645721      -9.06569458       0.04798949       0.03083767       0.51935185       0.43254487
       0.89645721      -8.32689741       0.04814384       0.03270745       0.51435655       0.53683169
       0.89645721      -7.59162376       0.04661675       0.03379459       0.45796420       0.56821066
       0.89645721      -6.85950469       0.04840185       0.03150267       0.50300744       0.46106193
       0.89645721      -6.13018996       0.04996946       0.02981771       0.55095458       0.41248287
       0.89645721      -5.40334542       0.04727260       0.03120149       0.49322098       0.51361310
       0.89645721      -4.67865069       0.04501707       0.03217689       0.46005121       0.59641565
       0.89645721      -3.95579705       0.04580765       0.03049770       0.50499714       0.54110805
       0.89645721      -3.23448554       0.04637106       0.02872380       0.51838139       0.45539183
       0.89645721      -2.51442525       0.04575554       0.02856945       0.50135174       0.45605803
       0.89645721      -1.79533165       0.04509162       0.02858715       0.51587481       0.49352282
       0.89645721      -1.07692512       0.04339207       0.02784034       0.52222255       0.50836025
       0.89645721      -0.35892946       0.04107658       0.02702154       0.49125237       0.49977824
       0.89645721       0.35892946       0.04107658       0.02702154       0.49125237       0.49977824
       0.89645721       1.07692512       0.04339207       0.02784034       0.52222255       0.50836025
       0.89645721       1.79533165       0.04509162       0.02858715       0.51587480       0.49352282
       0.89645721       2.51442525       0.04575554       0.02856945       0.50135175       0.45605802
       0.89645721       3.23448554       0.04637106       0.02872380       0.51838139       0.45539183
       0.89645721       3.95579705       0.04580765       0.03049770       0.50499714       0.54110805
       0.89645721       4.67865069       0.04501707       0.03217689       0.46005121       0.59641565
       0.89645721       5.40334542       0.04727260       0.03120149       0.49322099       0.51361310
       0.89645721       6.13018996       0.04996946       0.02981771       0.55095458       0.41248287
       0.89645721       6.85950469       0.04840185       0.03150267       0.50300744       0.46106193
       0.89645721       7.59162376       0.04661675       0.03379459       0.45796420       0.56821066
       0.89645721       8.32689741       0.04814384       0.03270745       0.51435655       0.53683169
       0.89645721       9.06569458       0.04798949       0.03083767       0.51935184       0.43254488
       0.89645721       9.80840590       0.04518905       0.03150251       0.48169464       0.48550587
       0.89645721      10.55544709       0.04242789       0.03069504       0.55476200       0.62620637
       0.89645721      11.30726288       0.03453167       0.02332456       0.65678927       0.69753652
       0.89645721      12.06433157       0.01958939       0.01178896       0.63414501       0.62596739
       0.89645721      12.82717044       0.00704280       0.00353898       0.42884333       0.34549958
       0.89645721      13.59634209       0.00174131       0.00063634       0.15993861       0.07228472
       0.89645721      14.37246205       0.00038498       0.00009188       0.04234259       0.00914721
       0.89645721      15.15620794       0.00009069       0.00001460       0.00934872       0.00099202
       0.89645721      15.94833070       0.00002077       0.00000184       0.00180008       0.00003141
       0.89645721      16.74966832       0.00000502       0.00000026       0.00048713       0.00000072
       0.89645721      17.56116300       0.00000143       0.00000010       0.00008106       0.00000013
       0.89645721      18.38388278       0.00000035       0.00000001       0.00000132       0.00000000
       0.89645721      19.21904918       0.00000008       0.00000001       0.00000007       0.00000000
       0.89645721      20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       0.89645721      20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721      21.81458436       0.00000003       0.00000002       0.00000000       0.00000000
       0.89645721      22.71635627       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721      23.64076651       0.00000005       0.00000004       0.00000002       0.00000002
       0.89645721      24.59135650       0.00000006       0.00000005       0.00000023       0.00000043
       0.89645721      25.57263288       0.00000002       0.00000002       0.00000023       0.00000059
       0.89645721      26.59049724       0.00000000       0.00000000       0.00000005       0.00000015
       0.89645721      27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       0.89645721      28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       1.40575729     -26.59049724       0.00000000       0.00000000       0.00000004       0.00000012
       1.40575729     -25.57263288       0.00000002       0.00000002       0.00000018       0.00000044
