Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.293860218190766176e+01,8.447565510941130312e-03
3.385997939722771832e+01,2.270248102433732873e-01
3.457950356419116389e+01,7.748545334246329519e-01
3.549717284717932841e+01,1.046713625047753338e+00
3.641611234821151299e+01,1.091918824331478799e+00
3.735776652569710166e+01,1.054667663593549465e+00
3.828605520016210306e+01,9.484885373690319366e-01
3.920147970511202118e+01,7.884413226662041474e-01
4.012622873684600933e+01,5.902454291006590248e-01
4.102144544440702134e+01,3.792648627827397423e-01
4.195438759440708054e+01,1.822433227886909868e-01
4.285840259984624367e+01,5.218082186995585958e-02
4.381705511729586533e+01,1.951644046433944138e-02
4.472532802721532619e+01,2.505031403694360850e-02
4.568881929247958595e+01,4.692715723145441178e-03
4.659609944336903453e+01,3.739965292762820886e-02
4.756103718198633601e+01,5.799486565238004543e-02
4.846619261662133482e+01,4.383254564890759486e-02
4.943353088753549684e+01,6.800821238807240772e-03
5.033580942026355842e+01,1.606771169334223273e-02
5.130612750871468108e+01,1.945560856383417997e-02
5.220483541944053485e+01,1.742040860808921968e-02
5.317733963896019844e+01,1.762860380184416015e-02
5.407508177685483730e+01,2.931836008241045163e-03
5.504870513502596197e+01,4.939463161615816056e-02
5.594177389161277603e+01,1.012563110365749669e-01
5.691972449644195109e+01,1.043070080611700340e-01
5.781032798256249805e+01,8.103160621455485213e-02
5.879102086218431822e+01,4.119772589541966651e-02
5.967801231288287767e+01,9.050801853213864823e-03
6.066263840424348786e+01,5.792340523886739534e-03
6.154718015661736530e+01,1.175776276303574022e-02
6.253405998162072876e+01,2.191566009979539070e-02
6.341341917109399162e+01,3.438445927219711123e-02
6.440281615660447301e+01,3.798044426958929048e-02
6.528035314083126650e+01,2.795384735380367774e-02
6.627302795949222514e+01,1.996274917538951726e-02
6.715311780394112873e+01,1.452691345736987702e-02
6.814447312900659881e+01,7.777565173013745864e-03
6.902777753165975128e+01,5.259698246598224630e-03
7.001608317055145392e+01,8.182499501516292016e-04
7.090299173277335854e+01,8.181965426816983911e-03
7.188745068197395938e+01,9.456752801406714121e-03
7.277850983497289405e+01,6.298270656592571022e-03
7.375856647832482338e+01,3.315079558777354538e-03
7.465431986583412538e+01,8.504484949288232745e-03
7.562901477699170982e+01,3.156209224508345346e-02
7.652664847807972137e+01,1.037420668618108804e-02
7.749120439654801373e+01,6.397255193922886385e-02
7.838485177667064363e+01,1.933741026405056407e-01
7.933401606478673784e+01,3.568639645749071554e-01
8.022147695501271869e+01,5.303050494101251289e-01
8.116863785540371623e+01,6.998407818161218596e-01
8.206403800563309403e+01,8.332192496778138002e-01
8.301871999983683281e+01,9.433477977475397402e-01
8.392286455740126883e+01,1.009268382508019979e+00
8.488217584968857921e+01,1.038796366117371583e+00
8.578989682135048156e+01,1.036776905672726512e+00
8.674842418385954090e+01,1.023030573783375363e+00
8.765724161639974454e+01,1.009311061930081133e+00
8.861453603947687441e+01,1.005743597295956082e+00
8.952491823166559470e+01,1.007147709786992085e+00
9.048060695409456855e+01,1.001206382206160761e+00
9.139246787802962046e+01,9.800647508389237483e-01
9.234534870739257428e+01,9.366795105148044698e-01
9.325725677408841818e+01,8.743549564804680152e-01
9.420643971082121482e+01,8.029084071540483203e-01
9.512013038530191977e+01,7.362807613338760993e-01
9.606796303242865065e+01,6.769712493169051104e-01
9.698530696652433392e+01,6.330504275019470661e-01
9.793200005004749187e+01,5.984564769130036321e-01
9.885252238946749515e+01,5.746078291519128856e-01
9.979723123620338754e+01,5.602907100929984674e-01
1.007206355899542132e+02,5.607319199921012576e-01
1.016627844105395297e+02,5.692091844615085883e-01
1.025888368614195798e+02,5.770245444159106674e-01
1.035282925930767135e+02,5.741294082184914549e-01
1.044566751210811617e+02,5.446387802284342605e-01
1.053912190466228935e+02,4.815628562309539618e-01
1.063187825562498432e+02,3.943628951933212390e-01
1.072470701906893993e+02,2.924736049376618352e-01
