Q20,Q30
1.600000000000000000e+02,0.000000000000000000e+00
1.611250648063754340e+02,2.805328725158166532e-04
1.622501296511377120e+02,2.878172785982558465e-04
1.633751944667076827e+02,3.154039246234142534e-04
1.645002592574149674e+02,3.648656849454137252e-04
1.656253239923600233e+02,4.345552569789736257e-04
1.667503886753056008e+02,4.938106394468431493e-04
1.678754533225898626e+02,5.252120533483325320e-04
1.690005179884804534e+02,5.119585183384278097e-04
1.701255827048649110e+02,4.668792037387905006e-04
1.712506474765011149e+02,4.113569102509185681e-04
1.723757122866047382e+02,3.656401456222236192e-04
1.735007771165886936e+02,3.372126462849509942e-04
1.746258419592677456e+02,3.174630637142682155e-04
1.757509068176336768e+02,2.922041975040792360e-04
1.768759717033283323e+02,2.507023210036081343e-04
1.780010366157799240e+02,2.030738746380621293e-04
1.791261015447542775e+02,1.676551769592277141e-04
1.802511664782447554e+02,1.609723903442639679e-04
1.813762314030227003e+02,1.875229604246733824e-04
1.825012963235442385e+02,2.365599863031668613e-04
1.836263612228771933e+02,2.935993358684582818e-04
1.847514260906418144e+02,3.431147388164990228e-04
1.858764909268447809e+02,3.708357055934649181e-04
1.870015557442106626e+02,3.631867261023807381e-04
1.881266205694211919e+02,3.072454367442804335e-04
1.892516854250054621e+02,2.042350890494028194e-04
1.903767503588709360e+02,9.262109139517801261e-05
1.915018152257321447e+02,1.305341647060343819e-05
1.926268804983863561e+02,1.427080626441214683e-06
1.937519440661705232e+02,5.262539806005847863e-05
1.948734079931980432e+02,9.000660650252761963e-02
1.959918846782160813e+02,2.115711257559354241e-01
1.971078721123473656e+02,3.542032129683519992e-01
1.982105666832993052e+02,5.774421942702491206e-01
1.992910281609510150e+02,8.910887411650902923e-01
2.003695150375916683e+02,1.211459081768456070e+00
2.014685735900380337e+02,1.451961493578051821e+00
2.025780239543863388e+02,1.638752806581211141e+00
2.036874711552453903e+02,1.825562893899024708e+00
2.047871435742515303e+02,2.063242646236893574e+00
2.058730521007195193e+02,2.357476838920977702e+00
2.069493280629945104e+02,2.685197964155330741e+00
2.080225749285244774e+02,3.022706843975700330e+00
2.090976284353685628e+02,3.354416101313353771e+00
2.101756254556053420e+02,3.676430843028407836e+00
2.112545150606514142e+02,3.995442260891476582e+00
2.123314586949237821e+02,4.320962563673234946e+00
2.134058421738132836e+02,4.654835582203864064e+00
2.144825282921680980e+02,4.981206608489435972e+00
2.155670023499534977e+02,5.280684575767006450e+00
2.166612818635742315e+02,5.542071970450314744e+00
2.177631898544706814e+02,5.769161801167893344e+00
2.188696200599578390e+02,5.973081388258584035e+00
2.199784493945656720e+02,6.163524263253406410e+00
2.210880008027112638e+02,6.349714050839346591e+00
2.221961950128855960e+02,6.543818499381126585e+00
2.233014555909970795e+02,6.753985043242183295e+00
2.244034241922778392e+02,6.980780320010862461e+00
2.255042443879876828e+02,7.213085643677793257e+00
2.266067124908738037e+02,7.437440088727140797e+00
2.277114870888345592e+02,7.650146196757361849e+00
2.288178243954904190e+02,7.854568630381952410e+00
2.299245021410282277e+02,8.057139863439070737e+00
2.310308481498146875e+02,8.261515149068577202e+00
2.321367113269243134e+02,8.468487044095542871e+00
2.332421058159284826e+02,8.677948904912442529e+00
2.343463056113060361e+02,8.893613340086130137e+00
2.354479954338056871e+02,9.121777955627234036e+00
2.365453718257805065e+02,9.369800190010030505e+00
2.376382621727053959e+02,9.636978478343447563e+00
2.387274387534214952e+02,9.918856736433065535e+00
2.398155719781403832e+02,1.020475070283401031e+01
2.402489989300231628e+02,1.124297465473613578e+01
2.401425028139312872e+02,1.236306400783651327e+01
2.400014731880675072e+02,1.347893790218332377e+01
2.399993885359148749e+02,1.460407924744987973e+01
2.399994065173895308e+02,1.572915210660567631e+01
2.399844886095297625e+02,1.685411733102378662e+01
2.399677494752176017e+02,1.797906483844383985e+01
2.399669098703172949e+02,1.910412606114806522e+01
2.399973332393419696e+02,2.022881038315232516e+01
