 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39070746     -34.69493875       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746     -32.92582271       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746     -31.46394399       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746     -30.16139374       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746     -28.96171980       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746     -27.83585145       0.00000000       0.00000000       0.00000000       0.00000001
       0.39070746     -26.76635941       0.00000000       0.00000001       0.00000005       0.00000019
       0.39070746     -25.74176318       0.00000003       0.00000003       0.00000023       0.00000075
       0.39070746     -24.75399691       0.00000006       0.00000007       0.00000023       0.00000055
       0.39070746     -23.79711998       0.00000005       0.00000005       0.00000002       0.00000002
       0.39070746     -22.86659595       0.00000002       0.00000002       0.00000000       0.00000000
       0.39070746     -21.95885997       0.00000003       0.00000003       0.00000001       0.00000001
       0.39070746     -21.07104453       0.00000002       0.00000001       0.00000000       0.00000000
       0.39070746     -20.20079775       0.00000004       0.00000001       0.00000001       0.00000000
       0.39070746     -19.34615864       0.00000008       0.00000001       0.00000006       0.00000000
       0.39070746     -18.50546868       0.00000033       0.00000001       0.00000140       0.00000000
       0.39070746     -17.67730766       0.00000139       0.00000009       0.00005966       0.00000006
       0.39070746     -16.86044598       0.00000508       0.00000022       0.00045543       0.00000027
       0.39070746     -16.05380853       0.00002138       0.00000167       0.00182888       0.00001771
       0.39070746     -15.25644689       0.00009344       0.00001388       0.00942879       0.00084084
       0.39070746     -14.46751752       0.00039792       0.00008956       0.04093133       0.00842115
       0.39070746     -13.68626453       0.00181636       0.00064166       0.15407559       0.06892215
       0.39070746     -12.91200579       0.00738740       0.00363885       0.42133761       0.33868574
       0.39070746     -12.14412171       0.02044679       0.01210740       0.62697745       0.61651972
       0.39070746     -11.38204597       0.03555638       0.02359998       0.64696438       0.68154306
       0.39070746     -10.62525789       0.04312811       0.03042193       0.54533288       0.59975134
       0.39070746      -9.87327598       0.04582224       0.03079303       0.48606989       0.46008889
       0.39070746      -9.12565257       0.04840761       0.03033440       0.52817635       0.43346638
       0.39070746      -8.38196920       0.04821477       0.03202989       0.51350331       0.53287883
       0.39070746      -7.64183265       0.04861760       0.03121274       0.50891537       0.46978179
       0.39070746      -6.90487155       0.05410413       0.02678892       0.65101347       0.27489846
       0.39070746      -6.17073334       0.05590670       0.02541960       0.69716604       0.24218031
       0.39070746      -5.43908165       0.04912241       0.02944055       0.54455346       0.44513731
       0.39070746      -4.70959399       0.04370995       0.03270159       0.41910000       0.63352921
       0.39070746      -3.98195959       0.04476681       0.03125128       0.47228090       0.60532296
       0.39070746      -3.25587753       0.04682486       0.02852966       0.52515762       0.47606633
       0.39070746      -2.53105496       0.04708557       0.02764376       0.52554446       0.42946357
       0.39070746      -1.80720547       0.04658386       0.02745820       0.54215275       0.44560416
       0.39070746      -1.08404760       0.04431624       0.02676555       0.53677237       0.45414238
       0.39070746      -0.36130332       0.04118054       0.02602678       0.48534663       0.44368560
       0.39070746       0.36130332       0.04118054       0.02602678       0.48534663       0.44368560
       0.39070746       1.08404760       0.04431624       0.02676555       0.53677237       0.45414238
       0.39070746       1.80720547       0.04658386       0.02745820       0.54215275       0.44560416
       0.39070746       2.53105496       0.04708557       0.02764376       0.52554446       0.42946357
       0.39070746       3.25587753       0.04682486       0.02852966       0.52515762       0.47606633
       0.39070746       3.98195959       0.04476681       0.03125128       0.47228090       0.60532296
       0.39070746       4.70959399       0.04370995       0.03270159       0.41910000       0.63352921
       0.39070746       5.43908165       0.04912241       0.02944055       0.54455346       0.44513731
       0.39070746       6.17073334       0.05590670       0.02541960       0.69716604       0.24218031
       0.39070746       6.90487155       0.05410413       0.02678892       0.65101347       0.27489846
       0.39070746       7.64183265       0.04861760       0.03121274       0.50891537       0.46978179
       0.39070746       8.38196920       0.04821477       0.03202989       0.51350331       0.53287883
       0.39070746       9.12565257       0.04840761       0.03033440       0.52817635       0.43346638
       0.39070746       9.87327598       0.04582224       0.03079303       0.48606989       0.46008889
       0.39070746      10.62525789       0.04312811       0.03042193       0.54533288       0.59975134
       0.39070746      11.38204597       0.03555638       0.02359998       0.64696438       0.68154306
       0.39070746      12.14412171       0.02044679       0.01210740       0.62697745       0.61651972
       0.39070746      12.91200579       0.00738740       0.00363885       0.42133762       0.33868574
       0.39070746      13.68626453       0.00181636       0.00064166       0.15407559       0.06892215
       0.39070746      14.46751752       0.00039792       0.00008956       0.04093133       0.00842115
       0.39070746      15.25644689       0.00009344       0.00001388       0.00942879       0.00084084
       0.39070746      16.05380853       0.00002138       0.00000167       0.00182888       0.00001771
       0.39070746      16.86044598       0.00000508       0.00000022       0.00045543       0.00000027
       0.39070746      17.67730766       0.00000139       0.00000009       0.00005966       0.00000006
       0.39070746      18.50546868       0.00000033       0.00000001       0.00000140       0.00000000
       0.39070746      19.34615864       0.00000008       0.00000001       0.00000006       0.00000000
       0.39070746      20.20079775       0.00000004       0.00000001       0.00000001       0.00000000
       0.39070746      21.07104453       0.00000002       0.00000001       0.00000000       0.00000000
       0.39070746      21.95885997       0.00000003       0.00000003       0.00000001       0.00000001
       0.39070746      22.86659595       0.00000002       0.00000002       0.00000000       0.00000000
       0.39070746      23.79711998       0.00000005       0.00000005       0.00000002       0.00000002
       0.39070746      24.75399691       0.00000006       0.00000007       0.00000023       0.00000055
       0.39070746      25.74176318       0.00000003       0.00000003       0.00000023       0.00000075
       0.39070746      26.76635941       0.00000000       0.00000001       0.00000005       0.00000019
       0.39070746      27.83585145       0.00000000       0.00000000       0.00000000       0.00000001
       0.39070746      28.96171980       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746      30.16139374       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746      31.46394399       0.00000000       0.00000000       0.00000000       0.00000000
       0.39070746      32.92582271       0.00000000       0.00000000       0.00000000       0.00000000
