Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.319987190584942738e+01,9.954136016644167528e-04
3.429091910168881441e+01,4.992045899922319951e-01
3.548093764374773684e+01,6.443457012551973007e-01
3.667664141993397209e+01,5.708976096580697934e-01
3.787023956031977434e+01,4.543285161106990766e-01
3.906064105528245278e+01,3.239705289592276771e-01
4.025380719294662413e+01,1.987997978704216240e-01
4.144513440551083505e+01,8.154164352035590813e-02
4.264306119434939291e+01,8.591717735178588597e-03
4.383969309606722931e+01,1.925197324402504444e-03
4.504026491527903886e+01,2.130234154316824023e-03
4.623649874346207866e+01,1.996260149635081804e-03
4.743747866762114995e+01,1.721350215494908773e-03
4.863331892502630183e+01,1.442267464828957124e-03
4.983468923703773612e+01,1.172030284255978251e-03
5.103015511114946179e+01,8.552193841660708611e-04
5.223189480845116606e+01,5.721257821901569798e-04
5.342700580941301070e+01,4.749567329605218231e-04
5.462909124380801273e+01,3.769988699850121156e-04
5.582386909424970867e+01,2.706998921485927450e-04
5.702627630793985247e+01,1.837645037005274659e-04
5.822074541910168222e+01,1.235016986960122700e-04
5.942344858735317814e+01,1.373898348676217806e-04
6.061763509835097352e+01,1.942403921552312857e-04
6.182060667134431498e+01,2.996617933743872400e-04
6.301453833720931641e+01,4.441244160861171179e-04
6.421774899175773044e+01,5.773128602182364504e-04
6.541145570973496604e+01,6.206287581973601690e-04
6.661487496835462707e+01,6.613332312804119824e-04
6.780838822042188951e+01,6.846129575060070152e-04
6.901198380433255863e+01,5.965191194980024210e-04
7.020533785136211691e+01,5.193785010248728757e-04
7.140907948381189385e+01,1.788875352811031846e-04
7.260216003642067051e+01,1.813222101018771570e-02
7.380473505969457904e+01,7.420041890012751828e-02
7.499479412556212310e+01,1.588945038762438755e-01
7.619506133965219874e+01,2.540184332579525917e-01
7.738488507674169625e+01,3.400256636275132971e-01
7.858702202368330347e+01,4.096770554713842771e-01
7.977894376193374626e+01,4.560415068110957870e-01
8.098301174241586864e+01,4.765601380322378455e-01
8.217574643139099067e+01,4.711953866742508157e-01
8.337969604380916167e+01,4.419046314816237886e-01
8.457131808424564667e+01,3.912714451164972518e-01
8.577372735633665002e+01,3.230933003109326962e-01
8.696387859665098574e+01,2.454936646240079845e-01
8.816555180262142244e+01,1.653627586860037246e-01
8.935611761842487510e+01,9.411174177905144711e-02
9.055910192632944700e+01,3.772500849765467179e-02
9.175141122213844369e+01,5.273694270573657875e-03
9.295563587347615453e+01,1.862117541941112260e-04
9.414846858492926174e+01,1.024882002835214828e-04
9.535254054837419346e+01,1.269413772359643915e-02
9.654499499471465640e+01,4.702300659266611671e-02
9.774801730866745686e+01,9.571319046972683042e-02
9.893991134227289308e+01,1.492198067784483717e-01
1.001427646955717137e+02,1.980361505091078334e-01
1.013355668809266916e+02,2.316573168265960436e-01
1.025390849879867119e+02,2.491395959406350058e-01
1.037325743165044543e+02,2.479912140945185750e-01
1.049358052548903970e+02,2.268707806789231618e-01
1.061288959234822045e+02,1.877324343102207138e-01
1.073309290397457119e+02,1.356708769190776986e-01
1.085237022491826906e+02,8.148228445377332652e-02
1.097256941336217153e+02,3.542582390284291366e-02
1.109196437859572768e+02,6.364619085154933631e-03
1.121221905864269814e+02,3.871433539896246712e-04
1.133168141008402046e+02,2.098024279586892466e-04
1.145190472463137752e+02,2.994872667120382793e-04
1.157132331744613651e+02,4.218295034849302988e-02
1.169075396727675695e+02,1.774978338742966288e-01
1.180928534010622997e+02,3.303072221916236728e-01
1.192900217713156366e+02,4.352621453105053884e-01
1.204852058563512003e+02,4.517961278540134074e-01
1.216843110214455521e+02,3.742299013740720270e-01
1.228720060646279393e+02,2.383865569930189721e-01
1.240653421974734414e+02,9.885858945419508104e-02
1.252579558918951648e+02,1.454411516185048596e-02
1.264591815764860883e+02,3.095454090653070641e-04
1.276549337332423022e+02,8.101320862291968260e-04
1.288561075121462238e+02,1.187842079394843715e-03
1.300520037665841357e+02,1.278936895716477166e-03
1.312529896580493300e+02,1.089550835796864771e-03
1.324490576147679803e+02,5.983015646109949778e-04
1.336498522619141625e+02,1.799154928972847289e-04
1.348461299925456842e+02,5.218688425488553218e-05
1.360467104827069988e+02,4.635540964170389855e-05
1.372432154072629089e+02,3.152746796367036225e-05
1.384435736603079476e+02,2.572730010085184926e-05
1.396403205296607837e+02,3.033057392801390834e-05
1.408404350649971946e+02,2.878284585230376363e-05
1.420374324911428232e+02,4.173268210808621370e-05
1.432372917884241303e+02,5.890657775809099786e-05
1.444345508468720141e+02,4.991424147602827044e-05
1.456341459074821501e+02,2.774137361973906014e-05
1.468316748979424062e+02,1.584285237878871495e-05
1.480309972446022471e+02,1.890368169106971391e-05
1.492288024753434570e+02,1.404563615026088383e-04
1.504278503437092525e+02,5.217260851613635553e-04
1.516140669958880380e+02,1.666845310933376678e-01
1.526869391171372285e+02,7.010645299001754260e-01
1.536141157782660969e+02,1.459561471071122885e+00
1.544391038516239689e+02,2.328955754308255077e+00
1.552041005717518658e+02,3.250860614206732890e+00
1.559553999580273285e+02,4.184587863848325817e+00
1.567103320211363950e+02,5.114836970310734365e+00
1.575212844575634961e+02,5.997160317453998246e+00
1.583981427179017771e+02,6.813595228825110262e+00
1.593487307397828374e+02,7.543225096631989146e+00
1.603754491744464588e+02,8.160844970523827513e+00
1.614588083216825396e+02,8.672855516111139806e+00
1.625776609664817158e+02,9.101722696171895777e+00
1.637149332640408659e+02,9.478924252892396041e+00
1.648599260837190741e+02,9.832339845292546343e+00
1.660066196785300008e+02,1.017962998861887591e+01
1.671541018647319277e+02,1.052509795247826929e+01
1.683041736208417660e+02,1.086080672707494088e+01
1.694604494421609218e+02,1.117583048125203504e+01
1.706230870306532950e+02,1.146477787251264324e+01
1.717921935307757622e+02,1.172850382763122745e+01
1.729655054978165936e+02,1.197018612180384878e+01
