Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.377022507028819120e+01,0.000000000000000000e+00
3.554045071663393429e+01,0.000000000000000000e+00
3.731067751470602190e+01,0.000000000000000000e+00
3.908090603939724872e+01,0.000000000000000000e+00
4.085113686443661152e+01,0.000000000000000000e+00
4.262137056200215568e+01,0.000000000000000000e+00
4.439160770233583264e+01,0.000000000000000000e+00
4.616184885335876942e+01,0.000000000000000000e+00
4.793209458028860581e+01,0.000000000000000000e+00
4.970234544525831666e+01,0.000000000000000000e+00
5.147260200693739307e+01,0.000000000000000000e+00
5.324286482015563138e+01,0.000000000000000000e+00
5.501313443552833604e+01,0.000000000000000000e+00
5.678341139908568636e+01,0.000000000000000000e+00
5.855369625190469662e+01,0.000000000000000000e+00
6.032398952974429562e+01,0.000000000000000000e+00
6.209429176268390194e+01,0.000000000000000000e+00
6.386460347476685939e+01,0.000000000000000000e+00
6.563492518364681416e+01,0.000000000000000000e+00
6.740525740023852563e+01,0.000000000000000000e+00
6.917560062837387136e+01,0.000000000000000000e+00
7.094595536446107076e+01,0.000000000000000000e+00
7.271632209715258455e+01,0.000000000000000000e+00
7.448670130701331971e+01,0.000000000000000000e+00
7.625709346619709095e+01,0.000000000000000000e+00
7.802749903812943444e+01,0.000000000000000000e+00
7.979791847719427267e+01,0.000000000000000000e+00
8.156835222842794053e+01,0.000000000000000000e+00
8.333880072721957788e+01,0.000000000000000000e+00
8.510926439901636797e+01,0.000000000000000000e+00
8.687974365903835405e+01,0.000000000000000000e+00
8.865023891199777495e+01,0.000000000000000000e+00
9.042075055182574772e+01,0.000000000000000000e+00
9.219127896140689415e+01,0.000000000000000000e+00
9.396182451232331800e+01,0.000000000000000000e+00
9.573238756460119703e+01,0.000000000000000000e+00
9.750296846646946847e+01,0.000000000000000000e+00
9.927356755412418465e+01,0.000000000000000000e+00
1.010441851515041805e+02,0.000000000000000000e+00
1.028148215700700518e+02,0.000000000000000000e+00
1.045854771085961517e+02,0.000000000000000000e+00
1.063561520529680280e+02,0.000000000000000000e+00
1.081268466759900804e+02,0.000000000000000000e+00
1.098975612372017565e+02,0.000000000000000000e+00
1.116682959827028867e+02,0.000000000000000000e+00
1.134390511449876158e+02,0.000000000000000000e+00
1.152098269427880268e+02,0.000000000000000000e+00
1.169806235809253963e+02,0.000000000000000000e+00
1.187514412501733716e+02,0.000000000000000000e+00
1.205222801271298891e+02,0.000000000000000000e+00
1.222931403740973622e+02,0.000000000000000000e+00
1.240640221389723905e+02,0.000000000000000000e+00
1.258349255551477910e+02,0.000000000000000000e+00
1.276058507414224010e+02,0.000000000000000000e+00
1.293767978019194231e+02,0.000000000000000000e+00
1.311477668260179428e+02,0.000000000000000000e+00
1.329187578882919354e+02,0.000000000000000000e+00
1.346897710484599315e+02,0.000000000000000000e+00
1.364608063513433081e+02,0.000000000000000000e+00
1.382318638268391737e+02,0.000000000000000000e+00
1.400029434898948466e+02,0.000000000000000000e+00
1.417740453405017433e+02,0.000000000000000000e+00
1.435451693636928496e+02,0.000000000000000000e+00
1.453163155295527247e+02,0.000000000000000000e+00
1.470874837932372259e+02,0.000000000000000000e+00
1.488586740950011347e+02,0.000000000000000000e+00
1.506298863602388280e+02,0.000000000000000000e+00
1.524011204995336755e+02,0.000000000000000000e+00
1.541723764087169855e+02,0.000000000000000000e+00
1.559436539689341998e+02,0.000000000000000000e+00
1.577149530467263219e+02,0.000000000000000000e+00
1.594862734941171141e+02,0.000000000000000000e+00
1.612576151487104994e+02,0.000000000000000000e+00
1.630289778337984501e+02,0.000000000000000000e+00
1.648003613584758966e+02,0.000000000000000000e+00
1.665717655177702170e+02,0.000000000000000000e+00
1.683431900927722609e+02,0.000000000000000000e+00
1.701146348507852792e+02,0.000000000000000000e+00
1.718860995454728027e+02,0.000000000000000000e+00
1.736575839170254767e+02,0.000000000000000000e+00
1.754290876923294888e+02,0.000000000000000000e+00
1.772006105851407654e+02,0.000000000000000000e+00
1.789721522962752829e+02,0.000000000000000000e+00
1.807437125138031888e+02,0.000000000000000000e+00
1.825152909132443995e+02,0.000000000000000000e+00
1.842868871577772438e+02,0.000000000000000000e+00
1.860585008984560602e+02,0.000000000000000000e+00
1.878301317744314645e+02,0.000000000000000000e+00
1.896017794131792584e+02,0.000000000000000000e+00
1.913734434307453114e+02,0.000000000000000000e+00
1.931451234319955574e+02,0.000000000000000000e+00
1.949168190108823353e+02,0.000000000000000000e+00
1.966885297507271275e+02,0.000000000000000000e+00
1.984602552245264633e+02,0.000000000000000000e+00
2.002319949952705258e+02,0.000000000000000000e+00
2.020037486162929952e+02,0.000000000000000000e+00
2.037755156316436000e+02,0.000000000000000000e+00
2.055472955764813889e+02,0.000000000000000000e+00
2.073190879774928987e+02,0.000000000000000000e+00
2.090908923533241932e+02,0.000000000000000000e+00
2.108627082150261174e+02,0.000000000000000000e+00
2.126345350665008311e+02,0.000000000000000000e+00
2.144063724049383950e+02,0.000000000000000000e+00
2.161782197212405663e+02,0.000000000000000000e+00
2.179500765004109155e+02,0.000000000000000000e+00
2.197219422219194485e+02,0.000000000000000000e+00
2.214938163600272958e+02,0.000000000000000000e+00
2.232656983840471696e+02,0.000000000000000000e+00
2.250375877584021964e+02,0.000000000000000000e+00
2.268094839419881907e+02,0.000000000000000000e+00
2.285813863853779822e+02,0.000000000000000000e+00
2.303532945227256334e+02,0.000000000000000000e+00
2.321252077541690539e+02,0.000000000000000000e+00
2.338971254202954242e+02,0.000000000000000000e+00
2.356690467940235294e+02,0.000000000000000000e+00
2.374409711577335145e+02,0.000000000000000000e+00
2.392128980399469640e+02,0.000000000000000000e+00
2.409848275327549345e+02,0.000000000000000000e+00
2.427567602788669205e+02,0.000000000000000000e+00
2.445286965442506926e+02,0.000000000000000000e+00
2.463006367206101288e+02,0.000000000000000000e+00
