 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39349469     -33.79186983       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469     -32.06880183       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469     -30.64497411       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469     -29.37632773       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469     -28.20787990       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469     -27.11131660       0.00000000       0.00000000       0.00000001       0.00000000
       0.39349469     -26.06966219       0.00000000       0.00000000       0.00000019       0.00000003
       0.39349469     -25.07173501       0.00000002       0.00000001       0.00000101       0.00000015
       0.39349469     -24.10967915       0.00000005       0.00000003       0.00000121       0.00000020
       0.39349469     -23.17770861       0.00000005       0.00000003       0.00000013       0.00000003
       0.39349469     -22.27140504       0.00000001       0.00000001       0.00000000       0.00000000
       0.39349469     -21.38729637       0.00000002       0.00000002       0.00000001       0.00000001
       0.39349469     -20.52258973       0.00000001       0.00000001       0.00000000       0.00000000
       0.39349469     -19.67499447       0.00000002       0.00000001       0.00000000       0.00000000
       0.39349469     -18.84260063       0.00000004       0.00000001       0.00000000       0.00000000
       0.39349469     -18.02379285       0.00000013       0.00000002       0.00000018       0.00000000
       0.39349469     -17.21718789       0.00000058       0.00000008       0.00000385       0.00000005
       0.39349469     -16.42158817       0.00000199       0.00000027       0.00007332       0.00000195
       0.39349469     -15.63594656       0.00000747       0.00000118       0.00033356       0.00006348
       0.39349469     -14.85933932       0.00003511       0.00000797       0.00188962       0.00047216
       0.39349469     -14.09094486       0.00015180       0.00004436       0.01195443       0.00537499
       0.39349469     -13.33002697       0.00068044       0.00025414       0.05705309       0.03507375
       0.39349469     -12.57592129       0.00316120       0.00153232       0.23279885       0.18726733
       0.39349469     -11.82802434       0.01114840       0.00654358       0.51373167       0.49043386
       0.39349469     -11.08578455       0.02514951       0.01666951       0.64547400       0.64909354
       0.39349469     -10.34869478       0.03766650       0.02679488       0.62235671       0.63511992
       0.39349469      -9.61628608       0.04352842       0.03174268       0.53673920       0.54029965
       0.39349469      -8.88812244       0.04558605       0.03295157       0.49695115       0.48562789
       0.39349469      -8.16379628       0.04642967       0.03362081       0.51196337       0.54238167
       0.39349469      -7.44292463       0.04570516       0.03368705       0.49346120       0.60113909
       0.39349469      -6.72514577       0.04492782       0.03139632       0.47176045       0.49690842
       0.39349469      -6.01011632       0.04643185       0.02842232       0.54578540       0.35392442
       0.39349469      -5.29750868       0.04799749       0.02769249       0.61800559       0.34401215
       0.39349469      -4.58700873       0.04703823       0.02868490       0.58514991       0.42469543
       0.39349469      -3.87831381       0.04496946       0.02903750       0.51341650       0.46152850
       0.39349469      -3.17113082       0.04407808       0.02882720       0.48532907       0.45269991
       0.39349469      -2.46517454       0.04446371       0.02961804       0.48305393       0.49126530
       0.39349469      -1.76016602       0.04510632       0.03094758       0.48305329       0.56202693
       0.39349469      -1.05583110       0.04501606       0.03121869       0.48575470       0.59024954
       0.39349469      -0.35189902       0.04385229       0.03048975       0.46823483       0.57235525
       0.39349469       0.35189902       0.04329982       0.03004031       0.44665410       0.55387433
       0.39349469       1.05583110       0.04463986       0.03035937       0.46472613       0.55491226
       0.39349469       1.76016602       0.04565942       0.03089467       0.48155554       0.56048405
       0.39349469       2.46517454       0.04438045       0.03110511       0.45069605       0.56116886
       0.39349469       3.17113082       0.04314864       0.03094749       0.42777541       0.54917010
       0.39349469       3.87831381       0.04424361       0.03116527       0.46230259       0.53914158
       0.39349469       4.58700873       0.04555234       0.03243723       0.48139245       0.55959819
       0.39349469       5.29750868       0.04532196       0.03384104       0.46085338       0.58489216
       0.39349469       6.01011632       0.04508289       0.03375197       0.46668910       0.54957576
       0.39349469       6.72514577       0.04506281       0.03300199       0.47337778       0.48116295
       0.39349469       7.44292463       0.04418894       0.03411601       0.42301490       0.50519417
       0.39349469       8.16379628       0.04433868       0.03659459       0.41043641       0.61646463
       0.39349469       8.88812244       0.04652858       0.03717132       0.48706040       0.64803453
       0.39349469       9.61628608       0.04745620       0.03541020       0.52226601       0.54408453
       0.39349469      10.34869478       0.04591890       0.03395294       0.49933485       0.48338806
       0.39349469      11.08578455       0.04318759       0.03239426       0.53727473       0.55011964
       0.39349469      11.82802434       0.03678705       0.02684311       0.63349124       0.65325311
       0.39349469      12.57592129       0.02375951       0.01604650       0.66275142       0.66619801
       0.39349469      13.33002697       0.01001912       0.00594058       0.53185555       0.49741735
       0.39349469      14.09094486       0.00270062       0.00130327       0.24454656       0.17740642
       0.39349469      14.85933932       0.00056171       0.00020587       0.06156379       0.02874888
       0.39349469      15.63594656       0.00012396       0.00003554       0.01363918       0.00413299
       0.39349469      16.42158817       0.00002889       0.00000628       0.00261220       0.00050739
       0.39349469      17.21718789       0.00000601       0.00000082       0.00061557       0.00005257
       0.39349469      18.02379285       0.00000144       0.00000015       0.00009126       0.00000069
       0.39349469      18.84260063       0.00000045       0.00000004       0.00000272       0.00000000
       0.39349469      19.67499447       0.00000012       0.00000001       0.00000022       0.00000000
       0.39349469      20.52258973       0.00000003       0.00000001       0.00000001       0.00000000
       0.39349469      21.38729637       0.00000002       0.00000002       0.00000001       0.00000001
       0.39349469      22.27140504       0.00000001       0.00000001       0.00000000       0.00000000
       0.39349469      23.17770861       0.00000003       0.00000003       0.00000001       0.00000009
       0.39349469      24.10967915       0.00000003       0.00000003       0.00000017       0.00000142
       0.39349469      25.07173501       0.00000001       0.00000001       0.00000019       0.00000137
       0.39349469      26.06966219       0.00000000       0.00000000       0.00000005       0.00000027
       0.39349469      27.11131660       0.00000000       0.00000000       0.00000000       0.00000002
       0.39349469      28.20787990       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469      29.37632773       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469      30.64497411       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469      32.06880183       0.00000000       0.00000000       0.00000000       0.00000000
       0.39349469      33.79186983       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -33.79186983       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -32.06880183       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -30.64497411       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -29.37632773       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -28.20787990       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -27.11131660       0.00000000       0.00000000       0.00000001       0.00000000
       0.90337623     -26.06966219       0.00000000       0.00000000       0.00000017       0.00000002
       0.90337623     -25.07173501       0.00000002       0.00000001       0.00000092       0.00000015
       0.90337623     -24.10967915       0.00000005       0.00000003       0.00000115       0.00000023
       0.90337623     -23.17770861       0.00000005       0.00000003       0.00000014       0.00000004
       0.90337623     -22.27140504       0.00000001       0.00000001       0.00000000       0.00000000
       0.90337623     -21.38729637       0.00000002       0.00000002       0.00000000       0.00000000
       0.90337623     -20.52258973       0.00000001       0.00000001       0.00000000       0.00000000
       0.90337623     -19.67499447       0.00000002       0.00000001       0.00000001       0.00000000
       0.90337623     -18.84260063       0.00000004       0.00000001       0.00000000       0.00000000
       0.90337623     -18.02379285       0.00000012       0.00000002       0.00000012       0.00000000
       0.90337623     -17.21718789       0.00000056       0.00000007       0.00000431       0.00000003
       0.90337623     -16.42158817       0.00000193       0.00000027       0.00008203       0.00000252
