 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38568533     -35.17416063       0.00000000       0.00000000       0.00000000       0.00000000
       0.38568533     -33.38060878       0.00000000       0.00000000       0.00000000       0.00000000
       0.38568533     -31.89853794       0.00000000       0.00000000       0.00000000       0.00000000
       0.38568533     -30.57799629       0.00000000       0.00000000       0.00000000       0.00000000
       0.38568533     -29.36175192       0.00000000       0.00000000       0.00000000       0.00000000
       0.38568533     -28.22033258       0.00000000       0.00000000       0.00000001       0.00000000
       0.38568533     -27.13606824       0.00000001       0.00000001       0.00000005       0.00000004
       0.38568533     -26.09731983       0.00000004       0.00000003       0.00000012       0.00000012
       0.38568533     -25.09591010       0.00000005       0.00000004       0.00000004       0.00000004
       0.38568533     -24.12581636       0.00000002       0.00000001       0.00000000       0.00000000
       0.38568533     -23.18243951       0.00000002       0.00000002       0.00000000       0.00000000
       0.38568533     -22.26216548       0.00000001       0.00000001       0.00000000       0.00000000
       0.38568533     -21.36208714       0.00000003       0.00000001       0.00000001       0.00000000
       0.38568533     -20.47982013       0.00000004       0.00000000       0.00000000       0.00000000
       0.38568533     -19.61337637       0.00000009       0.00000001       0.00000011       0.00000000
       0.38568533     -18.76107443       0.00000056       0.00000004       0.00001258       0.00000001
       0.38568533     -17.92147448       0.00000213       0.00000017       0.00012693       0.00000094
       0.38568533     -17.09332994       0.00000847       0.00000069       0.00068375       0.00001574
       0.38568533     -16.27555086       0.00004249       0.00000637       0.00419756       0.00035575
       0.38568533     -15.46717570       0.00019278       0.00004145       0.02294715       0.00425141
       0.38568533     -14.66734929       0.00092329       0.00028125       0.10040758       0.03499368
       0.38568533     -13.87530528       0.00439755       0.00192019       0.34493498       0.23063709
       0.38568533     -13.09035214       0.01471835       0.00825101       0.59721536       0.55915673
       0.38568533     -12.31186171       0.03003538       0.01981110       0.65637879       0.68734175
       0.38568533     -11.53925984       0.04061873       0.02945518       0.58131516       0.64672646
       0.38568533     -10.77201866       0.04438738       0.03235971       0.49974305       0.52400563
       0.38568533     -10.00965004       0.04594368       0.03181037       0.49986858       0.44743495
       0.38568533      -9.25170013       0.04648525       0.03214922       0.51498351       0.49860153
       0.38568533      -8.49774467       0.04630643       0.03223476       0.49591783       0.51145226
       0.38568533      -7.74738504       0.04782362       0.02991765       0.54790092       0.38206036
       0.38568533      -7.00024470       0.04951731       0.02809819       0.62117588       0.30923362
       0.38568533      -6.25596624       0.04766449       0.02941012       0.56722835       0.40542357
       0.38568533      -5.51420866       0.04437453       0.03157726       0.46042716       0.56701283
       0.38568533      -4.77464499       0.04380122       0.03141182       0.46009364       0.59400528
       0.38568533      -4.03696018       0.04512038       0.02968594       0.52115687       0.49625546
       0.38568533      -3.30084915       0.04547608       0.02890503       0.52887579       0.43182752
       0.38568533      -2.56601501       0.04482815       0.02919244       0.51756096       0.45890947
       0.38568533      -1.83216740       0.04347293       0.02884146       0.53208713       0.51554276
       0.38568533      -1.09902095       0.04084286       0.02736831       0.53245510       0.55153386
       0.38568533      -0.36629380       0.03824575       0.02593904       0.50332413       0.55702774
