Q20,Q30
1.320000000000000000e+02,0.000000000000000000e+00
1.326543240193840063e+02,1.755141542769359398e-03
1.333078610773267201e+02,1.725782302270274706e-03
1.339629581472264590e+02,9.668829955937758951e-04
1.346157749603736136e+02,1.481855688850711086e-03
1.352715375707481371e+02,8.568503826901483801e-04
1.359237400815790409e+02,1.224655229303333323e-03
1.365800774335295671e+02,7.486194005290997509e-04
1.372317433631392305e+02,1.070978328020384500e-03
1.378885832302892709e+02,5.977209441043352268e-04
1.385397803523831897e+02,8.700428163091647026e-04
1.391970582554288285e+02,4.667629980732806126e-04
1.398478453630751801e+02,6.362232439895967526e-04
1.405055064685368222e+02,2.827961772447627926e-04
1.411559360071990454e+02,6.220196184606414458e-04
1.418139241207121017e+02,1.012085329461058503e-04
1.424640556494150587e+02,6.265713470938919600e-04
1.431223066204062206e+02,4.311829590904366332e-05
1.437722046790185289e+02,4.969172565731407032e-04
1.444306571980870046e+02,4.945127450948545332e-05
1.450803785446434802e+02,3.447817777978127605e-04
1.457389774227337114e+02,1.152498389463292843e-04
1.463885751162685551e+02,2.834586983925501671e-04
1.470472682290859439e+02,1.609451653443719405e-04
1.476967922783111931e+02,8.914427463084745405e-05
1.483555306021819149e+02,2.517657563154536643e-04
1.490050277481022079e+02,5.101796112200429308e-05
1.496637651650781891e+02,2.755992627435229175e-04
1.503132780834964422e+02,6.434079803625651368e-05
1.509719739319494067e+02,3.095900636759928051e-04
1.516215420188565872e+02,4.585739183245801046e-04
1.522801534919905464e+02,5.087304629883019833e-04
1.529298240080856033e+02,5.765505160519055275e-04
1.535882981729467929e+02,7.358350997285518103e-05
1.542381290407406027e+02,6.243565966710533420e-04
1.548964001360346288e+02,9.039318980382795524e-05
1.555464550828302208e+02,5.285299125131620590e-05
1.562044772089244873e+02,7.819790176418258548e-04
1.568547725058955962e+02,1.895048749654599553e-04
1.575125480661888560e+02,8.462878001893045033e-04
1.581630786788719547e+02,7.970455873889520631e-04
1.588205938461743756e+02,1.235509756384708859e-04
1.594713972815775094e+02,7.106638155692250516e-05
1.601286182580774948e+02,9.714833285201030302e-04
1.607796874612784563e+02,6.360973389170484701e-05
1.614366494794857658e+02,7.152607007350809693e-04
1.620879540431582200e+02,6.602860104357518179e-04
1.627446683988775078e+02,1.142809021183228404e-03
1.633962034312826859e+02,1.232447375682946137e-03
1.640526656511187582e+02,6.062161972433940602e-05
1.647044719746659496e+02,1.339571427551384608e-03
1.653605804808901212e+02,3.263546724369310609e-04
1.660127676676546002e+02,1.297052575383656663e-03
1.666684399065576372e+02,4.513570240467701042e-04
1.673210698930308240e+02,2.369138062232624669e-04
1.679762847322604387e+02,2.058059132369002581e-04
1.686293462705038451e+02,1.405620505523030774e-03
1.692840780912743810e+02,9.718660891113914922e-05
1.699376374613272560e+02,1.705836118161401524e-04
1.705117724950140143e+02,3.129960120207633256e-01
1.710038635161739649e+02,7.430544752690759758e-01
1.714311655064646231e+02,1.237783849839860562e+00
1.718094103086807536e+02,1.770852563074008179e+00
1.721485299065629988e+02,2.329769648465196408e+00
1.724551462545200593e+02,2.907134344721187258e+00
1.727332648668180184e+02,3.498866059530603589e+00
1.729868732813690428e+02,4.101509650589185263e+00
1.732611907541424614e+02,4.695131390962866469e+00
1.735612643466163831e+02,5.276163670671548900e+00
1.738930308596105476e+02,5.839810981196346340e+00
1.742632336278155094e+02,6.378988102535600113e+00
1.746788938620048839e+02,6.884056773643524529e+00
1.751448585933437982e+02,7.343098781336810710e+00
1.756599854803268670e+02,7.746305063509675293e+00
1.762130816686436674e+02,8.095539890943694417e+00
1.768103985464982486e+02,8.362328493125390949e+00
1.774343618256608579e+02,8.558692022016570533e+00
1.780731036721753640e+02,8.700074657379341048e+00
1.787193920695594329e+02,8.801033265402175232e+00
1.793695265986687275e+02,8.873957778032325550e+00
1.800213425634409532e+02,8.928781018011248349e+00
1.806740720433824947e+02,8.972932903493967771e+00
