 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38870764     -34.76537662       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764     -32.99266892       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764     -31.52782228       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764     -30.22262759       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764     -29.02051806       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764     -27.89236397       0.00000000       0.00000000       0.00000001       0.00000000
       0.38870764     -26.82070063       0.00000001       0.00000001       0.00000012       0.00000005
       0.38870764     -25.79402426       0.00000004       0.00000003       0.00000037       0.00000017
       0.38870764     -24.80425263       0.00000007       0.00000005       0.00000018       0.00000009
       0.38870764     -23.84543303       0.00000003       0.00000002       0.00000000       0.00000000
       0.38870764     -22.91301985       0.00000001       0.00000002       0.00000000       0.00000000
       0.38870764     -22.00344098       0.00000001       0.00000002       0.00000000       0.00000000
       0.38870764     -21.11382309       0.00000002       0.00000001       0.00000000       0.00000000
       0.38870764     -20.24180953       0.00000004       0.00000001       0.00000001       0.00000000
       0.38870764     -19.38543533       0.00000007       0.00000001       0.00000008       0.00000000
       0.38870764     -18.54303860       0.00000041       0.00000002       0.00000356       0.00000000
       0.38870764     -17.71319624       0.00000173       0.00000016       0.00012665       0.00000092
       0.38870764     -16.89467616       0.00000611       0.00000041       0.00059018       0.00000556
       0.38870764     -16.08640107       0.00002843       0.00000334       0.00245604       0.00009768
       0.38870764     -15.28742062       0.00012778       0.00002384       0.01452039       0.00183424
       0.38870764     -14.49688956       0.00056760       0.00014744       0.06136748       0.01515298
       0.38870764     -13.71405046       0.00270877       0.00103209       0.23403331       0.11794681
       0.38870764     -12.93821982       0.01023536       0.00523198       0.51690550       0.42855702
       0.38870764     -12.16877678       0.02443401       0.01510497       0.64721401       0.64414965
       0.38870764     -11.40515387       0.03742570       0.02607191       0.61474901       0.66273118
       0.38870764     -10.64682935       0.04334550       0.03137796       0.52520793       0.56615332
       0.38870764      -9.89332076       0.04557564       0.03162519       0.49819326       0.46060454
       0.38870764      -9.14417952       0.04660957       0.03153000       0.51856488       0.46679111
       0.38870764      -8.39898632       0.04634554       0.03216363       0.50195727       0.52235739
       0.38870764      -7.65734715       0.04693966       0.03075332       0.51679095       0.43947984
       0.38870764      -6.91888986       0.04903534       0.02818938       0.60404681       0.31963681
       0.38870764      -6.18326120       0.04870611       0.02803676       0.60777617       0.33976597
       0.38870764      -5.45012410       0.04546398       0.03015786       0.50215356       0.49422137
       0.38870764      -4.71915543       0.04346063       0.03120112       0.44572405       0.59592018
       0.38870764      -3.99004379       0.04410213       0.03016426       0.48319978       0.55399869
       0.38870764      -3.26248763       0.04511517       0.02903664       0.51339164       0.47458188
       0.38870764      -2.53619352       0.04550344       0.02885690       0.52003882       0.45617167
       0.38870764      -1.81087447       0.04521640       0.02865047       0.53839673       0.47304797
       0.38870764      -1.08624844       0.04347119       0.02774365       0.53546768       0.47860698
       0.38870764      -0.36203684       0.04129717       0.02679044       0.50099019       0.46837957
       0.38870764       0.36203684       0.04129717       0.02679044       0.50099017       0.46837955
       0.38870764       1.08624844       0.04347119       0.02774365       0.53546767       0.47860696
       0.38870764       1.81087447       0.04521640       0.02865047       0.53839677       0.47304798
       0.38870764       2.53619352       0.04550344       0.02885690       0.52003884       0.45617164
       0.38870764       3.26248763       0.04511517       0.02903664       0.51339160       0.47458181
       0.38870764       3.99004379       0.04410213       0.03016426       0.48319975       0.55399870
       0.38870764       4.71915543       0.04346063       0.03120113       0.44572406       0.59592027
       0.38870764       5.45012410       0.04546398       0.03015786       0.50215354       0.49422144
       0.38870764       6.18326120       0.04870611       0.02803676       0.60777608       0.33976596
       0.38870764       6.91888986       0.04903533       0.02818938       0.60404671       0.31963677
       0.38870764       7.65734715       0.04693966       0.03075332       0.51679091       0.43947977
       0.38870764       8.39898632       0.04634554       0.03216363       0.50195729       0.52235729
       0.38870764       9.14417952       0.04660958       0.03153000       0.51856492       0.46679109
       0.38870764       9.89332076       0.04557564       0.03162519       0.49819329       0.46060461
       0.38870764      10.64682935       0.04334550       0.03137795       0.52520795       0.56615336
       0.38870764      11.40515387       0.03742569       0.02607191       0.61474902       0.66273115
       0.38870764      12.16877678       0.02443400       0.01510497       0.64721398       0.64414952
       0.38870764      12.93821982       0.01023536       0.00523197       0.51690539       0.42855677
       0.38870764      13.71405046       0.00270876       0.00103209       0.23403317       0.11794666
       0.38870764      14.49688956       0.00056760       0.00014744       0.06136743       0.01515295
       0.38870764      15.28742062       0.00012778       0.00002384       0.01452037       0.00183424
       0.38870764      16.08640107       0.00002843       0.00000334       0.00245603       0.00009767
       0.38870764      16.89467616       0.00000611       0.00000041       0.00059018       0.00000556
       0.38870764      17.71319624       0.00000173       0.00000016       0.00012665       0.00000092
       0.38870764      18.54303860       0.00000041       0.00000002       0.00000356       0.00000000
       0.38870764      19.38543533       0.00000007       0.00000001       0.00000008       0.00000000
       0.38870764      20.24180953       0.00000004       0.00000001       0.00000001       0.00000000
       0.38870764      21.11382309       0.00000002       0.00000001       0.00000000       0.00000000
       0.38870764      22.00344098       0.00000001       0.00000002       0.00000000       0.00000000
       0.38870764      22.91301985       0.00000001       0.00000002       0.00000000       0.00000000
       0.38870764      23.84543303       0.00000003       0.00000002       0.00000000       0.00000000
       0.38870764      24.80425263       0.00000007       0.00000005       0.00000018       0.00000009
       0.38870764      25.79402426       0.00000004       0.00000003       0.00000037       0.00000017
       0.38870764      26.82070063       0.00000001       0.00000001       0.00000012       0.00000005
       0.38870764      27.89236397       0.00000000       0.00000000       0.00000001       0.00000000
       0.38870764      29.02051806       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764      30.22262759       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764      31.52782228       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764      32.99266892       0.00000000       0.00000000       0.00000000       0.00000000
       0.38870764      34.76537662       0.00000000       0.00000000       0.00000000       0.00000000
       0.89238623     -34.76537662       0.00000000       0.00000000       0.00000000       0.00000000
       0.89238623     -32.99266892       0.00000000       0.00000000       0.00000000       0.00000000
       0.89238623     -31.52782228       0.00000000       0.00000000       0.00000000       0.00000000
       0.89238623     -30.22262759       0.00000000       0.00000000       0.00000000       0.00000000
       0.89238623     -29.02051806       0.00000000       0.00000000       0.00000000       0.00000000
       0.89238623     -27.89236397       0.00000000       0.00000000       0.00000001       0.00000000
       0.89238623     -26.82070063       0.00000001       0.00000000       0.00000012       0.00000005
       0.89238623     -25.79402426       0.00000003       0.00000002       0.00000036       0.00000018
       0.89238623     -24.80425263       0.00000006       0.00000004       0.00000019       0.00000011
       0.89238623     -23.84543303       0.00000003       0.00000002       0.00000000       0.00000000
       0.89238623     -22.91301985       0.00000002       0.00000001       0.00000000       0.00000000
       0.89238623     -22.00344098       0.00000002       0.00000002       0.00000000       0.00000000
       0.89238623     -21.11382309       0.00000002       0.00000001       0.00000000       0.00000000
       0.89238623     -20.24180953       0.00000004       0.00000001       0.00000000       0.00000000
       0.89238623     -19.38543533       0.00000007       0.00000001       0.00000007       0.00000000
       0.89238623     -18.54303860       0.00000040       0.00000002       0.00000298       0.00000000
       0.89238623     -17.71319624       0.00000169       0.00000015       0.00012961       0.00000089
       0.89238623     -16.89467616       0.00000585       0.00000037       0.00059141       0.00000553
       0.89238623     -16.08640107       0.00002689       0.00000305       0.00233620       0.00011193
       0.89238623     -15.28742062       0.00012036       0.00002210       0.01346551       0.00181764
       0.89238623     -14.49688956       0.00052874       0.00013516       0.05760425       0.01429233
       0.89238623     -13.71405046       0.00250938       0.00094081       0.22322969       0.11081171
       0.89238623     -12.93821982       0.00960046       0.00485256       0.50770567       0.41898807
       0.89238623     -12.16877678       0.02344218       0.01439569       0.64745647       0.64653610
       0.89238623     -11.40515387       0.03670664       0.02554309       0.62197414       0.67621776
       0.89238623     -10.64682935       0.04305802       0.03141973       0.53149078       0.58827933
       0.89238623      -9.89332076       0.04545778       0.03198748       0.49723116       0.47867746
       0.89238623      -9.14417952       0.04660893       0.03178408       0.51563706       0.46855342
       0.89238623      -8.39898632       0.04624724       0.03263223       0.49694739       0.54071581
       0.89238623      -7.65734715       0.04588670       0.03224725       0.47592368       0.52298475
       0.89238623      -6.91888986       0.04684051       0.03050531       0.51733134       0.44166186
       0.89238623      -6.18326120       0.04680405       0.02995813       0.53110440       0.44379125
       0.89238623      -5.45012410       0.04512087       0.03076297       0.48603809       0.52819400
       0.89238623      -4.71915543       0.04426796       0.03077223       0.47530342       0.56017430
       0.89238623      -3.99004379       0.04475626       0.02968989       0.50586021       0.50414791
       0.89238623      -3.26248763       0.04501913       0.02910531       0.50922430       0.46174953
       0.89238623      -2.53619352       0.04488818       0.02928903       0.50638209       0.48289966
       0.89238623      -1.81087447       0.04432794       0.02899196       0.52862789       0.51996165
       0.89238623      -1.08624844       0.04241591       0.02777334       0.53180911       0.53073004
       0.89238623      -0.36203684       0.04017307       0.02658457       0.50121687       0.51935720
       0.89238623       0.36203684       0.04017307       0.02658457       0.50121685       0.51935719
       0.89238623       1.08624844       0.04241591       0.02777334       0.53180910       0.53073004
       0.89238623       1.81087447       0.04432794       0.02899196       0.52862792       0.51996167
       0.89238623       2.53619352       0.04488818       0.02928903       0.50638211       0.48289966
       0.89238623       3.26248763       0.04501913       0.02910531       0.50922427       0.46174949
       0.89238623       3.99004379       0.04475626       0.02968989       0.50586019       0.50414791
       0.89238623       4.71915543       0.04426796       0.03077223       0.47530345       0.56017435
       0.89238623       5.45012410       0.04512087       0.03076297       0.48603810       0.52819402
       0.89238623       6.18326120       0.04680405       0.02995813       0.53110436       0.44379123
       0.89238623       6.91888986       0.04684051       0.03050531       0.51733129       0.44166185
       0.89238623       7.65734715       0.04588670       0.03224725       0.47592366       0.52298474
       0.89238623       8.39898632       0.04624724       0.03263223       0.49694740       0.54071577
       0.89238623       9.14417952       0.04660893       0.03178408       0.51563707       0.46855342
       0.89238623       9.89332076       0.04545778       0.03198748       0.49723118       0.47867752
       0.89238623      10.64682935       0.04305802       0.03141973       0.53149081       0.58827936
       0.89238623      11.40515387       0.03670663       0.02554309       0.62197415       0.67621772
       0.89238623      12.16877678       0.02344217       0.01439568       0.64745644       0.64653598
       0.89238623      12.93821982       0.00960045       0.00485255       0.50770555       0.41898783
       0.89238623      13.71405046       0.00250938       0.00094081       0.22322957       0.11081157
       0.89238623      14.49688956       0.00052874       0.00013516       0.05760420       0.01429230
       0.89238623      15.28742062       0.00012036       0.00002210       0.01346549       0.00181763
       0.89238623      16.08640107       0.00002689       0.00000305       0.00233619       0.00011192
       0.89238623      16.89467616       0.00000585       0.00000037       0.00059141       0.00000553
       0.89238623      17.71319624       0.00000169       0.00000015       0.00012961       0.00000089
       0.89238623      18.54303860       0.00000040       0.00000002       0.00000298       0.00000000
       0.89238623      19.38543533       0.00000007       0.00000001       0.00000007       0.00000000
       0.89238623      20.24180953       0.00000004       0.00000001       0.00000000       0.00000000
       0.89238623      21.11382309       0.00000002       0.00000001       0.00000000       0.00000000
       0.89238623      22.00344098       0.00000002       0.00000002       0.00000000       0.00000000
       0.89238623      22.91301985       0.00000002       0.00000001       0.00000000       0.00000000
       0.89238623      23.84543303       0.00000003       0.00000002       0.00000000       0.00000000
       0.89238623      24.80425263       0.00000006       0.00000004       0.00000019       0.00000011
       0.89238623      25.79402426       0.00000003       0.00000002       0.00000036       0.00000018
