Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.260432689144117546e+01,0.000000000000000000e+00
3.320865806902289563e+01,0.000000000000000000e+00
3.381298938119644504e+01,0.000000000000000000e+00
3.441733353960859176e+01,0.000000000000000000e+00
3.502167796809766287e+01,0.000000000000000000e+00
3.562604376646301318e+01,0.000000000000000000e+00
3.623040997206273062e+01,0.000000000000000000e+00
3.683480601070411353e+01,0.000000000000000000e+00
3.743920259596156797e+01,0.000000000000000000e+00
3.804363739338219119e+01,0.000000000000000000e+00
3.864807287923840562e+01,0.000000000000000000e+00
3.925255484937639494e+01,0.000000000000000000e+00
3.985703765197454373e+01,0.000000000000000000e+00
4.046157508179074824e+01,0.000000000000000000e+00
4.106611348951543050e+01,0.000000000000000000e+00
4.167071451697238871e+01,0.000000000000000000e+00
4.227531666778428132e+01,0.000000000000000000e+00
4.287998926027222524e+01,0.000000000000000000e+00
4.348466311940351403e+01,0.000000000000000000e+00
4.408941505266653849e+01,0.000000000000000000e+00
4.469416839074236236e+01,0.000000000000000000e+00
4.529900722835539995e+01,0.000000000000000000e+00
4.590384760000739561e+01,0.000000000000000000e+00
4.650878067345102806e+01,0.000000000000000000e+00
4.711371539648946793e+01,0.000000000000000000e+00
4.771874978586663474e+01,0.000000000000000000e+00
4.832378592107770743e+01,0.000000000000000000e+00
4.892892843651264201e+01,0.000000000000000000e+00
4.953407276814790094e+01,0.000000000000000000e+00
5.013932993190363163e+01,0.000000000000000000e+00
5.074458894892922700e+01,0.000000000000000000e+00
5.134996697827578771e+01,0.000000000000000000e+00
5.195534685644825146e+01,0.000000000000000000e+00
5.256085164731119619e+01,0.000000000000000000e+00
5.316635823214608791e+01,0.000000000000000000e+00
5.377199534355995070e+01,0.000000000000000000e+00
5.437763413425877701e+01,0.000000000000000000e+00
5.498340877364822887e+01,0.000000000000000000e+00
5.558918490804691714e+01,0.000000000000000000e+00
5.619510191735464133e+01,0.000000000000000000e+00
5.680102015795450399e+01,0.000000000000000000e+00
5.740708400063387984e+01,0.000000000000000000e+00
5.801314872177245974e+01,0.000000000000000000e+00
5.861936347066090036e+01,0.000000000000000000e+00
5.922557864687455975e+01,0.000000000000000000e+00
5.983194797296403777e+01,0.000000000000000000e+00
6.043831716859079961e+01,0.000000000000000000e+00
6.104484433071156246e+01,0.000000000000000000e+00
6.165137069077297838e+01,0.000000000000000000e+00
6.225805852620815273e+01,0.000000000000000000e+00
6.286474476860453109e+01,0.000000000000000000e+00
6.347159568465995250e+01,0.000000000000000000e+00
6.407844409369701566e+01,0.000000000000000000e+00
6.468546006022991435e+01,0.000000000000000000e+00
6.529247248153220085e+01,0.000000000000000000e+00
6.589965502450529300e+01,0.000000000000000000e+00
6.650683286115477699e+01,0.000000000000000000e+00
6.711418305725237587e+01,0.000000000000000000e+00
6.772152726755473395e+01,0.000000000000000000e+00
6.832904573966946771e+01,0.000000000000000000e+00
6.893655683587971339e+01,0.000000000000000000e+00
6.954424374997068981e+01,0.000000000000000000e+00
7.015192179888356350e+01,0.000000000000000000e+00
7.075977686190853433e+01,0.000000000000000000e+00
7.136762148559324714e+01,0.000000000000000000e+00
7.197564394455999093e+01,0.000000000000000000e+00
7.258365432361752312e+01,0.000000000000000000e+00
7.319184296674470147e+01,0.000000000000000000e+00
7.380001784395599884e+01,0.000000000000000000e+00
7.440837100036149820e+01,0.000000000000000000e+00
7.501670868614085919e+01,0.000000000000000000e+00
7.562522422814652145e+01,0.000000000000000000e+00
7.623372261224324120e+01,0.000000000000000000e+00
7.684239795368554837e+01,0.000000000000000000e+00
7.745105452056854745e+01,0.000000000000000000e+00
7.805988660017365532e+01,0.000000000000000000e+00
7.866869846992508997e+01,0.000000000000000000e+00
7.927768370870624892e+01,0.000000000000000000e+00
7.988664773647158768e+01,0.000000000000000000e+00
8.049578191705310815e+01,0.000000000000000000e+00
8.110489488001945801e+01,0.000000000000000000e+00
8.171417290170684566e+01,0.000000000000000000e+00
8.232343181612799299e+01,0.000000000000000000e+00
8.293284736040952509e+01,0.000000000000000000e+00
8.354224987865823948e+01,0.000000000000000000e+00
8.415179508746876991e+01,0.000000000000000000e+00
8.476133975307031676e+01,0.000000000000000000e+00
8.537100510894572380e+01,0.000000000000000000e+00
8.598069126632591974e+01,0.000000000000000000e+00
8.659046593329560437e+01,0.000000000000000000e+00
8.720029324003216686e+01,0.000000000000000000e+00
8.781016591238164892e+01,0.000000000000000000e+00
8.842013320975667057e+01,0.000000000000000000e+00
8.903009339101029695e+01,0.000000000000000000e+00
8.964019735877269568e+01,0.000000000000000000e+00
9.025023683948015218e+01,0.000000000000000000e+00
9.086047058412728461e+01,0.000000000000000000e+00
9.147058448795489483e+01,0.000000000000000000e+00
9.208093691821291316e+01,0.000000000000000000e+00
9.269112462544252651e+01,0.000000000000000000e+00
9.330158021887244502e+01,0.000000000000000000e+00
9.391184425117273804e+01,0.000000000000000000e+00
9.452238364602629872e+01,0.000000000000000000e+00
9.513272859845733365e+01,0.000000000000000000e+00
9.574333186578564892e+01,0.000000000000000000e+00
9.635376294661611496e+01,0.000000000000000000e+00
9.696440985947472768e+01,0.000000000000000000e+00
9.757492930599600811e+01,0.000000000000000000e+00
9.818560365591200423e+01,0.000000000000000000e+00
9.879620899854394622e+01,0.000000000000000000e+00
9.940689973501527277e+01,0.000000000000000000e+00
1.000175823974958007e+02,0.000000000000000000e+00
1.006282845134621340e+02,0.000000000000000000e+00
1.012390297296054626e+02,0.000000000000000000e+00
1.018497436334167929e+02,0.000000000000000000e+00
1.024605320222214004e+02,0.000000000000000000e+00
1.030712610576483002e+02,0.000000000000000000e+00
1.036820718946740669e+02,0.000000000000000000e+00
1.042928187298752221e+02,0.000000000000000000e+00
1.049036333690481939e+02,0.000000000000000000e+00
1.055143975525970887e+02,0.000000000000000000e+00
