Q20,Q30
1.440000000000000000e+02,0.000000000000000000e+00
1.449388025140873992e+02,1.450066760631995178e-03
1.458779281282547515e+02,9.494660772514562554e-04
1.468164194798833364e+02,4.952584772618766600e-04
1.477558825272318472e+02,1.694941878996218741e-04
1.486940465294717342e+02,2.069243588258650249e-03
1.496338744032222507e+02,2.423816715335689822e-05
1.505716905897615163e+02,1.025455512870416803e-04
1.515119329524694081e+02,2.435034090751278329e-04
1.524493638060054082e+02,4.013629448753256021e-04
1.533900720974544640e+02,3.841205172153126270e-04
1.543270748507793257e+02,7.304416061725805230e-04
1.552683074187407897e+02,7.362330064157834690e-04
1.562048335132977002e+02,8.271868018283267624e-04
1.571466483527272260e+02,6.765329933838977981e-04
1.580826726524667549e+02,1.726797597158315602e-03
1.590250583514435334e+02,1.444560542566549963e-04
1.599606631938380872e+02,1.672276177966269210e-03
1.609035167636444612e+02,1.669135633011188582e-03
1.618388080497981605e+02,2.366230803276148272e-03
1.627820325441336706e+02,2.940563149751358220e-04
1.637171835963578133e+02,2.538655527624159546e-03
1.646605114384136357e+02,1.174301251877527073e-03
1.655958471097895028e+02,1.734417057206961640e-03
1.665390417237428551e+02,1.413137877736550183e-04
1.674747465522802656e+02,3.676654594762708388e-03
1.684175975438864157e+02,8.625109131720114578e-04
1.693539116909622635e+02,3.249697670562635109e-03
1.702961308387911004e+02,7.809615701576209240e-04
1.712334427945457662e+02,4.488612267736715074e-03
1.721747855546355481e+02,4.363599434284674318e-03
1.731129221556443554e+02,8.418109815687031816e-04
1.740541496036672413e+02,4.713545484590002214e-03
1.749919924434038592e+02,2.777666007380283700e-03
1.759341480255747001e+02,1.231295209765662611e-03
1.768710172340696261e+02,1.088020782036630205e-04
1.778146811579792370e+02,1.390348150310556988e-03
1.787500070591804899e+02,5.112369313183064840e-03
1.796953637744718435e+02,3.198786840947070997e-04
1.806295099091227883e+02,4.733020378656069282e-03
1.815758067709232080e+02,1.914589224181031772e-03
1.825097674177059446e+02,4.828052848209208811e-03
1.834560781613359097e+02,3.863016093397909564e-03
1.843904738903678435e+02,7.522858662957774070e-04
1.853366635180283026e+02,4.326444763122171827e-03
1.862713453253452940e+02,2.531006666107769344e-03
1.872174734582977180e+02,1.659763875917919657e-04
1.881526786570308900e+02,1.013969789448784103e-04
1.890984520158690430e+02,2.195876794175989546e-03
1.900343747060757096e+02,3.263683149257071408e-03
1.909796322196238521e+02,1.024865114091471751e-03
1.919163684460522745e+02,1.169832663141126636e-03
1.928611963710342820e+02,2.957935916515279113e-03
1.937985480163244745e+02,2.657670938300043563e-03
1.947431497847557580e+02,1.841948081634915343e-03
1.956810571492729309e+02,2.540048610854691528e-03
1.966254090527535823e+02,4.052047557657522184e-04
1.975638377434032975e+02,2.021614338376103749e-03
1.985080706240638904e+02,1.051097787395484720e-04
1.994468513840585899e+02,4.068734732108510166e-04
2.003911344861387249e+02,1.551851315516643987e-03
2.013302065830274614e+02,1.331835410235741174e-03
2.022744777076134426e+02,2.070192102280740080e-04
2.032139297570355154e+02,1.649678653385445483e-03
2.041581605102776678e+02,1.501854935567830188e-03
2.050980001170809999e+02,1.240056691298411107e-03
2.060421526852914553e+02,6.917357461517566631e-04
2.069824710315307357e+02,6.761522810893123760e-04
2.079264532369926712e+02,1.617607474993207816e-03
2.088673309361460042e+02,1.416891792238191266e-04
2.098110655925187586e+02,1.589236067307080429e-04
2.107525415675775093e+02,4.284946758673891486e-04
2.116961763586942027e+02,9.573710899749244760e-04
2.126377879162731404e+02,8.301806849380786090e-04
2.135146433609655503e+02,3.496752719604316328e-01
2.142488180009749499e+02,9.398152296113008175e-01
2.148772032183208580e+02,1.643185229618189913e+00
2.154096598792717145e+02,2.421012201499689986e+00
2.158523910750629966e+02,3.253439324659730847e+00
2.162035471212731466e+02,4.128334006274650747e+00
2.166415632804720985e+02,4.963097442106284340e+00
2.172581345899915846e+02,5.676068576413649147e+00
