Q20,Q30
1.440000000000000000e+02,0.000000000000000000e+00
1.450029037079589500e+02,1.131453775344294123e-03
1.460058007992895170e+02,6.481265541396594599e-04
1.470087195139560379e+02,3.174503577132595580e-04
1.480116149712481501e+02,6.348755778794905932e-05
1.490145296613387700e+02,6.694487652081791175e-03
1.500174065297518666e+02,6.105528600081748818e-05
1.510203666214003420e+02,1.211758228175370642e-04
1.520232757363923497e+02,2.222602622093946623e-04
1.530262631364550714e+02,3.542443186084233680e-04
1.540291887755882385e+02,4.292688265130344561e-04
1.550322075084433493e+02,5.315410206451394188e-04
1.560351573775291456e+02,6.612304636022125646e-04
1.570382130334456861e+02,7.242122437985175180e-04
1.580411935359302333e+02,8.075318613799792843e-04
1.590442880201794651e+02,9.733173174681918364e-04
1.600473076319858876e+02,1.020674055130093259e-03
1.610504449922053709e+02,1.148314104972933012e-03
1.620535099889450521e+02,1.411502950816141992e-03
1.630566940440797623e+02,1.287527057021214472e-03
1.640598118240576753e+02,1.447298695185527274e-03
1.650630475478920118e+02,1.534844342637064823e-03
1.660662227362865906e+02,1.772010525473043628e-03
1.670695157673772258e+02,1.810065665730614106e-03
1.680727562380182576e+02,1.851319734284457598e-03
1.690761090374493563e+02,1.924219729641737453e-03
1.700794212280738691e+02,1.865388305979397143e-03
1.710828386746347292e+02,2.076651693164605680e-03
1.720862280077764126e+02,2.204662440321645059e-03
1.730897184564249756e+02,2.227447709659504359e-03
1.740931891220906209e+02,2.269910209888925667e-03
1.750967579304039248e+02,2.354814479802784521e-03
1.761003203920851945e+02,2.335703368623094460e-03
1.771039720398746340e+02,2.363430488469748288e-03
1.781076338180876633e+02,2.123066847395581498e-03
1.791113514652203094e+02,2.242931853062614129e-03
1.801150944341484887e+02,2.340257736793610599e-03
1.811189131643804160e+02,2.212175862248627785e-03
1.821227647186579475e+02,2.211373677814230075e-03
1.831266554610849937e+02,2.131699270865899509e-03
1.841306240896780935e+02,2.107425090806025469e-03
1.851346056469290886e+02,1.202226680599974198e-03
1.860830497873816682e+02,3.289517082787643543e-01
1.868785462158667485e+02,9.405667138491989876e-01
1.875668929364592259e+02,1.670716191056280664e+00
1.881598014786613362e+02,2.480191299164975494e+00
1.886617174646011108e+02,3.348980326527166262e+00
1.890755845096550729e+02,4.262934285515703081e+00
1.895148436817217430e+02,5.164842125330500799e+00
1.899803906656306935e+02,6.053379713416295438e+00
1.904667245393551411e+02,6.930640981829908398e+00
1.909618667521496036e+02,7.802888611742790026e+00
1.914478280503167582e+02,8.680204301335042061e+00
1.919570950935697908e+02,9.544132823947867550e+00
1.924881448205147763e+02,1.039477712188086400e+01
1.930488285543110578e+02,1.122612863961896856e+01
1.936560241439716492e+02,1.202408530438221312e+01
1.942623405118190760e+02,1.282267501310928637e+01
1.948871584185938275e+02,1.360683451243056297e+01
1.955485201032313682e+02,1.436039840537814172e+01
1.962655148446877718e+02,1.506121599947181444e+01
1.970795982009200031e+02,1.564639230380249835e+01
