 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.38961158     -34.73915609       0.00000000       0.00000000       0.00000000       0.00000000
       0.38961158     -32.96778539       0.00000000       0.00000000       0.00000000       0.00000000
       0.38961158     -31.50404356       0.00000000       0.00000000       0.00000000       0.00000000
       0.38961158     -30.19983326       0.00000000       0.00000000       0.00000000       0.00000000
       0.38961158     -28.99863038       0.00000000       0.00000000       0.00000000       0.00000000
       0.38961158     -27.87132716       0.00000000       0.00000000       0.00000000       0.00000000
       0.38961158     -26.80047209       0.00000001       0.00000000       0.00000001       0.00000000
       0.38961158     -25.77457005       0.00000003       0.00000001       0.00000004       0.00000000
       0.38961158     -24.78554492       0.00000005       0.00000001       0.00000003       0.00000000
       0.38961158     -23.82744848       0.00000003       0.00000001       0.00000000       0.00000000
       0.38961158     -22.89573853       0.00000002       0.00000002       0.00000000       0.00000000
       0.38961158     -21.98684568       0.00000002       0.00000002       0.00000000       0.00000000
       0.38961158     -21.09789875       0.00000002       0.00000001       0.00000000       0.00000000
       0.38961158     -20.22654288       0.00000004       0.00000001       0.00000001       0.00000000
       0.38961158     -19.37081457       0.00000005       0.00000001       0.00000004       0.00000000
       0.38961158     -18.52905318       0.00000025       0.00000001       0.00000067       0.00000000
       0.38961158     -17.69983670       0.00000123       0.00000010       0.00008107       0.00000017
       0.38961158     -16.88193396       0.00000404       0.00000025       0.00045701       0.00000155
       0.38961158     -16.07426849       0.00001667       0.00000139       0.00143287       0.00002841
       0.38961158     -15.27589064       0.00007548       0.00001139       0.00782833       0.00065787
       0.38961158     -14.48595581       0.00031785       0.00006862       0.03397188       0.00621191
       0.38961158     -13.70370714       0.00147349       0.00047008       0.13556864       0.05136184
       0.38961158     -12.92846164       0.00627354       0.00284510       0.39672841       0.28076129
       0.38961158     -12.15959892       0.01806748       0.01037328       0.60863040       0.57857271
       0.38961158     -11.39655195       0.03263016       0.02186163       0.63796768       0.67765201
       0.38961158     -10.63879937       0.04132749       0.03017268       0.55788215       0.63194640
       0.38961158      -9.88585908       0.04447964       0.03245341       0.49719564       0.53120456
       0.38961158      -9.13728285       0.04597769       0.03210145       0.51042155       0.48788789
       0.38961158      -8.39265169       0.04609368       0.03201952       0.51335879       0.52818165
       0.38961158      -7.65157187       0.04587390       0.03080716       0.50187181       0.48386808
       0.38961158      -6.91367154       0.04756651       0.02796120       0.57575804       0.34395071
       0.38961158      -6.17859769       0.04869016       0.02671442       0.63405193       0.30498323
       0.38961158      -5.44601355       0.04653788       0.02838406       0.55934212       0.41726360
       0.38961158      -4.71559618       0.04391170       0.03038274       0.46154002       0.54491694
       0.38961158      -3.98703444       0.04376477       0.03080180       0.46364303       0.56289145
       0.38961158      -3.26002702       0.04478239       0.03063387       0.50010919       0.53935645
       0.38961158      -2.53428069       0.04541157       0.03040680       0.51224402       0.52596300
       0.38961158      -1.80950869       0.04562496       0.02935576       0.53239823       0.49573267
       0.38961158      -1.08542918       0.04451191       0.02775349       0.54178012       0.45029292
       0.38961158      -0.36176379       0.04227348       0.02694744       0.50674799       0.43776207
       0.38961158       0.36176379       0.04184452       0.02731854       0.49236620       0.45808210
       0.38961158       1.08542918       0.04421499       0.02811919       0.53356912       0.46565748
       0.38961158       1.80950869       0.04631665       0.02881108       0.54898209       0.45681754
       0.38961158       2.53428069       0.04608006       0.02943092       0.51650602       0.46888998
       0.38961158       3.26002702       0.04500882       0.02996557       0.49396151       0.50910007
       0.38961158       3.98703444       0.04424699       0.03061612       0.48073104       0.55634759
       0.38961158       4.71559618       0.04380530       0.03136454       0.44946780       0.57294969
       0.38961158       5.44601355       0.04523486       0.03114415       0.47594469       0.51075652
       0.38961158       6.17859769       0.04850768       0.02961357       0.57505579       0.38134169
       0.38961158       6.91367154       0.04978136       0.02908298       0.60040854       0.31984336
       0.38961158       7.65157187       0.04782207       0.03114740       0.51720685       0.40003154
       0.38961158       8.39265169       0.04660515       0.03329930       0.48408143       0.52141349
       0.38961158       9.13728285       0.04700446       0.03280387       0.51832340       0.50159708
       0.38961158       9.88585908       0.04627269       0.03171382       0.50705268       0.43700409
       0.38961158      10.63879937       0.04422669       0.03163474       0.50676362       0.50633535
       0.38961158      11.39655195       0.03991648       0.02874700       0.58419610       0.64158826
       0.38961158      12.15959892       0.02917917       0.01956400       0.64968953       0.69840879
       0.38961158      12.92846164       0.01427176       0.00836450       0.57800534       0.59076620
       0.38961158      13.70370714       0.00430554       0.00204230       0.31897235       0.27291858
       0.38961158      14.48595581       0.00091379       0.00032027       0.08882804       0.05060804
       0.38961158      15.27589064       0.00019054       0.00004982       0.01969506       0.00720942
       0.38961158      16.07426849       0.00004244       0.00000821       0.00348150       0.00059743
       0.38961158      16.88193396       0.00000857       0.00000103       0.00060679       0.00004120
       0.38961158      17.69983670       0.00000204       0.00000025       0.00014331       0.00000269
       0.38961158      18.52905318       0.00000055       0.00000007       0.00001514       0.00000005
       0.38961158      19.37081457       0.00000009       0.00000001       0.00000012       0.00000000
       0.38961158      20.22654288       0.00000002       0.00000001       0.00000000       0.00000000
       0.38961158      21.09789875       0.00000002       0.00000001       0.00000000       0.00000000
