Q20,Q30
1.781051984827238641e+02,0.000000000000000000e+00
1.783540089532315278e+02,0.000000000000000000e+00
1.786028194237392199e+02,0.000000000000000000e+00
1.788516298942468836e+02,0.000000000000000000e+00
1.791004403647545757e+02,0.000000000000000000e+00
1.793492508352622394e+02,0.000000000000000000e+00
1.795980613057699316e+02,0.000000000000000000e+00
1.798468717762775952e+02,0.000000000000000000e+00
1.800956822467852589e+02,0.000000000000000000e+00
1.803444927172929511e+02,0.000000000000000000e+00
1.805933031878006148e+02,0.000000000000000000e+00
1.808421136583083069e+02,0.000000000000000000e+00
1.810909241288159706e+02,0.000000000000000000e+00
1.813397345993236627e+02,0.000000000000000000e+00
1.815885450698313548e+02,0.000000000000000000e+00
1.818373555403390469e+02,0.000000000000000000e+00
1.820861660108467390e+02,0.000000000000000000e+00
1.823349764813544311e+02,0.000000000000000000e+00
1.825837869518621233e+02,0.000000000000000000e+00
1.828325974223698154e+02,0.000000000000000000e+00
1.830814078928775359e+02,0.000000000000000000e+00
1.833302183633852280e+02,0.000000000000000000e+00
1.835790288338929486e+02,0.000000000000000000e+00
1.838278393044006407e+02,0.000000000000000000e+00
1.840766497749083612e+02,0.000000000000000000e+00
1.843254602454160533e+02,0.000000000000000000e+00
1.845742707159237739e+02,0.000000000000000000e+00
1.848230811864314944e+02,0.000000000000000000e+00
1.850718916569392150e+02,0.000000000000000000e+00
1.853207021274469639e+02,0.000000000000000000e+00
1.855695125979546845e+02,0.000000000000000000e+00
1.858183230684624334e+02,0.000000000000000000e+00
1.860671335389701539e+02,0.000000000000000000e+00
1.863159440094779029e+02,0.000000000000000000e+00
1.865647544799856234e+02,0.000000000000000000e+00
1.868135649504933724e+02,0.000000000000000000e+00
1.870623754210011214e+02,0.000000000000000000e+00
1.873111858915088703e+02,0.000000000000000000e+00
1.875599963620166193e+02,0.000000000000000000e+00
1.878088068325243967e+02,0.000000000000000000e+00
1.880576173030321456e+02,0.000000000000000000e+00
1.883064277735399230e+02,0.000000000000000000e+00
1.885552382440476720e+02,0.000000000000000000e+00
1.888040487145554494e+02,0.000000000000000000e+00
1.890528591850632267e+02,0.000000000000000000e+00
1.893016696555710041e+02,0.000000000000000000e+00
1.895504801260788099e+02,0.000000000000000000e+00
1.897992905965865873e+02,0.000000000000000000e+00
1.900481010670943931e+02,0.000000000000000000e+00
1.902969115376021705e+02,0.000000000000000000e+00
1.905457220081099763e+02,0.000000000000000000e+00
1.907945324786177821e+02,0.000000000000000000e+00
1.910433429491255879e+02,0.000000000000000000e+00
1.912921534196333937e+02,0.000000000000000000e+00
1.915409638901411995e+02,0.000000000000000000e+00
1.917897743606490053e+02,0.000000000000000000e+00
1.920385848311568395e+02,0.000000000000000000e+00
1.922873953016646453e+02,0.000000000000000000e+00
1.925362057721724796e+02,0.000000000000000000e+00
1.927850162426802854e+02,0.000000000000000000e+00
1.930338267131881196e+02,0.000000000000000000e+00
1.932826371836959538e+02,0.000000000000000000e+00
1.935314476542037880e+02,0.000000000000000000e+00
1.937802581247116223e+02,0.000000000000000000e+00
1.940290685952194565e+02,0.000000000000000000e+00
1.942778790657272907e+02,0.000000000000000000e+00
1.945266895362351249e+02,0.000000000000000000e+00
1.947755000067429876e+02,0.000000000000000000e+00
1.950243104772508218e+02,0.000000000000000000e+00
1.952731209477586845e+02,0.000000000000000000e+00
1.955219314182665187e+02,0.000000000000000000e+00
1.957707418887743813e+02,0.000000000000000000e+00
1.960195523592822440e+02,0.000000000000000000e+00
1.962683628297900782e+02,0.000000000000000000e+00
1.965171733002979408e+02,0.000000000000000000e+00
1.967659837708057751e+02,0.000000000000000000e+00
1.970147942413136377e+02,0.000000000000000000e+00
1.972636047118215004e+02,0.000000000000000000e+00
1.975124151823293630e+02,0.000000000000000000e+00
1.977612256528372257e+02,0.000000000000000000e+00
1.980100361233450883e+02,0.000000000000000000e+00
1.982588465938529509e+02,0.000000000000000000e+00
