 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39227812     -34.26847654       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812     -32.52110608       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812     -31.07719643       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812     -29.79065683       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812     -28.60572901       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812     -27.49369957       0.00000000       0.00000000       0.00000001       0.00000000
       0.39227812     -26.43735348       0.00000000       0.00000000       0.00000010       0.00000005
       0.39227812     -25.42535135       0.00000002       0.00000001       0.00000042       0.00000018
       0.39227812     -24.44972648       0.00000005       0.00000002       0.00000036       0.00000011
       0.39227812     -23.50461126       0.00000004       0.00000002       0.00000002       0.00000000
       0.39227812     -22.58552501       0.00000001       0.00000001       0.00000000       0.00000000
       0.39227812     -21.68894671       0.00000001       0.00000002       0.00000000       0.00000001
       0.39227812     -20.81204409       0.00000003       0.00000001       0.00000000       0.00000000
       0.39227812     -19.95249420       0.00000012       0.00000002       0.00000093       0.00000000
       0.39227812     -19.10836011       0.00000025       0.00000001       0.00000802       0.00000000
       0.39227812     -18.27800372       0.00000081       0.00000002       0.00010487       0.00000000
       0.39227812     -17.46002226       0.00000293       0.00000012       0.00118005       0.00000028
       0.39227812     -16.65320126       0.00000912       0.00000037       0.00502738       0.00000417
       0.39227812     -15.85647881       0.00003209       0.00000214       0.01394038       0.00010883
       0.39227812     -15.06891816       0.00012218       0.00001502       0.05123468       0.00222398
       0.39227812     -14.28968613       0.00046115       0.00008799       0.14002427       0.01619805
       0.39227812     -13.51803611       0.00187700       0.00056679       0.33079751       0.10345614
       0.39227812     -12.75329438       0.00700959       0.00311466       0.58289927       0.40423608
       0.39227812     -11.99484896       0.01851418       0.01071215       0.69319964       0.66295214
       0.39227812     -11.24214048       0.03210341       0.02220801       0.65550084       0.72243615
       0.39227812     -10.49465466       0.04077190       0.03075695       0.55085960       0.65856755
       0.39227812      -9.75191594       0.04553547       0.03316256       0.51376322       0.53866774
       0.39227812      -9.01348214       0.04828522       0.03290011       0.54340926       0.48467987
       0.39227812      -8.27893996       0.04754731       0.03354304       0.51460567       0.56504794
       0.39227812      -7.54790101       0.04561903       0.03339058       0.45180316       0.59729457
       0.39227812      -6.81999846       0.04686986       0.03048364       0.50882047       0.45564645
       0.39227812      -6.09488410       0.04917203       0.02782534       0.60709736       0.33411518
       0.39227812      -5.37222571       0.04866505       0.02792797       0.59840300       0.36083689
       0.39227812      -4.65170474       0.04691550       0.02900997       0.54581010       0.44626047
       0.39227812      -3.93301426       0.04599399       0.02900693       0.52744245       0.46873501
       0.39227812      -3.21585703       0.04506430       0.02892303       0.49715482       0.46657642
       0.39227812      -2.49994381       0.04436525       0.02998910       0.45915741       0.52239974
       0.39227812      -1.78499172       0.04506170       0.03109289       0.47414252       0.59066386
       0.39227812      -1.07072274       0.04563097       0.03097531       0.50307206       0.59769976
       0.39227812      -0.35686226       0.04449386       0.03030220       0.48268244       0.56240428
       0.39227812       0.35686226       0.04353467       0.03043227       0.45212792       0.55846788
       0.39227812       1.07072274       0.04441731       0.03136386       0.46356921       0.59289304
       0.39227812       1.78499172       0.04523658       0.03189863       0.47606497       0.60637457
       0.39227812       2.49994381       0.04425663       0.03149781       0.45297713       0.57885051
       0.39227812       3.21585703       0.04325517       0.03091002       0.43302597       0.54537453
       0.39227812       3.93301426       0.04429479       0.03113959       0.45983183       0.54228392
       0.39227812       4.65170474       0.04583410       0.03236197       0.48642539       0.56691395
       0.39227812       5.37222571       0.04574122       0.03373072       0.46599131       0.58779572
       0.39227812       6.09488410       0.04532506       0.03394608       0.44957977       0.56398123
       0.39227812       6.81999846       0.04622689       0.03298825       0.47999536       0.49356923
       0.39227812       7.54790101       0.04649891       0.03318834       0.47610244       0.48105052
       0.39227812       8.27893996       0.04534584       0.03564132       0.41670307       0.58665308
       0.39227812       9.01348214       0.04612619       0.03728058       0.43437706       0.66433084
       0.39227812       9.75191594       0.04879276       0.03567517       0.52910848       0.57319141
       0.39227812      10.49465466       0.04878861       0.03394816       0.54766174       0.46862636
       0.39227812      11.24214048       0.04539484       0.03406834       0.51178193       0.53708562
       0.39227812      11.99484896       0.04056061       0.03171091       0.56033151       0.68438654
       0.39227812      12.75329438       0.03150356       0.02268321       0.67194282       0.76559045
       0.39227812      13.51803611       0.01738343       0.01062236       0.69909610       0.72302161
       0.39227812      14.28968613       0.00612236       0.00295273       0.56152771       0.47366618
       0.39227812      15.06891816       0.00149970       0.00051126       0.27796429       0.12792116
       0.39227812      15.85647881       0.00033918       0.00007684       0.09632192       0.02002806
       0.39227812      16.65320126       0.00008393       0.00001315       0.03083492       0.00330621
       0.39227812      17.46002226       0.00002002       0.00000183       0.00812029       0.00037138
       0.39227812      18.27800372       0.00000496       0.00000025       0.00278998       0.00002699
       0.39227812      19.10836011       0.00000146       0.00000007       0.00034504       0.00000038
       0.39227812      19.95249420       0.00000038       0.00000002       0.00001756       0.00000000
       0.39227812      20.81204409       0.00000010       0.00000001       0.00000059       0.00000000
       0.39227812      21.68894671       0.00000005       0.00000002       0.00000010       0.00000000
       0.39227812      22.58552501       0.00000002       0.00000001       0.00000000       0.00000000
       0.39227812      23.50461126       0.00000002       0.00000002       0.00000000       0.00000001
       0.39227812      24.44972648       0.00000003       0.00000003       0.00000022       0.00000059
       0.39227812      25.42535135       0.00000001       0.00000002       0.00000055       0.00000131
       0.39227812      26.43735348       0.00000000       0.00000000       0.00000018       0.00000042
       0.39227812      27.49369957       0.00000000       0.00000000       0.00000002       0.00000003
       0.39227812      28.60572901       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812      29.79065683       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812      31.07719643       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812      32.52110608       0.00000000       0.00000000       0.00000000       0.00000000
       0.39227812      34.26847654       0.00000000       0.00000000       0.00000000       0.00000000
       0.90058325     -34.26847654       0.00000000       0.00000000       0.00000000       0.00000000
       0.90058325     -32.52110608       0.00000000       0.00000000       0.00000000       0.00000000
       0.90058325     -31.07719643       0.00000000       0.00000000       0.00000000       0.00000000
       0.90058325     -29.79065683       0.00000000       0.00000000       0.00000000       0.00000000
       0.90058325     -28.60572901       0.00000000       0.00000000       0.00000000       0.00000000
       0.90058325     -27.49369957       0.00000000       0.00000000       0.00000001       0.00000000
       0.90058325     -26.43735348       0.00000000       0.00000000       0.00000009       0.00000005
       0.90058325     -25.42535135       0.00000002       0.00000001       0.00000040       0.00000019
       0.90058325     -24.44972648       0.00000004       0.00000002       0.00000038       0.00000013
       0.90058325     -23.50461126       0.00000004       0.00000002       0.00000003       0.00000000
       0.90058325     -22.58552501       0.00000001       0.00000001       0.00000000       0.00000000
       0.90058325     -21.68894671       0.00000001       0.00000002       0.00000000       0.00000000
       0.90058325     -20.81204409       0.00000003       0.00000001       0.00000000       0.00000000
       0.90058325     -19.95249420       0.00000011       0.00000001       0.00000110       0.00000000
       0.90058325     -19.10836011       0.00000023       0.00000000       0.00000519       0.00000000
       0.90058325     -18.27800372       0.00000076       0.00000001       0.00006977       0.00000000
       0.90058325     -17.46002226       0.00000278       0.00000011       0.00162587       0.00000097
       0.90058325     -16.65320126       0.00000863       0.00000036       0.00586626       0.00000736
       0.90058325     -15.85647881       0.00002991       0.00000196       0.01299104       0.00010522
       0.90058325     -15.06891816       0.00011286       0.00001363       0.04474475       0.00184114
