Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.261838556965362557e+01,1.365986077589283545e-03
3.323835952574972907e+01,4.294679478097482989e-02
3.383460383330891830e+01,1.928448329139789974e-01
3.437187693161062896e+01,5.021438076642317228e-01
3.463127445667388571e+01,1.059909369573542870e+00
3.522716202966638832e+01,1.244570143206458201e+00
3.583543564089032429e+01,1.328715330180605392e+00
3.645979389243785818e+01,1.347942235343216666e+00
3.707192718649955054e+01,1.310738770331688174e+00
3.769160180272248084e+01,1.221937285449200772e+00
3.828997984848016500e+01,1.094163946165263024e+00
3.889566048126721398e+01,9.283812606932280165e-01
3.947687840067707299e+01,7.431356485209720253e-01
4.007253840544619550e+01,5.370434239774474205e-01
4.064699121295648609e+01,3.378120872641782180e-01
4.125130489666695865e+01,1.501740553325007221e-01
4.184194623167277172e+01,1.445869626403191964e-02
4.247777533037901776e+01,2.978556973040982249e-03
4.308051619286722911e+01,3.857268957381329230e-03
4.372020633713565729e+01,5.070210324966092572e-03
4.431992353433269471e+01,4.534517760123016675e-03
4.496309515758031239e+01,2.336429014992627909e-03
4.556077501864056956e+01,1.916127857690206292e-03
4.620649901486471123e+01,1.571409578094222839e-03
4.680289573915756307e+01,2.041526283725812047e-03
4.745056788330830955e+01,3.060356287446794853e-03
4.804614263559192011e+01,3.614179555911021559e-03
4.869531503963102637e+01,4.070408586378790328e-03
4.929061682021129087e+01,4.190375041667459069e-03
4.994084850309685208e+01,3.734122575927517791e-03
5.053646693635995746e+01,3.093808352273790842e-03
5.118735701054528420e+01,1.783521673924865283e-03
5.178374541268110676e+01,1.742950429693806633e-03
5.243496432830745135e+01,1.527672455377757522e-03
5.303244567357483419e+01,2.804433152422534936e-03
5.368368337184241312e+01,2.810542242827147354e-03
5.428271556223998573e+01,2.609075490753336168e-03
5.493352307098388110e+01,1.247362101955474568e-03
5.553476095084754860e+01,7.050673924183436733e-04
5.618463596260551896e+01,7.916183265996084781e-04
5.678849474610208148e+01,1.356283656049804987e-03
5.743708835386610190e+01,2.619406200217858256e-03
5.804385306160143188e+01,3.428129644515052685e-03
5.869094245628440376e+01,4.319898001789803516e-03
5.930085776664191854e+01,4.669041443169230990e-03
5.994630450215196049e+01,4.674556040990455671e-03
6.055971883505654318e+01,4.230299162693362119e-03
6.120333128236291742e+01,3.174572321881837661e-03
