Q20,Q30
3.200000000000000000e+01,0.000000000000000000e+00
3.293620141263810552e+01,7.456486060854619971e-04
3.385108048566796413e+01,2.020732482138989650e-01
3.457564374112411798e+01,7.794624125265129377e-01
3.544160718455927395e+01,1.146902168353588047e+00
3.636220199191760116e+01,1.270713154530977551e+00
3.730083889966727639e+01,1.285474660623611598e+00
3.822820382309391363e+01,1.205919951210923324e+00
3.915063588765328007e+01,1.041608834304067699e+00
4.005476640605147054e+01,8.129680632010878316e-01
4.095411481151310085e+01,5.565175355634763843e-01
4.184912311732430368e+01,2.880780251751425824e-01
4.275280439264793841e+01,5.410335528502835389e-02
4.368759553172455412e+01,4.163035343165140227e-03
4.461955897204152421e+01,4.459961364367900569e-03
4.555709773229329329e+01,2.061391072725888337e-03
4.648797018696976124e+01,9.168694666817496204e-04
4.742667631001123141e+01,5.119631967950501357e-04
4.835655600206496274e+01,9.801056521746692989e-04
4.929629068238398304e+01,1.696257250040526104e-03
5.022532208597286285e+01,2.086660613913041227e-03
5.116594309695511811e+01,2.121714087948986006e-03
5.209428300085854602e+01,1.917785740234898093e-03
5.303564246741107269e+01,2.437465063942833004e-03
5.396345278956386693e+01,1.788273772701636996e-03
5.490541498856433122e+01,9.361964385385196049e-05
5.583270370250401982e+01,1.717008854220502048e-02
5.677510971641645909e+01,1.267520893905245069e-02
5.770223015078578754e+01,1.398350444384424739e-04
5.864498848477581561e+01,1.771687135087348947e-03
5.957206697051037736e+01,2.975066220687728677e-03
6.051505252452027150e+01,4.062925967851034777e-03
6.144211051194584172e+01,5.267389670294726767e-03
6.238521618871020280e+01,6.327294782145769826e-03
6.331235349496714804e+01,6.266552207676358635e-03
6.425551062361347476e+01,5.250364002963264602e-03
6.518285465012402824e+01,6.323749470361368814e-03
6.612592356447837005e+01,5.795645459623867055e-03
6.705359364392568011e+01,4.132343853121913518e-03
6.799654558547791794e+01,1.173441309194233912e-03
6.892462730522996139e+01,1.107295813470203418e-03
6.986734904331562745e+01,1.037629403517114669e-03
7.079586912038566027e+01,1.032948534955803292e-03
7.173833506600826126e+01,1.136138629347502793e-03
7.266731603006269324e+01,1.135275095390949089e-03
7.360951104734270700e+01,1.224278419761471327e-03
7.453896379694388941e+01,1.525186341142337025e-03
7.548087993019753128e+01,2.024357808792188670e-03
7.641080359400140765e+01,2.681347450856854612e-03
7.735243868035665571e+01,3.184191120633345605e-03
7.828282751534236183e+01,3.386673246611343526e-03
7.922418719181176527e+01,3.399241441495481995e-03
8.015503226012894800e+01,3.179042470851347908e-03
8.109612770897393830e+01,2.301779960265998987e-03
8.202742041258954941e+01,1.183421818827142197e-03
8.296819336859535099e+01,1.083891690271761646e-02
8.389935834424036898e+01,4.508442679187264074e-02
8.483864554536388880e+01,9.193978702815441828e-02
8.576891438667406931e+01,1.542264941086530783e-01
8.670520582035327095e+01,2.384914006606859427e-01
8.763161758653166089e+01,3.481940666183219735e-01
8.856078709690058304e+01,4.885810533822747548e-01
8.948235800728129163e+01,6.366141117646175740e-01
9.041156070786834675e+01,7.744874400924843805e-01
9.133906505496345574e+01,8.832421158681068585e-01
9.227584487690586457e+01,9.484943754529261417e-01
9.321000678826227670e+01,9.645429071919894293e-01
9.414852933743010510e+01,9.436838916943312006e-01
9.508212013050176381e+01,8.982455380218553609e-01
9.601877283694750531e+01,8.396707063452640840e-01
9.695169760940864023e+01,7.764482498942142374e-01
9.788785153105767733e+01,7.142462816414334448e-01
9.882163262508801438e+01,6.590042203286365918e-01
9.975865584242069417e+01,6.171615078043087843e-01
1.006942570553260907e+02,6.007610304044422866e-01
1.016319524418984201e+02,5.985011889917162264e-01
1.025680042730949708e+02,5.951478132636820462e-01
1.035052996557283791e+02,5.786898621956902966e-01
1.044407267858023971e+02,5.369726218387763650e-01
1.053753825942542761e+02,4.682870322088568127e-01
1.063082412391988214e+02,3.842540191385913628e-01
1.072409180993043805e+02,2.951288249680720233e-01
