 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39036485     -34.73908596       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485     -32.96771883       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485     -31.50397996       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485     -30.19977229       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485     -28.99857184       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485     -27.87127089       0.00000000       0.00000000       0.00000000       0.00000001
       0.39036485     -26.80041798       0.00000000       0.00000000       0.00000003       0.00000007
       0.39036485     -25.77451801       0.00000002       0.00000002       0.00000008       0.00000015
       0.39036485     -24.78549488       0.00000003       0.00000002       0.00000003       0.00000004
       0.39036485     -23.82740037       0.00000001       0.00000001       0.00000000       0.00000000
       0.39036485     -22.89569231       0.00000002       0.00000003       0.00000000       0.00000004
       0.39036485     -21.98680129       0.00000001       0.00000002       0.00000000       0.00000000
       0.39036485     -21.09785616       0.00000001       0.00000001       0.00000000       0.00000000
       0.39036485     -20.22650205       0.00000004       0.00000002       0.00000001       0.00000000
       0.39036485     -19.37077546       0.00000008       0.00000001       0.00000016       0.00000000
       0.39036485     -18.52901577       0.00000037       0.00000002       0.00000193       0.00000000
       0.39036485     -17.69980097       0.00000151       0.00000016       0.00009073       0.00000081
       0.39036485     -16.88189988       0.00000512       0.00000042       0.00045646       0.00000888
       0.39036485     -16.07423603       0.00002200       0.00000284       0.00201676       0.00021729
       0.39036485     -15.27585980       0.00009714       0.00002021       0.01257241       0.00380189
       0.39036485     -14.48592656       0.00041620       0.00011771       0.05408362       0.02710374
       0.39036485     -13.70367947       0.00195795       0.00078742       0.20749343       0.16871460
       0.39036485     -12.92843553       0.00788795       0.00421136       0.49820573       0.52609675
       0.39036485     -12.15957437       0.02080512       0.01334895       0.65646928       0.73358504
       0.39036485     -11.39652894       0.03485001       0.02512845       0.64204704       0.74836362
       0.39036485     -10.63877789       0.04269461       0.03192752       0.55187041       0.64310891
       0.39036485      -9.88583912       0.04620501       0.03248778       0.51269820       0.49230349
       0.39036485      -9.13726441       0.04781290       0.03186392       0.52689206       0.45859002
       0.39036485      -8.39263474       0.04671831       0.03295320       0.49161055       0.57853941
       0.39036485      -7.65155642       0.04515021       0.03259331       0.44443449       0.58715976
       0.39036485      -6.91365758       0.04680152       0.02951824       0.52159938       0.42353390
       0.39036485      -6.17858522       0.04904029       0.02737354       0.61663496       0.32814817
       0.39036485      -5.44600255       0.04813143       0.02783506       0.58936917       0.37209192
       0.39036485      -4.71558666       0.04603848       0.02877975       0.52350308       0.44567331
       0.39036485      -3.98702639       0.04547886       0.02887583       0.51309987       0.47215075
       0.39036485      -3.26002044       0.04551722       0.02907491       0.50134256       0.49271153
       0.39036485      -2.53427557       0.04525940       0.02974976       0.47009879       0.52980397
       0.39036485      -1.80950503       0.04529977       0.03024667       0.47444486       0.55909558
       0.39036485      -1.08542699       0.04497424       0.03061834       0.48806733       0.58034460
       0.39036485      -0.36176306       0.04394412       0.03126845       0.46545611       0.60363566
       0.39036485       0.36176306       0.04401493       0.03183072       0.45535888       0.61456500
       0.39036485       1.08542699       0.04551055       0.03195189       0.48244294       0.60847048
       0.39036485       1.80950503       0.04590733       0.03197422       0.48407789       0.60272249
       0.39036485       2.53427557       0.04446339       0.03211720       0.44903444       0.60458397
       0.39036485       3.26002044       0.04361067       0.03217469       0.43797148       0.60537890
       0.39036485       3.98702639       0.04475520       0.03219210       0.47076152       0.60495745
       0.39036485       4.71558666       0.04608602       0.03251341       0.48966820       0.61149627
       0.39036485       5.44600255       0.04567954       0.03315963       0.46338909       0.62850050
       0.39036485       6.17858522       0.04441368       0.03335973       0.42994425       0.63370903
       0.39036485       6.91365758       0.04446435       0.03245845       0.44677876       0.59715932
       0.39036485       7.65155642       0.04524944       0.03152309       0.47627032       0.54445421
       0.39036485       8.39263474       0.04453378       0.03277759       0.43252045       0.58697787
       0.39036485       9.13726441       0.04394075       0.03547065       0.39099692       0.69383425
       0.39036485       9.88583912       0.04628524       0.03589472       0.46602931       0.68356848
       0.39036485      10.63877789       0.04859992       0.03377604       0.54853833       0.51299660
       0.39036485      11.39652894       0.04749500       0.03339888       0.52458566       0.45203648
       0.39036485      12.15957437       0.04475146       0.03442330       0.51703789       0.57767424
       0.39036485      12.92843553       0.04023305       0.03103532       0.61858375       0.72709475
       0.39036485      13.70367947       0.02899272       0.02034713       0.71377733       0.78334481
       0.39036485      14.48592656       0.01377600       0.00827613       0.67887649       0.69905205
       0.39036485      15.27585980       0.00405200       0.00191791       0.44685850       0.37487574
       0.39036485      16.07423603       0.00085443       0.00028489       0.15512126       0.07451981
       0.39036485      16.88189988       0.00018104       0.00004236       0.04249780       0.01260236
       0.39036485      17.69980097       0.00004208       0.00000693       0.00989255       0.00229978
       0.39036485      18.52901577       0.00000879       0.00000074       0.00131187       0.00004438
       0.39036485      19.37077546       0.00000207       0.00000012       0.00016884       0.00000052
       0.39036485      20.22650205       0.00000068       0.00000006       0.00001748       0.00000003
       0.39036485      21.09785616       0.00000018       0.00000002       0.00000217       0.00000000
       0.39036485      21.98680129       0.00000004       0.00000001       0.00000001       0.00000000
       0.39036485      22.89569231       0.00000001       0.00000001       0.00000000       0.00000000
       0.39036485      23.82740037       0.00000001       0.00000001       0.00000000       0.00000000
       0.39036485      24.78549488       0.00000002       0.00000003       0.00000016       0.00000066
       0.39036485      25.77451801       0.00000001       0.00000002       0.00000057       0.00000566
       0.39036485      26.80041798       0.00000000       0.00000001       0.00000028       0.00000446
       0.39036485      27.87127089       0.00000000       0.00000000       0.00000003       0.00000066
       0.39036485      28.99857184       0.00000000       0.00000000       0.00000000       0.00000002
       0.39036485      30.19977229       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485      31.50397996       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485      32.96771883       0.00000000       0.00000000       0.00000000       0.00000000
       0.39036485      34.73908596       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080     -34.73908596       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080     -32.96771883       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080     -31.50397996       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080     -30.19977229       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080     -28.99857184       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080     -27.87127089       0.00000000       0.00000000       0.00000000       0.00000001
       0.89619080     -26.80041798       0.00000000       0.00000000       0.00000003       0.00000007
       0.89619080     -25.77451801       0.00000002       0.00000002       0.00000010       0.00000017
       0.89619080     -24.78549488       0.00000003       0.00000003       0.00000005       0.00000006
       0.89619080     -23.82740037       0.00000001       0.00000001       0.00000000       0.00000000
       0.89619080     -22.89569231       0.00000001       0.00000002       0.00000000       0.00000001
       0.89619080     -21.98680129       0.00000001       0.00000002       0.00000000       0.00000000
       0.89619080     -21.09785616       0.00000002       0.00000001       0.00000000       0.00000000
       0.89619080     -20.22650205       0.00000004       0.00000002       0.00000001       0.00000000
       0.89619080     -19.37077546       0.00000008       0.00000001       0.00000013       0.00000000
       0.89619080     -18.52901577       0.00000035       0.00000002       0.00000206       0.00000000
       0.89619080     -17.69980097       0.00000146       0.00000015       0.00011083       0.00000167
       0.89619080     -16.88189988       0.00000492       0.00000039       0.00052479       0.00001446
       0.89619080     -16.07423603       0.00002077       0.00000257       0.00196725       0.00020602
       0.89619080     -15.27585980       0.00009102       0.00001835       0.01181253       0.00325573
       0.89619080     -14.48592656       0.00038451       0.00010520       0.05153745       0.02348180
       0.89619080     -13.70367947       0.00178150       0.00069144       0.19793159       0.14809044
       0.89619080     -12.92843553       0.00722110       0.00374567       0.48721170       0.49404553
       0.89619080     -12.15957437       0.01950118       0.01223671       0.65646440       0.71991816
       0.89619080     -11.39652894       0.03358168       0.02385248       0.65220672       0.74981708
       0.89619080     -10.63877789       0.04188322       0.03129824       0.56276627       0.66092248
       0.89619080      -9.88583912       0.04558327       0.03252927       0.51291964       0.51748631
       0.89619080      -9.13726441       0.04758322       0.03177256       0.52817590       0.45584175
       0.89619080      -8.39263474       0.04728697       0.03226361       0.51599107       0.53176062
       0.89619080      -7.65155642       0.04575899       0.03227343       0.46900122       0.56783428
       0.89619080      -6.91365758       0.04599643       0.03054541       0.48823079       0.48504434
       0.89619080      -6.17858522       0.04697349       0.02933908       0.53280177       0.43738978
       0.89619080      -5.44600255       0.04623813       0.02967201       0.51156118       0.47926930
       0.89619080      -4.71558666       0.04504580       0.02991193       0.47954356       0.51551820
       0.89619080      -3.98702639       0.04515812       0.02937666       0.49319252       0.50249875
       0.89619080      -3.26002044       0.04566637       0.02912496       0.50060367       0.49265574
       0.89619080      -2.53427557       0.04585393       0.02943061       0.49120150       0.50597541
       0.89619080      -1.80950503       0.04607143       0.02963467       0.50719648       0.51615182
       0.89619080      -1.08542699       0.04566252       0.02976403       0.51938463       0.52000891
       0.89619080      -0.36176306       0.04463040       0.03017038       0.49500349       0.52718720
       0.89619080       0.36176306       0.04482901       0.03056440       0.48901256       0.52896347
       0.89619080       1.08542699       0.04642139       0.03067659       0.52147032       0.52364891
       0.89619080       1.80950503       0.04695205       0.03075029       0.52903956       0.52257104
       0.89619080       2.53427557       0.04570083       0.03087193       0.49931613       0.52462224
       0.89619080       3.26002044       0.04481326       0.03086104       0.48510201       0.52085009
       0.89619080       3.98702639       0.04563919       0.03084668       0.50662631       0.51681310
       0.89619080       4.71558666       0.04689496       0.03112640       0.52419487       0.52137253
       0.89619080       5.44600255       0.04692375       0.03167597       0.51159070       0.53564405
       0.89619080       6.17858522       0.04601886       0.03189611       0.48641095       0.54186823
       0.89619080       6.91365758       0.04584046       0.03127267       0.49215780       0.51655928
       0.89619080       7.65155642       0.04650274       0.03050744       0.51926218       0.47356136
       0.89619080       8.39263474       0.04647394       0.03132363       0.50448100       0.49408623
       0.89619080       9.13726441       0.04631441       0.03332537       0.47795193       0.56569012
       0.89619080       9.88583912       0.04755136       0.03393702       0.51175689       0.55966860
       0.89619080      10.63877789       0.04824863       0.03305550       0.54132055       0.46743779
       0.89619080      11.39652894       0.04653798       0.03340126       0.51263853       0.47026187
       0.89619080      12.15957437       0.04382290       0.03389839       0.52709649       0.60206615
       0.89619080      12.92843553       0.03882632       0.02954004       0.63533375       0.73390754
       0.89619080      13.70367947       0.02708457       0.01861737       0.71681338       0.77390231
       0.89619080      14.48592656       0.01245192       0.00729988       0.66586614       0.67113770
       0.89619080      15.27585980       0.00359579       0.00165111       0.42142626       0.33651234
       0.89619080      16.07423603       0.00076410       0.00024650       0.14226582       0.06381474
       0.89619080      16.88189988       0.00016568       0.00003779       0.03799958       0.00961439
       0.89619080      17.69980097       0.00003885       0.00000622       0.00828562       0.00114639
       0.89619080      18.52901577       0.00000823       0.00000069       0.00129635       0.00004079
       0.89619080      19.37077546       0.00000199       0.00000013       0.00020529       0.00000064
       0.89619080      20.22650205       0.00000064       0.00000006       0.00002616       0.00000007
       0.89619080      21.09785616       0.00000016       0.00000001       0.00000107       0.00000000
       0.89619080      21.98680129       0.00000003       0.00000001       0.00000001       0.00000000
       0.89619080      22.89569231       0.00000001       0.00000001       0.00000000       0.00000000
       0.89619080      23.82740037       0.00000001       0.00000001       0.00000000       0.00000000
       0.89619080      24.78549488       0.00000002       0.00000002       0.00000005       0.00000037
       0.89619080      25.77451801       0.00000001       0.00000002       0.00000020       0.00000345
       0.89619080      26.80041798       0.00000000       0.00000000       0.00000012       0.00000293
       0.89619080      27.87127089       0.00000000       0.00000000       0.00000002       0.00000046
       0.89619080      28.99857184       0.00000000       0.00000000       0.00000000       0.00000002
       0.89619080      30.19977229       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080      31.50397996       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080      32.96771883       0.00000000       0.00000000       0.00000000       0.00000000
       0.89619080      34.73908596       0.00000000       0.00000000       0.00000000       0.00000000
       1.40533953     -34.73908596       0.00000000       0.00000000       0.00000000       0.00000000
       1.40533953     -32.96771883       0.00000000       0.00000000       0.00000000       0.00000000
       1.40533953     -31.50397996       0.00000000       0.00000000       0.00000000       0.00000000
       1.40533953     -30.19977229       0.00000000       0.00000000       0.00000000       0.00000000
       1.40533953     -28.99857184       0.00000000       0.00000000       0.00000000       0.00000000
       1.40533953     -27.87127089       0.00000000       0.00000000       0.00000000       0.00000001
       1.40533953     -26.80041798       0.00000000       0.00000000       0.00000003       0.00000006
       1.40533953     -25.77451801       0.00000002       0.00000002       0.00000011       0.00000020
       1.40533953     -24.78549488       0.00000003       0.00000003       0.00000008       0.00000011
       1.40533953     -23.82740037       0.00000002       0.00000001       0.00000000       0.00000000
       1.40533953     -22.89569231       0.00000001       0.00000001       0.00000000       0.00000000
       1.40533953     -21.98680129       0.00000001       0.00000001       0.00000000       0.00000000
       1.40533953     -21.09785616       0.00000002       0.00000001       0.00000000       0.00000000
