 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39154264     -34.53040432       0.00000000       0.00000000       0.00000000       0.00000000
       0.39154264     -32.76967800       0.00000000       0.00000000       0.00000000       0.00000000
       0.39154264     -31.31473197       0.00000000       0.00000000       0.00000000       0.00000000
       0.39154264     -30.01835883       0.00000000       0.00000000       0.00000000       0.00000000
       0.39154264     -28.82437412       0.00000000       0.00000000       0.00000000       0.00000000
       0.39154264     -27.70384500       0.00000000       0.00000000       0.00000001       0.00000000
       0.39154264     -26.63942483       0.00000000       0.00000000       0.00000008       0.00000004
       0.39154264     -25.61968755       0.00000002       0.00000002       0.00000029       0.00000020
       0.39154264     -24.63660559       0.00000006       0.00000005       0.00000023       0.00000020
       0.39154264     -23.68426647       0.00000004       0.00000004       0.00000001       0.00000001
       0.39154264     -22.75815528       0.00000001       0.00000001       0.00000000       0.00000000
       0.39154264     -21.85472407       0.00000002       0.00000003       0.00000000       0.00000001
       0.39154264     -20.97111893       0.00000001       0.00000001       0.00000000       0.00000000
       0.39154264     -20.10499915       0.00000003       0.00000001       0.00000001       0.00000000
       0.39154264     -19.25441301       0.00000007       0.00000001       0.00000007       0.00000000
       0.39154264     -18.41770987       0.00000033       0.00000001       0.00000231       0.00000000
       0.39154264     -17.59347625       0.00000140       0.00000011       0.00010784       0.00000014
       0.39154264     -16.78048838       0.00000469       0.00000026       0.00059432       0.00000080
       0.39154264     -15.97767627       0.00001932       0.00000151       0.00203485       0.00002540
       0.39154264     -15.18409597       0.00008475       0.00001219       0.01095833       0.00080040
       0.39154264     -14.39890795       0.00035295       0.00007345       0.04425131       0.00734062
       0.39154264     -13.62135991       0.00161155       0.00050398       0.16100584       0.05773451
       0.39154264     -12.85077295       0.00666298       0.00298169       0.42976397       0.30129899
       0.39154264     -12.08653042       0.01866761       0.01059318       0.62439157       0.59244531
       0.39154264     -11.32806869       0.03313694       0.02190544       0.64125308       0.67994424
       0.39154264     -10.57486954       0.04178397       0.02975220       0.56029733       0.62212527
       0.39154264      -9.82645376       0.04510356       0.03145480       0.50588926       0.50262146
       0.39154264      -9.08237582       0.04650846       0.03092956       0.51539046       0.45108683
       0.39154264      -8.34221923       0.04633067       0.03135145       0.50943422       0.51073718
       0.39154264      -7.60559265       0.04611307       0.03079483       0.50041641       0.49282800
       0.39154264      -6.87212646       0.04795452       0.02813236       0.57855607       0.35413288
       0.39154264      -6.14146976       0.04900414       0.02668118       0.63252333       0.30165398
       0.39154264      -5.41328779       0.04664214       0.02822263       0.55649740       0.41336531
       0.39154264      -4.68725959       0.04385527       0.03015658       0.46212094       0.56191016
       0.39154264      -3.96307587       0.04364178       0.03010901       0.46272212       0.57617845
       0.39154264      -3.24043712       0.04478147       0.02916106       0.49759937       0.50847746
       0.39154264      -2.51905189       0.04546587       0.02881089       0.51223229       0.47940879
       0.39154264      -1.79863513       0.04535249       0.02854707       0.52931917       0.48802146
       0.39154264      -1.07890670       0.04401667       0.02760941       0.53321865       0.48025330
       0.39154264      -0.35958991       0.04223069       0.02662117       0.50891534       0.45472649
       0.39154264       0.35958991       0.04218570       0.02669959       0.50624864       0.45502196
       0.39154264       1.07890670       0.04402166       0.02778771       0.53205825       0.48050710
       0.39154264       1.79863513       0.04548111       0.02873966       0.53253050       0.48882273
       0.39154264       2.51905189       0.04554980       0.02896264       0.51242615       0.47988858
       0.39154264       3.24043712       0.04486558       0.02923312       0.49744431       0.50552600
       0.39154264       3.96307587       0.04383191       0.03019293       0.46762816       0.57321135
       0.39154264       4.68725959       0.04385470       0.03050615       0.45810110       0.57120948
