 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39232012     -34.39367796       0.00000000       0.00000000       0.00000000       0.00000000
       0.39232012     -32.63992340       0.00000000       0.00000000       0.00000000       0.00000000
       0.39232012     -31.19073836       0.00000000       0.00000000       0.00000000       0.00000000
       0.39232012     -29.89949833       0.00000000       0.00000000       0.00000000       0.00000000
       0.39232012     -28.71024132       0.00000000       0.00000000       0.00000000       0.00000000
       0.39232012     -27.59414904       0.00000000       0.00000000       0.00000000       0.00000000
       0.39232012     -26.53394354       0.00000000       0.00000000       0.00000005       0.00000006
       0.39232012     -25.51824401       0.00000002       0.00000002       0.00000022       0.00000028
       0.39232012     -24.53905465       0.00000005       0.00000005       0.00000020       0.00000031
       0.39232012     -23.59048641       0.00000004       0.00000004       0.00000001       0.00000002
       0.39232012     -22.66804224       0.00000001       0.00000001       0.00000000       0.00000000
       0.39232012     -21.76818825       0.00000001       0.00000002       0.00000000       0.00000001
       0.39232012     -20.88808183       0.00000001       0.00000001       0.00000000       0.00000000
       0.39232012     -20.02539153       0.00000004       0.00000001       0.00000002       0.00000000
       0.39232012     -19.17817336       0.00000008       0.00000000       0.00000015       0.00000000
       0.39232012     -18.34478323       0.00000035       0.00000001       0.00000335       0.00000000
       0.39232012     -17.52381324       0.00000150       0.00000011       0.00013513       0.00000015
       0.39232012     -16.71404447       0.00000498       0.00000028       0.00072210       0.00000097
       0.39232012     -15.91441117       0.00002009       0.00000155       0.00240048       0.00002700
       0.39232012     -15.12397313       0.00008697       0.00001230       0.01237913       0.00081719
       0.39232012     -14.34189413       0.00035871       0.00007375       0.04880012       0.00738930
       0.39232012     -13.56742486       0.00161736       0.00050034       0.17240935       0.05769877
       0.39232012     -12.79988912       0.00663056       0.00294115       0.44393310       0.30060439
       0.39232012     -12.03867268       0.01854220       0.01045667       0.63366658       0.59293619
       0.39232012     -11.28321415       0.03297481       0.02173156       0.64772949       0.68314516
       0.39232012     -10.53299735       0.04166546       0.02970878       0.56450216       0.62856653
