Q20,Q30
1.560000000000000000e+02,0.000000000000000000e+00
1.567421225910180738e+02,4.872121392093205217e-03
1.574842625910777372e+02,2.925648792576552009e-03
1.582263940312637374e+02,9.933041526758628129e-05
1.589685425374755994e+02,1.012280041361320027e-04
1.597106804017800528e+02,1.027968182390350904e-04
1.604528339163070143e+02,1.049464122399820266e-04
1.611949789697272593e+02,1.057210461460872223e-04
1.619371382010886009e+02,1.062990860912693198e-04
1.626716165024522240e+02,1.064894834757751929e-01
1.633910274834841800e+02,2.888521651752115615e-01
1.641030637281591851e+02,4.980345434457134624e-01
1.648071766260263189e+02,7.326855673724311790e-01
1.655019322883737516e+02,9.935195210696065038e-01
1.661865126198420057e+02,1.280210259339775947e+00
1.668603851369175857e+02,1.590971384454497262e+00
1.675240796423145753e+02,1.923163217199021391e+00
1.681782970382055282e+02,2.273367567601215722e+00
1.688244919667969839e+02,2.638406656472038758e+00
1.694641331997903535e+02,3.014516258736094301e+00
1.700992545444138386e+02,3.398461636522521534e+00
1.707312512564903386e+02,3.787249392351294652e+00
1.713616111298088356e+02,4.178940092565110120e+00
1.719982769442167978e+02,4.560012104364480123e+00
1.726419314670242215e+02,4.929398193171766529e+00
1.732919550355995284e+02,5.287174436151043544e+00
1.739484548888114546e+02,5.633189676162272619e+00
1.746109942306277674e+02,5.967239616708325478e+00
1.752794352439153158e+02,6.289519065888006466e+00
1.759531837500090887e+02,6.600318316846140121e+00
1.766318212158991514e+02,6.900465333144406799e+00
1.773141962731360479e+02,7.191889533477170637e+00
1.779989996544710777e+02,7.477690405644795035e+00
1.786830067938061291e+02,7.765322804582432070e+00
1.793469596889663933e+02,8.096618368445234637e+00
