Q20,Q30
1.560000000000000000e+02,0.000000000000000000e+00
1.565849460175500099e+02,4.418257525151149216e-03
1.571699799543501683e+02,4.568675788616385208e-03
1.577548528149345373e+02,5.503611645491370908e-04
1.583399474909106459e+02,2.093465280294680886e-04
1.589247587984753807e+02,2.136920308315045855e-04
1.595098988266716447e+02,2.172738008786959671e-04
1.600946400870107027e+02,2.177317407268412257e-04
1.606798058649689551e+02,2.213773329697513040e-04
1.612644855518911982e+02,2.219741794428360237e-04
1.618496552601779115e+02,2.243103602924332836e-04
1.624342832911480912e+02,2.244633695837364401e-04
1.630194345899444102e+02,2.267541667237052807e-04
1.636040205272301193e+02,2.272567729419928614e-04
1.641891322723955682e+02,2.297304753805144511e-04
1.647736837645187791e+02,2.308286944748331429e-04
1.653587373669289207e+02,2.332920042445210912e-04
1.659432590409484192e+02,2.346772204293620222e-04
1.665282393024755265e+02,2.367090392701632251e-04
1.671127322290218729e+02,2.378594082808554544e-04
1.676976275819235127e+02,2.390224163149022867e-04
1.682820893297727309e+02,2.393186073004293203e-04
1.688668915272941717e+02,2.391592748352168321e-04
1.694513167059277805e+02,2.384546552044969716e-04
1.700360200880777199e+02,2.372612030782796739e-04
1.706204012209506402e+02,2.361292502626113768e-04
1.712050017845556340e+02,2.343461411150430133e-04
1.717893302621787086e+02,2.335237966908527952e-04
1.723738246966910879e+02,2.320572864701379531e-04
1.729580916681139797e+02,2.310567035793157308e-04
1.735424766891397326e+02,2.294977194814376998e-04
1.741266735774847803e+02,2.281424592832312099e-04
1.747109453502870338e+02,2.262045700165123217e-04
1.752950643054743125e+02,2.242258890070136096e-04
1.758792186069092338e+02,2.216317595442317831e-04
1.764632521711065749e+02,2.187793143940881834e-04
1.770472836144286362e+02,2.152210092713508632e-04
1.776312256329602519e+02,2.103676917793527012e-04
1.782151294253457650e+02,4.865010326903441344e-05
1.787705334778069357e+02,1.799607286433521913e-01
1.792327071066276005e+02,5.365831982200250927e-01
1.796257884858710270e+02,9.681407196174978136e-01
1.799799905744368971e+02,1.432087613019165317e+00
1.803107000663320889e+02,1.913035146266219844e+00
1.806268853954976237e+02,2.403596995867501640e+00
1.809336732270609218e+02,2.900085263673486846e+00
1.812343251057865245e+02,3.400270475399357561e+00
1.815307449422705872e+02,3.902919221845952968e+00
1.818234120285578399e+02,4.407695912648258663e+00
1.821103900469395285e+02,4.915789919447987266e+00
1.823817997441705927e+02,5.432371323957065457e+00
1.825557357633849165e+02,5.989162192645490101e+00
