Q20,Q30
1.560000000000000000e+02,0.000000000000000000e+00
1.575219915404803714e+02,0.000000000000000000e+00
1.590439836153779254e+02,0.000000000000000000e+00
1.605659767545310217e+02,0.000000000000000000e+00
1.620879714786590853e+02,0.000000000000000000e+00
1.636099682948997724e+02,0.000000000000000000e+00
1.651319676924574651e+02,0.000000000000000000e+00
1.666539701383991314e+02,0.000000000000000000e+00
1.681759760736176474e+02,0.000000000000000000e+00
1.696979859089829574e+02,0.000000000000000000e+00
1.712200000216682838e+02,0.000000000000000000e+00
1.727420187516131591e+02,0.000000000000000000e+00
1.742640423980245146e+02,0.000000000000000000e+00
1.757860712157430214e+02,0.000000000000000000e+00
1.773081054112156210e+02,0.000000000000000000e+00
1.788301451377570856e+02,0.000000000000000000e+00
1.803521904898394439e+02,0.000000000000000000e+00
1.818742414964440854e+02,0.000000000000000000e+00
1.833962981142057345e+02,0.000000000000000000e+00
1.849183602222662159e+02,0.000000000000000000e+00
1.864404276222902297e+02,0.000000000000000000e+00
1.879625000484976454e+02,0.000000000000000000e+00
1.894845771927923579e+02,0.000000000000000000e+00
1.910066587478390545e+02,0.000000000000000000e+00
1.925287444650396935e+02,0.000000000000000000e+00
1.940508342145880931e+02,0.000000000000000000e+00
1.955729280230179370e+02,0.000000000000000000e+00
1.970950260570436967e+02,0.000000000000000000e+00
1.986171285394676431e+02,0.000000000000000000e+00
2.001392356499333403e+02,0.000000000000000000e+00
2.016613475513541687e+02,0.000000000000000000e+00
2.031834645558675163e+02,0.000000000000000000e+00
2.047055868321572802e+02,0.000000000000000000e+00
2.062277143503571324e+02,0.000000000000000000e+00
2.077498482293111124e+02,0.000000000000000000e+00
