destinationFile	isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	M_22	M_32	M_33	EHFB	sourceFile	expected_Z	expected_N	expected_q20	expected_q30	bet2	bet3	filter_maxDeltaE	filter_bluff	isCorrect
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000001.hel	False	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000001.hel	100	154	400.0	32.0	3.602	0.449	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000002.hel	True	0.00081	323.999658	20.00117	103.709987	42.025115	102.779888	61.110182	103.423838	0.002606	-0.001208	0.006464	-1893.048137	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000002.hel	100	154	324.0	20.0	2.918	0.28	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000003.hel	True	0.003221	102.000189	6.002192	13.000233	7.887157	5.996598	6.25167	3.644791	0.0113	-0.003871	0.02741	-1875.143351	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000017.hel	100	154	102.0	6.0	0.919	0.084	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000004.hel	True	0.000715	102.000906	7.999979	13.821255	10.320623	7.467017	8.395954	5.558101	0.01079	-0.004765	0.02834	-1871.918489	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000016.hel	100	154	102.0	8.0	0.919	0.112	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000005.hel	True	0.000155	101.999787	18.000211	46.631791	85.671416	179.779126	367.790686	752.413312	0.007508	-0.009436	0.01608	-1853.909281	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000003.hel	100	154	102.0	18.0	0.919	0.252	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000006.hel	False	0.023759	323.999745	8.021709	84.83955	14.106708	61.869623	17.22422	42.769143	0.002472	-0.001551	0.01117	-1904.531416	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000006.hel	100	154	324.0	8.0	2.918	0.112	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000007.hel	False	0.002718	324.007211	6.019488	102.076462	12.651991	95.250231	17.770761	85.41724	0.001909	-0.0003316	0.006197	-1887.840127	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000008.hel	100	154	324.0	6.0	2.918	0.084	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000008.hel	True	4.3e-05	101.998344	24.000028	56.064924	109.205607	229.726184	477.150869	988.049664	0.008991	-0.00479	0.01396	-1850.400289	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000004.hel	100	154	102.0	24.0	0.919	0.337	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000009.hel	True	0.007721	102.002927	26.001931	26.942487	59.046141	21.161083	22.900812	101.8412	2036.0	4857.0	11590.0	-1638.51495	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000005.hel	100	154	102.0	26.0	0.919	0.365	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_000/p154_100_000010.hel	False	0.020535	324.015544	3.979695	101.148552	8.312802	93.023743	11.466611	81.661022	0.001911	-0.0002308	0.00623	-1887.570559	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000009.hel	100	154	324.0	4.0	2.918	0.056	False	True	False
