Q20	Q30	Q40	EHFB	E0	M_22	M_32	M_33	M_42	M_43	M_44
0.0	0.0	0.0	-2123.225	3.073	0.118	-0.0	0.126	-0.0	0.0	0.61
0.0	0.0	8.0	-2099.364	1.213	0.118	0.161	0.594	-0.042	0.16	0.156
0.0	0.0	16.0	-2077.04	1.272	0.517	-0.0	0.014	-0.614	0.0	0.735
0.0	0.0	24.0	-2070.028	3.596	0.235	0.0	0.029	-0.275	0.0	0.333
0.0	0.0	32.0	-2063.99	0.892	0.254	0.0	0.297	-0.305	0.001	0.407
0.0	0.0	40.0	-2048.917	1.316	0.107	0.0	0.021	-0.13	0.0	0.17
0.0	0.0	48.0	-2035.138	1.418	0.843	-0.0	0.012	-1.069	0.0	1.362
0.0	0.0	56.0	-2029.887	5.127	0.055	-0.001	0.018	-0.07	0.001	0.097
0.0	0.0	64.0	-2028.267	4.182	0.222	0.0	0.021	-0.284	-0.0	0.372
0.0	0.0	72.0	-2023.743	0.894	0.285	-0.0	0.038	-0.366	0.0	0.488
0.0	0.0	80.0	-2023.526	0.944	0.104	0.0	0.213	-0.069	0.0	0.129
0.0	0.0	88.0	-2017.754	4.056	0.224	0.0	0.014	-0.14	0.0	0.092
0.0	0.0	96.0	-2007.206	3.641	0.445	0.0	0.089	-0.514	-0.0	0.675
0.0	0.0	104.0	-1994.276	1.213	0.054	-0.0	0.03	-0.068	0.0	0.102
0.0	0.0	112.0	-1984.359	1.373	0.053	0.0	0.025	-0.069	-0.0	0.104
0.0	0.0	120.0	-1977.441	1.375	0.063	-0.0	0.015	-0.085	0.0	0.125
0.0	0.0	128.0	-1968.941	1.307	0.062	0.0	0.018	-0.085	0.0	0.124
0.0	0.0	136.0	-1957.814	1.146	0.124	-0.0	0.021	-0.173	0.0	0.257
0.0	0.0	144.0	-1945.447	1.156	0.128	0.0	0.024	-0.179	0.0	0.266
0.0	0.0	152.0	-1984.721	1.269	0.078	0.0	0.019	-0.088	0.0	0.108
0.0	0.0	160.0	-1976.483	1.344	0.073	0.0	0.015	-0.084	-0.0	0.105
0.0	0.0	168.0	-1966.936	1.371	0.075	-0.0	0.01	-0.088	0.0	0.108
0.0	0.0	176.0	-1937.81	0.714	0.044	0.0	0.036	-0.058	-0.0	0.097
0.0	0.0	184.0	-1943.497	1.216	0.063	0.0	0.011	-0.073	0.0	0.091
0.0	0.0	192.0	-1954.868	1.283	0.044	0.0	0.01	-0.047	-0.0	0.056
0.0	0.0	200.0	-1928.197	0.818	0.03	-0.0	0.06	-0.032	-0.0	0.064
4.0	0.0	0.0	-2122.726	2.609	0.13	0.0	0.127	-0.146	0.0	0.422
4.0	0.0	8.0	-2104.962	0.852	0.13	0.0	0.028	-0.131	0.0	0.146
4.0	0.0	16.0	-2086.155	1.13	0.221	0.0	0.01	-0.221	0.0	0.224
4.0	0.0	24.0	-2077.05	1.303	0.112	0.0	0.01	-0.114	0.0	0.119
4.0	0.0	32.0	-2072.768	4.026	0.228	0.0	0.024	-0.231	0.0	0.241
4.0	0.0	40.0	-2070.266	4.174	0.285	0.0	0.03	-0.172	0.0	0.119
4.0	0.0	48.0	-2060.43	0.987	0.206	0.0	0.024	-0.216	0.0	0.236
4.0	0.0	56.0	-2047.118	1.338	1.386	0.0	0.01	-1.496	0.0	1.618
4.0	0.0	64.0	-2038.136	1.352	0.353	0.0	0.008	-0.381	0.0	0.414
4.0	0.0	72.0	-2034.308	1.229	0.08	0.001	0.009	-0.09	-0.001	0.104
4.0	0.0	80.0	-2032.713	4.291	0.242	0.0	0.012	-0.273	0.0	0.311
4.0	0.0	88.0	-2030.927	3.832	0.174	0.0	0.015	-0.191	0.0	0.215
4.0	0.0	96.0	-2028.894	0.937	0.405	-0.0	0.035	-0.461	0.0	0.538
4.0	0.0	104.0	-2025.249	0.929	0.185	0.0	0.032	-0.202	0.0	0.234
4.0	0.0	112.0	-2021.692	0.927	0.105	0.0	0.139	-0.083	0.0	0.111
4.0	0.0	120.0	-2016.411	4.404	0.082	0.0	0.008	-0.041	0.0	0.023
4.0	0.0	128.0	-2008.806	3.797	0.08	-0.0	0.075	-0.069	0.0	0.099
4.0	0.0	136.0	-2000.915	1.101	0.183	0.0	0.039	-0.19	-0.0	0.219
4.0	0.0	144.0	-1992.324	1.114	0.061	0.0	0.023	-0.066	0.0	0.081
4.0	0.0	152.0	-1984.721	1.269	0.078	0.0	0.019	-0.088	0.0	0.108
4.0	0.0	160.0	-1976.483	1.344	0.073	-0.0	0.015	-0.084	0.0	0.105
4.0	0.0	168.0	-1966.936	1.371	0.075	0.0	0.01	-0.088	0.0	0.108
4.0	0.0	176.0	-1956.328	1.231	0.042	0.0	0.011	-0.048	0.0	0.06
4.0	0.0	184.0	-1943.497	1.216	0.063	0.0	0.011	-0.073	0.0	0.091
4.0	0.0	192.0	-1954.868	1.283	0.044	0.0	0.01	-0.047	0.0	0.056
4.0	0.0	200.0	-1947.8117	1.0862	-0.056	0.0	0.031	0.059	-0.0	-0.045
8.0	0.0	0.0	-2121.024	1.712	0.173	-0.0	0.138	-0.21	0.0	0.665
8.0	0.0	8.0	-2105.916	0.9	0.082	0.0	0.028	-0.08	0.001	0.095
8.0	0.0	16.0	-2089.423	1.102	0.2	0.0	0.009	-0.193	0.0	0.189
8.0	0.0	24.0	-2079.106	1.307	0.203	0.0	0.008	-0.201	0.0	0.201
8.0	0.0	32.0	-2075.324	4.385	0.093	0.0	0.015	-0.09	0.0	0.093
8.0	0.0	40.0	-2072.708	3.905	0.185	0.0	0.025	-0.1	0.0	0.064
8.0	0.0	48.0	-2066.364	0.954	0.498	0.0	0.025	-0.503	-0.0	0.521
8.0	0.0	56.0	-2054.915	1.307	0.101	0.0	0.012	-0.101	0.0	0.107
8.0	0.0	64.0	-2045.363	1.394	1.14	0.0	0.007	-1.181	0.0	1.226
8.0	0.0	72.0	-2037.359	1.218	0.124	0.0	0.01	-0.13	0.0	0.137
8.0	0.0	80.0	-2036.307	1.273	0.09	0.0	0.007	-0.097	0.0	0.106
8.0	0.0	88.0	-2035.228	4.273	0.225	0.0	0.01	-0.241	-0.0	0.262
8.0	0.0	96.0	-2033.983	3.861	0.164	0.0	0.014	-0.172	0.0	0.185
8.0	0.0	104.0	-2032.279	0.944	0.17	-0.003	0.021	-0.178	0.006	0.196
8.0	0.0	112.0	-2028.783	0.933	0.17	0.0	0.025	-0.177	0.0	0.194
8.0	0.0	120.0	-2024.971	0.944	0.108	0.0	0.055	-0.105	0.0	0.124
8.0	0.0	128.0	-2020.192	4.401	0.086	0.0	0.008	-0.041	-0.0	0.022
8.0	0.0	136.0	-2013.202	3.881	0.073	0.0	0.071	-0.057	0.0	0.086
8.0	0.0	144.0	-2005.895	1.053	0.088	0.0	0.032	-0.086	0.0	0.102
8.0	0.0	152.0	-1997.825	1.116	0.056	0.0	0.019	-0.058	0.0	0.068
8.0	0.0	160.0	-1990.812	1.264	0.081	0.0	0.015	-0.088	0.0	0.103
8.0	0.0	168.0	-1983.377	1.327	0.077	0.0	0.013	-0.084	0.0	0.098
8.0	0.0	176.0	-1974.86	1.381	0.079	0.0	0.01	-0.086	0.0	0.102
8.0	0.0	184.0	-1965.663	1.361	0.034	0.0	0.009	-0.037	0.0	0.043
8.0	0.0	192.0	-1954.868	1.283	0.044	0.0	0.01	-0.047	-0.0	0.056
8.0	0.0	200.0	-1960.1786	1.2859	-0.035	0.0	0.015	0.037	-0.0	-0.03
12.0	0.0	0.0	-2118.27	1.398	0.193	0.0	0.173	-0.269	0.0	1.016
12.0	0.0	8.0	-2106.592	0.727	0.159	0.0	0.028	-0.149	0.001	0.153
12.0	0.0	16.0	-2093.092	1.554	0.04	0.011	0.191	-0.03	0.091	0.078
12.0	0.0	24.0	-2082.988	1.157	0.325	0.0	0.006	-0.298	0.0	0.275
12.0	0.0	32.0	-2078.428	1.412	0.138	0.0	0.01	-0.128	0.0	0.122
12.0	0.0	40.0	-2075.448	4.443	0.109	0.0	0.022	-0.098	0.0	0.094
12.0	0.0	48.0	-2072.305	3.893	0.174	0.0	0.024	-0.088	0.0	0.053
12.0	0.0	56.0	-2065.224	0.924	0.525	0.0	0.018	-0.504	-0.0	0.49
12.0	0.0	64.0	-2054.335	1.219	0.095	0.0	0.011	-0.09	0.0	0.089
12.0	0.0	72.0	-2046.017	1.274	1.23	0.0	0.007	-1.205	0.0	1.182
12.0	0.0	80.0	-2038.991	1.375	0.163	0.0	0.006	-0.159	0.0	0.158
12.0	0.0	88.0	-2037.882	1.272	0.079	0.0	0.006	-0.08	-0.001	0.083
12.0	0.0	96.0	-2037.122	4.313	0.296	0.0	0.011	-0.305	0.0	0.318
12.0	0.0	104.0	-2036.088	4.102	0.169	0.0	0.011	-0.169	0.0	0.172
12.0	0.0	112.0	-2034.823	1.445	0.27	-0.004	0.017	-0.271	0.007	0.278
12.0	0.0	120.0	-2031.861	0.936	0.287	0.0	0.021	-0.285	0.0	0.29
12.0	0.0	128.0	-2028.283	0.915	0.132	-0.0	0.036	-0.129	0.0	0.138
12.0	0.0	136.0	-2024.477	0.933	0.06	0.0	0.108	-0.036	0.0	0.053
12.0	0.0	144.0	-2020.062	4.475	0.115	-0.0	0.007	-0.052	0.0	0.026
12.0	0.0	152.0	-2014.507	3.806	0.079	0.0	0.059	-0.064	-0.0	0.078
12.0	0.0	160.0	-2007.842	4.1	0.043	0.0	0.036	-0.033	0.0	0.043
12.0	0.0	168.0	-2000.261	1.039	0.063	0.0	0.02	-0.061	0.0	0.066
12.0	0.0	176.0	-1993.286	1.036	0.068	0.0	0.015	-0.068	0.0	0.074
12.0	0.0	184.0	-1986.106	1.175	0.177	0.0	0.013	-0.183	0.0	0.195
12.0	0.0	192.0	-1977.977	1.265	0.108	0.0	0.011	-0.111	0.0	0.121
12.0	0.0	200.0	-1969.235	1.355	0.035	0.0	0.009	-0.035	0.0	0.041
16.0	0.0	0.0	-2115.02	1.464	0.151	-0.0	0.195	-0.16	0.0	1.044
16.0	0.0	8.0	-2105.848	0.966	0.148	-0.021	0.302	-0.146	0.178	0.233
16.0	0.0	16.0	-2094.281	1.335	0.053	-0.014	0.195	-0.054	0.115	0.112
16.0	0.0	24.0	-2084.533	1.225	0.127	0.0	0.006	-0.113	0.0	0.103
16.0	0.0	32.0	-2079.702	1.301	0.236	0.0	0.008	-0.216	0.0	0.201
16.0	0.0	40.0	-2078.005	5.021	0.102	0.0	0.017	-0.09	0.0	0.084
16.0	0.0	48.0	-2074.141	4.108	0.213	0.0	0.022	-0.106	0.0	0.062
16.0	0.0	56.0	-2067.184	1.064	0.194	0.0	0.019	-0.18	0.0	0.175
16.0	0.0	64.0	-2059.293	1.121	0.234	0.0	0.01	-0.217	0.0	0.207
16.0	0.0	72.0	-2049.425	1.614	2.037	0.0	0.006	-1.948	0.0	1.864
16.0	0.0	80.0	-2043.606	1.404	0.627	0.0	0.005	-0.598	0.0	0.572
16.0	0.0	88.0	-2040.2	3.47	0.06	-0.001	0.007	-0.061	0.002	0.063
16.0	0.0	96.0	-2038.83	1.225	0.128	0.0	0.006	-0.127	-0.0	0.128
16.0	0.0	104.0	-2038.75	4.419	0.314	-0.0	0.01	-0.312	0.0	0.313
16.0	0.0	112.0	-2038.004	4.59	0.149	-0.002	0.012	-0.144	0.001	0.143
16.0	0.0	120.0	-2036.184	1.009	0.193	-0.003	0.017	-0.187	0.005	0.187
16.0	0.0	128.0	-2033.249	0.943	0.332	0.0	0.021	-0.319	0.0	0.316
16.0	0.0	136.0	-2029.687	0.945	0.129	0.0	0.032	-0.122	0.0	0.127
16.0	0.0	144.0	-2025.787	0.94	0.06	0.0	0.096	-0.035	-0.0	0.051
16.0	0.0	152.0	-2021.235	4.486	0.115	0.0	0.007	-0.051	0.0	0.025
16.0	0.0	160.0	-2015.821	3.855	0.265	0.0	0.048	-0.236	0.0	0.236
16.0	0.0	168.0	-2008.986	4.161	0.041	-0.0	0.03	-0.032	0.0	0.039
16.0	0.0	176.0	-2001.829	1.052	0.065	0.0	0.017	-0.062	0.0	0.065
16.0	0.0	184.0	-1995.165	1.124	0.076	0.0	0.013	-0.075	0.0	0.08
16.0	0.0	192.0	-1988.193	1.22	0.095	0.0	0.011	-0.095	0.0	0.1
16.0	0.0	200.0	-1980.326	1.293	0.087	0.0	0.01	-0.087	0.0	0.092
20.0	0.0	0.0	-2112.152	1.54	0.168	0.0	0.188	-0.072	0.0	1.301
20.0	0.0	8.0	-2105.157	1.046	0.243	-0.168	0.463	-0.3	0.387	0.468
20.0	0.0	16.0	-2095.745	1.202	0.079	-0.013	0.134	-0.074	0.08	0.106
20.0	0.0	24.0	-2087.06	1.059	0.111	-0.0	0.007	-0.094	0.0	0.082
20.0	0.0	32.0	-2081.732	1.185	0.186	0.0	0.006	-0.161	0.0	0.141
20.0	0.0	40.0	-2080.032	4.831	0.237	0.0	0.012	-0.206	0.0	0.182
20.0	0.0	48.0	-2078.006	5.066	0.095	0.0	0.036	-0.074	0.0	0.068
20.0	0.0	56.0	-2072.594	1.047	0.184	0.0	0.158	-0.121	0.0	0.145
20.0	0.0	64.0	-2065.925	0.999	0.259	0.0	0.013	-0.231	0.0	0.21
20.0	0.0	72.0	-2058.619	1.202	0.566	0.0	0.009	-0.504	-0.0	0.452
20.0	0.0	80.0	-2049.777	1.55	2.047	-0.0	0.005	-1.865	0.0	1.7
20.0	0.0	88.0	-2044.578	1.351	0.713	0.0	0.005	-0.647	0.0	0.589
20.0	0.0	96.0	-2041.593	3.43	0.058	0.001	0.006	-0.056	-0.002	0.056
20.0	0.0	104.0	-2041.527	4.888	0.27	0.0	0.008	-0.262	0.0	0.257
20.0	0.0	112.0	-2040.414	4.518	0.275	0.0	0.009	-0.262	0.0	0.253
20.0	0.0	120.0	-2039.164	4.229	0.137	0.0	0.009	-0.127	0.0	0.121
20.0	0.0	128.0	-2037.837	0.941	0.48	0.0	0.021	-0.459	0.0	0.445
20.0	0.0	136.0	-2035.673	0.94	0.439	0.0	0.018	-0.405	0.0	0.38
20.0	0.0	144.0	-2032.255	0.901	0.142	0.0	0.028	-0.13	0.0	0.127
20.0	0.0	152.0	-2028.816	0.95	0.056	0.0	0.036	-0.047	0.0	0.049
20.0	0.0	160.0	-2025.332	1.274	0.118	0.0	0.031	-0.051	0.0	0.029
20.0	0.0	168.0	-2021.148	4.241	0.103	0.0	0.007	-0.045	0.0	0.022
20.0	0.0	176.0	-2016.352	4.304	0.05	0.0	0.048	-0.035	0.0	0.042
20.0	0.0	184.0	-2010.042	4.695	0.064	0.0	0.027	-0.052	0.0	0.054
20.0	0.0	192.0	-2003.406	1.05	0.067	0.0	0.022	-0.057	0.0	0.057
20.0	0.0	200.0	-1996.685	1.007	0.068	-0.0	0.015	-0.062	0.0	0.062
24.0	0.0	0.0	-2110.124	1.557	0.095	-0.0	0.179	0.027	-0.0	0.639
24.0	0.0	8.0	-2103.058	1.164	0.186	0.108	0.426	-0.217	-0.315	0.357
24.0	0.0	16.0	-2095.858	1.208	0.145	-0.086	0.231	-0.164	0.189	0.236
24.0	0.0	24.0	-2087.508	1.019	0.192	0.0	0.007	-0.161	0.0	0.136
24.0	0.0	32.0	-2082.4	1.267	0.106	0.0	0.005	-0.089	0.0	0.077
24.0	0.0	40.0	-2081.233	4.351	0.313	0.0	0.011	-0.271	0.0	0.237
24.0	0.0	48.0	-2080.06	5.117	0.112	0.0	0.024	-0.089	0.0	0.077
24.0	0.0	56.0	-2076.369	4.8	0.114	0.0	0.022	-0.055	0.0	0.034
24.0	0.0	64.0	-2067.607	1.003	0.197	0.0	0.023	-0.172	0.0	0.155
24.0	0.0	72.0	-2061.529	3.041	0.358	0.0	0.012	-0.315	0.0	0.28
24.0	0.0	80.0	-2053.646	1.246	0.43	0.0	0.006	-0.377	0.0	0.333
24.0	0.0	88.0	-2047.706	1.427	1.383	0.0	0.004	-1.24	0.0	1.112
24.0	0.0	96.0	-2042.557	1.213	0.221	0.0	0.005	-0.198	0.0	0.179
24.0	0.0	104.0	-2043.194	5.018	0.123	0.0	0.008	-0.118	0.0	0.117
24.0	0.0	112.0	-2042.82	4.941	0.275	0.0	0.007	-0.258	0.0	0.245
24.0	0.0	120.0	-2041.702	4.588	0.276	-0.0	0.009	-0.255	0.0	0.238
24.0	0.0	128.0	-2040.792	3.052	0.145	-0.003	0.01	-0.131	0.002	0.121
