Q20	Q30	Q40	M_22	M_32	M_33	M_42	M_43	M_44	EHFB
0.0	0.0	0.0	0.02777	1.227e-09	0.2162	3.672e-08	2.09e-08	0.3684	16.607004999999845
0.0	0.0	8.0	0.04943	6.798e-07	0.1054	0.0293	1.164e-06	0.2655	29.647782000000007
0.0	0.0	16.0	0.03189	0.01097	0.3128	0.02559	0.1575	0.1429	45.5837889999998
0.0	0.0	24.0	0.02499	5.745e-05	0.06272	0.01927	5.958e-05	0.03894	57.56435799999986
0.0	0.0	32.0	0.05482	0.0003563	0.03855	0.06376	0.0004031	0.1011	70.19497299999989
0.0	0.0	40.0	0.03894	1.285e-06	0.01559	0.04942	8.913e-07	0.0718	87.27549799999997
0.0	0.0	48.0	0.08833	2.829e-07	0.01456	0.1167	4.463e-09	0.1615	99.7992099999999
0.0	0.0	56.0	0.039	8.776e-08	0.01656	0.04855	8.318e-08	0.06765	102.84903499999996
0.0	0.0	64.0	0.07117	9.8e-07	0.01841	0.09079	5.44e-07	0.1244	112.62059299999987
0.0	0.0	72.0	0.04534	2.877e-05	0.05704	0.0402	7.778e-06	0.06141	125.28793199999996
0.0	0.0	80.0	0.08363	6.644e-07	0.008729	0.05234	7.154e-07	0.03568	133.05203199999983
0.0	0.0	88.0	0.09378	2.968e-05	0.009692	0.05522	8.557e-06	0.0354	145.4447439999999
0.0	0.0	96.0	0.06891	3.655e-05	0.03753	0.08377	7.057e-06	0.1349	163.61039099999994
0.0	0.0	104.0	0.03303	9.734e-07	0.02457	0.03953	5.549e-07	0.06818	185.80868699999996
0.0	0.0	112.0	0.0332	4.867e-07	0.02032	0.04274	3.644e-07	0.06877	207.222671
0.0	0.0	120.0	0.03182	8.292e-07	0.02848	0.04027	7.824e-06	0.06717	205.2854809999999
0.0	0.0	128.0	0.028669437593606475	-0.003507845472653215	0.04513570872140306	0.033277270335347074	-0.003677524984879759	0.07633643115673575	209.0490151975648
0.0	0.0	136.0	0.05946	1.389e-05	0.03193	0.06572	3.802e-05	0.1332	214.41202499999986
0.0	0.0	144.0	0.05437	8.611e-06	0.03416	0.05964	2.431e-05	0.1152	220.41283999999996
0.0	0.0	152.0	0.05211	2.35e-06	0.03197	0.06645	5.521e-08	0.09636	228.006848
0.0	0.0	160.0	0.07209	3.733e-06	0.01984	0.09889	6.632e-06	0.1565	237.53757899999982
0.0	0.0	168.0	0.01512	2.764e-05	0.04318	0.01174	1.966e-05	0.03135	447.1119019999999
0.0	0.0	176.0	0.01553	6.399e-05	0.04389	0.01282	3.323e-05	0.03181	453.784952
0.0	0.0	184.0	0.0161	2.242e-06	0.03599	0.01823	5.398e-06	0.03266	268.31017099999985
0.0	0.0	192.0	0.04464	0.000922	0.03382	0.06135	0.006509	0.1032	471.04274399999986
0.0	0.0	200.0	0.01452	3.396e-05	0.02988	0.01379	1.628e-05	0.02718	470.87096699999984
0.0	4.0	0.0	0.03706	0.03906	0.2639	0.01903	0.005074	0.3176	15.864462000000003
0.0	4.0	8.0	0.02233	0.01201	0.1336	0.01178	0.04615	0.1806	29.926576999999952
0.0	4.0	16.0	0.02543	0.005884	0.1463	0.01947	0.04305	0.07972	41.025957999999946
0.0	4.0	24.0	0.01707	0.0006021	0.02944	0.01755	0.002793	0.03008	61.16619199999991
0.0	4.0	32.0	0.056	0.01557	0.0632	0.05836	0.009948	0.09897	70.913096
0.0	4.0	40.0	0.03636	0.003013	0.02519	0.0446	0.003551	0.06715	84.73797599999989
0.0	4.0	48.0	0.0705	0.0007516	0.01665	0.09377	0.0008154	0.1323	96.2781
0.0	4.0	56.0	0.06424	0.001734	0.01779	0.08259	0.001964	0.1142	102.85768099999996
0.0	4.0	64.0	0.08053	0.0003856	0.02631	0.1041	0.006558	0.1461	112.89272899999992
0.0	4.0	72.0	0.0482	0.01755	0.04269	0.04611	0.009259	0.06037	124.39924399999995
0.0	4.0	80.0	0.08213	0.04149	0.04629	0.07618	0.04863	0.08247	134.80094499999996
0.0	4.0	88.0	0.06564	0.03503	0.04565	0.06041	0.04188	0.06702	147.0008909999999
0.0	4.0	96.0	0.0782	0.03553	0.04619	0.07931	0.02858	0.1063	163.54940399999987
0.0	4.0	104.0	0.03352	0.002933	0.02775	0.03869	0.001354	0.06783	185.7493559999998
0.0	4.0	112.0	0.03192	0.0008257	0.02109	0.04106	0.0005168	0.06679	207.203442
0.0	4.0	120.0	0.03162	0.00137	0.03022	0.03918	0.0007291	0.06503	204.89846199999988
0.0	4.0	128.0	0.02587	0.001584	0.03388	0.02799	0.00214	0.04511	210.10006299999986
0.0	4.0	136.0	0.0594	0.0003536	0.03844	0.0731	0.01217	0.1264	214.555165
0.0	4.0	144.0	0.05216	0.00119	0.03243	0.06236	0.005358	0.1052	220.497257
0.0	4.0	152.0	0.05225	0.002723	0.02608	0.06694	0.001758	0.09779	228.0272359999999
0.0	4.0	160.0	0.06883	0.003617	0.02864	0.09441	0.00126	0.1503	237.5062049999999
0.0	4.0	168.0	0.02439	0.0004289	0.02472	0.0291	0.001688	0.05154	247.81982399999993
0.0	4.0	176.0	0.02471	0.0006254	0.02687	0.02834	0.002896	0.05112	258.2288229999999
0.0	4.0	184.0	0.01707	0.0009928	0.04	0.0162	0.001813	0.03581	463.944624
0.0	4.0	192.0	0.048425865442305496	0.0007685619939840099	0.03688562919185095	0.060820983792636445	0.007637887443055257	0.09553888989208945	370.6784649205001
0.0	4.0	200.0	0.01438	0.001983	0.03509	0.01425	0.001284	0.03118	286.8777479999999
0.0	8.0	0.0	0.03996	0.04043	0.4248	0.00343	0.07524	0.1976	21.395445999999993
