q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
0.0	-0.0	-262.9704	-1898.936285	3.119	4.50144e-06	-6.69557e-15	9.21042e-08
0.0	4000.0	4169.738	-1901.757733	3.127	4.48059e-06	-9.09411e-08	8.96952e-08
0.0	8000.0	21680.38	-1898.579767	3.0	5.03136e-06	-1.06646e-07	8.62454e-08
0.0	12000.0	191371.4	-1894.308376	2.785	5.52108e-06	-2.22276e-07	1.0207e-08
0.0	16000.0	292221.5	-1892.797031	2.83	5.51543e-06	-2.2147e-07	9.93194e-09
0.0	20000.0	394152.4	-1891.526959	2.858	5.3793e-06	-2.14882e-07	9.56496e-09
0.0	24000.0	501229.6	-1890.492793	3.25	5.01857e-06	-1.95452e-07	8.73828e-09
0.0	28000.0	607620.2	-1889.627402	3.616	4.59912e-06	-1.81017e-07	7.77262e-09
0.0	32000.0	708582.5	-1888.563975	3.652	4.4006e-06	-1.73945e-07	7.42482e-09
0.0	36000.0	914548.3	-1887.796938	3.641	4.85497e-06	-1.90269e-07	8.09423e-09
0.0	40000.0	1004134.0	-1887.384731	3.586	6.66744e-06	-2.62967e-07	1.10649e-08
0.0	44000.0	1096049.0	-1886.055481	3.227	7.05437e-06	-2.8285e-07	1.22503e-08
0.0	48000.0	1182253.0	-1884.10576	2.708	8.61276e-06	-3.31505e-07	1.5833e-08
0.0	52000.0	1247870.0	-1882.190638	3.04	1.46012e-05	-5.3752e-07	2.06867e-08
200.0	-0.0	1067.648	-1900.641403	3.17	4.58469e-06	5.59238e-15	7.99111e-08
200.0	4000.0	6380.558	-1901.799852	3.014	4.71307e-06	-9.12553e-08	8.83855e-08
200.0	8000.0	20992.97	-1899.08885	3.119	4.5495e-06	-1.58866e-07	7.63315e-08
200.0	12000.0	35999.45	-1895.105861	3.214	5.16061e-06	-2.74436e-07	7.15588e-08
200.0	16000.0	287526.7	-1891.701909	2.896	6.06648e-06	-2.33928e-07	1.00514e-08
200.0	20000.0	391525.7	-1890.128689	2.95	5.76406e-06	-2.24529e-07	9.70215e-09
200.0	24000.0	500974.0	-1888.919256	2.9	5.54766e-06	-2.1024e-07	9.44684e-09
200.0	28000.0	603805.5	-1888.27509	3.515	5.07292e-06	-1.99824e-07	8.54184e-09
200.0	32000.0	709511.6	-1887.818007	3.73	4.63585e-06	-1.84984e-07	7.94161e-09
200.0	36000.0	786504.6	-1889.562355	4.964	4.63735e-06	-1.8272e-07	8.35188e-09
200.0	40000.0	897279.7	-1889.397202	4.046	5.73243e-06	-2.25746e-07	9.8765e-09
200.0	44000.0	1092622.0	-1887.263225	3.595	5.61413e-06	-2.11307e-07	9.78872e-09
200.0	48000.0	1186980.0	-1886.322031	3.258	6.95323e-06	-2.68612e-07	1.10413e-08
200.0	52000.0	1278546.0	-1884.569797	3.155	7.43922e-06	-2.90928e-07	1.20508e-08
400.0	-0.0	5220.486	-1903.642613	3.175	4.65742e-06	8.59783e-15	7.04903e-08
400.0	4000.0	8608.128	-1902.494781	3.017	4.73903e-06	-1.35813e-07	8.27557e-08
400.0	8000.0	18112.96	-1899.881881	3.192	4.79367e-06	-1.85721e-07	6.92232e-08
400.0	12000.0	32067.41	-1895.879238	3.323	4.75959e-06	-2.62632e-07	6.85808e-08
400.0	16000.0	278174.7	-1891.219075	2.79	6.88969e-06	-2.54378e-07	1.04009e-08
400.0	20000.0	387466.2	-1889.226619	3.008	6.45773e-06	-2.42009e-07	9.99929e-09
400.0	24000.0	497540.8	-1887.621464	2.797	5.97564e-06	-2.22523e-07	1.00789e-08
400.0	28000.0	613235.7	-1886.660637	3.21	5.73187e-06	-2.16922e-07	8.89208e-09
400.0	32000.0	705730.0	-1886.375681	3.591	5.08547e-06	-2.04258e-07	8.77314e-09
