Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
0.0	0.0	0.01304	2.659e-09	0.139	-1864.37197	False
0.0	4.0	0.01402	-0.007903	0.1428	-1863.974679	False
0.0	8.0	0.01742	-0.01814	0.1882	-1860.873122	False
0.0	12.0	0.02051	-0.0333	0.1929	-1855.400911	False
0.0	16.0	0.01871	-0.03373	0.09444	-1834.0737	False
0.0	20.0	0.0161	-0.0291	0.1232	-1829.82074	False
0.0	24.0	0.0211	-0.02461	0.05741	-1825.950425	False
0.0	28.0	0.02149	-0.02535	0.0511	-1821.209299	False
0.0	32.0	0.01988	-0.03862	0.09621	-1815.985057	False
0.0	36.0	0.01705	-0.0318	0.08262	-1809.846576	False
0.0	40.0	0.016564777739227488	-0.031123153429904793	0.07771710620772865	-1806.8827936758553	True
0.0	44.0	0.01609314654825722	-0.030146372408544675	0.07322486311700516	-1802.7679476400915	True
0.0	48.0	0.016402812552858137	-0.030779770258544392	0.07375666931595504	-1798.0165118566247	True
0.0	52.0	0.01726773509418189	-0.03269331685802257	0.07650662532668306	-1793.498246272402	True
0.0	56.0	0.017972894650276627	-0.03436430386587652	0.07866826380185898	-1789.2343883195806	True
0.0	60.0	0.01835137472823667	-0.03548724428146466	0.07979681123831384	-1785.1668625213765	True
4.0	0.0	0.01322	-8.68e-09	0.1271	-1864.713293	False
4.0	4.0	0.01459	-0.006161	0.1396	-1863.726671	False
4.0	8.0	0.01661	-0.01894	0.1674	-1860.675575	False
4.0	12.0	0.01862	-0.03273	0.1801	-1856.008075	False
4.0	16.0	0.01921	-0.02658	0.1098	-1840.628801	False
4.0	20.0	0.01496	-0.02662	0.1095	-1832.847	False
4.0	24.0	0.01622	-0.02836	0.06173	-1831.935172	False
4.0	28.0	0.02195	-0.01185	0.1086	-1828.845083	False
4.0	32.0	0.02202	-0.02593	0.0453	-1826.504218	False
4.0	36.0	0.02018	-0.03443	0.08189	-1822.584726	False
4.0	40.0	0.01925	-0.03467	0.07838	-1817.296829	False
4.0	44.0	0.01691	-0.03034	0.06908	-1810.752068	False
4.0	48.0	0.01721233548648482	-0.030969438425179963	0.07099330392276215	-1804.8295373774151	True
4.0	52.0	0.018213118818250384	-0.03314836092563489	0.07458728119091163	-1799.85749459681	True
4.0	56.0	0.01878520312859755	-0.03453272536700691	0.07649403076930028	-1795.16041696241	True
4.0	60.0	0.01892307690017181	-0.03519975665115682	0.07705664329094475	-1790.6525732216237	True
8.0	0.0	0.01351	4.907e-08	0.1139	-1866.085016	False
8.0	4.0	0.01459	-0.007351	0.1336	-1864.399437	False
8.0	8.0	0.01405	-0.01892	0.1504	-1861.082901	False
8.0	12.0	0.01641	-0.02921	0.1642	-1856.348225	False
8.0	16.0	0.01877	-0.01629	0.1431	-1840.914479	False
8.0	20.0	0.01638	-0.02927	0.1122	-1835.442379	False
8.0	24.0	0.01685	-0.02926	0.06119	-1833.958573	False
8.0	28.0	0.02046	-0.01951	0.08992	-1831.452642	False
8.0	32.0	0.0211	-0.02489	0.04375	-1830.002325	False
8.0	36.0	0.02115	-0.02115	0.08145	-1826.170552	False
8.0	40.0	0.02025	-0.03584	0.07803	-1822.564217	False
8.0	44.0	0.01739	-0.03094	0.06738	-1816.660323	False
8.0	48.0	0.01785	-0.0316	0.06911	-1811.103258	False
8.0	52.0	0.01876423703925756	-0.033282581991205706	0.07192066572858735	-1806.1618676150447	True
8.0	56.0	0.019191326955666943	-0.034243673575706346	0.07346696871552894	-1800.9463601414095	True
8.0	60.0	0.019076395038832183	-0.034364609329597506	0.07340375419764555	-1795.9625584038313	True
12.0	0.0	0.01474	-3.346e-09	0.1021	-1868.330534	False
12.0	4.0	0.01458	-0.009218	0.1268	-1865.859833	False
12.0	8.0	0.01285	-0.01801	0.1367	-1861.793888	False
12.0	12.0	0.01545	-0.02593	0.1492	-1856.551338	False
12.0	16.0	0.01583	-0.01752	0.07417	-1841.368326	False
12.0	20.0	0.02095	-0.0333	0.1182	-1836.147139	False
12.0	24.0	0.01663	-0.02848	0.05785	-1835.017377	False
12.0	28.0	0.02155	-0.02579	0.04435	-1833.200994	False
12.0	32.0	0.02099	-0.01638	0.08538	-1832.860898	False
12.0	36.0	0.02138	-0.02501	0.04038	-1830.78514	False
12.0	40.0	0.01908	-0.02906	0.06879	-1826.637331	False
12.0	44.0	0.0202	-0.03479	0.07285	-1823.416642	False
12.0	48.0	0.01657	-0.02858	0.06037	-1817.390645	False
12.0	52.0	0.01824	-0.03164	0.06609	-1812.10109	False
12.0	56.0	0.018467937773078313	-0.032132525275625046	0.06747428797814337	-1806.1010640700874	True
12.0	60.0	0.01852318303977385	-0.03244713911755159	0.0680030130851641	-1800.9221033657666	True
16.0	0.0	0.01618	6.331e-09	0.09255	-1871.317642	False
16.0	4.0	0.01477	-0.01035	0.118	-1868.089636	False
16.0	8.0	0.01343	-0.01771	0.127	-1862.775647	False
16.0	12.0	0.01538	-0.02178	0.1363	-1856.838294	False
16.0	16.0	0.0163	-0.02636	0.1315	-1848.360128	False
16.0	20.0	0.01864	-0.03268	0.1101	-1839.649282	False
16.0	24.0	0.01437	-0.02416	0.04905	-1835.296933	False
16.0	28.0	0.01676	-0.02802	0.05567	-1835.560927	False
16.0	32.0	0.02202	-0.02595	0.04168	-1834.815902	False
16.0	36.0	0.02086	-0.02438	0.03912	-1833.478884	False
16.0	40.0	0.02035	-0.02077	0.071	-1829.71832	False
16.0	44.0	0.01989	-0.03401	0.06991	-1826.031974	False
16.0	48.0	0.01984	-0.03433	0.06954	-1822.123897	False
16.0	52.0	0.01571	-0.02674	0.05548	-1816.302286	False
16.0	56.0	0.01696	-0.02882	0.05981	-1810.777685	False
16.0	60.0	0.017443760546890674	-0.029790185982753403	0.061296807562273514	-1805.8464134699032	True
20.0	0.0	0.01479	4.52e-09	0.0856	-1874.704341	False
20.0	4.0	0.0147	-0.01058	0.1082	-1870.964244	False
20.0	8.0	0.01466	-0.01696	0.1205	-1864.168805	False
20.0	12.0	0.01526	-0.01817	0.1249	-1857.41308	False
20.0	16.0	0.01621	-0.02554	0.1219	-1849.775602	False
20.0	20.0	0.01723	-0.02984	0.1	-1841.666592	False
20.0	24.0	0.01782	-0.03242	0.09623	-1833.745024	False
20.0	28.0	0.01573	-0.02725	0.07856	-1824.985383	False
20.0	32.0	0.01988	-0.02287	0.03818	-1836.261802	False
20.0	36.0	0.02227	-0.02557	0.03952	-1836.038339	False
20.0	40.0	0.02076	-0.02387	0.0366	-1834.026793	False
20.0	44.0	0.01879	-0.02398	0.06207	-1829.762592	False
20.0	48.0	0.02001	-0.03364	0.06693	-1826.686246	False
20.0	52.0	0.01929	-0.03263	0.06456	-1822.367343	False
20.0	56.0	0.01623	-0.02725	0.05442	-1816.808145	False
20.0	60.0	0.01675	-0.02804	0.0562	-1811.052111	False
24.0	0.0	0.01144	-5.457e-09	0.07986	-1877.997555	False
24.0	4.0	0.01388	-0.008331	0.09689	-1874.128827	False
24.0	8.0	0.01713	-0.01674	0.122	-1864.280697	False
24.0	12.0	0.01447	-0.01734	0.1178	-1858.46723	False
24.0	16.0	0.01548	-0.02377	0.113	-1851.33391	False
24.0	20.0	0.01612	-0.02783	0.09526	-1843.644779	False
24.0	24.0	0.01839	-0.03175	0.09479	-1835.686765	False
24.0	28.0	0.01579	-0.02698	0.07862	-1827.879442	False
24.0	32.0	0.01936	-0.02274	0.03703	-1836.961005	False
24.0	36.0	0.02022	-0.02322	0.03577	-1837.714162	False
24.0	40.0	0.02228	-0.02541	0.03777	-1836.559028	False
24.0	44.0	0.01875	-0.02197	0.06021	-1832.894649	False
24.0	48.0	0.01858	-0.0308	0.06085	-1828.377551	False
24.0	52.0	0.02003	-0.03376	0.06546	-1826.041752	False
24.0	56.0	0.01699	-0.02828	0.05551	-1820.91853	False
24.0	60.0	0.01739	-0.02889	0.05672	-1815.983416	False
28.0	0.0	0.01099	-2.917e-09	0.07508	-1880.401974	False
28.0	4.0	0.0137	-0.003776	0.08814	-1876.984393	False
28.0	8.0	0.01451	-0.01204	0.1077	-1868.447418	False
28.0	12.0	0.01442	-0.01866	0.1178	-1859.988097	False
28.0	16.0	0.01426	-0.02086	0.1057	-1852.988723	False
28.0	20.0	0.0168	-0.02722	0.09547	-1845.468855	False
28.0	24.0	0.01697	-0.02793	0.08722	-1837.452107	False
28.0	28.0	0.01774	-0.02016	0.03457	-1835.513265	False
28.0	32.0	0.02149	-0.02543	0.04036	-1837.373079	False
28.0	36.0	0.01882	-0.02153	0.03328	-1838.600419	False
28.0	40.0	0.0207	-0.02331	0.03428	-1838.740296	False
28.0	44.0	0.0224	-0.02483	0.03681	-1836.74543	False
28.0	48.0	0.01778	-0.02381	0.05461	-1832.346226	False
28.0	52.0	0.01916	-0.03169	0.06084	-1828.93075	False
28.0	56.0	0.01978	-0.03284	0.06263	-1826.076133	False
28.0	60.0	0.01588	-0.02595	0.05006	-1820.756488	False
32.0	0.0	0.0121	-1.575e-08	0.07224	-1881.446397	False
32.0	4.0	0.01523	0.002269	0.08509	-1878.931396	False
32.0	8.0	0.01419	-0.008338	0.0964	-1871.131698	False
32.0	12.0	0.01428	-0.01883	0.1144	-1862.064789	False
32.0	16.0	0.01423	-0.01892	0.1028	-1854.746519	False
32.0	20.0	0.01755	-0.0242	0.09208	-1847.264401	False
32.0	24.0	0.01813	-0.02863	0.09685	-1838.219209	False
32.0	28.0	0.01775	-0.02935	0.08388	-1832.181869	False
32.0	32.0	0.0185	-0.02106	0.0335	-1837.606972	False
32.0	36.0	0.02131	-0.0246	0.03688	-1839.044202	False
32.0	40.0	0.01863	-0.02085	0.03099	-1839.824837	False
32.0	44.0	0.02115	-0.02343	0.03349	-1839.091962	False
32.0	48.0	0.01875	-0.02332	0.0545	-1835.93041	False
32.0	52.0	0.01674	-0.02514	0.05011	-1830.956524	False
32.0	56.0	0.01945	-0.032	0.05987	-1829.036659	False
32.0	60.0	0.01924	-0.03148	0.05868	-1825.485963	False
36.0	0.0	0.01689	2.931e-08	0.07147	-1880.948909	False
