       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      156.00        0.00        0.00    -1867.5530        1.6701        0.0552       -0.0000        0.7664
      100.00      156.00        0.00        4.00    -1869.8520        1.3197        0.0893       -0.1572        0.8061
      100.00      156.00        0.00        8.00    -1867.4290        0.9399        0.0811       -0.0367        1.0970
      100.00      156.00        0.00       12.00    -1864.8650        0.7626        0.1455       -0.3526        1.8840
      100.00      156.00        0.00       16.00    -1853.4370        0.8064        0.0835       -0.1704        0.8388
      100.00      156.00        0.00       20.00    -1839.1070        0.8077        0.1035       -0.2002        0.8541
      100.00      156.00        0.00       24.00    -1826.9670        0.9529        0.1052       -0.2216        0.6514
      100.00      156.00        0.00       28.00    -1829.5350        2.1149        0.2130       -0.2789        0.4019
      100.00      156.00        0.00       32.00    -1823.9030        0.9249        0.1919       -0.4022        0.8990
      100.00      156.00        0.00       36.00    -1818.5390        0.8577        0.1016       -0.2107        0.4801
      100.00      156.00        0.00       40.00    -1813.2190        0.7361        0.1444       -0.2928        0.6679
      100.00      156.00        0.00       44.00    -1805.5960        2.0005        0.0956       -0.1776        0.4673
      100.00      156.00        0.00       48.00    -1799.1950        1.9211        0.0802       -0.1416        0.3538
      100.00      156.00        0.00       52.00    -1789.9850        0.5017        0.0954       -0.1858        0.4684
      100.00      156.00        0.00       56.00    -1782.0580        1.7699        0.1379       -0.2823        0.6458
      100.00      156.00        0.00       60.00    -1772.1490        0.5786        0.0576       -0.1095        0.2801
      100.00      156.00        4.00        0.00    -1868.2260        1.8014        0.0522       -0.0000        0.7939
      100.00      156.00        4.00        4.00    -1869.7500        1.2371        0.0840       -0.1419        0.7625
      100.00      156.00        4.00        8.00    -1867.1270        1.1299        0.0765       -0.0507        0.8724
      100.00      156.00        4.00       12.00    -1865.0160        0.8235        0.0874       -0.1456        1.2640
      100.00      156.00        4.00       16.00    -1854.6140        0.8328        0.1363       -0.2995        1.1530
      100.00      156.00        4.00       20.00    -1841.8970        0.9544        0.0878       -0.1630        0.3259
      100.00      156.00        4.00       24.00    -1839.1330        1.5554        0.2178       -0.4087        0.7925
      100.00      156.00        4.00       28.00    -1837.2550        1.3299        0.2366       -0.2895        0.3969
      100.00      156.00        4.00       32.00    -1834.5900        2.0456        0.2864       -0.3514        0.4516
      100.00      156.00        4.00       36.00    -1829.9390        1.5059        0.1427       -0.2379        0.5431
      100.00      156.00        4.00       40.00    -1826.0860        0.8575        0.1109       -0.2112        0.4429
      100.00      156.00        4.00       44.00    -1819.1880        0.7670        0.1504       -0.2966        0.6090
      100.00      156.00        4.00       48.00    -1813.7280        0.7686        0.1375       -0.2684        0.5503
      100.00      156.00        4.00       52.00    -1806.8900        0.7631        0.0806       -0.1481        0.3270
      100.00      156.00        4.00       56.00    -1800.7840        1.9121        0.1005       -0.1803        0.4073
      100.00      156.00        4.00       60.00    -1793.1400        1.4996        0.1067       -0.1882        0.4117
      100.00      156.00        8.00        0.00    -1870.2730        1.9266        0.0532       -0.0000        0.7249
      100.00      156.00        8.00        4.00    -1870.2870        1.2350        0.0671       -0.0760        0.5583
      100.00      156.00        8.00        8.00    -1867.5310        1.2580        0.0921       -0.1287        1.0320
      100.00      156.00        8.00       12.00    -1864.9120        0.8997        0.0962       -0.0541        1.1350
      100.00      156.00        8.00       16.00    -1855.3840        0.8132        0.1415       -0.3090        1.2170
      100.00      156.00        8.00       20.00    -1843.5250        0.8947        0.1519       -0.2799        0.5391
      100.00      156.00        8.00       24.00    -1834.3100        0.8276        0.1373       -0.2719        0.7807
      100.00      156.00        8.00       28.00    -1823.8710        0.9329        0.1024       -0.1977        0.6201
      100.00      156.00        8.00       32.00    -1838.4640        2.1114        0.2676       -0.3243        0.4120
      100.00      156.00        8.00       36.00    -1834.1560        2.2468        0.2235       -0.2740        0.3618
      100.00      156.00        8.00       40.00    -1830.8050        0.8554        0.1798       -0.3390        0.6754
      100.00      156.00        8.00       44.00    -1825.4980        0.8757        0.1496       -0.2817        0.5625
      100.00      156.00        8.00       48.00    -1820.2500        0.7177        0.1811       -0.3490        0.6950
      100.00      156.00        8.00       52.00    -1813.3290        0.7801        0.1102       -0.2086        0.4209
      100.00      156.00        8.00       56.00    -1807.8980        0.8132        0.0798       -0.1423        0.3039
      100.00      156.00        8.00       60.00    -1801.3730        1.8221        0.0960       -0.1691        0.3706
      100.00      156.00       12.00        0.00    -1873.3060        1.9848        0.0665        0.0000        0.5616
      100.00      156.00       12.00        4.00    -1871.7720        1.2898        0.0988       -0.0222        0.4714
      100.00      156.00       12.00        8.00    -1868.3280        1.3195        0.1060       -0.1632        1.0760
      100.00      156.00       12.00       12.00    -1864.8480        1.0069        0.0860       -0.1208        0.9815
      100.00      156.00       12.00       16.00    -1855.9830        0.7965        0.0964       -0.1541        0.7933
      100.00      156.00       12.00       20.00    -1844.9650        0.9359        0.1422       -0.2532        0.4785
      100.00      156.00       12.00       24.00    -1840.8820        0.9285        0.0899       -0.1608        0.3021
      100.00      156.00       12.00       28.00    -1827.4250        0.9696        0.1179       -0.2229        0.6625
      100.00      156.00       12.00       32.00    -1841.1230        0.7520        0.1497       -0.1512        0.4439
      100.00      156.00       12.00       36.00    -1839.2000        2.2350        0.2830       -0.3367        0.4157
      100.00      156.00       12.00       40.00    -1833.7590        0.8329        0.2056       -0.3716        0.7203
      100.00      156.00       12.00       44.00    -1831.7910        0.8233        0.2247       -0.4114        0.7847
      100.00      156.00       12.00       48.00    -1826.1200        0.8559        0.1220       -0.2223        0.4329
      100.00      156.00       12.00       52.00    -1821.3500        0.7164        0.1811       -0.3389        0.6522
      100.00      156.00       12.00       56.00    -1814.3640        0.7715        0.1035       -0.1905        0.3718
      100.00      156.00       12.00       60.00    -1808.9390        0.8118        0.0811       -0.1442        0.2917
      100.00      156.00       16.00        0.00    -1877.4620        1.9845        0.0820        0.0000        0.3909
      100.00      156.00       16.00        4.00    -1874.2400        1.3544        0.1104       -0.0233        0.4093
      100.00      156.00       16.00        8.00    -1869.4730        1.2589        0.0822       -0.1427        0.6981
      100.00      156.00       16.00       12.00    -1864.9280        0.9254        0.0877       -0.1941        0.9157
      100.00      156.00       16.00       16.00    -1856.6760        0.8034        0.0856       -0.1329        0.6492
      100.00      156.00       16.00       20.00    -1845.0190        0.7857        0.0852       -0.0653        0.8830
      100.00      156.00       16.00       24.00    -1840.8300        0.9502        0.1217       -0.2163        0.3973
      100.00      156.00       16.00       28.00    -1831.0420        0.9192        0.1512       -0.2993        0.8370
      100.00      156.00       16.00       32.00    -1821.4160        0.9514        0.0941       -0.1702        0.5380
      100.00      156.00       16.00       36.00    -1841.9240        2.2993        0.1547       -0.1887        0.2476
      100.00      156.00       16.00       40.00    -1838.1600        2.3713        0.2602       -0.3095        0.3833
      100.00      156.00       16.00       44.00    -1833.7420        0.8921        0.3418       -0.6245        1.1710
      100.00      156.00       16.00       48.00    -1830.7280        0.8727        0.0985       -0.1774        0.3452
      100.00      156.00       16.00       52.00    -1824.5150        0.8487        0.1136       -0.2079        0.3961
      100.00      156.00       16.00       56.00    -1820.5260        0.7158        0.1670       -0.3067        0.5810
      100.00      156.00       16.00       60.00    -1813.3550        0.7320        0.0988       -0.1778        0.3479
      100.00      156.00       20.00        0.00    -1882.3780        2.0456        0.0724        0.0000        0.2780
      100.00      156.00       20.00        4.00    -1877.7650        1.4242        0.1176       -0.0996        0.5403
      100.00      156.00       20.00        8.00    -1871.1100        1.1257        0.0661       -0.0991        0.4735
      100.00      156.00       20.00       12.00    -1865.2980        0.9454        0.1010       -0.2385        1.0540
      100.00      156.00       20.00       16.00    -1858.0750        0.7768        0.0713       -0.0819        0.6008
      100.00      156.00       20.00       20.00    -1844.8270        0.9131        0.0769       -0.0079        0.5110
      100.00      156.00       20.00       24.00    -1840.9440        0.9751        0.1162       -0.2007        0.3597
      100.00      156.00       20.00       28.00    -1834.7030        1.0419        0.1112       -0.1775        0.6974
      100.00      156.00       20.00       32.00    -1824.9120        0.9769        0.1447       -0.2681        0.7418
      100.00      156.00       20.00       36.00    -1844.2340        2.3415        0.1117       -0.1319        0.1702
