q20	q30	M_22	M_32	M_33	EHFB	isInterpolated
0.0	0.0	0.06343	1.99e-10	0.8201	-1895.160148	False
0.0	4.0	0.1478	-0.2852	1.298	-1895.013661	False
0.0	8.0	0.09147	0.004149	1.483	-1891.532945	False
0.0	12.0	0.2205	-0.5848	3.392	-1889.109495	False
0.0	16.0	0.05216	-0.1365	0.7072	-1879.087248	False
0.0	20.0	0.1309	-0.266	1.277	-1865.292934	False
0.0	24.0	0.1115	-0.2181	0.6948	-1852.763749	False
0.0	28.0	0.4864649481550316	-0.702922716872294	0.9840445004666378	-1853.0732498722891	True
0.0	32.0	2.167417823257523	-3.1225900096551484	4.434742406352996	-1853.362190615254	True
4.0	0.0	0.06174	-7.256e-08	0.8911	-1895.69915	False
4.0	4.0	0.09216	-0.1534	0.85	-1895.289266	False
4.0	8.0	0.09455209727155989	-0.08799951873112377	0.9778949378723496	-1892.6779937116398	True
4.0	12.0	0.05224	-0.09875	0.4867	-1889.189335	False
4.0	16.0	0.2299	-0.5252	1.99	-1880.07868	False
4.0	20.0	0.1876	-0.3288	1.846	-1868.046864	False
4.0	24.0	0.21023582802047258	-0.3011180198633099	1.1180571728359041	-1860.841342128224	True
4.0	28.0	0.2026	-0.2463	0.3263	-1861.927144	False
4.0	32.0	0.4021	-0.4957	0.6295	-1859.764672	False
8.0	0.0	0.06858	-2.471e-06	0.8218	-1897.236238	False
8.0	4.0	0.04144	-0.02199	0.3311	-1896.082253	False
8.0	8.0	0.146	-0.1894	1.695	-1891.77719	False
8.0	12.0	0.1126	-0.01634	1.125	-1888.7631	False
8.0	16.0	0.1467	-0.3423	1.303	-1880.612893	False
8.0	20.0	0.1376	-0.224	1.635	-1870.573303	False
8.0	24.0	0.2523219855457626	-0.3345809547511607	1.0936946237174823	-1865.0853385405658	True
8.0	28.0	0.1362	-0.1474	0.1869	-1863.58789	False
8.0	32.0	0.1977	-0.2414	0.3142	-1863.388341	False
12.0	0.0	0.08937	8.31e-08	0.6142	-1899.564464	False
12.0	4.0	0.1314	-0.01385	0.5349	-1897.287503	False
12.0	8.0	0.1251	-0.128	1.364	-1892.431509	False
12.0	12.0	0.11125547465576346	-0.08598535878448388	1.1203245431914866	-1888.081445221986	True
12.0	16.0	0.1334	-0.2078	1.046	-1881.08211	False
12.0	20.0	0.08302	-0.1168	0.3669	-1872.631641	False
12.0	24.0	0.17384791326801974	-0.25623303719798685	0.5247008232822736	-1867.0396283539103	True
12.0	28.0	0.1896	-0.3372	0.6185	-1866.501256	False
12.0	32.0	0.192	-0.2135	0.2606	-1865.286863	False
16.0	0.0	0.09919	-3.595e-07	0.3796	-1903.056941	False
16.0	4.0	0.198	0.02528	0.4081	-1899.349169	False
16.0	8.0	0.1201	-0.2306	0.957	-1893.627877	False
16.0	12.0	0.05692	-0.03976	0.3563	-1888.84234	False
16.0	16.0	0.05482	-0.03988	0.3742	-1882.009075	False
16.0	20.0	0.2551	-0.5912	1.584	-1874.397008	False
16.0	24.0	0.01593	-0.02124	0.06716	-1866.984668	False
16.0	28.0	0.2935	-0.5183	0.9335	-1867.358238	False
16.0	32.0	0.3642	-0.6383	1.14	-1865.458027	False
20.0	0.0	0.1198	-5.062e-07	0.2342	-1907.407557	False
20.0	4.0	0.1584	-0.08192	0.6215	-1902.445442	False
20.0	8.0	0.04419	-0.03456	0.2523	-1895.543592	False
20.0	12.0	0.09233	-0.1859	0.8622	-1889.434606	False
20.0	16.0	0.05357	-0.09601	0.4759	-1883.25876	False
