q20	q30	M_22	M_32	M_33	EHFB	isInterpolated
0.0	0.0	0.04304	5.722e-10	0.119	-2022.486861	False
0.0	4.0	0.03588	0.03521	0.2659	-2016.888945	False
0.0	8.0	0.02017	0.02959	0.3466	-2010.639384	False
0.0	12.0	0.02917	0.07343	0.3348	-2004.913021	False
0.0	16.0	0.02746	0.04305	0.205	-1995.647214	False
0.0	20.0	0.03087	0.03512	0.1802	-1985.570297	False
0.0	24.0	0.0343	0.06636	0.2127	-1976.86209	False
0.0	28.0	0.09179	0.1601	0.5333	-1968.887372	False
0.0	32.0	0.05908	0.08745	0.3726	-1961.565092	False
0.0	36.0	0.12624667203070317	0.19597600372020452	0.4668605051578396	-1966.0980688808231	True
0.0	40.0	0.18498248273746754	0.3413613942365359	0.7490065721166204	-1967.912186788788	True
0.0	44.0	0.2848	0.5504	1.173	-1968.25891	False
0.0	48.0	0.3612	0.6806	1.403	-1963.755579	False
0.0	52.0	0.06389	0.09995	0.2501	-1955.32216	False
0.0	56.0	-0.044798417301194604	-0.11862948345863344	-0.18254761702529976	-1952.4672040238038	True
0.0	60.0	0.019466479388000835	-0.0012500668469854759	0.027372559184108525	-1949.9132958246373	True
0.0	64.0	0.09102173795508861	0.1329818361183115	0.2751783323880872	-1946.8192711491974	True
4.0	0.0	0.09675	7.739e-07	0.06864	-2023.223786	False
4.0	4.0	0.04352	0.06644	0.3142	-2017.276572	False
4.0	8.0	0.03728	0.08594	0.4133	-2010.550592	False
4.0	12.0	0.03144	0.07741	0.3164	-2004.942017	False
4.0	16.0	0.04762	0.09125	0.4283	-1996.268577	False
4.0	20.0	0.03215	0.05069	0.194	-1987.295585	False
4.0	24.0	0.09584	0.2135	0.6072	-1978.579383	False
4.0	28.0	0.05145	0.07386	0.2707	-1971.732789	False
4.0	32.0	0.08306340594256767	0.07985377248153469	0.15435357166567343	-1974.1154735135242	True
4.0	36.0	0.1225	0.1333	0.1612	-1979.104735	False
4.0	40.0	0.05028	0.0829	0.1886	-1974.269051	False
4.0	44.0	0.04304151359082198	0.08609891016777738	0.22300224878995323	-1973.620925007297	True
4.0	48.0	0.05205	0.09026	0.1881	-1973.006026	False
4.0	52.0	0.4623	0.8903	1.755	-1970.68194	False
4.0	56.0	0.102	0.1709	0.3603	-1964.456398	False
4.0	60.0	0.1432	0.244	0.4858	-1959.329578	False
4.0	64.0	0.15857901862756307	0.2663213737085002	0.5196317492469618	-1954.675428589624	True
8.0	0.0	0.1078	1.711e-05	0.06003	-2024.302095	False
8.0	4.0	0.05041	0.05516	0.2645	-2018.204183	False
8.0	8.0	0.030834417466593322	0.06563501482708745	0.29378211113667163	-2010.9466430340362	True
8.0	12.0	0.02877	0.05004	0.2539	-2004.395645	False
8.0	16.0	0.04758	0.0756	0.3734	-1996.73255	False
8.0	20.0	0.05465	0.05721	0.2991	-1989.108378	False
8.0	24.0	0.02365	0.03029	0.1036	-1981.363904	False
8.0	28.0	0.08465795594884185	0.1310029425237218	0.31128748815972074	-1976.8783503574523	True
8.0	32.0	0.1139	0.1329	0.1664	-1982.290468	False
8.0	36.0	0.07985	0.09052	0.1145	-1982.112143	False
8.0	40.0	0.04738	0.06025	0.1605	-1978.80421	False
8.0	44.0	0.009020542115706576	0.00993985777257933	0.06366446450996222	-1976.6110536301785	True
8.0	48.0	0.07367	0.1334	0.2651	-1974.786701	False
8.0	52.0	0.2066	0.3839	0.7431	-1974.838384	False
8.0	56.0	0.465	0.8762	1.684	-1972.000329	False
8.0	60.0	0.06051	0.09107	0.1968	-1965.709799	False
8.0	64.0	0.1431	0.2399	0.4674	-1961.24855	False
12.0	0.0	0.1455	3.927e-06	0.05962	-2025.473672	False
12.0	4.0	0.06941	0.09558	0.2905	-2019.610338	False
12.0	8.0	0.03593	0.04726	0.2027	-2010.80456	False
12.0	12.0	0.02795	0.02817	0.2227	-2003.801938	False
12.0	16.0	0.04199	0.05275	0.3137	-1997.300848	False
12.0	20.0	0.03524	0.04838	0.1978	-1991.041838	False
12.0	24.0	0.02012	0.02577	0.09189	-1984.050249	False
12.0	28.0	0.1238	0.2299	0.6119	-1975.422439	False
12.0	32.0	0.12234325356374143	0.18040858696077322	0.3620104982835599	-1980.2347488021405	True
12.0	36.0	0.1045	0.119	0.1449	-1984.074123	False
12.0	40.0	0.121	0.132	0.1575	-1983.127516	False
12.0	44.0	0.05532	0.08412	0.1795	-1979.881772	False
12.0	48.0	0.03175550941071492	0.05645104291627945	0.12486757360161249	-1976.9697094340154	True
12.0	52.0	0.04567	0.07877	0.1547	-1976.732192	False
12.0	56.0	0.1761	0.3177	0.5968	-1976.417627	False
12.0	60.0	0.357	0.6517	1.215	-1973.379413	False
12.0	64.0	0.0567	0.08209	0.1727	-1966.771909	False
16.0	0.0	0.0219	5.499e-06	0.05962	-2026.521308	False
16.0	4.0	0.03394	0.0508	0.1829	-2021.126391	False
16.0	8.0	0.03855	0.04343	0.193	-2011.33844	False
16.0	12.0	0.03701103560371166	0.013599659162075284	0.22018603542511528	-2003.658643312181	True
16.0	16.0	0.04914	0.0136	0.2552	-1998.186997	False
16.0	20.0	0.05521	0.09166	0.3421	-1992.959987	False
16.0	24.0	0.008827	0.01244	0.03219	-1984.793882	False
16.0	28.0	0.02015	0.02287	0.1037	-1978.096003	False
16.0	32.0	0.07306939257441059	0.09996200820751966	0.21396855885361532	-1980.8959826984792	True
16.0	36.0	0.107	0.1217	0.1485	-1984.428971	False
16.0	40.0	0.1036	0.1124	0.1446	-1984.481105	False
16.0	44.0	0.1024	0.1598	0.3134	-1982.176544	False
16.0	48.0	0.05632	0.09297	0.1843	-1978.943564	False
16.0	52.0	0.006757721711693421	0.0030018634359478824	0.010133103619693884	-1978.074710601013	True
16.0	56.0	0.06916	0.1193	0.2268	-1978.079231	False
16.0	60.0	0.4187	0.759	1.4	-1977.133785	False
16.0	64.0	0.4184	0.756	1.39	-1972.98184	False
20.0	0.0	0.02475	1.066e-05	0.05861	-2026.986552	False
20.0	4.0	0.02493	0.03884	0.1443	-2022.275118	False
20.0	8.0	0.04528	0.07182	0.301	-2012.12691	False
20.0	12.0	0.03525	0.0254	0.2638	-2003.856038	False
20.0	16.0	0.01879	0.01819	0.1432	-1999.365994	False
