Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
0.0	0.0	0.02021	-5.275e-10	0.2187	-1889.255284	False
0.0	4.0	0.02491	-0.02552	0.2471	-1889.14382	False
0.0	8.0	0.02557	-0.02378	0.2781	-1883.383613	False
0.0	12.0	0.02816	-0.05063	0.2919	-1877.329075	False
0.0	16.0	0.02711	-0.04876	0.1394	-1856.830501	False
0.0	20.0	0.02508	-0.04637	0.1107	-1853.02776	False
0.0	24.0	0.03278	-0.04089	0.07585	-1851.967527	False
0.0	28.0	0.03716	-0.03136	0.1999	-1847.71507	False
0.0	32.0	0.03733	-0.07395	0.1816	-1842.680109	False
0.0	36.0	0.02667	-0.05164	0.1275	-1837.710218	False
0.0	40.0	0.022208659965992084	-0.044767282036003664	0.11476929332171437	-1835.1716711128433	True
0.0	44.0	0.020488680308114127	-0.041917167114519316	0.10548716626065868	-1830.9546338220484	True
0.0	48.0	0.02172593596895922	-0.04443506201444691	0.10887274398433888	-1826.148750205361	True
0.0	52.0	0.02534599114980729	-0.052073903733846905	0.1227548667392	-1821.799514209421	True
0.0	56.0	0.029669250655658175	-0.061036969034798716	0.13931095016823036	-1817.8315829886164	True
0.0	60.0	0.0336806977232591	-0.06941097959497178	0.1547480937496708	-1814.1296783270418	True
4.0	0.0	0.01989	7.585e-08	0.2112	-1889.650244	False
4.0	4.0	0.02358	-0.01931	0.2236	-1889.394533	False
4.0	8.0	0.0259	-0.03181	0.2841	-1884.110525	False
4.0	12.0	0.02343	-0.0384	0.2468	-1878.12795	False
4.0	16.0	0.02406	-0.03811	0.1165	-1863.168161	False
4.0	20.0	0.02265	-0.0405	0.0869	-1855.472237	False
4.0	24.0	0.02605	-0.04614	0.09926	-1855.337986	False
4.0	28.0	0.03573	-0.04334	0.07093	-1854.667924	False
4.0	32.0	0.04568	-0.05479	0.08279	-1852.449695	False
4.0	36.0	0.03675873906933447	-0.052872757234366574	0.12730720038640442	-1847.4933929323138	True
4.0	40.0	0.03067	-0.05565	0.1272	-1844.506336	False
4.0	44.0	0.02455	-0.04495	0.09988	-1838.089276	False
4.0	48.0	0.024617756950862102	-0.04610553717638055	0.1022086425644062	-1832.3448042752625	True
